Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2893228259,150.521407901,18.33,470204134,4978375,475182509
2,2903100297,27.142893170,102.00,479393416,4994488,484387904
3,2881462834,24.313954319,113.02,486698561,4961833,491660394
4,2922130606,24.922294936,111.81,494495287,5354387,499849674
5,2895546390,24.394068720,113.19,500997335,5313628,506310963
6,2927986922,25.361154395,110.10,507315302,5363263,512678565
7,2928351910,24.532929945,113.83,515446316,5364245,520810561
8,2959977391,31.224591084,90.40,522794599,6324559,529119158
9,2942618555,30.469365339,92.10,528356688,6292084,534648772
10,2942116427,30.538127422,91.87,533901433,6294434,540195867
11,2920556300,29.923866432,93.07,537700818,6256382,543957200
12,2918667000,30.008681963,92.75,542405908,6256707,548662615
13,2965411592,34.734823824,81.41,551132189,6371081,557503270
14,2942774093,33.120287461,84.73,557129097,6292348,563421445
15,2963781990,29.776477070,94.92,561162333,6321809,567484142
16,2958441649,29.109255169,96.92,564466276,6318484,570784760
17,3002117829,30.805339752,92.93,569161083,6438021,575599104
18,3022834252,30.570269028,94.30,573688425,6472930,580161355
19,3025366345,31.437979694,91.77,577708392,6478095,584186487
20,3003673086,31.072734482,92.18,582459221,6398617,588857838
21,2954336947,29.872374742,94.31,586964079,6313641,593277720
22,2913028259,31.488320856,88.22,591722107,6243668,597965775
23,2885221566,29.734181634,92.53,596219465,6196208,602415673
24,2874752789,32.132621520,85.32,600639331,6172260,606811591
25,2889635810,30.585616717,90.10,604437118,6197814,610634932
26,2897811142,28.998050145,95.30,607794977,6211873,614006850
27,2888732397,30.398647180,90.62,612148163,6197890,618346053
28,2887493021,32.180566442,85.57,615785585,6193731,621979316
29,2894631484,30.078303167,91.77,620127576,6203845,626331421
30,2898888817,32.130045228,86.04,624630666,6209446,630840112
31,2913442241,30.903125609,89.90,629686940,6235377,635922317
32,2876263451,33.955736423,80.78,633013645,6172586,639186231
33,2841581538,29.493609218,91.88,636154399,6114414,642268813
34,2889946546,57.489967265,47.93,719469049,6192819,725661868
35,2904322746,56.009831449,49.45,792989350,6216725,799206075
36,2916945453,50.085797822,55.54,848673188,6240041,854913229
37,2909444762,49.326430378,56.25,898521703,6227272,904748975
38,2932161032,48.611990583,57.52,938408289,6263221,944671510
39,2909333243,43.582981772,63.66,970474810,6224118,976698928
40,2909799725,45.176158338,61.42,1003185797,6224264,1009410061
41,2931458560,43.729121714,63.93,1034403732,6259654,1040663386
42,2909014987,41.405567739,67.00,1060880150,6222454,1067102604
43,2908104297,42.678284916,64.98,1084565235,6221172,1090786407
44,2911263232,41.477034532,66.93,1103287234,6225627,1109512861
45,2895343856,41.247862064,66.94,1120626570,6199344,1126825914
46,2913888345,40.746981763,68.19,1133412401,6231387,1139643788
47,2934066524,38.513066444,72.65,1147357573,6265855,1153623428
48,2934035463,38.977545142,71.78,1159996287,6264457,1166260744
49,2938467793,39.866906603,70.29,1175300635,6274970,1181575605
50,2914216454,41.052575780,67.69,1189327877,6229663,1195557540
51,2936771266,39.842742599,70.29,1211181166,6270759,1217451925
52,2885231012,34.713177609,79.26,1221359737,6172496,1227532233
53,2888005688,33.838350846,81.39,1228293987,6179760,1234473747
54,2908036703,29.854817486,92.89,1232200281,6209937,1238410218
55,2917624970,33.660954897,82.66,1236660519,6226145,1242886664
56,2914291430,32.512719835,85.48,1242859899,6229964,1249089863
57,2929640541,31.166789213,89.64,1250359343,6255286,1256614629
58,2914994102,29.648335229,93.76,1254191764,6228682,1260420446
59,2919927888,30.217598009,92.15,1259508439,6237565,1265746004
60,2922457317,31.758760695,87.75,1262721541,6238593,1268960134
61,2923544017,30.797360977,90.53,1266243886,6240044,1272483930
62,2923906078,30.720347605,90.76,1270580721,6242739,1276823460
63,2939173097,30.860639113,90.82,1276085490,6275092,1282360582
64,2911403752,33.387413033,83.16,1280709558,6224686,1286934244
65,2920658048,31.587638841,88.17,1285441700,6241582,1291683282
66,2889515139,35.221818052,78.23,1289398671,6190180,1295588851
67,2912341427,30.051916109,92.42,1292873885,6228594,1299102479
68,2915158544,33.132820467,83.90,1296138393,6235750,1302374143
69,2909680624,30.515003242,90.93,1300333028,6223901,1306556929
70,2925838440,34.311753868,81.32,1304544888,6249918,1310794806
71,2941438748,34.959529583,80.24,1308968495,6275815,1315244310
72,2963096568,31.105707379,90.84,1313618050,6308793,1319926843
73,2944045198,33.459734708,83.91,1318385567,6275760,1324661327
74,2934060714,30.754324933,90.98,1321904520,6262662,1328167182
75,2969511599,30.279997584,93.52,1325315252,6321303,1331636555
76,2982592957,31.057867823,91.58,1329277871,6340687,1335618558
77,2980245305,30.439614381,93.37,1333067317,6334401,1339401718
78,2990856249,31.508502569,90.52,1337104665,6352986,1343457651
79,2978016335,32.301260811,87.92,1341463005,6336977,1347799982
80,2993731446,30.974828467,92.17,1345480090,6363026,1351843116
81,2957052307,29.744866069,94.80,1348941162,6297096,1355238258
82,2965514380,29.983397315,94.32,1352364221,6310463,1358674684
83,2980400979,31.036630596,91.57,1359684467,6333488,1366017955
84,2986199022,32.011218332,88.96,1363531497,6347046,1369878543
85,2985530551,34.779044315,81.86,1367505133,6347312,1373852445
86,2955359825,31.472781562,89.55,1373058585,6298239,1379356824
87,2962001643,30.681386669,92.06,1378567550,6306756,1384874306
88,2954153471,30.015797090,93.86,1381701085,6291159,1387992244
89,2981102134,33.369618952,85.19,1384960648,6337394,1391298042
90,2987070817,35.783463435,79.60,1391693865,6336143,1398030008
91,2968327047,31.756824204,89.14,1395962258,6307018,1402269276
92,2997313589,33.766021989,84.65,1400069467,6359478,1406428945
93,2996490034,32.599622839,87.65,1404331918,6359724,1410691642
