Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,61ebca37276e711bb89755fbbdaf9ac3039c62f9,5898163987,18.170312109,309.56
2,ea77d969c712e58e4f12d61ba775fd488b982f43,6106851389,9.469846427,614.99
3,5c9464fc4fcc3a757c249a85949991f2f016bfc9,6258562702,9.993949594,597.22
4,770a456060fbafe103b167adf2b01aa4e0d94903,6442427176,10.686007102,574.95
5,831cbd5dd036d20d8e1d28d9a2337b4b5752bf64,6575765231,10.369404077,604.77
6,5a0aafd58b03c54930e8d183e34e6757570c9682,6733905276,15.726590161,408.34
7,21737933a799f56437faef76f2eb6ad0e3bb8486,6933925795,14.836039277,445.71
8,3270307ee89fb5ab48ca52307d897fca7a96fe7f,9893882706,60.560181816,155.80
9,2aff970bf45216de1f7a2f376d6692a8a8076eae,12836484877,109.275814554,112.02
10,b05d24a79fa236421334ebf0803e842048ebf1b4,15778584920,96.715549464,155.58
11,e357919e0baa947a75c060affe4e7d1467d82448,18699120740,110.597251306,161.24
12,ae3d2d6aaacabae7dc039b2d2f192ea5a00ab1cd,21617767260,79.388034831,259.69
13,6afeb1ee641888fef8bd42e6c68820c8d354e06b,24583158372,94.392882614,248.36
14,7391dd8d9e85a362d06988741081fd073e81f9f2,27525911985,234.940088208,111.73
15,e70896292ddd5e0e8a80ff909effe0090d8484c1,30489673495,125.804202531,231.13
16,ee7da2b301f9d23de8ab768963f842472e0a66d9,33448094664,168.097511397,189.76
17,0b28ed5d7d52db8dfb528388dfdceb837e4247a0,36450196109,154.043277364,225.66
18,86d7ab14fa255ca94fb1cd75745bf12032734587,39473009881,97.158304474,387.45
19,411de36a15a8ee2e575e65e86d2e794d8b50f4a9,42498355746,150.978909028,268.44
20,322ddfe269c8c3ab1dac67b58462fb267a409f52,45502008352,230.007192171,188.66
21,f4ad8897ab90ac6665859bb3c0c8345767da395a,48456324819,499.827420765,92.45
22,1e1a6d5968e76d157fa85dc5423d35eface96be0,51369336694,393.141066309,124.61
23,9fca750869f75ff7b441f03cd6a8a03415fdeba1,54254541876,427.026472368,121.16
24,902627898be383023bc701bb4aac70d9ce6db843,57129274185,446.716695684,121.96
25,689625303d75cd8446a7f4638683b3039e827cfa,60018889515,455.158491264,125.75
26,2f1a6056ea3113f8ec1db8a04e481beaf94e8842,62916680177,460.420157938,130.32
27,2af3dbd52054efe8f5f4fee0e47fc48618ccf97d,65805392094,468.544316490,133.94
28,81a44f834fec11e4ec46f993d4fd869b48695ec1,68692868731,470.121241956,139.34
29,874be38817e0a5bbbcebf49d98b735896d6ab2d5,71587487927,487.151944351,140.14
30,e7e8b130b93d65aeda5a528f5ae463a82a24752b,74486360360,492.792859626,144.14
31,cc0250363a4517023ea834eb556b7f75eb3e1664,77399786217,603.776779223,122.25
32,69f1cf03a0cfea3abc39795fcc917c5ef2c5f61f,80276029188,529.910031401,144.47
33,3ed770b2b05ec8201f79cb4a6c16cb82f64291d8,83117594342,561.007298667,141.29
34,72376f62a21666198700efbc1941efbd8f73cac8,86007528600,574.113880543,142.86
35,1a800b718f8dd0df0097cdc624626391ecfe79b3,88911834962,565.558891012,149.92
36,f6a1465545d4e7adc923adafeb1d9b4d0839e3b0,91828764031,593.015788730,147.67
37,a829af8bf0535580214e90543dc45d32677e781d,94738192409,608.943524936,148.37
38,588e2e7675191bc6721eff29e0a1d9702363ff6e,97670337057,595.385093406,156.44
39,8c0d14ba60e4fd2080973e92fc9bfa9145a4ac60,100579653916,610.855472825,157.02
40,6c1ff429defa1def5ce35a9b49766a22ab2033b2,103489433161,632.573050221,156.02
41,e54fd68324a3e7233da3dd2dbee2e487d702e062,106420871241,628.640845475,161.44
42,f1c0673a557668ec69d4979d49932faf075c4307,109329865748,626.020750896,166.55
43,53ab0f2fc816c6d733fa37846141cb3151e75254,112237953661,638.502081783,167.63
44,b1b176e5a6c24464e4f09184b70b45d97f95d176,115149200509,650.470859929,168.82
45,4fd09ec6be986cb3f3e4a819b9424a1cecf88e28,118044523885,656.181586296,171.56
46,6c96da217e6ee4cb7adbe90d40f4728ae83c3691,120958387654,661.330424764,174.42
47,ac838306a04609280fc058a3bef23fa8661ec12f,123892433698,663.703845000,178.02
48,647b08eeee3c90f1bf415bb05cc2cc43bcab469e,126826452777,679.104269840,178.10
49,541245a21285ffde4afc3dcea75d17ac1fdafd28,129764904186,698.588694706,177.14
50,44366b7560dd290f138800f36d847b8651d889a4,132679104256,711.198540895,177.91
51,192603e7581fa7ccc5ef41628ecd1064237b0d97,135615850946,699.956388095,184.77
52,c3f5c1ce74b9d22fdc018f3f7bd5b9965b0142c7,138501057382,703.918606702,187.64
53,dca6ae3909d26e2c2ba9ca7d1451175489001e9f,141389042590,705.716000906,191.06
54,d4f11cf24e34800900a0f8fefaca62ffbbc64606,144297058813,700.999675129,196.30
55,ec3c9475cd1667e1361688f7810402210fbac67e,147214663303,692.684148261,202.68
56,c4febe597a750573ac79dc8cfe7ee2937f412184,150128934253,721.431168518,198.45
57,cf4efd951b926c73ae2529336f9e53ccb17004af,153058550218,740.029398202,197.24
58,278fd9c82f3909745aa009d8fd743a262f09c146,155973519744,756.125839990,196.72
59,731b682e61f4e0f713cad55dbf1ca3f088482f2c,158893423056,759.053141796,199.63
60,1103c79d09d887ddbacfc6cbbec156734caab7fc,161815859893,759.408259026,203.21
61,0e851dce27e7d1efb9e5b1a11cbc53e6d4a0d2a2,164739379334,765.932349416,205.11
62,80e7e7fa84d9500c14607ad34161db477bdc2ea0,167663260836,765.677087342,208.82
63,3db8db1b35e2edb5fbd99e149dd6949d260afa9e,170602409357,764.016853667,212.95
64,ef8341cff01e69bd1fd82d185c8bc7bc6ea67f9f,173513792629,763.332627370,216.78
65,5f7936eb8edf880dceb53e7f20859ad5599f1783,176434430197,772.445007265,217.82
66,6011a75f5adeb67e81023e214674506b3c9ed757,179323924856,776.144592906,220.34
67,9bc39650962f78982cf469ee0e7af59e0da53330,182236245803,811.101288765,214.26
68,c4fb8c8313aa0c2fa0897e7675301ca70c6cf137,185151379771,806.421461870,218.96
69,d39cd6ea43f441e6831690ccc98836e044f2dfc2,188061039915,815.263022538,219.98
70,be8c689cff9adeb2dcd7b70f4ffc86924631760e,190986857875,819.101433041,222.36
71,9f59e07d06e4f090f58b1d2f7d2efab2fce97313,193928276143,829.844192443,222.86
72,ab9e8a8591fd6e26e62aff20a85e8d8b32837fab,196891352231,873.352552700,214.99
73,2178b6f92fc3c93a6d7ac54cfd7d98f5a39ca142,199835381045,882.643953566,215.91
74,bc864167415217060434ed3382d64aacd43f0a26,202769421279,872.851062439,221.54
75,72c7430c0ec339e3b09d1e8fcc12354155e22814,205738912398,863.311262735,227.27
76,b51beb9bd37f713f1dee409560f2436d57fbe88b,208721484875,867.779784057,229.38
77,f14101b9fd919749d54459b4ab4fe5c8c4b1a738,211701709700,877.157414787,230.16
78,5d709996b3734f101d8d86a917364d5b57bece7f,214692545469,876.722508825,233.53
79,8efc68f266aab6eb039ae7f56ea24ecb4ebce173,217670549516,893.356426310,232.36
80,056fff769b89b5baf56401c661a34a365900b6b8,220664260482,889.752449330,236.51
81,39613596f84f935961b3885cb595357a206314e4,223621292309,897.606065714,237.58
82,10e8ec3e1b819a5953f2ded73b02aed1edae0ac0,226586782113,912.000159979,236.94
83,151ef47d39e51460700b3317995dd63303250336,229567162612,934.684794957,234.23
84,ec48aaa1e2a4c9e901d860e9f05377fb14a583ae,232553341154,933.933384983,237.46
85,fd9505ababb1897a0ca5c372c8d6cd3cfb740d04,235538847129,942.031703141,238.44
