Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,198932586,11.046526649,17.17,52951779,1693063,54644842
2,203170075,7.553054778,25.65,80183759,1718410,81902169
3,201379784,4.397243010,43.67,89757489,1712030,91469519
4,202001104,2.546343322,75.65,91877117,1714750,93591867
5,202421962,2.721715771,70.92,94062803,1717941,95780744
6,202551971,2.090411558,92.40,94670740,1719433,96390173
7,203142928,2.126162475,91.11,95165183,1719572,96884755
8,209474517,8.043753116,24.83,121340282,1793641,123133923
9,206185412,4.451834855,44.16,130008925,1757052,131765977
10,206101163,2.211638304,88.87,131104813,1757193,132862006
11,206747690,2.672178715,73.78,133213630,1765537,134979167
12,209287831,2.636457567,75.70,134807787,1793136,136600923
13,209400444,2.123996346,94.01,135315938,1794332,137110270
14,209442438,2.019026310,98.92,135620330,1794656,137414986
15,209471141,2.139898695,93.35,135861303,1795292,137656595
16,213859628,7.755289605,26.29,160760988,1827045,162588033
17,212903056,3.771326410,53.83,167542826,1824944,169367770
18,213133328,2.536078967,80.14,169214721,1826972,171041693
19,213609387,2.438795349,83.52,170530314,1826768,172357082
20,213842345,2.202681270,92.58,170911744,1827797,172739541
21,213853535,2.093865303,97.39,171122927,1828129,172951056
22,217810317,8.810200925,23.57,199919128,1868414,201787542
23,217914677,3.905557836,53.20,207334360,1868780,209203140
24,217797201,2.584050750,80.37,208890416,1868870,210759286
25,217817349,2.268376709,91.57,209596206,1869114,211465320
26,217831404,2.189923610,94.86,209933011,1869350,211802361
27,217814780,2.221747246,93.49,210466206,1869594,212335800
28,217802064,2.224549752,93.37,210898057,1869830,212767887
29,217808150,2.086688266,99.54,211100218,1870066,212970284
30,223347298,9.477130879,22.47,242597692,1910506,244508198
31,222527864,4.907567283,43.24,253393964,1906842,255300806
32,223081536,3.159838144,67.32,256622506,1910088,258532594
33,223268371,2.772919485,76.78,258849328,1911128,260760456
34,223326076,2.383519413,89.35,259812427,1911546,261723973
35,223305456,2.285980025,93.15,260438194,1911598,262349792
36,223332821,2.517809514,84.58,260879601,1911834,262791435
37,225821373,9.385106574,22.94,291704776,1943250,293648026
38,226889655,4.485085242,48.24,300918695,1945692,302864387
39,225528153,2.945387493,73.02,303514240,1942185,305456425
40,225583764,2.489880788,86.40,304729951,1942622,306672573
41,225668136,2.599421072,82.79,306055881,1943250,307999131
42,225797657,2.408018694,89.42,306670646,1944342,308614988
43,225806624,2.249428235,95.73,306870418,1944666,308815084
44,228972842,11.518952601,18.95,346542888,2009993,348552881
45,228264119,5.363095298,40.58,359743273,2007324,361750597
46,228507231,3.007337397,72.46,362034742,2007653,364042395
47,228516631,2.532591644,86.05,363191570,2007889,365199459
48,228572753,2.578207780,84.54,364638639,2008293,366646932
49,228889531,2.530326383,86.26,365434764,2009813,367444577
50,228945488,2.335085307,93.49,365743906,2010433,367754339
51,228949377,2.231660173,97.83,365901763,2011541,367913304
52,234797399,11.039002420,20.28,403310326,2079664,405389990
53,233764661,6.255624482,35.63,418633355,2073893,420707248
54,234513721,4.034272035,55.43,423416399,2078996,425495395
55,234713523,2.950048616,75.87,425385307,2079404,427464711
56,234757879,2.465849937,90.79,426059857,2080023,428139880
57,234756520,2.490929164,89.87,426724227,2080372,428804599
58,234768686,2.423157486,92.39,427176084,2080704,429256788
59,238394457,9.390667375,24.21,457383183,2114343,459497526
60,238087975,4.130890909,54.96,464379086,2114259,466493345
61,238121863,2.714357026,83.66,465778055,2114423,467892478
62,238123525,2.450126474,92.68,466420644,2114555,468535199
63,238184306,2.368543519,95.90,466894016,2114791,469008807
64,238217593,2.398208860,94.72,467435763,2115035,469550798
65,238373942,2.499434944,90.95,467975682,2115655,470091337
66,238389291,2.361307966,96.27,468277670,2115995,470393665
67,242308032,9.882294862,23.38,499840044,2148930,501988974
68,242050764,4.529266039,50.96,508499442,2148252,510647694
69,242261210,2.935843976,78.69,510532181,2150425,512682606
70,242284180,3.106415324,74.38,512556299,2150196,514706495
71,242257921,2.599531202,88.87,513477530,2150128,515627658
72,242295390,2.627734892,87.93,514360786,2150364,516511150
73,242277276,2.506124199,92.19,515005178,2150216,517155394
74,242295522,2.388265816,96.75,515163939,2150582,517314521
75,250367302,10.514349526,22.70,549594869,2229304,551824173
76,252085693,10.107200711,23.78,582053626,2241659,584295285
77,259905377,12.302321323,20.14,623566797,2298406,625865203
78,271370297,12.456653041,20.77,665194196,2375698,667569894
79,276025097,11.952798302,22.02,704633939,2422748,707056687
80,280531207,12.997219902,20.58,747916613,2449760,750366373
81,296535397,12.205401956,23.16,787292611,2546675,789839286
82,321662752,14.003222771,21.90,832975842,2690731,835666573
83,337925320,15.040191544,21.42,879741620,2814224,882555844
84,349679961,13.808511719,24.15,923825663,2939635,926765298
85,365602009,15.232052130,22.88,972569958,3079948,975649906
86,377698976,15.589998886,23.10,1021786575,3191818,1024978393
87,386827268,17.242701414,21.39,1078679842,3266431,1081946273
88,394440830,14.980232896,25.11,1125436192,3369590,1128805782
89,394634624,14.853074087,25.33,1171378330,3469206,1174847536
90,411988513,17.061479606,23.02,1226309827,3566901,1229876728
91,420804183,15.155306473,26.47,1272166437,3636557,1275802994
92,429344061,17.744305428,23.07,1328384903,3722232,1332107135
93,430750366,14.554433623,28.22,1371218473,3726348,1374944821
94,434093433,15.015806848,27.56,1416285943,3756543,1420042486
95,440305298,16.819213231,24.96,1469533130,3823108,1473356238
96,445173684,16.687344929,25.44,1521702265,3870340,1525572605
97,451393710,17.468289059,24.64,1576851543,3918555,1580770098
98,458281160,15.803294861,27.65,1625135945,3974825,1629110770
99,467490133,15.252056430,29.23,1670243032,4040984,1674284016
100,477079813,17.646663028,25.78,1724736788,4169188,1728905976
101,483297316,18.416809197,25.02,1781433777,4233256,1785667033
102,490992011,17.693338129,26.46,1835492763,4324742,1839817505
103,498353524,17.963166283,26.45,1889644788,4385515,1894030303
104,510484985,17.100425321,28.46,1940742833,4495276,1945238109
105,519970469,17.403011120,28.49,1988766603,4557067,1993323670
106,525558822,18.018681439,27.81,2041797899,4598543,2046396442
107,535318825,18.707006466,27.28,2097843169,4704507,2102547676
