Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,d68c6ed6ce96d8c3227ddb1188ed3de9ff0510ff,1477230572,1.179826898,1194.06
2,68fc0e8b6a21e50eed71cbf3043204775b990a7a,1478214708,5.950029783,236.92
3,f97e5835cb8d0a3db671ebafc0907507cc73c18b,1478087166,6.484719119,217.37
4,c3bb130260c6dc9e41b70ab16df4880d81bc3be4,1478024088,8.223735428,171.40
5,5e654862f52caeb78068d2e4cdfba6270f1d3981,1478159864,9.008741615,156.47
6,6705c5612be69238f0d42df2906157e485a81d7d,1478151268,8.264841384,170.56
7,bfbb046112da9163e34327a476a847ad681539fe,1478218495,7.523214675,187.38
8,18781e0e4e1fffc8c7a58c8596cf2a76b456766d,1483041133,13.652331323,103.59
9,b674c88196035d5fbbd6d97c8c830f3dfd6b9d3f,1482987544,9.076552211,155.81
10,015ae7ec82c64a96339cfe92dc8cd5612c04786d,1482987643,7.581425367,186.54
11,7df0f51587d3af56bdb1b8c8acc2161deebf0629,1483029494,7.703838784,183.58
12,0deb1c197364bd917730744e22eab02d0a2dc75c,1483253105,9.423739064,150.10
13,11e7ff1eb385468580a915e52557eacf05c7548a,1483308633,8.447970948,167.44
14,82148a5013d0bf6a88716b423ebd68fd073d4fa7,1483328907,7.740214611,182.76
15,3abb7a281c927fd9b4c6a02fc4a4d08dce8b2a8c,1483330583,8.698524936,162.62
16,51017ebb125d5ca859d05dbea54601fc89a4f77a,1486379633,14.798962138,95.78
17,2620d5fc51afc57204a0eaf3c0cda7e86744438a,1486246776,8.299948566,170.77
18,5427e6250cd29f9bab3789663e81116c0482195f,1486270514,6.648751743,213.18
19,c197587db978c1d7b3dbd4a2a8328e1785e889d0,1486332377,7.515598503,188.60
20,bc7ae51fdea7b19b6024805e1d7ebdffbe11069f,1486364683,7.848942128,180.59
21,a11dc451aa56f49115f7e2d88755987456e1f976,1486373416,8.015228057,176.85
22,9c8c579298873f343d232d743be3dfcffc8e316b,1490011727,16.040021790,88.58
23,05d9e0b20958ca96a2e48781b42ef53bb815c8c8,1489932006,7.857975821,180.82
24,791ecf26dabdffae6e46cb95bd97d02f7c588e32,1490010474,7.732033193,183.77
25,a28ecdb573091a33f43799613bc6e23b91fcaf36,1490038941,7.089747563,200.43
26,fc6656cf52cd944619cdb31d0ba29961f9dc656b,1490050834,7.739726375,183.60
27,c775421ea61636dc92e962c87416658d35cc0ab5,1490061211,7.181585150,197.87
28,583500778fff20bf61cdede1df6da963a1a54f15,1490048495,8.340553665,170.37
29,4e99ee53a506434500a7dbfa4213d42b15672f13,1490054581,7.381635916,192.50
30,409b0d767787035a1d99d9614475461251baa948,1492253494,17.148747888,82.98
31,c64cc462df924749e513950c640ea612e093c3f5,1491928322,8.010632284,177.61
32,217b02e6b8421935ab25d5637f11cb8e304e7086,1492083974,8.624874993,164.98
33,9a1b72b1742d41d6d21a85f66c0311b8c4ee865a,1492157312,9.257344743,153.71
34,f7e4f35e4906f1838e68199c9a6f7030a92d747f,1492208098,6.817437723,208.74
35,880bea52a3e4027a02ab27e0a8355a2746364253,1492221197,9.581575041,148.52
36,5ef4e5a62d061f02d9904e4861330d99e670fa0f,1492248562,8.315543601,171.13
37,68647cb42406c2552cf2ed7e27ab536000678cd0,1498303930,16.348939486,87.39
38,6d05a2ee5b9d5cfb509e388f9222f258407b1563,1498043643,11.150558429,128.12
39,43c343059812befdd2744393d5191b3b9bcfd785,1498160065,22.619152562,63.16
40,1bffc8d62a97bf8bf64babf38d5f0bf179b9c9b3,1498197134,16.029686574,89.13
41,faa274a3d7d464b41db81330f7e61d3e825eaae9,1498279814,14.578277847,98.01
42,cad12565663c9b5533a0dc35db2ecf2c1f664cec,1498319842,17.642185617,80.99
43,0395b79108277518ceb9e087ec2cac23b9b033ce,1498328698,16.607407884,86.04
44,37ffb6395bfaa98d3dfff5741370984b233f3a5b,1502475317,28.587108889,50.12
45,c921c79b8231231da2541dee5ccbd783b622eb37,1502138274,15.649290051,91.54
46,119229b36c6719590f2413c2921498906c8d49a0,1502325802,13.264416144,108.01
47,f8895166149fea8b5ab738a73418cc976d1719b6,1502335202,14.938329832,95.90
48,c410644a5a19ef89cb890f4797d4fdafa6837d4c,1502390400,13.231074171,108.28
49,77a6b554898b2cdeadb211a4a0f466b4e7dae830,1502451694,12.147868153,117.94
50,9c0154823661b74cd08ae3b70576ca688cc96df1,1502480326,12.918169996,110.91
51,008219cd8c7111c084c1ae8ae311f6b451f79a68,1502473592,10.868149209,131.84
52,8b09d3e97c9abfbf05f05c199ca31073762b9867,1504876752,31.100459380,46.14
53,43851ec6e501603664977eacdba6857c5a93a9a9,1504748635,26.172860332,54.82
54,0d3e52f98fcdb3eef05e8c532134cb6058d61f38,1504701178,15.948241675,89.97
55,150acadd548abd702696f988db6adc8c253bedc7,1504826262,14.662153236,97.87
56,791026541ee294ed6d2323010a676155fea9b0c0,1504836425,11.694321742,122.71
57,8794143c5f0602c69d37581212f7bdd6444afc65,1504867998,15.271530682,93.97
58,7010ec45711062b62b8649ff115c03f8879989df,1504879113,10.578566289,135.66
59,33adf1b92030a1fa6b71f32cbe97f41c9292d0da,1508411093,29.753197117,48.34
60,be24b9392d98881f3ac343e3be53c465f2fc0b68,1508169284,14.573382914,98.69
61,5f3bff2a791f40b0b5b4d7bbefb24026a4d6db8c,1508235008,10.214943373,140.80
62,22e236e378e04d1651a428f8e360d0204ee63743,1508238693,11.563735867,124.38
63,ba0ea28961527bf20e25da51bf7769e3bdd16724,1508299474,11.289106578,127.41
64,d84b5ab4a89ca4cf1042cefbbfaac21b5eb03af1,1508332663,11.901843994,120.85
65,90b08ac86689c098990595d83f97c95656445722,1508397375,14.030528050,102.52
66,11071acab8f3810ffef2e3f473bdfc257843ad5a,1508412390,14.080559385,102.16
67,44b83351644b16ed9beb549ec23f84e2832da0d3,1512262872,29.774962417,48.43
68,4ea1f2d26de569ffbcb64708d23ea6248fd49cf7,1511981723,19.726959837,73.09
69,8517357955a6214c5b77137f1c3e77ada870cabe,1512104804,14.196461921,101.57
70,acad7df07e927ff88446eacddabdd2d488ad8deb,1512144420,13.422186619,107.44
71,45dfb133cb8edd3a5f96a1a2a0cf10f75aec7c1a,1512193360,14.151837306,101.90
72,d595abdf842b3c0f72ecac0b4d3f1d9268a930ec,1512230829,12.436722634,115.96
73,c70771e1b993f7698c489cf375158c24c5b4cfa3,1512256182,14.454360291,99.77
74,b1ecf4ddcba410d066f9624cc30abc47d9c84784,1512269942,11.147226901,129.37
75,f4ac138d79b406c326b620e98291c51c8a5ffd20,1518715165,31.344280969,46.20
76,fa712f7af61a11c215ad3143623e4fc26c952c73,1522886335,18.731173693,77.53
77,23ecb2aeaa02d0ef6de81a1c0c36d09731e5d1d5,1531575379,30.113696559,48.50
78,7e66b94a101cb3d2ee50518982317f87bec36f64,1543115036,18.190518271,80.90
79,c9df78c481de9b72e7077878ac4495a9084e3b6c,1549672478,18.265294695,80.91
80,e305e0bdc448bbf098d70831fd2c640516f82cce,1568048194,21.833569235,68.49
81,325e558fa615d8a88fda465274dd78ebd55acbef,1584937678,22.074460440,68.47
82,f0115448684d015b0daa916dc32a8e1cf84bb655,1607598639,22.332983617,68.64
83,ed9ef52c3a63a184707979d53c4abcbb9130101e,1626008614,17.608706912,88.06
84,e43efc49ee1d7927b8b9cf613adb1ba050fea2f0,1633296995,19.708259807,79.03
85,cb3c4824023644c5852d8fe66dbdfcb3a3019705,1652259235,20.350472693,77.42
86,8a81f04eb76f63582b994a17f0350d6f55aba8c1,1665090441,23.899572885,66.44
87,2808ce71145125048393f6c64d04d0ddf300f32c,1673691666,23.451745878,68.06
88,f718cf710784f91312708e37c32f9b29bc7dbead,1676596218,20.508756580,77.96
89,8682ddb4b4e95edc98ea5baf9d3ac3f694d61b5e,1677481108,20.775686902,77.00
90,38494804406fc17d6fcc4d84d5571646e4b823f3,1699935333,23.241908887,69.75
91,b9cd72ce9551333c53e86b561c6dc3beadf645ce,1708899711,22.229670315,73.31
92,4fae0d2d8de8dc8174cc432f618a7a030950dea6,1722379806,28.741428132,57.15
93,c482e1ab02c846433f2db1233c8a0ae0187d6d6c,1729721543,19.850781912,83.09
94,89fc2e0b131aefd7e426099592f95df5b9f8f00f,1738591734,22.225137552,74.60
95,152a3b6ac30894e6e8a5eebc1e1e21e2b8cccb8e,1748210261,29.375777788,56.75
96,92ba7b9033f2ad02b69ba2361f530ccc62ca8c37,1753587537,25.866853677,64.65
97,7eda22656e14e2cc891194779087eae6797dd2a8,1759333038,23.365893442,71.80
98,473443f64575f19fd561a926bfaf35fa67621304,1765201622,35.321875815,47.65
99,b544f2ed6593368a5ccd1678016a0ccb6506feed,1772190090,28.157104159,60.02
100,24cb5f9dc3867afb2f8a99459ebfb0ccec489e01,1784642639,35.360920212,48.13
101,0a856aaab88d08f9bda582b811c7ac1ad04b58a8,1787252479,27.268658174,62.50
102,9c8b305532d51c8ff7c8ac580a9ef312c642c1be,1793021505,20.823092800,82.11
103,dcbc334fff3653cb6b56dc1442eede45ef6921f4,1798589192,22.760067140,75.36
104,f4c13421b7902f5bbcbaf7ce8452ae8ad7b783aa,1808599100,23.775923420,72.54
105,64817c26d1c9cd7b204e2d380d11708000d202e6,1814299562,37.455774630,46.19
106,7bd1fc5a511e4e726224a321f42094e1afac5c2d,1817902243,28.492059378,60.84
107,ceec35604ec13caecc027fe7aa7599376592306e,1824136972,36.395100969,47.79
108,1c787b8e2985ca3ef13922901eb5311f301e7736,1833540072,25.855365612,67.63
109,4531f13b81710be09e055e0d92db04635000b166,1836922146,22.516485193,77.80
110,fa0f13d944bd68f3b95f0babc12fff4af3ce97b8,1839502798,38.466319191,45.60
111,7c02b5c97a249f86debbf2e9a3b4c679db0392f2,1842988624,37.046987353,47.44
112,552aba41ea20574b65cee7fc646f684ed236ee2f,1845584715,32.225841048,54.61
113,bdea0e52e19fcb20b29abe369c7f3bddd6030b35,1848494721,25.049502847,70.37
114,9c7f73540f39ca254f5dc81c9c172de5f8cba727,1851254299,30.959064821,57.02
115,983b462b7c2510d801d0a8d4f1f63db99f0f824e,1857224031,30.395053173,58.27
116,e262b7328edf02343c8aaad04cac93649320022f,1863057993,25.411194023,69.91
117,231653625174bf36eddda9ab5776dc3d22f3da0f,1863762276,25.411622420,69.94
118,7eedb63fc2079f004df601bd51ec4e672746c120,1869283145,44.956825263,39.65
119,e7e50127a41e38dbe33de64a6fce5500dc1fcd47,1873510384,38.332856845,46.61
