Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,32717389,2.142028323,14.56,8915951,167957,9083908
2,29490026,1.307270889,21.51,12439743,161006,12600749
3,56090391,3.979471261,13.44,26470877,729947,27200824
4,55668797,1.471142399,36.08,29131847,727965,29859812
5,55699494,1.401713811,37.88,31627783,728199,32355982
6,55693155,.974064935,54.52,32567271,728433,33295704
7,53406036,1.730215565,29.43,36290856,304813,36595669
8,74382330,4.994953327,14.20,53127927,1083027,54210954
9,75204083,2.390125727,30.00,58607798,1088666,59696464
10,75870097,2.111441943,34.26,63006082,1091111,64097193
11,76290428,2.137780175,34.03,67514262,1093163,68607425
12,76604029,1.778913450,41.06,70379554,1094791,71474345
13,113371107,7.443805781,14.52,95028416,1579107,96607523
14,113745479,2.905111936,37.33,100990014,1588000,102578014
15,113819265,1.957699480,55.44,102893404,1590364,104483768
16,114667348,2.929612731,37.32,108449954,1597928,110047882
17,114899111,2.711363456,40.41,113314950,1603912,114918862
18,115001266,2.496983592,43.92,117272045,1608221,118880266
19,128212133,8.091156392,15.11,142008059,1743041,143751100
20,129641986,3.838802502,32.20,149820546,1754164,151574710
21,129733854,2.871063168,43.09,154393961,1760145,156154106
22,130668145,3.538028787,35.22,160833038,1766781,162599819
23,130784622,3.004610986,41.50,166109863,1771393,167881256
24,130813859,2.407894190,51.80,168868718,1772342,170641060
25,131451629,2.637705647,47.52,172529596,1773986,174303582
26,166821106,11.544474624,13.78,207272708,2439621,209712329
27,164784358,4.418169444,35.56,215325434,2450630,217776064
28,166881977,3.756777286,42.36,221152775,2460252,223613027
29,167442913,3.822430006,41.77,226873055,2466908,229339963
30,168577785,4.322468902,37.19,234506380,2481280,236987660
31,168718757,3.215216263,50.04,238853916,2489752,241343668
32,168241070,2.968505173,54.04,242021601,2269981,244291582
33,198333680,11.261497551,16.79,275320600,2990940,278311540
34,200589575,5.630628725,33.97,286206605,3015288,289221893
35,199835025,5.286026456,36.05,296262825,3041334,299304159
36,199831830,4.469831505,42.63,303873498,2850844,306724342
37,200027076,3.822658308,49.90,309289853,2863994,312153847
38,237233878,14.887590325,15.19,353948148,3466699,357414847
39,238468950,5.690273111,39.96,363648742,3485210,367133952
40,240057729,6.384087117,35.85,375710369,3530851,379241220
41,266028582,12.343729582,20.55,411144115,3986132,415130247
42,267895079,5.844686244,43.71,419692034,3992464,423684498
43,268010507,7.570670966,33.76,436326815,3996996,440323811
44,268216912,5.520625463,46.33,444455233,4002768,448458001
45,265840056,4.478376729,56.60,449249728,4005251,453254979
46,352587918,20.405767175,16.47,509586623,6796350,516382973
47,350653798,7.628647542,43.83,520833648,6815186,527648834
48,350996096,6.399509059,52.30,528756007,6825422,535581429
49,353255236,6.183309239,54.48,536089199,6842450,542931649
50,353438271,6.119037675,55.08,542815988,6856950,549672938
51,353427901,5.924426420,56.89,548564948,6864722,555429670
52,353452954,5.307858825,63.50,552022963,6866550,558889513
53,371780260,20.108679786,17.63,605906433,7307868,613214301
54,372022126,6.834324366,51.91,613526313,7326534,620852847
55,372317542,7.438771743,47.73,621998042,7337715,629335757
56,372581027,6.506799305,54.60,628685261,7357026,636042287
57,372784320,6.010510117,59.14,633938645,7373758,641312403
58,372986229,6.302610183,56.43,640158289,7382555,647540844
59,373087756,5.939290657,59.90,644476619,7387775,651864394
60,373150015,5.960211910,59.70,648476235,7393379,655869614
61,388600680,17.519195242,21.15,693180587,7719471,700900058
62,389179254,8.814676733,42.10,704926722,7738237,712664959
63,390466995,7.459297607,49.92,713356794,7752145,721108939
64,390701350,7.017229881,53.09,720442354,7764565,728206919
65,390890724,7.198598850,51.78,727419232,7777827,735197059
66,424907901,20.417999881,19.84,778963586,8313015,787276601
67,426201401,10.193706346,39.87,793246313,8342546,801588859
68,427529725,9.327242076,43.71,805525696,8361145,813886841
69,427767802,7.871022884,51.82,813403377,8374844,821778221
70,427898671,7.724455400,52.82,821661810,8387192,830049002
71,460844155,18.358249349,23.93,869108930,8851083,877960013
72,461492436,10.265242924,42.87,883423916,8873933,892297849
73,462797338,10.136309719,43.54,896184929,8890905,905075834
74,463112019,10.624504894,41.56,912301000,8914642,921215642
75,463294063,8.311624770,53.15,920932071,8929744,929861815
76,484215784,23.728163033,19.46,979550046,9232897,988782943
77,484462766,8.853505643,52.18,989362329,9252542,998614871
78,480326242,9.118559359,50.23,1000084814,9254367,1009339181
79,481626298,9.974812460,46.04,1013123135,9299935,1022423070
80,481860544,8.416118979,54.60,1021543998,9311787,1030855785
