Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,32717389,4.701843896,6.63,8831926,167861,8999787
2,29490026,1.780731859,15.79,12355336,160910,12516246
3,56090391,4.961142928,10.78,26226044,729193,26955237
4,55668797,1.751887863,30.29,28886914,727252,29614166
5,55699494,1.599948021,33.19,31382850,727486,32110336
6,55693155,1.044686519,50.83,32322231,727720,33049951
7,53406036,2.053526155,24.80,36045053,304100,36349153
8,74382330,5.798152369,12.23,52697371,1082314,53779685
9,75204083,2.860884735,25.06,58133441,1087953,59221394
10,75870097,2.448583605,29.54,62518861,1090398,63609259
11,76290428,2.522475044,28.84,67017871,1092450,68110321
12,76604029,1.933967513,37.77,69874576,1094078,70968654
13,113371107,8.961982596,12.06,94005352,1578394,95583746
14,113745479,3.313213560,32.73,99930290,1587287,101517577
15,113819265,2.139893883,50.72,101827629,1589651,103417280
16,114667348,3.300800427,33.12,107371602,1597215,108968817
17,114899111,3.090598956,35.45,112223558,1603199,113826757
18,115001266,2.998754574,36.57,116178342,1607508,117785850
19,128212133,10.096554058,12.11,140060345,1742328,141802673
20,129641986,4.706250169,26.26,147730589,1753451,149484040
21,129733854,3.233606190,38.26,152294633,1759432,154054065
22,130668145,4.077826923,30.55,158662672,1766068,160428740
23,130784622,3.581945633,34.81,163931549,1770680,165702229
24,130813859,2.696677101,46.26,166689787,1771629,168461416
25,131451629,2.949919355,42.49,170302922,1773273,172076195
26,166821106,14.596729422,10.89,203784141,2433451,206217592
27,164784358,5.257342874,29.89,211686209,2444501,214130710
28,166881977,4.053931435,39.25,217475419,2454123,219929542
29,167442913,4.382816351,36.43,223058050,2460779,225518829
30,168577785,5.555069459,28.93,230665492,2475151,233140643
31,168718757,3.602196290,44.66,235010732,2483623,237494355
32,168241070,3.192769512,50.25,238175197,2263852,240439049
33,198333680,14.037666761,13.47,270439162,2983118,273422280
34,200589575,6.804012617,28.11,280808652,3007507,283816159
35,199835025,6.888833831,27.66,290448168,3033553,293481721
36,199831830,4.980323755,38.26,298041862,2843063,300884925
37,200027076,4.396396910,43.39,303447606,2856213,306303819
38,237233878,18.584809139,12.17,346372191,3457697,349829888
39,238468950,6.733201269,33.77,355484101,3476249,358960350
40,240057729,7.599094591,30.12,367049049,3521890,370570939
41,266028582,14.922754467,17.00,401659356,3976422,405635778
42,267895079,7.015648862,36.41,409603160,3982795,413585955
