Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,92997a7bb0b93243d0d95515adcdddac10f55000,33017392,49.685041227,.63
2,7f5c3885e5a34e3e747fb3e3bfe5a0165bf2265e,29790029,18.580996926,1.52
3,555bb66087baad805197d562c06ce56d6b051f86,56390394,28.808424082,1.86
4,4a40347fc1ce703e518030573779a60ad233d306,55968800,18.654817573,2.86
5,3c4bb30dd1838f8262539bf7743117e64888c342,55999497,18.182594184,2.93
6,6e15dcd875f092ee6decfcf9140bc1975f9a27f3,55993158,14.487191129,3.68
7,2965d78a5f9aa91d71a7388964bdc8989f4b0469,53706039,20.236683567,2.53
8,1b5ddb384e75b5b154dcd8cd52c7d886418ae16b,74682333,39.643090045,1.79
9,332a3a754b9c6bf21b6e0bf9d180e3ff82bb4bb7,75504086,34.097898926,2.11
10,ae98d20de36bb7569f4c0641bd500ceaee1e8f8d,76170100,30.414696282,2.38
11,3fdffc528af1d971fdb185d6881ba00ab37743a3,76590431,32.024944356,2.28
12,de2c64e70a205d310529579aaedc89802a364e45,76904032,39.029209775,1.87
13,5c3c7e755e7df055968ab76f501f14940289ced5,113671110,67.659603195,1.60
14,cb0d3b46849fdbcf2d1fa0e3fe848d2792235538,114045482,46.695065621,2.32
15,0faaed81debbe89c130d6f1b9cb98dce685e6da6,114115172,41.246321504,2.63
16,cc03ed40f4d2e0d69527936aa9963a4c19ebda6a,114967351,49.618372631,2.20
17,5909223a5eb4b451490da6815cb9b7846d75acfb,115199114,49.108622219,2.23
18,aac81259d39cae139fbe87acd4b16b65e768a24a,115301269,44.858574559,2.45
19,771d182fbce665d40e842d7c107141aa338c9bb5,128512136,71.530190037,1.71
20,362ffbea4e4bf6fa25e057738d1a53cd8dc43ad0,129937893,39.542525952,3.13
21,a2bd719adcd5f0d6672a3319ecdcc6171eb2bc8c,130029761,42.028014807,2.95
22,1b33a4c7e0c0ff27ac11b2a6c222b05d9dacedf6,130964052,44.501698340,2.80
23,adaca2ddb21c99deecc065efab855c5f19901a00,131080529,49.482530128,2.52
24,93e656387515ffb5858a83db7bf5b50de8ae476d,131113862,39.253653809,3.18
25,df1499621c784839afcbeace14ade7948afd3ffe,131751632,39.811014011,3.15
26,bbeb67c58b85e6e0965592eb728c2d43fde58378,167137493,73.222035947,2.17
27,27b5ef4be8ed19d53fa24ecff49c1cc6daff2547,165092553,40.918248288,3.84
28,7bd7db3d2988b5aa475b1f3a6443cedd39d53d5e,167194268,43.603826857,3.65
29,890f75cdadafedb70af1a12e66b1944b56d15499,167747012,41.593162788,3.84
30,d97f49199bf6908dd83c31f6ea038fb9c5e8ae9f,168885980,46.653427624,3.45
31,09fe9f343b96efc93652cac1b51643d376543c53,169031048,36.805009607,4.37
32,1076a6ef6a6ae1f8fe9dd10b17d5e60f548d139b,168553361,37.360733353,4.30
33,c80a07aa35667c3c3781a181b13309b15ae585e6,198641875,66.680552529,2.84
34,e7c63ebc261abbddb0f65bd9ccb9b4222b00971e,200893674,45.331476104,4.22
35,a2c6134c028c62e8e04a2428e7495844134637b6,200139124,49.280626428,3.87
36,8c97e4fb53c8eef407f4b5d9ec1bed26928972ac,200131833,52.794462017,3.61
37,633468cee2f72dfa3d9b94fa3195cab3be183602,200327079,49.435342125,3.86
38,a031feecb1ffe5f82fdaf693e4b72e1c28764590,237546169,71.766446977,3.15
39,f307ecbd0cf45bd36fed519d2d6a8b7ac69eb66b,238785337,53.554752989,4.25
40,b3ebe72d68a6db862de020ecc5a7d97fae531ae9,240361828,71.705739266,3.19
41,28432f7e45f1f2b33730465403110e01440d3914,266308105,88.676780644,2.86
42,e1233b5fede39a54dd758d5315746f9f17de0d0d,268170506,68.683647314,3.72
43,4d98dc07ed8475adac3684fa88324068e12b4380,268285934,79.548201259,3.21
44,249f24c5471b16fe23fe06cd67bd72dd97aaeb51,268500531,53.919168919,4.74
45,0cb3d5663625371433242db30f257b65a3af1a8b,266119579,56.229212936,4.51
46,90d27298d70f588e85e2bab86d8f9342aac01e66,352871537,84.666142340,3.97
47,af9a4fe30a851feb4c23a425a87c8763c0306fc9,350933321,51.890893688,6.44
48,937b638b38f347e4a23e8b8d433fa5e607b172df,351275619,73.093463277,4.58
49,6176c70a69fed4b40ff22d2420968f6ec6771c7c,353534759,80.074478053,4.21
50,e6e8b9f68513a8e51adc5792aba6bf4d1b375968,353717794,70.326595374,4.79
51,9d0c7d8aa504f7d84a421ee777b5f9837cda6933,353707424,79.652379127,4.23
52,25bba026b40674ed8816e2f96cc6a0e3d4e9ebff,353732477,75.801357824,4.45
53,f1ca543f8b82e684ab6a84e9f0cadb03a5adb5ef,372063879,117.305226067,3.02
54,9c79bb01dc1bfd8e224cdf75f4457b1f792fac66,372305745,73.508634711,4.83
55,96cd206df99e473b6937b9e7313a6de3dad4020d,372609353,83.231974658,4.26
56,8f8695bf2586a0d91a922b2d750327c339e8bc1f,372881030,83.999507921,4.23
57,1339bebe8e23cbdc401bc9443347c3373ccd76d5,373088419,77.851022024,4.57
58,6ac78fb192a84ff4f9afa9c17f2945a3fd087794,373286232,71.585627430,4.97
59,4c2dfff118f8dd5978f7996714bea3ff4567f0f8,373387759,84.574505787,4.21
60,2c333becd462044f7137bdb50a89e756c9fee17a,373450018,77.275288738,4.60
61,ac8d599f7d6dc933ee50973f0c5b085765f8e162,388941643,135.463198361,2.73
62,394dfdd88590a29e35a46fcf6f27fd5b58cc2379,389520217,86.303285986,4.30
63,341d81a80ac9a361d5a824e5e6b2507b44ca1529,390803862,115.751654568,3.21
64,38204ae32a5acd32274c5b69074b0eb4a9e123b9,391025929,109.753783400,3.39
65,f8cec3e5333d8aadd8965d851811be1e2340114f,391207111,105.944792253,3.52
66,3bb9d0e3bddf0c9d07b5bbd45e4f83bcbd8b5c44,425195616,135.655397531,2.98
67,afdf47008a858598825aa6af7ec23c9348da3180,426485020,97.248305748,4.18
68,21ceb1db42296270860d537a3b3793c79c57db71,427813344,107.106387782,3.80
69,f7100c583932aa86fe2525c40491130a6ed6e3ee,428051421,118.253274816,3.45
70,1f78f8d093cb6bcb6bc776c8a5827ebd428e84ac,428186386,117.016478118,3.48
71,c8e92e9f294a18e37891d4ed81143025dbd02441,461152350,157.482726483,2.79
72,1751947d5620f67abab2c67a7b32ec9ea93f76e7,461788343,130.424291262,3.37
73,58bbf53174d974d97177ed8cd181a6e6277c3c3f,463093245,110.778793465,3.98
74,339bf33cefbf202ccafb7f73f188ba3ca5647c17,463399734,120.316282103,3.67
75,512befdbe7d0d7dd43cc1d9499874a4b570833df,463594066,99.330877651,4.45
76,3f4415c0f72d37e399105addf1fd5918e50fe528,484532171,122.742975484,3.76
77,17cef1c90afc5e6e1d5344eee4eafe5bd850450b,484770961,104.147428504,4.43
78,a017c6da529e1a62f7ba9dac4d439c9f849807b0,480626245,138.892326484,3.30
79,3066605277d11ccebed2daf36b8e311fc846cd83,481930397,137.834141554,3.33
80,7e9fafa42a21cb9882a2bf12a091d223c81ea9b8,482164643,134.494316793,3.41
81,d0e7cf7bf7fcc27b5c42229ab01095ddb1bd1ad5,482386021,127.884701912,3.59
82,5607c93edcca59684bdae8893062c54f7d1d9e0c,505025329,140.222937181,3.43
83,b8978805ba119da3290d3634eb4ab9070505e6e9,505737022,107.912686792,4.46
84,dc0f47ed02d0d2449bc8f19d7b359243bdb29f56,506104264,117.253280560,4.11
85,ca82904e2f33c937053d9c5b110d07b5055e130d,506671322,121.956221659,3.96
86,380f18c7eae8e5cb06d73ae95b3f36767a476366,507016320,108.966888532,4.43
87,f4d32bdbdc508888e7d8885d69fa00a1f399d346,536127920,152.856849842,3.34
88,b681339e3399248a1462c88b33c27914779cf3fa,537130626,97.483101189,5.25
89,faa5672ba979ee3bcaaa5c94e5b0b4655c613460,539052160,94.328759106,5.44
90,b49e852d0522cc56c37b40ae1b21e040425830d1,539653096,133.001233149,3.86
91,246a9c7ccef731db5361a12ba89f73d5c600fa79,541482034,144.989856412,3.56
92,580657d504931620c7b6537be35bf589f414a090,565669904,169.554607200,3.18
93,72d9cbbbd93ac571b9f049b3906934d9e4b4b939,567179958,111.010842024,4.87
94,b52d870fb84a8311e8eda7d446b1104b7dd60139,567776247,128.474764508,4.21
95,d42b4a11014a3abfa22c34af5e05eeb0534261b3,568237440,113.221382541,4.78
96,8b96a1f4acfad09188c3f1bade0b416c8e1c0a2b,568992001,115.318960912,4.70
97,6e99c8070008f4d7ac2654528cd1d55cdb539cc3,464546253,125.634393172,3.52
98,9f07294378cf417cf13cb438c27c82447ca650bb,464946807,82.159975527,5.39
99,1435ab1f023c9480186007ea2b881abf8c9e9eb1,465676295,79.645947697,5.57
100,6a078bb451b0cf28a16f4f71ba14ad07ccce063b,466317014,92.621317050,4.80
101,d8d3d17560076feefcb1dc07f3ed09198e51079a,467398388,129.889806344,3.43
102,7cdf2670b8d9bf81ae3ed1df6132983d10703be2,489176703,198.671024088,2.34
103,62b6b724447fd9393ed1850b0ea56b954bb4ff98,489744410,92.646894837,5.04
104,9e96e499fbcb273d1aacf62a9a1dc13272e86a07,490203328,120.350310475,3.88
105,97c30f82c03f03a96617638eea4cbedb7cfdbe33,491502835,124.826211118,3.75
106,886f93eccfc96ff6854d1b40f0578a74cb848d0e,492415035,121.537595298,3.86
107,ea0599568ec466f0513b3bed0427b4f06958fd1f,536913909,123.745333211,4.13
108,8aa2db94ef3be5315797dab4a7ac7de42cd6dabe,537673794,104.450894540,4.90
109,1508d01e72a0d678309cd479fc7a1ce4c6be3efa,538492996,97.777736517,5.25
110,ec6589012701f07086d244cfea818c5ad765926a,539924120,89.774864472,5.73
111,09c7666fc2448827fd3c7ef3374a25a842c2fbd8,577866371,175.067922557,3.14
112,33bacb951df66e2c0649c720ad8033a28f32e860,578709447,107.174235301,5.14
113,8bf2727f30df464aa5ba662202555d5cd95a88ba,579965086,124.065823359,4.45
114,f13cbae83d1491d1688dd12d4459f439dcc8bd92,610080343,181.433162668,3.20
115,617806da92004813b6621f4edea66d015e12bb2c,610848744,111.151968148,5.24
116,8f225fa1134ebce3bd397ef3cced9ff2a791d839,611937955,124.082837944,4.70
117,15770305fb56e854fea7f0881400e8822e68d427,639702062,159.715119924,3.81
118,c2bc4653320ea9049f675f9c00555e014f0333a9,3652537612,366.325292574,9.50
119,57b09c8b70d276c434351f6b7cb59fdb803d47e3,3652537612,460.875134549,7.55
120,c19c4c636a33b6a5739b8830a342fa5814412c00,3645515940,470.492029105,7.38
121,a0c25594daf44c61acde4cfbe691748a1e2644d8,3645510276,474.516765441,7.32
122,07f24d498139ec2962f005334dc46274ab89e2cf,3645510276,448.024579653,7.75
123,bc6ac0ca4bc409fb166ea01879125fe6caf36f45,3645822845,454.431405509,7.65
124,2e87953f1ece710e75c22b1dd857726731333f59,3645843733,477.870316997,7.27
125,3f1bce99ac1967d71c786cc6cee080fe0a9b2605,3646405265,491.374586718,7.07
126,2560d3e35ba4a01b78b9c4302632347bae4db5c0,3646524892,494.672891937,7.03
127,c4435251aa94af9af8a142aa44ec9c35b6d02639,3646541391,510.290113301,6.81
128,6fb56bf91603e14926dc4b900daf1ca03f786501,37354960,607.079203710,.05
129,4d135f43ccf3ffa62ce07576d527ec7175ad49a7,47886670,25.178549720,1.81
130,9ebc52d0a57ea196d98cd7b0afcf347c231452dc,52684522,24.367082548,2.06
131,61bb7fbd4e00e97c46f235c4d5a0933568d3ec5f,52483426,26.696114611,1.87
132,53db748b131e3770ed797a29002dc5eeeb4ee5d5,55983467,26.744846232,1.99
133,a173f5ba6e20585302b8b5b214fdbbde81af83e7,57703382,22.608333813,2.43
134,356f9a2226a67ff4155430e9fd6dcd3df113d0e5,57977097,23.436667204,2.35
135,d02a2edc0fbbd94f548ef76e9e5e5bdbf0e2efec,61699920,20.249856322,2.90
136,eb0d61d28f931b00d2af4e86efa24fcb1c913d27,61725841,19.486281595,3.02
137,d72c2714b60e3495301b3eca317eea9330ea2d99,62002707,30.719427630,1.92
138,d75d89ab3a63b533ea91f81a9b6ae5b384e6b6de,62284064,24.253688636,2.44
139,256a59c55bb64ddfdf1bf42e3d293d43f5c9eb78,67292723,26.314302988,2.43
140,4b09e0332155351b21294e562be5181e08601646,71538227,31.333233552,2.17
141,bd854b25b6964e9f91d7b41320dff494d0e15cf3,72326160,23.517115055,2.93
142,f7056f489f3f33a2c18562aec9ee06a5c2263cdb,77751740,30.066203088,2.46
143,e2d97841d8470744cd67a5d5888e27a5603618bc,77790105,17.549488600,4.22
144,459b277476d8bba4c6a4ff65f375269a26d74e95,80517933,29.040669340,2.64
145,cf2ee7e58bb42509f1e47da35e86834153e6e6f8,84540432,29.949932736,2.69
146,d7bed09c752a67fb5c7b654e4fc03076ba5d98ce,86221996,36.369923000,2.26
147,fff043c5171967bd48c701cc9eb65cf388eee094,88209436,27.047381014,3.11
148,37096e5f1c41830b916180eb1bcff96456ae8a5b,88293539,25.720224583,3.27
149,5353f4e82eb24523aa9a1c610875c0af3ddcc42f,93261966,35.537447624,2.50
150,d3c16240b7f66ccbe8d65c3e777776eb62c3ff48,93779776,36.142744851,2.47
151,a333fd5431ed7caea31d99090e0fedd316746658,94025279,35.341533890,2.53
152,99379ee4dea106a3808f24cb7a50c992c5f9dc22,95221374,39.213123619,2.31
153,047b15bb0e4a919eb6b43cc8c645e2c52c54195e,95276532,25.233215561,3.60
154,8b950183afc32be755fbae4b6766b151576038b1,96872189,30.736949305,3.00
155,fc53391ae8843036c01a1b926c41a5b408c4570d,97567136,23.020379154,4.04
156,2caf2c3af0914a20ef75cc17cf4c95c66ac9102c,98400481,23.620335379,3.97
157,7f69b482c4f7adda19417134704b89d0f24acd8f,98052291,26.401553291,3.54
158,5a888eb5f96e00b892b991a0bd181be8a737a19b,98053165,18.479710004,5.06
159,b58b04a823c430c5edc8e1ec49a26c03ea7167a9,98111906,23.067854068,4.05
160,e215b026eb7350befb08bb94836e86a9491abae3,98969403,25.829475990,3.65
161,1bf67b0d7923f6a5fc16ff365777616be1cc7e89,98984855,21.685578227,4.35
162,e47bca2c4fa9355099e931574a984a4ac2c8fed8,99000848,20.454674843,4.61
163,1b69c944961ee4f06b0bf546d7eb985c2de76a58,99021868,20.882248737,4.52
164,5f446b103a72e72c3bd63c9c15d3cd5e4c595631,99477384,23.241753851,4.08
165,5895942e96c9b207ebebff80969b9b0f7dab0bef,99483867,25.158655698,3.77
166,55111cefb9e7408a339e35b6bd6c987666def6c1,99511020,36.024417724,2.63
167,49f90de2d066bea6bedb37be48e1b41644dd4a00,100172351,39.549765777,2.41
168,cef5f5c3cb11246fd8c50d395ef4efc9e02ecb22,97886962,42.555618678,2.19
169,2521060a8d5a1c51e9723d4487f8e83bbddcb2c9,97910101,33.658682590,2.77
170,fc4d62f831b675d7308acbf2db1d04e59e42ae2d,97891397,33.198986415,2.81
171,50810c6937244568a818addbf0407af7aaabe4f1,98974592,44.568878451,2.11
172,f5034be26ac7dbe6aff17917646770d15b6bb28b,98501817,45.502990657,2.06
173,508c23349aab628ab16ae62cf3fa940d0a99c3ee,9898538,22.706163404,.41
174,55fe1dc34584c693d84db87c43dde6e0f98ac63e,108058377,34.330524201,3.00
175,91a4bd8f6336ed92bd790954c1cd25820eea530d,98448586,19.653193452,4.77
176,ebc657a9931431b36141d3e460a003485eafd413,98463938,17.187584761,5.46
177,a3ea5e95e40634c4c30f9242e24a0b651ad23f94,110421825,22.125255146,4.75
178,880f9c617af5fc239a8ad6ec0cc2de7c97b49bd8,110422059,15.663111756,6.72
179,0edd73acf53a431caa57cc692e482ad99c1c22a5,113630140,29.922842674,3.62
180,53ab7326cdf8e72fdb7770d8279b1b55061f5668,113630374,12.926519457,8.38
181,c54f442365a4c1e2ce808badce2eb77fcbb95870,134269796,25.279593057,5.06
