Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,92997a7bb0b93243d0d95515adcdddac10f55000,32750157,127.595539512,.24
2,7f5c3885e5a34e3e747fb3e3bfe5a0165bf2265e,29522794,34.455049959,.81
3,555bb66087baad805197d562c06ce56d6b051f86,56123159,23.775114582,2.25
4,4a40347fc1ce703e518030573779a60ad233d306,55701565,19.116827101,2.77
5,3c4bb30dd1838f8262539bf7743117e64888c342,55732262,17.659306382,3.00
6,6e15dcd875f092ee6decfcf9140bc1975f9a27f3,55725923,10.366994507,5.12
7,2965d78a5f9aa91d71a7388964bdc8989f4b0469,53438804,19.154815779,2.66
8,1b5ddb384e75b5b154dcd8cd52c7d886418ae16b,74415098,37.783551640,1.87
9,332a3a754b9c6bf21b6e0bf9d180e3ff82bb4bb7,75236851,46.178534652,1.55
10,ae98d20de36bb7569f4c0641bd500ceaee1e8f8d,75902865,43.452351429,1.66
11,3fdffc528af1d971fdb185d6881ba00ab37743a3,76323196,36.396807592,1.99
12,de2c64e70a205d310529579aaedc89802a364e45,76636797,36.737721050,1.98
13,5c3c7e755e7df055968ab76f501f14940289ced5,113403875,50.785432301,2.12
14,cb0d3b46849fdbcf2d1fa0e3fe848d2792235538,113778247,25.432541025,4.26
15,0faaed81debbe89c130d6f1b9cb98dce685e6da6,113847937,19.362546602,5.60
16,cc03ed40f4d2e0d69527936aa9963a4c19ebda6a,114700116,26.490875280,4.12
17,5909223a5eb4b451490da6815cb9b7846d75acfb,114931879,24.781164270,4.42
18,aac81259d39cae139fbe87acd4b16b65e768a24a,115034034,24.592429404,4.46
19,771d182fbce665d40e842d7c107141aa338c9bb5,128244901,65.696866387,1.86
20,362ffbea4e4bf6fa25e057738d1a53cd8dc43ad0,129670658,45.918508972,2.69
21,a2bd719adcd5f0d6672a3319ecdcc6171eb2bc8c,129762526,32.479852069,3.81
22,1b33a4c7e0c0ff27ac11b2a6c222b05d9dacedf6,130696817,52.184586508,2.38
23,adaca2ddb21c99deecc065efab855c5f19901a00,130813294,43.061358923,2.89
24,93e656387515ffb5858a83db7bf5b50de8ae476d,130846627,30.765133176,4.05
25,df1499621c784839afcbeace14ade7948afd3ffe,131484397,42.754696859,2.93
26,bbeb67c58b85e6e0965592eb728c2d43fde58378,166866162,88.750056024,1.79
27,27b5ef4be8ed19d53fa24ecff49c1cc6daff2547,164821222,53.594929693,2.93
28,7bd7db3d2988b5aa475b1f3a6443cedd39d53d5e,166922937,63.591153968,2.50
29,890f75cdadafedb70af1a12e66b1944b56d15499,167475681,46.086709669,3.46
