Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,198932586,16.009536693,11.84,52267389,1692777,53960166
2,203170075,11.289915259,17.16,79340044,1717890,81057934
3,201379784,5.401402726,35.55,88897505,1711551,90609056
4,202001104,2.774821804,69.42,91014723,1714271,92728994
5,202421962,2.994469664,64.46,93194633,1717462,94912095
6,202551971,2.315205535,83.43,93802570,1718954,95521524
7,203142928,2.560347035,75.66,94297013,1719093,96016106
8,209474517,10.663748772,18.73,120354189,1793162,122147351
9,206185412,5.574371308,35.27,128981896,1756573,130738469
10,206101163,2.728589628,72.03,130077251,1756714,131833965
11,206747690,3.010151609,65.49,132186068,1765058,133951126
12,209287831,2.851598281,69.99,133780225,1792657,135572882
13,209400444,2.599993308,76.80,134288376,1793853,136082229
14,209442438,2.111311661,94.59,134592768,1794177,136386945
15,209471141,2.918121389,68.45,134833741,1794813,136628554
16,213859628,10.376930237,19.65,159533861,1826566,161360427
17,212903056,4.536828832,44.75,166296473,1824465,168120938
18,213133328,3.480685220,58.39,167968368,1826493,169794861
19,213609387,2.891286835,70.45,169283961,1826289,171110250
20,213842345,2.330287302,87.51,169665391,1827318,171492709
21,213853535,2.819173442,72.34,169876574,1827650,171704224
22,217810317,11.217775265,18.51,198437931,1867935,200305866
23,217914677,4.654711629,44.64,205799108,1868301,207667409
24,217797201,2.778828821,74.74,207309598,1868391,209177989
25,217817349,2.436276525,85.26,208015388,1868635,209884023
26,217831404,2.203548361,94.27,208352193,1868871,210221064
27,217814780,2.324612116,89.35,208885388,1869115,210754503
28,217802064,2.376751545,87.39,209317239,1869351,211186590
29,217808150,2.116499505,98.13,209519400,1869587,211388987
30,223347298,12.049966886,17.67,240741864,1910027,242651891
31,222527864,6.275134149,33.81,251470908,1906363,253377271
32,223081536,3.755285925,56.65,254689890,1909609,256599499
33,223268371,3.087472504,68.96,256914455,1910649,258825104
34,223326076,3.826008025,55.66,257877554,1911067,259788621
35,223305456,2.516039417,84.64,258503321,1911119,260414440
36,223332821,2.478056691,85.94,258944728,1911355,260856083
37,225821373,13.269900773,16.22,289562651,1934484,291497135
38,226889655,5.830650429,37.10,298720082,1936967,300657049
39,225528153,3.910304304,55.00,301308115,1933460,303241575
40,225583764,2.626087365,81.92,302523826,1933897,304457723
41,225668136,2.836502536,75.87,303849756,1934525,305784281
42,225797657,2.600067900,82.81,304464521,1935617,306400138
43,225806624,2.373022573,90.74,304664293,1935941,306600234
44,228972842,15.175030888,14.38,344065957,1999575,346065532
45,228264119,8.340234197,26.09,357207679,1996947,359204626
46,228507231,3.763011484,57.91,359496995,1997276,361494271
47,228516631,2.712622475,80.33,360653823,1997512,362651335
48,228572753,3.880297518,56.17,362100892,1997916,364098808
49,228889531,3.165005145,68.96,362897017,1999436,364896453
50,228945488,2.392193660,91.26,363203611,2000056,365203667
51,228949377,2.489954759,87.68,363361468,2001164,365362632
52,234797399,14.549958955,15.38,400510040,2067378,402577418
53,233764661,7.873586315,28.31,485729279,2069840,487799119
54,234513721,4.445390055,50.30,147381302,2066731,149448033
55,234713523,3.110398499,71.96,149348726,2067139,151415865
56,234757879,2.547531907,87.88,150023276,2067758,152091034
57,234756520,2.503595455,89.42,150687646,2068107,152755753
58,234768686,2.714126334,82.49,151135407,2068439,153203846
59,238394457,12.364667652,18.38,181092119,2102078,183194197
60,238087975,4.772015701,47.57,188061488,2101994,190163482
61,238121863,2.908925769,78.06,189457618,2102158,191559776
62,238123525,2.678356764,84.78,190100207,2102290,192202497
63,238184306,2.446950505,92.82,190573579,2102526,192676105
64,238217593,2.512122064,90.43,191115326,2102770,193218096
65,238373942,2.583749616,87.98,191655245,2103390,193758635
66,238389291,2.488691116,91.34,191957233,2103730,194060963
67,242308032,12.259877081,18.84,223285778,2136665,225422443
68,242050764,5.269202550,43.80,231863399,2135987,233999386
69,242261210,3.100905038,74.50,233837975,2138160,235976135
70,242284180,3.156601744,73.19,235861227,2137931,237999158
71,242257921,2.790128255,82.80,236782458,2137863,238920321
72,242295390,2.635831831,87.66,237665714,2138099,239803813
73,242277276,2.758976026,83.74,238310106,2137951,240448057
74,242295522,2.326223963,99.33,238468867,2138317,240607184
75,250367302,13.088430527,18.24,272691146,2217039,274908185
76,252085693,12.545526193,19.16,304795935,2223689,307019624
77,259905377,15.165513931,16.34,346036274,2280200,348316474
78,271370297,15.524772266,16.66,387160359,2357256,389517615
79,276025097,15.295951150,17.20,426360313,2404070,428764383
80,280531207,16.222215216,16.49,469017387,2430846,471448233
81,296535397,15.290779218,18.49,507915767,2527525,510443292
82,321662752,17.524978108,17.50,553017164,2671345,555688509
83,337925320,17.979496342,17.92,599441773,2794602,602236375
84,349679961,17.256397324,19.32,643134117,2919777,646053894
85,365602009,18.856753761,18.48,691468395,3059854,694528249
86,377698976,20.106291571,17.91,739878699,3171488,743050187
87,386827268,21.835467941,16.89,796416449,3245865,799662314
88,394440830,18.411372189,20.43,842709310,3348788,846058098
89,394634624,18.149813055,20.73,888439272,3448168,891887440
90,411988513,20.916503320,18.78,943177172,3545627,946722799
91,420804183,18.396066045,21.81,988875819,3615047,992490866
92,429344061,23.499767387,17.42,1044846732,3700486,1048547218
93,430750366,18.756664908,21.90,1087500861,3704366,1091205227
94,434093433,19.175613842,21.58,1132385791,3734325,1136120116
95,440305298,21.457167503,19.56,1185449012,3800654,1189249666
96,445173684,22.759212650,18.65,1237381280,3847650,1241228930
97,451393710,24.294638057,17.71,1292344110,3895629,1296239739
98,458281160,22.009334364,19.85,1340450606,3951663,1344402269
99,467490133,23.630938431,18.86,1385421309,4017586,1389438895
100,477079813,30.498594308,14.91,1439681303,4145552,1443826855
101,483297316,29.894073211,15.41,1496192133,4209382,1500401515
102,490992011,25.998660735,18.01,1550062979,4300650,1554363629
103,498353524,24.225618839,19.61,1604021863,4361464,1608383327
104,510484985,23.024839137,21.14,1654951348,4471225,1659422573
105,519970469,22.726749187,21.81,1821319507,4598552,1825918059
106,525558822,24.505700809,20.45,568557202,4574559,573131761
107,535318825,25.234327979,20.23,624381897,4680523,629062420
108,546305394,24.785515678,21.01,680664330,4776678,685441008
109,553163070,23.848285671,22.12,732896147,4846602,737742749
110,551044979,23.934445284,21.95,787614658,4853662,792468320
111,554582767,24.222961217,21.83,838564501,4904798,843469299
112,558419992,26.586532929,20.03,896292336,4951811,901244147
113,563713852,22.827859113,23.54,945277014,5007650,950284664
114,569438859,22.684458843,23.93,998958506,5061081,1004019587
115,604044458,26.508251386,21.73,1057443093,5208458,1062651551
116,613530412,26.614657222,21.98,1109754932,5293121,1115048053
117,620747175,26.925660970,21.98,1164037023,5366699,1169403722
118,630073252,27.332387674,21.98,1219635190,5447955,1225083145
119,637837667,25.585177863,23.77,1276023094,5528267,1281551361
120,648246721,27.936154316,22.12,1333501768,5609001,1339110769
121,657746497,27.246059296,23.02,1391208749,5730277,1396939026
122,666123744,26.983362516,23.54,1450728648,5809712,1456538360
123,683123914,27.947901181,23.31,1518023959,5917327,1523941286
124,691869059,28.928275505,22.80,1588395330,6004657,1594399987
125,748649300,29.033309522,24.59,1656412705,6252846,1662665551
126,786665934,33.078091289,22.68,1721676660,6335439,1728012099
127,793254569,40.507566832,18.67,1802680023,6417037,1809097060
128,802065244,32.803801870,23.31,1877671397,6532304,1884203701
129,803277828,30.240021243,25.33,1945090383,6596758,1951687141
130,801823707,30.551306984,25.02,2011378382,6435710,2017814092
131,797771761,31.264444542,24.33,2080724664,6354794,2087079458
132,806874156,29.841215936,25.78,2148029649,6435127,2154464776
133,821809560,30.827744123,25.42,2215764237,6517169,2222281406
134,830085998,30.234566224,26.18,2281359604,6591441,2287951045
135,837971228,30.021219433,26.61,2350076241,6675644,2356751885
136,837249930,46.593883103,17.13,2464088208,6753625,2470841833
137,878975909,31.891668769,26.28,2534854527,6835300,2541689827
138,903476344,38.012301736,22.66,2604959015,6888239,2611847254
139,912591824,37.128715599,23.44,2671947834,6975483,2678923317
140,922054494,34.967085160,25.14,2739734759,7069897,2746804656
141,929824825,34.156341498,25.96,2804018571,7137587,2811156158
142,947592729,34.562520616,26.14,2879086127,7320037,2886406164
143,974441943,41.641132207,22.31,2965171404,7397370,2972568774
144,982194678,37.836295662,24.75,3044666012,7468120,3052134132
145,982581377,15.555267126,60.24,3060616422,7473513,3068089935
146,981865214,9.652770336,97.00,3063136716,7466331,3070603047
147,981912885,11.428847286,81.93,3065292888,7466802,3072759690
148,982020571,9.950379343,94.11,3067053571,7467872,3074521443
149,982086960,9.446632025,99.14,3068696405,7468950,3076165355
150,982166613,9.251376898,101.24,3069741399,7469548,3077210947
151,982170299,9.170818400,102.13,3070560022,7469778,3078029800
152,1026770722,33.831152134,28.94,3142512168,7541768,3150053936
153,1026477640,14.478971480,67.60,3155838037,7539924,3163377961
154,1026484245,11.160779516,87.71,3156741979,7539778,3164281757
155,1026529981,10.311927532,94.93,3159669678,7540164,3167209842
156,1026602073,10.673954855,91.72,3161375814,7541866,3168917680
157,1026640338,12.701146547,77.08,3163066691,7542008,3170608699
158,1026692923,10.113552068,96.81,3164186309,7542996,3171729305
159,1026751098,9.199650287,106.43,3164675952,7543434,3172219386
160,1032708904,33.189428899,29.67,3233263162,7573044,3240836206
161,1032466937,16.244598836,60.61,3247722037,7571898,3255293935
162,1032502560,9.551383853,103.09,3248963406,7572808,3256536214
163,1032564654,10.448593335,94.24,3251730706,7573270,3259303976
164,1032580540,9.922674760,99.24,3252729138,7573764,3260302902
165,1032642128,10.155437793,96.97,3254693725,7574234,3262267959
166,1032651903,9.436555787,104.36,3255480966,7574360,3263055326
167,1032700227,9.602031681,102.56,3256315825,7574710,3263890535
168,1032705908,10.403863253,94.66,3256443908,7574948,3264018856
169,1053750762,47.017340185,21.37,3334098363,7654413,3341752776
170,1053459494,14.646739178,68.59,3348664191,7653333,3356317524
171,1053498952,9.909022791,101.39,3350493934,7653753,3358147687
172,1053522445,10.337664889,97.18,3351804148,7654095,3359458243
173,1053637830,10.514875255,95.56,3353720675,7654837,3361375512
174,1053671095,11.617002091,86.49,3354763015,7655275,3362418290
175,1053700269,10.733572755,93.62,3355474098,7655513,3363129611
176,1053741867,9.708156126,103.51,3356012396,7656079,3363668475
177,1088407663,42.018000819,24.70,3433881203,7730525,3441611728
178,1088233407,16.280109003,63.74,3448109974,7730567,3455840541
179,1088230811,12.692015163,81.76,3450888148,7730985,3458619133
180,1088278840,13.361683407,77.67,3452906083,7731343,3460637426
181,1088331628,10.493473670,98.91,3454276944,7731621,3462008565
182,1088372165,10.066505132,103.10,3455340600,7731963,3463072563
183,1088389895,10.593608120,97.97,3456194857,7732113,3463926970
184,1088400055,9.813645441,105.76,3456726493,7732215,3464458708
185,1098297240,38.203876682,27.41,3524957707,7814970,3532772677
186,1098043458,17.292695701,60.55,3539443872,7813840,3547257712
187,1098079794,10.467070540,100.04,3541165868,7814542,3548980410
188,1098122313,10.364672365,101.04,3543006964,7814988,3550821952
189,1098175205,10.527663437,99.48,3544717455,7815490,3552532945
190,1098218597,11.315354444,92.55,3545775350,7815840,3553591190
191,1098254020,10.719885024,97.70,3546514618,7816174,3554330792
192,1098288395,11.640934032,89.97,3547125505,7816540,3554942045
193,1112835226,42.848009277,24.76,3621294984,7894953,3629189937
194,1112632505,15.650452017,67.79,3635388484,7894935,3643283419
195,1112672646,10.726191908,98.92,3637962895,7895453,3645858348
196,1112635248,10.861295388,97.69,3640032787,7895170,3647927957
197,1112687540,10.604816980,100.06,3641488436,7895504,3649383940
198,1112751205,10.601648648,100.09,3642960630,7896007,3650856637
199,1112783301,10.601850851,100.09,3643692090,7896245,3651588335
200,1112806937,11.570144973,91.72,3644212547,7896619,3652109166
201,1112823332,13.672042023,77.62,3644481057,7896857,3652377914
202,1120327750,41.568244347,25.70,3714892174,7979258,3722871432
203,1120014970,15.608887312,68.43,3729919369,7977736,3737897105
204,1120089263,10.949544131,97.55,3732847087,7978566,3740825653
205,1120168836,10.851570004,98.44,3735096527,7978604,3743075131
206,1120194262,10.598586886,100.79,3736961699,7978946,3744940645
207,1120204113,11.700300638,91.30,3738141578,7979536,3746121114
208,1120240999,12.022660108,88.86,3739493317,7980198,3747473515
209,1120273006,10.248531524,104.24,3740194362,7980548,3748174910
210,1120326639,10.911974644,97.91,3740660867,7981162,3748642029
211,1175285560,44.431032923,25.22,3817410769,8083151,3825493920
212,1175092743,15.304711917,73.22,3831211226,8082153,3839293379
213,1175124117,13.323707217,84.11,3833378185,8082807,3841460992
214,1175149808,11.338066120,98.84,3835448121,8083069,3843531190
215,1175165321,10.701498074,104.72,3836523624,8083211,3844606835
216,1175201855,12.234800134,91.60,3837922727,8083361,3846006088
217,1175226965,11.775170747,95.18,3838531995,8084103,3846616098
218,1175262459,10.522326446,106.51,3839025388,8084689,3847110077
219,1228543696,50.073045236,23.39,3918387859,8206436,3926594295
220,1228224561,19.755180535,59.29,3933503512,8205008,3941708520
221,1228268646,11.969319981,97.86,3935383595,8206302,3943589897
222,1228298756,11.572819772,101.21,3937397482,8206589,3945604071
223,1228361406,13.374299667,87.58,3939064699,8207083,3947271782
224,1228386320,15.210493229,77.01,3940070204,8207409,3948277613
225,1228425019,13.395105443,87.45,3941108388,8207647,3949316035
226,1228503642,11.711289543,100.03,3942721371,8208206,3950929577
227,1228538776,11.181992167,104.77,3943451800,8208444,3951660244
228,1299061306,48.819264646,25.37,4026212318,8333852,4034546170
229,1298803082,19.046838126,65.03,4042162651,8332285,4050494936
230,1298907874,12.114546925,102.25,4044627763,8332803,4052960566
231,1298952057,12.380853969,100.05,4046790868,8333561,4055124429
232,1298996491,14.070249644,88.04,4048164785,8333991,4056498776
233,1299029665,13.860643229,89.37,4049535056,8334061,4057869117
234,1299026335,12.837575460,96.50,4050027581,8334299,4058361880
235,1299037303,15.630178787,79.26,4050668079,8335310,4059003389
236,1316565303,48.496689037,25.88,4130196487,8415932,4138612419
237,1316254592,17.992132470,69.76,4146703767,8413702,4155117469
238,1316270704,12.229678327,102.64,4148874077,8413940,4157288017
239,1316344094,14.860582447,84.47,4151018882,8415166,4159434048
240,1316403366,14.007782283,89.62,4152687441,8415628,4161103069
241,1316448924,12.565600924,99.91,4154752266,8416538,4163168804
242,1316484315,11.978448888,104.81,4156072706,8416776,4164489482
243,1316521244,12.094999313,103.80,4157248168,8417270,4165665438
244,1316542522,13.062676572,96.11,4157955151,8417508,4166372659
245,1328999431,52.512513840,24.13,4235959485,8509548,4244469033
246,1328686822,17.075813040,74.20,4250069876,8507501,4258577377
247,1328705264,13.678761964,92.63,4251234323,8507880,4259742203
248,1328830176,14.393184676,88.04,4252970457,8509206,4261479663
249,1328850798,14.111945618,89.80,4254715246,8509604,4263224850
250,1328886747,13.656173226,92.80,4256235438,8510034,4264745472
251,1328913711,15.813579314,80.14,4257285749,8510272,4265796021
252,1328953889,14.700067758,86.21,4258428254,8511094,4266939348
253,1328978078,12.578485670,100.76,4259055591,8511332,4267566923
254,1333407495,49.338358061,25.77,4330466817,8531380,4338998197
255,1334598134,20.248381400,62.85,4344112423,8541518,4352653941
256,1333200173,17.193326518,73.94,4345462275,8530872,4353993147
257,1333214872,16.662676081,76.30,4348049212,8531342,4356580554
258,1333300456,16.084218820,79.05,4349889903,8532084,4358421987
