Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,d68c6ed6ce96d8c3227ddb1188ed3de9ff0510ff,199002441,93.569492129,2.02
2,68fc0e8b6a21e50eed71cbf3043204775b990a7a,203239930,80.634143881,2.40
3,f97e5835cb8d0a3db671ebafc0907507cc73c18b,201449639,79.103910374,2.42
4,c3bb130260c6dc9e41b70ab16df4880d81bc3be4,202070959,64.207572513,3.00
5,5e654862f52caeb78068d2e4cdfba6270f1d3981,202491817,73.772133018,2.61
6,6705c5612be69238f0d42df2906157e485a81d7d,202621826,60.685533281,3.18
7,bfbb046112da9163e34327a476a847ad681539fe,203212783,62.717560352,3.08
8,18781e0e4e1fffc8c7a58c8596cf2a76b456766d,209544372,89.661499306,2.22
9,b674c88196035d5fbbd6d97c8c830f3dfd6b9d3f,206255267,92.886752204,2.11
10,015ae7ec82c64a96339cfe92dc8cd5612c04786d,206171018,68.663797391,2.86
11,7df0f51587d3af56bdb1b8c8acc2161deebf0629,206817545,86.246895479,2.28
12,0deb1c197364bd917730744e22eab02d0a2dc75c,209357686,75.858917543,2.63
13,11e7ff1eb385468580a915e52557eacf05c7548a,209470299,73.736062394,2.70
14,82148a5013d0bf6a88716b423ebd68fd073d4fa7,209512293,61.832464107,3.23
15,3abb7a281c927fd9b4c6a02fc4a4d08dce8b2a8c,209540996,75.452934052,2.64
16,51017ebb125d5ca859d05dbea54601fc89a4f77a,213928602,107.119634525,1.90
17,2620d5fc51afc57204a0eaf3c0cda7e86744438a,212972911,81.775778002,2.48
18,5427e6250cd29f9bab3789663e81116c0482195f,213203183,78.010120557,2.60
19,c197587db978c1d7b3dbd4a2a8328e1785e889d0,213679242,78.347820537,2.60
20,bc7ae51fdea7b19b6024805e1d7ebdffbe11069f,213912200,67.910667830,3.00
21,a11dc451aa56f49115f7e2d88755987456e1f976,213922509,60.635854179,3.36
22,9c8c579298873f343d232d743be3dfcffc8e316b,217874947,102.422289358,2.02
23,05d9e0b20958ca96a2e48781b42ef53bb815c8c8,217977164,79.180990764,2.62
24,791ecf26dabdffae6e46cb95bd97d02f7c588e32,217861831,73.201462090,2.83
25,a28ecdb573091a33f43799613bc6e23b91fcaf36,217881979,70.227439635,2.95
26,fc6656cf52cd944619cdb31d0ba29961f9dc656b,217896034,57.320371595,3.62
27,c775421ea61636dc92e962c87416658d35cc0ab5,217879410,66.805369917,3.11
28,583500778fff20bf61cdede1df6da963a1a54f15,217866694,66.915888299,3.10
29,4e99ee53a506434500a7dbfa4213d42b15672f13,217872780,63.355738300,3.27
30,409b0d767787035a1d99d9614475461251baa948,223411149,95.313236838,2.23
31,c64cc462df924749e513950c640ea612e093c3f5,222591799,79.973671673,2.65
32,217b02e6b8421935ab25d5637f11cb8e304e7086,223145471,66.660026804,3.19
33,9a1b72b1742d41d6d21a85f66c0311b8c4ee865a,223332264,86.781220821,2.45
34,f7e4f35e4906f1838e68199c9a6f7030a92d747f,223389927,70.993571534,3.00
35,880bea52a3e4027a02ab27e0a8355a2746364253,223369307,64.253413482,3.31
36,5ef4e5a62d061f02d9904e4861330d99e670fa0f,223396672,72.408500087,2.94
37,68647cb42406c2552cf2ed7e27ab536000678cd0,225893946,104.864350053,2.05
38,6d05a2ee5b9d5cfb509e388f9222f258407b1563,226962228,92.582300696,2.33
39,43c343059812befdd2744393d5191b3b9bcfd785,225600726,72.996985345,2.94
40,1bffc8d62a97bf8bf64babf38d5f0bf179b9c9b3,225656337,74.838834949,2.87
41,faa274a3d7d464b41db81330f7e61d3e825eaae9,225740709,74.227013547,2.90
42,cad12565663c9b5533a0dc35db2ecf2c1f664cec,225870230,77.974842229,2.76
43,0395b79108277518ceb9e087ec2cac23b9b033ce,225879197,62.914741474,3.42
44,37ffb6395bfaa98d3dfff5741370984b233f3a5b,229037068,108.393798071,2.01
45,c921c79b8231231da2541dee5ccbd783b622eb37,228328425,88.553731258,2.45
46,119229b36c6719590f2413c2921498906c8d49a0,228571537,69.611228856,3.13
47,f8895166149fea8b5ab738a73418cc976d1719b6,228580937,67.617980781,3.22
48,c410644a5a19ef89cb890f4797d4fdafa6837d4c,228637000,60.175163619,3.62
49,77a6b554898b2cdeadb211a4a0f466b4e7dae830,228953778,74.154171290,2.94
50,9c0154823661b74cd08ae3b70576ca688cc96df1,229009735,80.410949253,2.71
51,008219cd8c7111c084c1ae8ae311f6b451f79a68,229013624,57.683836296,3.78
52,8b09d3e97c9abfbf05f05c199ca31073762b9867,234866274,109.984782433,2.03
53,43851ec6e501603664977eacdba6857c5a93a9a9,233833282,86.480100842,2.57
54,0d3e52f98fcdb3eef05e8c532134cb6058d61f38,234582342,84.278424756,2.65
55,150acadd548abd702696f988db6adc8c253bedc7,234782144,71.958708012,3.11
56,791026541ee294ed6d2323010a676155fea9b0c0,234826776,77.196381583,2.90
57,8794143c5f0602c69d37581212f7bdd6444afc65,234825417,61.336744884,3.65
58,7010ec45711062b62b8649ff115c03f8879989df,234837561,65.486541028,3.41
59,33adf1b92030a1fa6b71f32cbe97f41c9292d0da,238462445,104.529083704,2.17
60,be24b9392d98881f3ac343e3be53c465f2fc0b68,238155995,85.449234166,2.65
61,5f3bff2a791f40b0b5b4d7bbefb24026a4d6db8c,238189858,78.685600456,2.88
62,22e236e378e04d1651a428f8e360d0204ee63743,238191513,79.159555337,2.86
63,ba0ea28961527bf20e25da51bf7769e3bdd16724,238252294,69.965444879,3.24
64,d84b5ab4a89ca4cf1042cefbbfaac21b5eb03af1,238285581,75.351358553,3.01
65,90b08ac86689c098990595d83f97c95656445722,238441930,71.417041028,3.18
66,11071acab8f3810ffef2e3f473bdfc257843ad5a,238457279,78.945625221,2.88
67,44b83351644b16ed9beb549ec23f84e2832da0d3,242364067,131.491394265,1.75
68,4ea1f2d26de569ffbcb64708d23ea6248fd49cf7,242106865,91.203666389,2.53
69,8517357955a6214c5b77137f1c3e77ada870cabe,242317311,61.533122265,3.75
70,acad7df07e927ff88446eacddabdd2d488ad8deb,242340281,86.521593683,2.67
71,45dfb133cb8edd3a5f96a1a2a0cf10f75aec7c1a,242314022,85.073210258,2.71
72,d595abdf842b3c0f72ecac0b4d3f1d9268a930ec,242351491,93.000216760,2.48
73,c70771e1b993f7698c489cf375158c24c5b4cfa3,242333377,77.553411619,2.97
74,b1ecf4ddcba410d066f9624cc30abc47d9c84784,242351623,82.353414729,2.80
75,f4ac138d79b406c326b620e98291c51c8a5ffd20,250419192,125.803937354,1.89
76,fa712f7af61a11c215ad3143623e4fc26c952c73,252139682,111.137767329,2.16
77,23ecb2aeaa02d0ef6de81a1c0c36d09731e5d1d5,259957799,89.871591955,2.75
78,7e66b94a101cb3d2ee50518982317f87bec36f64,271402418,111.322206539,2.32
79,c9df78c481de9b72e7077878ac4495a9084e3b6c,276082664,105.229346918,2.50
80,e305e0bdc448bbf098d70831fd2c640516f82cce,280588774,127.501720871,2.09
81,325e558fa615d8a88fda465274dd78ebd55acbef,296597060,133.875447870,2.11
82,f0115448684d015b0daa916dc32a8e1cf84bb655,321724415,146.925127606,2.08
83,ed9ef52c3a63a184707979d53c4abcbb9130101e,337978791,124.087389595,2.59
84,e43efc49ee1d7927b8b9cf613adb1ba050fea2f0,349721144,130.052127924,2.56
85,cb3c4824023644c5852d8fe66dbdfcb3a3019705,365610618,150.331550129,2.31
86,8a81f04eb76f63582b994a17f0350d6f55aba8c1,377699393,140.148033180,2.57
87,2808ce71145125048393f6c64d04d0ddf300f32c,386827685,121.448617039,3.03
88,f718cf710784f91312708e37c32f9b29bc7dbead,394441211,108.649190487,3.46
89,8682ddb4b4e95edc98ea5baf9d3ac3f694d61b5e,394635005,133.133909591,2.82
90,38494804406fc17d6fcc4d84d5571646e4b823f3,411997086,129.423683079,3.03
91,b9cd72ce9551333c53e86b561c6dc3beadf645ce,420812756,125.234118180,3.20
92,4fae0d2d8de8dc8174cc432f618a7a030950dea6,429320242,133.376617981,3.06
93,c482e1ab02c846433f2db1233c8a0ae0187d6d6c,430726547,139.505028065,2.94
94,89fc2e0b131aefd7e426099592f95df5b9f8f00f,434081730,158.601512500,2.61
95,152a3b6ac30894e6e8a5eebc1e1e21e2b8cccb8e,440301787,160.767881657,2.61
96,92ba7b9033f2ad02b69ba2361f530ccc62ca8c37,445170173,132.369601289,3.20
97,7eda22656e14e2cc891194779087eae6797dd2a8,451390199,127.153846036,3.38
