Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2893228259,218.887512181,12.60,312449268,4978089,317427357
2,2903100297,29.304784774,94.47,320445065,4994243,325439308
3,2881462834,28.822092568,95.34,326431678,4961588,331393266
4,2922130606,32.432543504,85.92,333055351,5354142,338409493
5,2895546390,29.709546827,92.94,338746202,5313383,344059585
6,2927986922,30.843766324,90.53,344427330,5363018,349790348
7,2928351910,30.961955620,90.19,350641905,5364000,356005905
8,2959977391,42.503062753,66.41,356936856,6324314,363261170
9,2942618555,85.001797453,33.01,361707332,6291839,367999171
10,2942116427,35.196212138,79.71,366384207,6294189,372678396
11,2920556300,37.778013711,73.72,369776223,6256137,376032360
12,2918667000,38.057054913,73.13,373788081,6256462,380044543
13,2965411592,40.117388354,70.49,380491164,6370836,386862000
14,2942774093,39.424232033,71.18,385081183,6292103,391373286
15,2963781990,38.455850199,73.49,388725075,6321564,395046639
16,2958441649,37.051419299,76.14,391696227,6318239,398014466
17,3002117829,36.830573361,77.73,395746717,6437776,402184493
18,3022834252,35.116318310,82.09,399604911,6472685,406077596
19,3025366345,38.042011708,75.84,402868553,6477850,409346403
20,3003673086,37.026992414,77.36,406829001,6398372,413227373
21,2954336947,38.182478505,73.78,410755654,6313396,417069050
22,2913028259,37.507675058,74.06,414489282,6243423,420732705
23,2885221566,37.759185927,72.87,418174375,6195963,424370338
24,2874752789,38.287617708,71.60,422045320,6172015,428217335
25,2889635810,37.592858890,73.30,425486528,6197569,431684097
26,2897811142,38.182413976,72.37,428417623,6211628,434629251
27,2888732397,37.523983929,73.41,432072834,6197645,438270479
28,2887493021,34.479497220,79.86,435250593,6193486,441444079
29,2894631484,35.570908829,77.60,439146812,6203600,445350412
30,2898888817,34.433838018,80.28,443168028,6209201,449377229
31,2913442241,35.551048364,78.15,447218873,6235132,453454005
32,2876263451,35.797644406,76.62,450093576,6172341,456265917
33,2841581538,37.340329178,72.57,452911901,6114169,459026070
34,2889946546,69.667570741,39.56,506516322,6184761,512701083
35,2904322746,63.521364529,43.60,552561743,6208431,558770174
36,2916945453,59.503104244,46.75,588265423,6231788,594497211
37,2909444762,58.061702853,47.78,621190351,6219019,627409370
38,2932161032,56.861539360,49.17,647030193,6254968,653285161
39,2909333243,50.904760794,54.50,667846657,6215865,674062522
40,2909799725,52.342156533,53.01,688492611,6216011,694708622
41,2931458560,54.419065674,51.37,709188510,6251401,715439911
