Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2532649,.732608746,3.28,748805,107946,856751
2,3142928,.438768205,6.81,1492585,118071,1610656
3,3167216,.399543335,7.55,1937424,118745,2056169
4,3167983,.310338212,9.73,2300700,119235,2419935
5,3183711,.365818182,8.28,2638552,119733,2758285
6,2784073,.410435063,6.45,3111811,112620,3224431
7,2787160,.258963739,10.23,3308167,112854,3421021
8,3197956,.374229602,8.12,3683063,120603,3803666
9,3382358,.406252985,7.92,4243666,123469,4367135
10,3404072,.384972530,8.41,4688882,123874,4812756
11,3224021,.372091104,8.25,5056865,121574,5178439
12,3233356,.375040938,8.21,5445610,121890,5567500
13,3236663,.301150845,10.22,5572661,122214,5694875
14,3294796,.357299573,8.78,5987925,122778,6110703
15,3295068,.287970545,10.90,6122495,123014,6245509
16,3302334,.312526125,10.04,6495734,123338,6619072
17,3294749,.469915278,6.68,6790869,123574,6914443
18,3300186,.328477451,9.55,7075085,123970,7199055
19,3392266,.394231532,8.19,7439125,125998,7565123
20,3843754,.699155824,5.23,8595264,131303,8726567
21,3397020,.513593797,6.28,8976894,126550,9103444
22,3453396,.409706436,8.03,9392433,126962,9519395
23,3470840,.347232128,9.53,9819311,127374,9946685
24,3518664,.357475794,9.37,10267082,127946,10395028
25,3525648,.351164708,9.56,10762259,128350,10890609
26,3575277,.955809068,3.55,11384492,129266,11513758
27,3574473,.585456952,5.80,11760666,129502,11890168
28,3865717,.439260508,8.37,12253216,133695,12386911
29,3968673,.509556317,7.41,13068352,134931,13203283
30,1503895,.510899578,2.79,13444141,95686,13539827
31,1992552,.497087774,3.82,13945136,110059,14055195
32,2532649,.263904512,9.13,13946447,115247,14061694
33,3197956,.603983268,5.03,13947758,126502,14074260
34,3392266,.404034335,7.99,13949070,129538,14078608
35,3865717,.320718211,11.47,13950381,135347,14085728
36,1721621,.384065180,4.27,14438982,107431,14546413
37,1213331,.366448146,3.13,14638010,93769,14731779
38,1725648,.340828044,4.81,14864384,107727,14972111
39,2038112,.379195251,5.11,15110761,113555,15224316
40,2789653,.594700120,4.47,15239996,120727,15360723
41,3301781,.809956213,3.87,15375352,129398,15504750
42,3576601,.377625222,9.03,15661343,133042,15794385
43,1992652,.336791574,5.64,15946747,108659,16055406
44,1563869,.342811655,4.34,16144820,101278,16246098
45,1581556,.335912555,4.46,16310669,102386,16413055
46,6155970,.936024458,6.27,18354361,192021,18546382
47,1289577,.367219702,3.32,18640214,94202,18734416
48,1192592,.260545083,4.33,18896610,93014,18989624
49,1217769,.371593098,3.12,19060934,99817,19160751
50,1531623,.262651879,5.55,19258967,101246,19360213
51,1224559,.284806574,4.07,19388042,100209,19488251
52,1205007,.293158365,3.88,19474007,87384,19561391
53,4365323,.607593345,6.84,21138735,160921,21299656
54,4031337,.535643140,7.16,6371443,129707,6501150
55,4090535,.734753307,5.30,6931224,130706,7061930
56,4418417,.738955692,5.69,8036402,138264,8174666
57,6229166,1.207488156,4.91,9778922,178122,9957044
58,6254372,.293083241,20.33,10022988,178710,10201698
59,4455956,.562162545,7.54,10508179,139484,10647663
60,5140197,.676897229,7.23,11790677,155045,11945722
61,5145432,.494157131,9.91,12150887,155281,12306168
62,4928187,.384267756,12.20,12771549,156970,12928519
63,4932535,.470657971,9.98,13100716,157214,13257930
64,4974578,.589030673,8.04,13442042,158562,13600604
65,4977919,.310742336,15.25,13694549,158710,13853259
66,4980576,.375642091,12.61,13847325,159034,14006359
67,4981037,.313459193,15.15,13891805,159270,14051075
68,6260836,.414695551,14.39,14227961,181238,14409199
69,6390362,.893913577,6.81,16069145,183987,16253132
70,6313586,.600778395,10.02,16747055,182686,16929741
71,6318595,.288136954,20.89,16887541,182951,17070492
72,6347171,.838844093,7.21,18294395,184235,18478630
73,6341402,.526972906,11.46,19058711,183759,19242470
74,6347055,.416631657,14.52,19507148,184251,19691399
75,6359818,.383101246,15.81,19919845,184823,20104668
76,6391647,.410036305,14.85,20214000,185363,20399363
77,6391642,.387084896,15.73,20306094,185875,20491969
78,6538345,1.152273208,5.40,22495037,190595,22685632
79,6401540,.592594924,10.29,23329971,187099,23517070
80,6404317,.361238341,16.88,23664264,187215,23851479
81,6434296,.351566685,17.43,24076727,187811,24264538
82,6435221,.352464734,17.39,24425391,188047,24613438
83,6434662,.410787765,14.92,24828591,188459,25017050
84,6436136,.341903209,17.92,24932795,188695,25121490
85,6444754,.309966189,19.80,25142431,189387,25331818
86,6549675,.319495297,19.53,25351460,193259,25544719
87,6556548,.346080411,18.05,25712208,193527,25905735
88,6575834,.995187197,6.30,27799142,194587,27993729
89,6642067,1.034560278,6.11,30012694,194895,30207589
90,6661426,1.045969973,6.07,32236085,195662,32431747
91,6901603,1.070095066,6.14,34566324,198250,34764574
92,6663011,.507380372,12.51,34942690,196214,35138904
93,6670050,1.053789374,6.03,37154258,196634,37350892
94,6815532,.520302767,12.47,37851383,197606,38048989
95,6843458,1.037643517,6.28,40097804,198178,40295982
96,6848945,.391021213,16.69,40561469,198414,40759883
97,6925867,1.019215353,6.47,42829106,199666,43028772
98,6936541,.583483125,11.32,43834977,200006,44034983
99,6944582,.371671194,17.81,44120494,200322,44320816
100,4959238,.487776200,9.67,44704872,167311,44872183
