Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2182518,1.891202469,1.09,486664,119372,606036
2,2757185,.636843810,4.11,970629,134445,1105074
3,3117942,.549395453,5.40,1439432,141969,1581401
4,3134771,.437326650,6.81,1534666,142620,1677286
5,3179275,.305784715,9.90,1690883,143710,1834593
6,3428842,.657410658,4.95,2102710,146798,2249508
7,3426700,.274952615,11.85,2148616,147032,2295648
8,8486332,.835346648,9.68,4014295,172255,4186550
9,10980071,.605968315,17.27,4887557,186054,5073611
10,11100568,.771751472,13.70,5427106,188105,5615211
11,11106769,.362262092,29.23,5512033,188526,5700559
12,11586094,.712912447,15.48,6397979,200109,6598088
13,9302953,.716059286,12.38,7458935,202106,7661041
14,9617771,.585558452,15.66,8230084,204015,8434099
15,9734271,.681771959,13.61,9008221,206012,9214233
16,9755607,.724730402,12.83,9880687,206467,10087154
17,9876379,.748463646,12.57,10900695,215930,11116625
18,10073460,.718536373,13.36,11635374,225680,11861054
19,10103074,.542767518,17.74,12087620,226292,12313912
20,10154343,.797144421,12.14,13210712,227041,13437753
21,10239329,.485950631,20.08,13742994,227571,13970565
22,10298229,.581136171,16.89,14212038,227903,14439941
23,10422176,.655764637,15.14,14990142,230243,15220385
24,10970042,.658119127,15.89,15873399,233759,16107158
25,11070098,.652509393,16.16,16445302,233697,16678999
26,11178454,.538315396,19.80,16978883,234285,17213168
27,11476317,.775647607,14.10,17875187,236378,18111565
28,11653108,.806016814,13.78,18744706,234612,18979318
