Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,32717389,3.541342954,8.81,8831926,167861,8999787
2,29490026,1.741125300,16.15,12355336,160910,12516246
3,56090391,4.943894455,10.81,26226044,729193,26955237
4,55668797,1.673561497,31.71,28886914,727252,29614166
5,55699494,1.629841454,32.58,31382850,727486,32110336
6,55693155,1.069823759,49.64,32322231,727720,33049951
7,53406036,2.171914736,23.44,36045053,304100,36349153
8,74382330,5.797659830,12.23,52697371,1082314,53779685
9,75204083,2.820487587,25.42,58133441,1087953,59221394
10,75870097,2.426710714,29.81,62518861,1090398,63609259
11,76290428,2.531635949,28.73,67017871,1092450,68110321
12,76604029,1.943144005,37.59,69874576,1094078,70968654
13,113371107,8.933754546,12.10,94005352,1578394,95583746
14,113745479,3.367260793,32.21,99930290,1587287,101517577
15,113819265,1.988936285,54.57,101827629,1589651,103417280
16,114667348,3.205013120,34.11,107371602,1597215,108968817
17,114899111,3.112379278,35.20,112223558,1603199,113826757
18,115001266,2.846471594,38.52,116178342,1607508,117785850
19,128212133,10.131204495,12.06,140060345,1742328,141802673
20,129641986,4.840723836,25.53,147730589,1753451,149484040
21,129733854,3.302354423,37.46,152294633,1759432,154054065
22,130668145,4.080464880,30.53,158662672,1766068,160428740
23,130784622,3.643424053,34.23,163931549,1770680,165702229
24,130813859,2.618551692,47.64,166689787,1771629,168461416
25,131451629,3.248946653,38.58,170302922,1773273,172076195
26,166821106,14.873786272,10.69,203784141,2433451,206217592
27,164784358,5.332922133,29.46,211686209,2444501,214130710
28,166881977,4.040043376,39.39,217475419,2454123,219929542
29,167442913,4.314186203,37.01,223058050,2460779,225518829
30,168577785,5.034850617,31.92,230665492,2475151,233140643
31,168718757,4.243681375,37.91,235010732,2483623,237494355
32,168241070,3.518050891,45.60,238175197,2263852,240439049
33,198333680,13.677662399,13.82,270439162,2983118,273422280
34,200589575,6.781596076,28.20,280808652,3007507,283816159
35,199835025,6.233237111,30.57,290448168,3033553,293481721
36,199831830,4.953730527,38.46,298041862,2843063,300884925
37,200027076,4.175465384,45.68,303447606,2856213,306303819
38,237233878,18.287323066,12.37,346372191,3457697,349829888
39,238468950,6.642925171,34.23,355484101,3476249,358960350
40,240057729,7.494335538,30.54,367049049,3521890,370570939
41,266028582,15.505456543,16.36,401659356,3976422,405635778
42,267895079,7.802745669,32.74,409603160,3982795,413585955
43,268010507,9.151001228,27.93,425816321,3987327,429803648
44,268216912,6.498607949,39.36,433543627,3993099,437536726
45,265840056,4.706147211,53.86,438336513,3995582,442332095
46,352587918,25.825634745,13.02,496670826,6785460,503456286
47,350653798,9.577002973,34.91,507599283,6804337,514403620
48,350996096,6.742281677,49.64,515501568,6814573,522316141
49,353255236,6.781999293,49.67,522804366,6831601,529635967
50,353438271,6.734663826,50.04,529524406,6846101,536370507
51,353427901,6.649930586,50.68,535220112,6853873,542073985
52,353452954,5.727800748,58.84,538678127,6854265,545532392
53,371780260,23.268560331,15.23,641173737,7295624,648469361
54,372022126,7.244496447,48.97,231235456,7314269,238549725
55,372317542,8.045832440,44.12,239280346,7325450,246605796
56,372581027,6.911507241,51.40,245934270,7344761,253279031
57,372784320,6.249151016,56.88,251182158,7361493,258543651
58,372986229,7.693584447,46.23,257374554,7370290,264744844
59,373087756,6.977187366,50.99,261621892,7375510,268997402
60,373150015,6.511235677,54.65,265621407,7381114,273002521
61,388600680,20.102970648,18.43,308871020,7705041,316576061
62,389179254,10.077204048,36.83,320159860,7723848,327883708
63,390466995,7.683396247,48.46,328583098,7737756,336320854
64,390701350,7.619364541,48.90,335622510,7750176,343372686
65,390890724,7.490092553,49.76,342594603,7763438,350358041
66,424907901,24.276459961,16.69,392439665,8297405,400737070
67,426201401,11.500693597,35.34,405815059,8326977,414142036
68,427529725,10.646205127,38.29,417456462,8345576,425802038
69,427767802,8.836508898,46.16,425147710,8359275,433506985
70,427898671,9.650947252,42.28,433231795,8371623,441603418
71,460844155,21.809100877,20.15,478953845,8834293,487788138
72,461492436,11.891226099,37.01,492539692,8857184,501396876
73,462797338,12.819953008,34.42,504975414,8874156,513849570
74,463112019,13.370562689,33.03,520220593,8897893,529118486
75,463294063,8.861200849,49.86,528701910,8912995,537614905
76,484215784,27.722255153,16.65,585339178,9214927,594554105
77,484462766,9.726941546,47.49,594795759,9234613,604030372
78,480326242,10.444311145,43.85,605212935,9236438,614449373
79,481626298,10.344269116,44.40,618011606,9282006,627293612
80,481860544,8.815156992,52.12,626171369,9293858,635465227
81,482086018,8.381175891,54.85,633425153,9307070,642732223
82,504725326,26.715643406,18.01,687512627,9790637,697303264
83,505441115,10.694797172,45.07,697881176,9824520,707705696
84,505804261,9.413214194,51.24,707620883,9844374,717465257
85,506367223,10.741277471,44.95,719202861,9873043,729075904
86,506716317,10.235362691,47.21,729420956,9896130,739317086
87,535807437,30.460414006,16.77,787076881,10478046,797554927
88,536818335,14.858129656,34.45,801742456,10504485,812246941
89,538739869,16.294376022,31.53,817941400,10542082,828483482
90,539340805,12.871465944,39.96,830848585,10578820,841427405
91,541173839,12.960118067,39.82,844990388,10625602,855615990
92,565357613,30.794654212,17.50,905329007,11052152,916381159
93,566867667,14.916048535,36.24,921771394,11102296,932873690
94,567459860,14.900987573,36.31,936672357,11132367,947804724
95,567921053,11.795423644,45.91,950335497,11162605,961498102
96,568691998,11.574917027,46.85,963248345,11214644,974462989
97,464258538,29.440168472,15.03,1025394858,8404749,1033799607
98,464654996,13.960830372,31.74,1040474386,8424548,1048898934
99,465392676,14.531099007,30.54,1056797891,8464462,1065262353
100,466029299,11.767547129,37.76,1070374646,8518320,1078892966
101,467098385,11.860651817,37.55,1083182037,8564262,1091746299
102,488778396,32.251250830,14.45,1150598488,9041983,1159640471
103,489366583,16.164049002,28.87,1166263968,9071027,1175334995
104,489829597,17.371535755,26.89,1211513947,9150546,1220664493
105,491133200,13.696819759,34.19,1475853277,9178146,1485031423
106,492024920,12.194927133,38.47,527727472,9217976,536945448
107,536515602,34.040503133,15.03,602742453,9967165,612709618
108,537275487,16.412491747,31.21,619259032,9994790,629253822
109,538115169,15.647723139,32.79,636120602,10039196,646159798
110,539554485,13.912428996,36.98,652672991,10108027,662781018
111,577517216,38.255911560,14.39,726821793,11364164,738185957
112,578364388,17.958893619,30.71,743712107,11397649,755109756
113,579587259,20.604441286,26.82,767437146,11488521,778925667
114,609698420,40.021712442,14.52,848460722,12223259,860683981
115,610470917,19.898027610,29.25,870909874,12254373,883164247
116,611584704,20.073243496,29.05,895911835,12316150,908227985
117,639406155,41.596220284,14.65,979494133,13116879,992611012
