Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,34616457,2.991149884,11.03,12418206,151918,12570124
2,38557348,1.088906947,33.76,16292023,158897,16450920
3,35738095,.890588838,38.26,16831560,158212,16989772
4,35536618,.554516314,61.11,17100492,151962,17252454
5,35538209,.409095908,82.84,17148218,151996,17300214
6,38617421,.740235225,49.74,17437475,155168,17592643
7,39142519,.809925058,46.07,17725495,160987,17886482
8,39650978,.582974416,64.85,17788446,161325,17949771
9,40425999,.714051351,53.98,18047427,162232,18209659
10,41020690,.690907238,56.62,18373821,163081,18536902
11,41585619,.531991385,74.53,18401042,163421,18564463
12,42148638,.976943801,41.13,18466312,163657,18629969
13,42776701,.635897138,64.14,18641022,165293,18806315
14,43710311,.684422064,60.89,19123123,167490,19290613
15,45486398,.771789571,56.19,19821387,168764,19990151
16,43755730,.673832865,61.91,20066054,167512,20233566
17,44354293,.537712711,78.64,20115393,168404,20283797
18,46629558,.621630512,71.52,20253324,169576,20422900
19,47239039,.580188611,77.64,20438474,175406,20613880
20,47920628,.739028529,61.83,20772976,175466,20948442
21,48925664,.957265162,48.73,21391911,180833,21572744
22,49608561,.779194168,60.71,21695065,182847,21877912
23,51207207,.938874857,52.00,23340932,185776,23526708
24,51793370,.742613958,66.50,23835049,185835,24020884
25,52385283,.642490008,77.74,24144279,186447,24330726
26,53564110,1.062910749,48.05,26702349,170402,26872751
27,53989551,.868541104,59.27,26960294,189531,27149825
28,54338805,.716288564,72.34,27211773,171090,27382863
29,54985995,.643454766,81.48,27451362,174905,27626267
30,56230509,.877593082,61.09,28597372,187072,28784444
31,56278130,.656489369,81.75,28654615,187412,28842027
32,56278222,.590166273,90.94,28662309,187753,28850062
33,56278222,.664695054,80.74,28669076,187989,28857065
34,56062835,.645959817,82.76,28808431,187378,28995809
35,60945790,1.295319896,44.86,33362445,187599,33550044
36,61000908,.970789224,59.92,33533786,185611,33719397
37,59178885,1.331585934,42.37,38883259,185798,39069057
38,31068062,2.565344805,11.54,45845471,406210,46251681
39,61151151,1.234855549,47.22,47102290,205162,47307452
40,56280706,1.007219116,53.28,47916815,189222,48106037
41,56241220,.872433863,61.47,48611994,190971,48802965
42,61162356,1.153686184,50.55,49486935,205494,49692429
43,61162470,.671495319,86.85,49494389,205730,49700119
44,6658202,.661310741,9.58,50436218,158173,50594391
45,6671624,.346621226,18.34,50658357,158601,50816958
46,6984898,.457612451,14.55,51175386,161644,51337030
47,9227260,.728408731,12.06,52176694,167895,52344589
48,8979109,.460365130,18.59,52543315,164154,52707469
49,9034823,.367138630,23.45,52726213,165937,52892150
50,9176711,.373294672,23.43,52920735,168395,53089130
51,9189389,.370007036,23.67,53034381,168487,53202868
52,9209694,.377071995,23.28,53082924,156534,53239458
53,9245107,.346339725,25.43,53262409,157459,53419868
54,9245997,.377209148,23.35,53548344,156613,53704957
55,9485431,.502051893,18.00,54063838,163258,54227096
56,9162148,.369803945,23.60,54180887,156889,54337776
57,9471559,.454822686,19.85,91597601,157046,91754647
58,9169132,.633571638,13.79,39816809,157468,39974277
59,9542925,.570363208,15.95,40255489,164646,40420135
60,9548647,.366439548,24.83,40301376,164882,40466258
61,10752056,.828178275,12.37,41466991,175729,41642720
62,10790619,.718850136,14.31,42368796,177887,42546683
63,10801329,.425972568,24.17,42541622,178490,42720112
64,11096549,.569060696,18.59,43102000,181146,43283146
65,10801642,.378947542,27.18,43136384,178962,43315346
66,10982102,.490458963,21.34,43408677,180730,43589407
67,11100834,.442431246,23.91,43602109,181710,43783819
68,11360361,.498150167,21.74,44065983,185330,44251313
69,11402724,.402321688,27.01,44246553,185663,44432216
70,11703223,.581545197,19.19,44740686,193325,44934011
71,11420117,.431292198,25.24,44853192,186368,45039560
72,11903936,.607771253,18.67,45306554,195209,45501763
73,11719542,.434611165,25.70,45532783,194623,45727406
74,11908987,.479264582,23.68,45607461,195681,45803142
75,11961218,.377234560,30.21,45849176,196373,46045549
76,11972802,.394323758,28.93,45921650,196609,46118259
77,11990287,.510102353,22.40,46009749,196845,46206594
78,12056274,.368674382,31.16,46153490,197225,46350715
79,12069646,.385828323,29.83,46259683,197461,46457144
80,12940032,.789556600,15.62,47335229,208956,47544185
81,12149457,.674161286,17.17,47903444,201986,48105430
82,12940032,.420826495,29.32,47904754,209428,48114182
83,15778518,.977026414,15.39,49348816,266083,49614899
84,15778779,.433140435,34.72,49365441,266319,49631760
85,15778786,.420290610,35.78,49418218,266555,49684773
86,15871648,1.310564722,11.54,50256234,268089,50524323
87,16341090,.613967159,25.37,50809638,274390,51084028
88,16570602,1.124875179,14.04,52346632,275337,52621969
89,16560393,.517323619,30.52,52558123,275573,52833696
90,31068062,.775657626,38.18,52559434,406313,52965747
91,19257030,.603204214,30.43,52785119,303480,53088599
92,19257196,.457765812,40.10,52797988,303716,53101704
93,19254232,.560642965,32.74,52809995,303952,53113947
94,24097471,1.738325031,13.21,56118712,389616,56508328
95,24312533,.889358901,26.06,57360600,389768,57750368
96,24484590,.868667382,26.88,58533401,392513,58925914
97,24511611,.669423162,34.91,58848409,392861,59241270
98,24511689,.575846045,40.58,58866900,393097,59259997
99,38230903,3.651322563,9.98,65933704,1186114,67119818
100,34457680,2.001305291,16.41,69460470,1071955,70532425
