Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2893228259,143.210442461,19.26,470204134,4978375,475182509
2,2903100297,25.043277734,110.55,479393416,4994488,484387904
3,2881462834,24.987211204,109.97,486698561,4961833,491660394
4,2922130606,26.158323485,106.53,494495287,5354387,499849674
5,2895546390,23.472906811,117.64,500997335,5313628,506310963
6,2927986922,24.038523171,116.16,507315302,5363263,512678565
7,2928351910,24.455014202,114.19,515446316,5364245,520810561
8,2959977391,30.928425915,91.27,522794599,6324559,529119158
9,2942618555,30.065601192,93.33,528356688,6292084,534648772
10,2942116427,31.275883064,89.71,533901433,6294434,540195867
11,2920556300,31.503197433,88.41,537700818,6256382,543957200
12,2918667000,29.523978815,94.27,542405908,6256707,548662615
13,2965411592,31.658188738,89.33,551132189,6371081,557503270
14,2942774093,30.774975639,91.19,557129097,6292348,563421445
15,2963781990,30.980475299,91.23,561162333,6321809,567484142
16,2958441649,30.822866176,91.53,564466276,6318484,570784760
17,3002117829,30.499577721,93.87,569161083,6438021,575599104
18,3022834252,29.921546635,96.34,573688425,6472930,580161355
19,3025366345,30.189400611,95.57,577708392,6478095,584186487
20,3003673086,31.874916656,89.86,582459221,6398617,588857838
21,2954336947,31.565249628,89.25,586964079,6313641,593277720
22,2913028259,30.552093693,90.92,591722107,6243668,597965775
23,2885221566,28.978046003,94.95,596219465,6196208,602415673
24,2874752789,29.225812066,93.80,600639331,6172260,606811591
25,2889635810,28.994079369,95.04,604437118,6197814,610634932
26,2897811142,28.823886251,95.87,607794977,6211873,614006850
27,2888732397,30.719242349,89.67,612148163,6197890,618346053
28,2887493021,28.879554900,95.35,615785585,6193731,621979316
29,2894631484,29.351171900,94.05,620127576,6203845,626331421
30,2898888817,30.852159052,89.60,624630666,6209446,630840112
31,2913442241,30.820653566,90.14,629686940,6235377,635922317
32,2876263451,29.009296122,94.55,633013645,6172586,639186231
33,2841581538,27.978587974,96.85,636154399,6114414,642268813
