Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2532649,.566541029,4.25,767999,108042,876041
2,3142928,.396119021,7.54,1525973,118167,1644140
3,3167216,.340438266,8.87,1990816,118841,2109657
4,3167983,.304511743,9.91,2359440,119331,2478771
5,3183711,.219509077,13.80,2702071,119829,2821900
6,2784073,.341050165,7.77,3177239,112716,3289955
7,2787160,.170758504,15.51,3374113,112950,3487063
8,3197956,.251262439,12.09,3755174,120699,3875873
9,3382358,.284704155,11.30,4322729,123565,4446294
10,3404072,.301375158,10.75,4771294,123970,4895264
11,3224021,.351759137,8.72,5145020,121670,5266690
12,3233356,.287958963,10.69,5536915,121986,5658901
13,3236663,.210347748,14.64,5669086,122310,5791396
14,3294796,.285013906,11.01,6089645,122874,6212519
15,3295068,.171063352,18.35,6226661,123110,6349771
16,3302334,.243577307,12.89,6607162,123434,6730596
17,3294749,.268294409,11.70,6905783,123670,7029453
18,3300186,.206724518,15.18,7197897,124066,7321963
19,3392266,.266682085,12.11,7565245,126094,7691339
20,3843754,.525931634,6.95,8746686,131399,8878085
21,3397020,.280059406,11.53,9133380,126646,9260026
22,3453396,.241790305,13.60,9553985,127058,9681043
23,3470840,.241064471,13.73,9988566,127470,10116036
24,3518664,.306979467,10.91,10438950,128042,10566992
25,3525648,.319701848,10.50,10937210,128446,11065656
26,3575277,.342498235,9.92,11567920,129362,11697282
27,3574473,.245415196,13.85,11947683,129598,12077281
28,3865717,.297673599,12.36,12447613,133791,12581404
29,3968673,.447381679,8.44,13266223,135027,13401250
30,1503895,.253746720,5.63,13645735,95782,13741517
31,1992552,.341668335,5.56,14151179,110155,14261334
32,2532649,.170924310,14.09,14152490,115343,14267833
33,3197956,.198880539,15.28,14153801,126598,14280399
34,3392266,.157367314,20.52,14155113,129634,14284747
35,3865717,.264944070,13.88,14156424,135443,14291867
36,1721621,.271075838,6.04,14652198,107527,14759725
37,1213331,.235794866,4.87,14854169,93865,14948034
38,1725648,.191208334,8.57,15082260,107823,15190083
39,2038112,.288011997,6.73,15330285,113651,15443936
40,2789653,.249761467,10.65,15461601,120823,15582424
41,3301781,.264091187,11.88,15600384,129494,15729878
42,3576601,.291445790,11.70,15889993,133138,16023131
43,1992652,.274345750,6.92,16176327,108755,16285082
44,1563869,.199554277,7.46,16377034,101374,16478408
45,1581556,.245391184,6.11,16544435,102482,16646917
46,6155970,.707585671,8.29,18636202,192117,18828319
47,1289577,.232533417,5.24,18924631,94298,19018929
48,1192592,.160590283,7.03,19182534,93110,19275644
49,1217769,.158151886,7.33,19348223,99913,19448136
50,1531623,.225757653,6.46,19548019,101342,19649361
51,1224559,.175462319,6.61,19679592,100305,19779897
52,1205007,.146596574,7.77,19765557,99669,19865226
53,4365323,.747600211,5.56,20914357,148589,21062946
54,4031337,.352383504,10.89,21482119,141951,21624070
55,4090535,.257505744,15.14,22048675,142971,22191646
56,4418417,.579584480,7.26,23188987,150529,23339516
57,6229166,.619995657,9.58,24978727,190387,25169114
58,6254372,.219712718,27.12,25224989,190975,25415964
59,4455956,.349474406,12.13,25715339,151749,25867088
60,5140197,.528093939,9.27,27023209,167310,27190519
61,5145432,.352705188,13.89,27388031,167546,27555577
62,4928187,.305903952,15.33,28009476,169235,28178711
63,4932535,.242241310,19.40,28339558,169479,28509037
64,4974578,.233270644,20.31,28686496,170827,28857323
65,4977919,.246953365,19.19,28940195,170975,29111170
66,4980576,.232198212,20.41,29092971,171299,29264270
67,4981037,.185331406,25.62,29137451,171535,29308986
68,6260836,.360348292,16.56,29474983,193503,29668486
69,6390362,.723403942,8.41,31369085,196252,31565337
70,6313586,.467731424,12.87,32053990,194951,32248941
71,6318595,.199601796,30.16,32194476,195216,32389692
72,6347171,.654312967,9.24,33647354,196500,33843854
73,6341402,.376716210,16.03,34437900,196024,34633924
74,6347055,.267224810,22.64,34886337,196516,35082853
75,6359818,.292832270,20.69,35303542,197088,35500630
76,6391647,.235361056,25.87,35599082,197628,35796710
77,6391642,.336411361,18.10,35691176,198140,35889316
78,6538345,.812512136,7.66,37933680,202860,38136540
79,6401540,.456770198,13.35,38781613,199364,38980977
80,6404317,.279607516,21.81,39115906,199480,39315386
81,6434296,.300784189,20.38,39528749,200076,39728825
82,6435221,.241907021,25.34,39877413,200312,40077725
83,6434662,.477765446,12.83,40281484,200724,40482208
84,6436136,.231719612,26.45,40385688,200960,40586648
85,6444754,.246594111,24.89,40595783,201652,40797435
86,6549675,.338015306,18.46,40807123,205524,41012647
87,6556548,.290521881,21.51,41168554,205792,41374346
88,6575834,.796786637,7.86,43310045,206852,43516897
89,6642067,.812587464,7.78,45578193,207160,45785353
90,6661426,.804255987,7.89,47855203,207927,48063130
91,6901603,.828473532,7.94,50238721,210515,50449236
92,6663011,.391253286,16.22,50615087,208479,50823566
93,6670050,.900879349,7.05,52880607,208899,53089506
94,6815532,.333996100,19.43,53579240,209871,53789111
95,6843458,.885325292,7.36,55880013,210443,56090456
96,6848945,.338403745,19.29,56344983,210679,56555662
97,6925867,.854879382,7.72,58666281,211931,58878212
98,6936541,.462427360,14.29,59673073,212271,59885344
99,6944582,.277731670,23.83,59958609,212587,60171196
100,4959238,.485750754,9.71,60551469,179576,60731045
