Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,32717389,2.445572197,12.75,8915951,167957,9083908
2,29490026,1.342761191,20.94,12439743,161006,12600749
3,56090391,4.124296379,12.96,26470877,729947,27200824
4,55668797,1.362060526,38.97,29131847,727965,29859812
5,55699494,1.314719284,40.39,31627783,728199,32355982
6,55693155,.932135549,56.97,32567271,728433,33295704
7,53406036,1.633726869,31.17,36290856,304813,36595669
8,74382330,4.745824385,14.94,53127927,1083027,54210954
9,75204083,2.293121645,31.27,58607798,1088666,59696464
10,75870097,1.984674350,36.45,63006082,1091111,64097193
11,76290428,2.100953895,34.62,67514262,1093163,68607425
12,76604029,1.632934669,44.73,70379554,1094791,71474345
13,113371107,7.359846520,14.68,95028416,1579107,96607523
14,113745479,2.886628845,37.57,100990014,1588000,102578014
15,113819265,1.807983035,60.03,102893404,1590364,104483768
16,114667348,2.789822454,39.19,108449954,1597928,110047882
17,114899111,2.604964785,42.06,113314950,1603912,114918862
18,115001266,2.400888316,45.67,117272045,1608221,118880266
19,128212133,7.774221920,15.72,142008059,1743041,143751100
20,129641986,3.617463379,34.17,149820546,1754164,151574710
21,129733854,2.699252487,45.83,154393961,1760145,156154106
22,130668145,3.371766555,36.95,160833038,1766781,162599819
23,130784622,2.928791461,42.58,166109863,1771393,167881256
24,130813859,2.253078002,55.36,168868718,1772342,170641060
25,131451629,2.493647893,50.27,172529596,1773986,174303582
26,166821106,11.147361230,14.27,207272708,2439621,209712329
27,164784358,4.235181053,37.10,215325434,2450630,217776064
28,166881977,3.451074347,46.11,221152775,2460252,223613027
29,167442913,3.735734966,42.74,226873055,2466908,229339963
30,168577785,4.158923191,38.65,234506380,2481280,236987660
31,168718757,3.214817417,50.04,238853916,2489752,241343668
32,168241070,2.763509013,58.05,242021601,2269981,244291582
33,198333680,11.019040680,17.16,275320600,2990940,278311540
34,200589575,5.541127602,34.52,286206605,3015288,289221893
35,199835025,5.182588566,36.77,296262825,3041334,299304159
36,199831830,4.284375455,44.48,303873498,2850844,306724342
37,200027076,3.766976556,50.64,309289853,2863994,312153847
38,237233878,14.331377599,15.78,353948148,3466699,357414847
39,238468950,5.396655243,42.14,363648742,3485210,367133952
40,240057729,5.970153881,38.34,375710369,3530851,379241220
41,266028582,11.965570465,21.20,411144115,3986132,415130247
42,267895079,5.606172332,45.57,419692034,3992464,423684498
43,268010507,7.318848324,34.92,436326815,3996996,440323811
44,268216912,5.265849404,48.57,444455233,4002768,448458001
45,265840056,4.228403292,59.95,449249728,4005251,453254979
46,352587918,19.498496928,17.24,509586623,6796350,516382973
47,350653798,7.207341248,46.39,520833648,6815186,527648834
48,350996096,6.333560090,52.85,528756007,6825422,535581429
49,353255236,5.869048186,57.40,536089199,6842450,542931649
50,353438271,5.739447455,58.72,542815988,6856950,549672938
51,353427901,5.575281323,60.45,548564948,6864722,555429670
52,353452954,5.149177985,65.46,552022963,6866550,558889513
53,371780260,19.170737925,18.49,605906433,7307868,613214301
54,372022126,6.287506880,56.42,613526313,7326534,620852847
55,372317542,6.956512876,51.03,621998042,7337715,629335757
56,372581027,6.026068627,58.96,628685261,7357026,636042287
57,372784320,5.598600723,63.49,633938645,7373758,641312403
58,372986229,5.949988460,59.78,640158289,7382555,647540844
59,373087756,5.416343963,65.69,644476619,7387775,651864394
60,373150015,5.289160496,67.28,648476235,7393379,655869614
61,388600680,17.012996605,21.78,693180587,7719471,700900058
62,389179254,8.401749071,44.17,704922626,7738237,712660863
63,390466995,6.691203345,55.65,713352698,7752145,721104843
64,390701350,6.325686897,58.90,720438258,7764565,728202823
65,390890724,6.401722112,58.23,727423328,7777827,735201155
66,424907901,19.773264775,20.49,778967682,8313015,787280697
67,426201401,9.528735557,42.65,793250409,8342546,801592955
68,427529725,8.903264211,45.79,805525696,8361145,813886841
69,427767802,7.410427993,55.05,813403377,8374844,821778221
70,427898671,7.365953516,55.39,821661810,8387192,830049002
71,460844155,17.877745505,24.58,869108930,8851083,877960013
72,461492436,9.757492682,45.10,883423916,8873933,892297849
73,462797338,9.670598738,45.63,896184929,8890905,905075834
74,463112019,10.292544339,42.90,912301000,8914642,921215642
75,463294063,7.572700573,58.34,920932071,8929744,929861815
76,484215784,22.710065795,20.33,979550046,9232897,988782943
77,484462766,8.358273397,55.27,989362329,9252542,998614871
78,480326242,8.575231088,53.41,1000084814,9254367,1009339181
79,481626298,9.213703376,49.85,1013123135,9299935,1022423070
80,481860544,7.890998560,58.23,1021543998,9311787,1030855785
81,482086018,7.738457020,59.41,1028808996,9324999,1038133995
82,504725326,22.369132492,21.51,1084940878,9810023,1094750901
83,505441115,8.995552029,53.58,1095581120,9843865,1105424985
84,505804261,8.806116041,54.77,1105456647,9863719,1115320366
85,506367223,9.258906187,52.15,1117079066,9892388,1126971454
86,506716317,8.969461830,53.87,1127302350,9915475,1137217825
87,535807437,24.227486706,21.09,1187188131,10498612,1197686743
88,536818335,11.412555295,44.85,1202661465,10525010,1213186475
