Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,198932586,11.735827826,16.16,52951779,1693063,54644842
2,203170075,8.114300708,23.87,80183759,1718410,81902169
3,201379784,4.381002325,43.83,89757489,1712030,91469519
4,202001104,2.521372281,76.40,91877117,1714750,93591867
5,202421962,2.706025405,71.33,94062803,1717941,95780744
6,202551971,2.098936873,92.02,94670740,1719433,96390173
7,203142928,2.091743373,92.61,95165183,1719572,96884755
8,209474517,7.944423306,25.14,121340282,1793641,123133923
9,206185412,4.367734279,45.01,130008925,1757052,131765977
10,206101163,2.198504827,89.40,131104813,1757193,132862006
11,206747690,2.672905696,73.76,133213630,1765537,134979167
12,209287831,2.636084354,75.71,134807787,1793136,136600923
13,209400444,2.099670048,95.10,135315938,1794332,137110270
14,209442438,2.008617318,99.43,135620330,1794656,137414986
15,209471141,2.141790420,93.26,135861303,1795292,137656595
16,213859628,7.603075317,26.82,160760988,1827045,162588033
17,212903056,3.736905379,54.33,167542826,1824944,169367770
18,213133328,2.543648467,79.90,169214721,1826972,171041693
19,213609387,2.421368979,84.13,170530314,1826768,172357082
20,213842345,2.213156659,92.14,170911744,1827797,172739541
21,213853535,2.119271440,96.23,171122927,1828129,172951056
22,217810317,8.609173959,24.12,199919128,1868414,201787542
23,217914677,3.899610381,53.28,207334360,1868780,209203140
24,217797201,2.542438584,81.69,208890416,1868870,210759286
25,217817349,2.251967150,92.23,209596206,1869114,211465320
26,217831404,2.100939512,98.87,209933011,1869350,211802361
27,217814780,2.170263709,95.71,210466206,1869594,212335800
28,217802064,2.211197189,93.93,210898057,1869830,212767887
29,217808150,2.068166198,100.43,211100218,1870066,212970284
30,223347298,9.320127364,22.85,242597692,1910506,244508198
31,222527864,4.850827642,43.74,253393964,1906842,255300806
32,223081536,3.110857657,68.38,256622506,1910088,258532594
33,223268371,2.767525089,76.93,258849328,1911128,260760456
34,223326076,2.346539959,90.76,259812427,1911546,261723973
35,223305456,2.261448915,94.16,260438194,1911598,262349792
36,223332821,2.307884942,92.28,260879601,1911834,262791435
37,225821373,9.221432254,23.35,291704776,1943250,293648026
38,226889655,4.423491047,48.91,300918695,1945692,302864387
39,225528153,2.863416656,75.11,303514240,1942185,305456425
40,225583764,2.463585473,87.32,304729951,1942622,306672573
41,225668136,2.568282652,83.79,306055881,1943250,307999131
42,225797657,2.363491372,91.10,306670646,1944342,308614988
43,225806624,2.213421788,97.28,306870418,1944666,308815084
44,228972842,11.343563248,19.24,346542888,2009993,348552881
45,228264119,5.298886636,41.08,359743273,2007324,361750597
46,228507231,2.937616573,74.18,362034742,2007653,364042395
47,228516631,2.492068134,87.44,363191570,2007889,365199459
48,228572753,2.552709938,85.39,364638639,2008293,366646932
49,228889531,2.493084985,87.55,365434764,2009813,367444577
50,228945488,2.308123641,94.59,365743906,2010433,367754339
51,228949377,2.207671864,98.90,365901763,2011541,367913304
52,234797399,10.995851510,20.36,403310326,2079664,405389990
