Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,d68c6ed6ce96d8c3227ddb1188ed3de9ff0510ff,199002441,4.605719249,41.20
2,68fc0e8b6a21e50eed71cbf3043204775b990a7a,203239930,3.171389582,61.11
3,f97e5835cb8d0a3db671ebafc0907507cc73c18b,201449639,2.933818305,65.48
4,c3bb130260c6dc9e41b70ab16df4880d81bc3be4,202070959,2.304787348,83.60
5,5e654862f52caeb78068d2e4cdfba6270f1d3981,202491817,2.340294373,82.51
6,6705c5612be69238f0d42df2906157e485a81d7d,202621826,2.277534640,84.84
7,bfbb046112da9163e34327a476a847ad681539fe,203212783,2.173024534,89.17
8,18781e0e4e1fffc8c7a58c8596cf2a76b456766d,209544372,2.446007171,81.69
9,b674c88196035d5fbbd6d97c8c830f3dfd6b9d3f,206255267,2.752082188,71.47
10,015ae7ec82c64a96339cfe92dc8cd5612c04786d,206171018,2.273008720,86.50
11,7df0f51587d3af56bdb1b8c8acc2161deebf0629,206817545,4.022555087,49.03
12,0deb1c197364bd917730744e22eab02d0a2dc75c,209357686,2.691892309,74.16
13,11e7ff1eb385468580a915e52557eacf05c7548a,209470299,1.874576559,106.56
14,82148a5013d0bf6a88716b423ebd68fd073d4fa7,209512293,2.390557666,83.57
15,3abb7a281c927fd9b4c6a02fc4a4d08dce8b2a8c,209540996,2.974176722,67.18
16,51017ebb125d5ca859d05dbea54601fc89a4f77a,213928602,2.626205279,77.68
17,2620d5fc51afc57204a0eaf3c0cda7e86744438a,212972911,4.832621073,42.02
18,5427e6250cd29f9bab3789663e81116c0482195f,213203183,2.790879364,72.85
19,c197587db978c1d7b3dbd4a2a8328e1785e889d0,213679242,3.106220039,65.60
20,bc7ae51fdea7b19b6024805e1d7ebdffbe11069f,213912200,2.605056039,78.30
21,a11dc451aa56f49115f7e2d88755987456e1f976,213922509,3.089326133,66.03
22,9c8c579298873f343d232d743be3dfcffc8e316b,217874947,3.916579351,53.05
23,05d9e0b20958ca96a2e48781b42ef53bb815c8c8,217977164,3.707344176,56.06
24,791ecf26dabdffae6e46cb95bd97d02f7c588e32,217861831,4.889833119,42.48
25,a28ecdb573091a33f43799613bc6e23b91fcaf36,217881979,3.399605556,61.11
26,fc6656cf52cd944619cdb31d0ba29961f9dc656b,217896034,3.530904950,58.85
27,c775421ea61636dc92e962c87416658d35cc0ab5,217879410,2.899307222,71.66
28,583500778fff20bf61cdede1df6da963a1a54f15,217866694,3.647723222,56.95
29,4e99ee53a506434500a7dbfa4213d42b15672f13,217872780,4.878683250,42.58
30,409b0d767787035a1d99d9614475461251baa948,223411149,4.132991589,51.55
31,c64cc462df924749e513950c640ea612e093c3f5,222591799,4.875869639,43.53
32,217b02e6b8421935ab25d5637f11cb8e304e7086,223145471,3.731803157,57.02
33,9a1b72b1742d41d6d21a85f66c0311b8c4ee865a,223332264,2.966748443,71.78
34,f7e4f35e4906f1838e68199c9a6f7030a92d747f,223389927,3.547814593,60.04
35,880bea52a3e4027a02ab27e0a8355a2746364253,223369307,3.150995257,67.60
36,5ef4e5a62d061f02d9904e4861330d99e670fa0f,223396672,3.164044333,67.33
37,68647cb42406c2552cf2ed7e27ab536000678cd0,225893946,4.400007264,48.95
38,6d05a2ee5b9d5cfb509e388f9222f258407b1563,226962228,5.074983431,42.64
39,43c343059812befdd2744393d5191b3b9bcfd785,225600726,3.372988284,63.78
40,1bffc8d62a97bf8bf64babf38d5f0bf179b9c9b3,225656337,4.280165993,50.27
41,faa274a3d7d464b41db81330f7e61d3e825eaae9,225740709,3.058560262,70.38
42,cad12565663c9b5533a0dc35db2ecf2c1f664cec,225870230,3.318177143,64.91
43,0395b79108277518ceb9e087ec2cac23b9b033ce,225879197,2.892718413,74.46
44,37ffb6395bfaa98d3dfff5741370984b233f3a5b,229037068,4.409125404,49.53
45,c921c79b8231231da2541dee5ccbd783b622eb37,228328425,4.608598922,47.24
46,119229b36c6719590f2413c2921498906c8d49a0,228571537,3.473193741,62.76
47,f8895166149fea8b5ab738a73418cc976d1719b6,228580937,3.124809308,69.76
48,c410644a5a19ef89cb890f4797d4fdafa6837d4c,228637000,3.150294946,69.21
49,77a6b554898b2cdeadb211a4a0f466b4e7dae830,228953778,3.276688668,66.63
50,9c0154823661b74cd08ae3b70576ca688cc96df1,229009735,3.463974710,63.04
51,008219cd8c7111c084c1ae8ae311f6b451f79a68,229013624,3.522232190,62.00
52,8b09d3e97c9abfbf05f05c199ca31073762b9867,234866274,5.446719229,41.12
53,43851ec6e501603664977eacdba6857c5a93a9a9,233833282,5.079488696,43.90
54,0d3e52f98fcdb3eef05e8c532134cb6058d61f38,234582342,3.634898710,61.54
55,150acadd548abd702696f988db6adc8c253bedc7,234782144,3.173667172,70.54
56,791026541ee294ed6d2323010a676155fea9b0c0,234826776,4.514141386,49.60
57,8794143c5f0602c69d37581212f7bdd6444afc65,234825417,3.647955949,61.38
58,7010ec45711062b62b8649ff115c03f8879989df,234837561,3.697064580,60.57
59,33adf1b92030a1fa6b71f32cbe97f41c9292d0da,238462445,4.741553666,47.96
60,be24b9392d98881f3ac343e3be53c465f2fc0b68,238155995,4.545616965,49.96
61,5f3bff2a791f40b0b5b4d7bbefb24026a4d6db8c,238189858,3.680955310,61.70
62,22e236e378e04d1651a428f8e360d0204ee63743,238191513,3.106867534,73.11
63,ba0ea28961527bf20e25da51bf7769e3bdd16724,238252294,2.773882342,81.91
64,d84b5ab4a89ca4cf1042cefbbfaac21b5eb03af1,238285581,4.249701353,53.47
65,90b08ac86689c098990595d83f97c95656445722,238441930,3.288870122,69.13
66,11071acab8f3810ffef2e3f473bdfc257843ad5a,238457279,3.756282223,60.54
67,44b83351644b16ed9beb549ec23f84e2832da0d3,242364067,5.241292732,44.09
68,4ea1f2d26de569ffbcb64708d23ea6248fd49cf7,242106865,5.039410539,45.81
69,8517357955a6214c5b77137f1c3e77ada870cabe,242317311,3.878710178,59.57
70,acad7df07e927ff88446eacddabdd2d488ad8deb,242340281,3.025374776,76.39
71,45dfb133cb8edd3a5f96a1a2a0cf10f75aec7c1a,242314022,3.386802661,68.22
72,d595abdf842b3c0f72ecac0b4d3f1d9268a930ec,242351491,3.406275062,67.85
73,c70771e1b993f7698c489cf375158c24c5b4cfa3,242333377,3.670095176,62.96
74,b1ecf4ddcba410d066f9624cc30abc47d9c84784,242351623,3.973929409,58.15
75,f4ac138d79b406c326b620e98291c51c8a5ffd20,250419192,4.867814813,49.05
76,fa712f7af61a11c215ad3143623e4fc26c952c73,252139682,4.196305713,57.30
77,23ecb2aeaa02d0ef6de81a1c0c36d09731e5d1d5,259957799,4.977186016,49.80
78,7e66b94a101cb3d2ee50518982317f87bec36f64,271402418,5.046215348,51.28
79,c9df78c481de9b72e7077878ac4495a9084e3b6c,276082664,4.851429093,54.27
80,e305e0bdc448bbf098d70831fd2c640516f82cce,280588774,4.703333730,56.89
81,325e558fa615d8a88fda465274dd78ebd55acbef,296597060,5.046487587,56.04
82,f0115448684d015b0daa916dc32a8e1cf84bb655,321724415,5.188299556,59.13
83,ed9ef52c3a63a184707979d53c4abcbb9130101e,337978791,4.782723444,67.39
84,e43efc49ee1d7927b8b9cf613adb1ba050fea2f0,349721144,4.517523350,73.82
85,cb3c4824023644c5852d8fe66dbdfcb3a3019705,365610618,4.946337983,70.49
86,8a81f04eb76f63582b994a17f0350d6f55aba8c1,377699393,4.621354671,77.94
87,2808ce71145125048393f6c64d04d0ddf300f32c,386827685,5.255339652,70.19
88,f718cf710784f91312708e37c32f9b29bc7dbead,394441211,4.913565067,76.55
89,8682ddb4b4e95edc98ea5baf9d3ac3f694d61b5e,394635005,5.304397358,70.95
90,38494804406fc17d6fcc4d84d5571646e4b823f3,411997086,5.437543910,72.25
