Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,20237220,1.614852465,11.94,3878506,503307,4381813
2,20304307,.551673220,35.09,4330779,504278,4835057
3,20341860,.465118376,41.68,4526429,505327,5031756
4,20362280,.466598310,41.59,4652450,505865,5158315
5,20698589,.594970771,33.16,5081047,512182,5593229
6,20790499,.540356148,36.67,5406155,513296,5919451
7,20873578,.591849185,33.62,5731694,515484,6247178
8,21078740,.570169712,35.25,6269452,518827,6788279
9,21227178,.551448281,36.70,6637585,521377,7158962
10,21386004,1.848081787,11.03,10578565,525119,11103684
11,21498654,.546599957,37.50,10844373,528386,11372759
12,21507592,.521571963,39.32,10996159,528622,11524781
13,21577779,.520612570,39.51,11212300,530108,11742408
14,21563266,.490821571,41.88,11270369,529455,11799824
15,21657072,.605350379,34.11,11689427,531165,12220592
16,21788377,.659951340,31.47,12199074,532897,12731971
17,21832791,.579498987,35.92,12583494,533733,13117227
18,21833427,.504923912,41.23,12644817,533969,13178786
19,21837899,.468972620,44.39,12734203,534205,13268408
20,22086624,.701086460,30.03,13496408,536601,14033009
21,22113265,.583620668,36.11,13640747,536837,14177584
22,22473211,1.026806692,20.87,15171325,542030,15713355
23,22528807,.646294935,33.23,15743732,542954,16286686
24,22571592,.699163748,30.77,16418048,544583,16962631
25,22592770,.547406405,39.34,16749433,544786,17294219
26,22646715,.519480374,41.56,16921327,545695,17467022
27,22707852,.584817644,37.02,17250794,546864,17797658
28,22710068,.514971757,42.04,17309724,547204,17856928
29,22750440,.548275173,39.56,17581777,547712,18129489
30,22837903,.596490771,36.49,17871121,549169,18420290
31,22851488,.609076247,35.77,18170594,550125,18720719
32,22912560,.591248926,36.95,18498126,551233,19049359
33,22918926,.522124574,41.84,18663812,551469,19215281
34,22938599,.572107956,38.22,18981511,551826,19533337
35,22974213,.575836223,38.03,19213751,552494,19766245
36,23103620,.642034880,34.31,19611407,554933,20166340
37,23114914,.555494011,39.67,19770873,555454,20326327
38,23117673,.504436761,43.69,19886975,555690,20442665
39,23511769,.605138488,37.04,20132950,564398,20697348
40,23511769,.504992175,44.39,20191915,564634,20756549
41,23709439,.600137110,37.67,20494113,566906,21061019
42,23862319,.566665840,40.14,20742225,569116,21311341
43,23895213,.585537356,38.90,20992092,569697,21561789
44,24010805,.689930081,33.17,21517822,571956,22089778
45,24011659,.571128214,40.07,21597193,572192,22169385
46,24033959,.554127095,41.36,21802631,572428,22375059
47,24064386,.574931177,39.90,22060403,572928,22633331
48,24101564,.565003813,40.67,22272144,574108,22846252
49,24132508,.572653832,40.18,22535159,574320,23109479
50,24154992,.632287742,36.42,22824681,574676,23399357
51,24193274,.554107806,41.63,23113751,575624,23689375
52,24192636,.577775035,39.92,23394956,575740,23970696
53,24222621,.568854864,40.60,23648438,576248,24224686
54,24254001,.586956366,39.40,23986612,576764,24563376
55,24267712,.544530630,42.49,24085062,577257,24662319
56,24284353,.595609288,38.86,24243694,578277,24821971
57,24323473,.609033698,38.07,24504656,579060,25083716
58,24423603,.600948599,38.75,24835007,579904,25414911
59,24423710,.532060828,43.77,24897429,580140,25477569
60,24423710,.564693243,41.24,24958666,580376,25539042
61,24449714,.606755274,38.41,25198654,581244,25779898
62,24453225,.577753351,40.36,25293712,581480,25875192
63,24518300,.641852944,36.42,25652568,583028,26235596
64,24587351,.705974112,33.20,26111081,584449,26695530
65,24672162,.633161904,37.14,26412238,586312,26998550
66,24791802,.737548231,32.05,27000261,588326,27588587
67,24828042,.635707532,37.23,27244420,589010,27833430
68,24857708,.622287844,38.08,27570174,589510,28159684
69,24883530,.598167972,39.67,27802476,589746,28392222
70,24975182,.699098486,34.05,28253574,591270,28844844
71,25003159,.657541003,36.25,28585754,592074,29177828
72,25072694,.546468611,43.75,28778610,593379,29371989
73,25082407,.646190099,37.01,29048502,593887,29642389
74,25102033,.609646565,39.25,29299317,594443,29893760
75,25117816,.538130764,44.50,29481354,594815,30076169
76,25138002,.597950423,40.08,29780460,595211,30375671
77,25140423,.510125680,46.98,29840967,595447,30436414
78,25242311,.754058369,31.92,30526259,596885,31123144
79,25230586,.648533017,37.09,30860961,596398,31457359
80,25835553,.954936400,25.79,31807805,608165,32415970
81,25888634,.595946486,41.41,32071825,608537,32680362
82,26197707,.679968255,36.73,32465755,613019,33078774
83,26461339,.575791663,43.81,32630780,623340,33254120
84,26605974,.746238870,33.99,33032671,625472,33658143
85,26620303,.635135714,39.95,33246904,626004,33872908
86,26620246,.548732246,46.25,33328347,626240,33954587
87,27245871,.875430473,29.67,34258972,638406,34897378
88,26831239,.737983160,34.66,34570542,629653,35200195
89,27013935,.672908067,38.28,34891000,637014,35528014
90,27108796,.734060149,35.21,35235508,637292,35872800
91,27189877,.648939310,39.95,35449989,638616,36088605
92,28144208,.844683045,31.77,36043925,668051,36711976
93,29381523,1.065872240,26.28,37399703,687983,38087686
94,29542549,.917256136,30.71,38279691,692520,38972211
95,19134677,1.460206396,12.49,41731125,455753,42186878
96,17653746,1.138797835,14.77,43918332,437112,44355444
97,17104702,1.033570609,15.78,45848406,430430,46278836
98,17361383,.645577884,25.63,46610694,425963,47036657
99,17277567,1.055656891,15.60,48616204,428289,49044493
