Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2182518,.476036540,4.36,486664,119372,606036
2,2757185,.371854034,7.04,970629,134445,1105074
3,3117942,.460055719,6.45,1439432,141969,1581401
4,3134771,.226829745,13.13,1534666,142620,1677286
5,3179275,.220737218,13.72,1690883,143710,1834593
6,3428842,.576473138,5.65,2102710,146798,2249508
7,3426700,.207137389,15.73,2148616,147032,2295648
8,8486332,.767895769,10.53,4014295,172255,4186550
9,10980071,.549519556,19.05,4887557,186054,5073611
10,11100568,.470325141,22.49,5427106,188105,5615211
11,11106769,.371672942,28.49,5512033,188526,5700559
12,11586094,.571169710,19.32,6397979,200109,6598088
13,9302953,.606266603,14.63,7458935,202106,7661041
14,9617771,.559039304,16.40,8230084,204015,8434099
15,9734271,.524221967,17.70,9008221,206012,9214233
16,9755607,.600148948,15.49,9880687,206467,10087154
17,9876379,.643390881,14.62,10900695,215930,11116625
18,10073460,.565916376,16.96,11635374,225680,11861054
19,10103074,.431940817,22.29,12087620,226292,12313912
20,10154343,.695205993,13.92,13210712,227041,13437753
21,10239329,.518743911,18.81,13742994,227571,13970565
22,10298229,.536980304,18.28,14212038,227903,14439941
23,10422176,.597037190,16.63,14990142,230243,15220385
24,10970042,.565564901,18.49,15873399,233759,16107158
25,11070098,.506599649,20.82,16445302,233697,16678999
26,11178454,.466196343,22.86,16978883,234285,17213168
27,11476317,.654915909,16.70,17875187,236378,18111565
28,11653108,.623985595,17.80,18744706,234612,18979318
