Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,34a4ed0235fe4c6fa069802290c983262e950c79,20237220,.608832487,31.68
2,fec328131e41bf2f0f6083e927a39225b1690200,20304307,.607993847,31.84
3,7f7cd703124205b32a3422d2ac85bb1996068dfe,20341860,.277024269,69.99
4,6f99977d4110c9baa7a4ad8c2f134348695f19b7,20362280,.340715731,56.96
5,18ccdc72404125990edf7b713aeb45c95e62489c,20698589,.268230209,73.55
6,a34bc08b1165a35541d21ba0257e79b9aa701483,20790499,.184697881,107.31
7,3e481da84da547f5f0bdae1ccf746a3a30847105,20873578,.271108509,73.40
8,fab1af1c11a3863961c0268025f021365e7e9bff,21078740,.214025939,93.91
9,a3370db53bcd564ad7a0ae41d6e8da9fc78d890b,21227178,.233047015,86.84
10,ae6dc624c362ebe20da3a30bd43941351727f0ff,21386004,.421378274,48.38
11,657362c2d84c44c53d346aee58abc2adef4cc3e8,21498654,.386808799,52.99
12,64fc434feb632cb8e42250087b2aecb2b0099fd6,21507592,.419333807,48.91
13,93983612aa3ad23aa8bddf2c315ad65829d2f0e3,21577779,.199957975,102.87
14,54e39f8332a1057517d3fe85f857e28c7b4f23ed,21563266,.152169755,135.11
15,703e08da473329b34b5dfb75cc21a0cba5ca9751,21657072,.137209886,150.49
16,92c8eedc16432ecc91dfcad6627358035074580c,21788377,.166879653,124.46
17,8557f5588cfe3e08827423e43a75f1c51acc79c0,21832791,.174223045,119.50
18,3b06e9a0c097b3c53fff6ce3e61a1d1ecced1eb4,21833427,.262745741,79.24
19,d91455d30d2afddba78c163226fadb2b915943b6,21837899,.268978428,77.40
20,63e6e69406d4053d1ddb0b0b5d499b72f0f4c8bd,22086624,.130739855,161.08
21,6554f525d09cbac72b54dd55c6223570ed79eeca,22113265,.115771523,182.08
22,b488f6c16a08683b24dd4cdbf5c1ce6308a9acff,22473211,.176105876,121.68
23,6584f62cac340d542d1feb67d038b0674a681e3b,22528807,.227341021,94.48
24,efbbb551082270c09cdade8b8a543495d4b5cdf1,22571592,.191143930,112.58
25,71c5e6747b69ae132fb94f7bec4b8077ec4dbf21,22592770,.168013170,128.20
26,87e09fd08629901a864e274ac451d3aefae09d6b,22646715,.229765397,93.96
27,dc1f67d932b3a62fc4412c66b850765f76e36ad8,22707852,.205662240,105.26
28,7a6fc4104adb2b8290fd875e263996df18dc044c,22710068,.185759931,116.54
29,a58b94e52762c47103950eefd3dd293f231f26c3,22750440,.153227238,141.55
30,b294a851428ae87396adc2348610f55b15c81715,22837903,.159981165,136.07
31,d897d1a1d5c1aba1344906a748d3f7e6d80b28e3,22851488,.156137845,139.55
32,1dbe821e1c0be20f5e554f22be465f8e069fdf91,22912560,.198557225,110.04
33,44ef16cbb46bb6b1d2869a2bad32a82671cca8a6,22918926,.139889805,156.19
34,76f9dbac638b907d937a5e0a7e9453a9c97de71d,22938599,.183517147,119.17
35,d64200ba5130bc41f0dfc1f9abee56e9c12baf7e,22974213,.166727564,131.35
36,73ca18e59be4c983154a0c72a9beed3e27c6ce57,23103620,.205265159,107.32
37,422e9a5b9f736d66443c1f5cc25257e47b518434,23114914,.176736784,124.70
38,04cfa24ee76330fd81e58652d4e9fc01237ac702,23117673,.183370400,120.19
39,f0dcb46f801b592e72f0ef37aab63f03caa0f984,23511769,.180741636,124.04
40,a048f083e03ca8d48781d7274bba5586d1667038,23511769,.179799410,124.69
41,8a3a220958f70f849fb64041f6b639bfc82c82d7,23709439,.197328949,114.58
42,8e04cd7f70b30c0cbe9dc4edb95efa89a56e92f4,23862319,.217300823,104.69
43,fd716153c3a896e310cc027f66640769d16619f4,23895213,.164675693,138.33
44,798f267f6ba6cd54415176fb5a536c315a3c83c6,24010805,.188707490,121.29
45,c84c5b4e638c8539b86d0cc0ac11f89a590843fd,24011659,.169940045,134.69
46,7c2b0ca17072f8db61ea76fa35a9c994f9a76276,24033959,.127074956,180.36
47,81e3a1b85ba99733ba1478e8b769998aa70e0b5c,24064386,.167564236,136.90
48,8d624080ce7165c7674ff8f618d2943e5aca4d11,24101564,.134831022,170.43
