Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,34616457,1.941639746,17.00,12418206,151918,12570124
2,38557348,.987756402,37.22,16292023,158897,16450920
3,35738095,.603417723,56.47,16831560,158212,16989772
4,35536618,.459307472,73.78,17100492,151962,17252454
5,35538209,.381755268,88.77,17148218,151996,17300214
6,38617421,.534718939,68.85,17437475,155168,17592643
7,39142519,.571068039,65.35,17725495,160987,17886482
8,39650978,.439582264,86.01,17788446,161325,17949771
9,40425999,.513462976,75.07,18047427,162232,18209659
10,41020690,.508131256,76.98,18373821,163081,18536902
11,41585619,.433488490,91.46,18401042,163421,18564463
12,42148638,.417353247,96.29,18466312,163657,18629969
13,42776701,.502553667,81.16,18641022,165293,18806315
14,43710311,.510784676,81.59,19123123,167490,19290613
15,45486398,.794957681,54.55,19821387,168764,19990151
16,43755730,.536622092,77.74,20066054,167512,20233566
17,44354293,.505581688,83.64,20115393,168404,20283797
18,46629558,.519139083,85.64,20253324,169576,20422900
19,47239039,.534978477,84.20,20438474,175406,20613880
20,47920628,.591860475,77.21,20772976,175466,20948442
21,48925664,.715447143,65.20,21391911,180833,21572744
22,49608561,.599850576,78.86,21695065,182847,21877912
23,51207207,.850480864,57.41,23340932,185776,23526708
24,51793370,.658214967,75.03,23835049,185835,24020884
25,52385283,.601157486,83.08,24144279,186447,24330726
26,53564110,.957888939,53.32,26702349,170402,26872751
27,53989551,.589145667,87.38,26960294,189531,27149825
28,54338805,.566533152,91.46,27211773,171090,27382863
29,54985995,.584033508,89.77,27451362,174905,27626267
30,56230509,.828475854,64.72,28597372,187072,28784444
31,56278130,.559155661,95.98,28654615,187412,28842027
32,56278222,.537742061,99.80,28662309,187753,28850062
33,56278222,.509011465,105.43,28669076,187989,28857065
34,56062835,.534040521,100.10,28808431,187378,28995809
35,60945790,1.285785336,45.20,33362445,187599,33550044
36,61000908,.606584595,95.89,33533786,185611,33719397
37,59178885,1.283721440,43.95,38883259,185798,39069057
38,31068062,2.272848839,13.03,45845471,406210,46251681
39,61151151,1.157794812,50.36,47102290,205162,47307452
40,56280706,.901511629,59.53,47916815,189222,48106037
41,56241220,.800930836,66.95,48611994,190971,48802965
42,61162356,.960814887,60.69,49486935,205494,49692429
43,61162470,.540439381,107.91,49494389,205730,49700119
44,6658202,.612679954,10.34,50436218,158173,50594391
45,6671624,.256420600,24.80,50658357,158601,50816958
46,6984898,.460231068,14.47,51175386,161644,51337030
47,9227260,.640989536,13.71,52176694,167895,52344589
48,8979109,.417695424,20.49,52543315,164154,52707469
49,9034823,.293897759,29.29,52726213,165937,52892150
50,9176711,.301372225,29.03,52920735,168395,53089130
51,9189389,.248188555,35.29,53034381,168487,53202868
52,9209694,.360658002,24.34,53082924,156534,53239458
53,9245107,.266176362,33.09,53262409,157459,53419868
54,9245997,.285776480,30.82,53548344,156613,53704957
55,9485431,.388394385,23.27,54063838,163258,54227096
56,9162148,.298679441,29.22,54180887,156889,54337776
57,9471559,.276224400,32.69,54438689,157046,54595735
58,9169132,.232307740,37.62,54557319,157489,54714808
59,9542925,.756721099,12.02,85355298,-15128209,70227089
60,9548647,.204664618,44.46,40301432,164882,40466314
61,10752056,.651012836,15.74,41467047,175729,41642776
62,10790619,.580306329,17.73,42368852,177887,42546739
63,10801329,.286081900,36.00,42541678,178490,42720168
64,11096549,.505370820,20.93,43102056,181146,43283202
65,10801642,.331410160,31.07,43136440,178962,43315402
66,10982102,.344356495,30.40,43408733,180730,43589463
67,11100834,.294143257,35.96,43602165,181710,43783875
68,11360361,.437587452,24.74,44066039,185330,44251369
69,11402724,.298121229,36.46,44246609,185663,44432272
70,11703223,.432149640,25.82,44740742,193325,44934067
71,11420117,.306259113,35.55,44853248,186368,45039616
72,11903936,.483028043,23.49,45306610,195209,45501819
73,11719542,.361107035,30.93,45532839,194623,45727462
74,11908987,.320390383,35.42,45607517,195681,45803198
75,11961218,.327760357,34.78,45849232,196373,46045605
76,11972802,.326780443,34.91,45921706,196609,46118315
77,11990287,.304175404,37.57,46009805,196845,46206650
78,12056274,.289926282,39.63,46153546,197225,46350771
79,12069646,.309082312,37.23,46259739,197461,46457200
80,12940032,.745577408,16.55,47335285,208956,47544241
81,12149457,.521456137,22.20,47903500,201986,48105486
82,12940032,.319229545,38.65,47904810,209428,48114238
83,15778518,.845028064,17.79,49348872,266083,49614955
84,15778779,.314727438,47.78,49365497,266319,49631816
85,15778786,.338952514,44.37,49418274,266555,49684829
86,15871648,.637728760,23.72,50256290,268089,50524379
87,16341090,.580689083,26.83,50809694,274390,51084084
88,16570602,.981346928,16.10,52346688,275337,52622025
89,16560393,.382165254,41.31,52558179,275573,52833752
90,31068062,.642464541,46.10,52559490,406313,52965803
91,19257030,.491963719,37.31,52785175,303480,53088655
92,19257196,.379323337,48.40,52798044,303716,53101760
93,19254232,.371266351,49.45,52810051,303952,53114003
94,24097471,1.586729871,14.48,56118768,389616,56508384
95,24312533,.820970151,28.23,57360656,389768,57750424
96,24484590,.803910869,29.04,58533457,392513,58925970
97,24511611,.548807343,42.58,58848465,392861,59241326
98,24511689,.463306600,50.44,58866956,393097,59260053
99,38230903,3.384128364,10.77,65933760,1186114,67119874
100,34457680,1.947909817,16.86,69460526,1071955,70532481
