Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,95072414,6.426610024,14.10,26881541,492085,27373626
2,95172660,2.199866547,41.25,31085080,492416,31577496
3,95633624,2.488892622,36.64,38631841,492642,39124483
4,95710717,1.816888693,50.23,43289282,491611,43780893
5,95767418,2.052939140,44.48,47276033,492291,47768324
6,95874517,2.315334257,39.48,54134921,492975,54627896
7,96031005,1.604979762,57.05,56421361,493369,56914730
8,96073810,1.711225728,53.54,60713692,493691,61207383
9,96156132,.985940082,93.00,61369305,494013,61863318
10,96181716,1.040248803,88.17,62058630,494434,62553064
11,96225095,1.123595687,81.66,62894142,494846,63388988
12,96280016,1.099958426,83.46,63871121,495170,64366291
13,96295453,1.031933649,88.98,64352402,495582,64847984
14,96159344,1.009340807,90.85,64997331,495906,65493237
15,96211395,.993990158,92.30,65592190,496230,66088420
16,97419644,5.208311349,17.83,80323265,515948,80839213
17,92656128,4.308242365,20.50,91821999,496398,92318397
18,92958211,2.773617098,31.96,98338665,497625,98836290
19,93342477,2.126936361,41.84,102050435,499552,102549987
20,93684968,2.269143368,39.37,106085929,501091,106587020
21,93855134,2.344215860,38.17,110264022,502354,110766376
22,94105945,2.578172537,34.80,114853974,503774,115357748
23,94494954,2.537436779,35.51,119542438,514955,120057393
24,94930340,2.703173367,33.49,124417834,517437,124935271
25,96567704,1.993205583,46.20,127594169,517945,128112114
26,96574342,.963379231,95.60,128070252,518269,128588521
27,96788905,2.072153835,44.54,131283106,519186,131802292
28,97165615,1.540148859,60.16,134609975,519502,135129477
29,97252200,1.475670313,62.84,136318699,519899,136838598
30,97352699,1.259814190,73.69,137327574,519068,137846642
31,97692230,2.795149259,33.32,142663519,520280,143183799
32,97920212,1.943176541,48.05,145787565,520900,146308465
33,97974831,1.828879638,51.08,148587510,521224,149108734
34,98288476,2.540261098,36.89,155302091,522101,155824192
35,98417569,2.881340385,32.57,163179310,522785,163702095
