Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2893228259,199.346942112,13.84,312449268,4978089,317427357
2,2903100297,26.832531571,103.18,320445065,4994243,325439308
3,2881462834,25.294072563,108.64,326431678,4961588,331393266
4,2922130606,25.851523832,107.79,333055351,5354142,338409493
5,2895546390,26.692368783,103.45,338746202,5313383,344059585
6,2927986922,26.668030165,104.70,344427330,5363018,349790348
7,2928351910,25.744972043,108.47,350641905,5364000,356005905
8,2959977391,34.483375937,81.86,356936856,6324314,363261170
9,2942618555,34.058384939,82.39,361707332,6291839,367999171
10,2942116427,35.299502288,79.48,366384207,6294189,372678396
11,2920556300,33.171406944,83.96,369776223,6256137,376032360
12,2918667000,31.209436146,89.18,373788081,6256462,380044543
13,2965411592,34.595845870,81.74,380491164,6370836,386862000
14,2942774093,33.903844632,82.77,385081183,6292103,391373286
15,2963781990,32.632826792,86.61,388725075,6321564,395046639
16,2958441649,31.207839494,90.40,391696227,6318239,398014466
17,3002117829,33.057543591,86.60,395746717,6437776,402184493
18,3022834252,33.480553742,86.10,399604911,6472685,406077596
19,3025366345,32.888281226,87.72,402868553,6477850,409346403
20,3003673086,36.460411899,78.56,406829001,6398372,413227373
21,2954336947,32.773416406,85.96,410755654,6313396,417069050
22,2913028259,34.153213213,81.34,414489282,6243423,420732705
23,2885221566,32.421243556,84.86,418174375,6195963,424370338
24,2874752789,31.196083710,87.88,422045320,6172015,428217335
25,2889635810,32.255649672,85.43,425486528,6197569,431684097
26,2897811142,31.058252028,88.97,428417623,6211628,434629251
27,2888732397,31.642411260,87.06,432072834,6197645,438270479
28,2887493021,30.791079026,89.43,435250593,6193486,441444079
29,2894631484,31.119177610,88.70,439146812,6203600,445350412
30,2898888817,31.487268093,87.80,443168028,6209201,449377229
31,2913442241,31.527520930,88.12,447218873,6235132,453454005
32,2876263451,30.805492711,89.04,450093576,6172341,456265917
33,2841581538,29.658444256,91.37,452911901,6114169,459026070
34,2889946546,62.786638446,43.89,506516322,6184761,512701083
35,2904322746,59.808215295,46.31,552561743,6208431,558770174
36,2916945453,55.419418254,50.19,588265423,6231788,594497211
37,2909444762,54.665415170,50.75,621190351,6219019,627409370
38,2932161032,52.769236302,52.99,647030193,6254968,653285161
39,2909333243,48.442558594,57.27,667846657,6215865,674062522
40,2909799725,49.085358654,56.53,688492611,6216011,694708622
41,2931458560,49.069605570,56.97,709188510,6251401,715439911
42,2909014987,47.615913190,58.26,725963305,6214201,732177506
43,2908104297,46.591850452,59.52,741288242,6212919,747501161
44,2911263232,45.044080467,61.63,753957746,6217374,760175120
45,2895343856,43.821889467,63.00,765102046,6191091,771293137
46,2913888345,42.805398395,64.91,773830229,6223134,780053363
47,2934066524,41.723674991,67.06,782805268,6257602,789062870
48,2934035463,41.389787072,67.60,791734646,6256204,797990850
49,2938467793,43.118717805,64.99,801849982,6266717,808116699
50,2914216454,41.510237463,66.95,811169004,6221410,817390414
51,2936771266,43.347678752,64.61,825505199,6262506,831767705
52,2885231012,37.883374506,72.63,832509595,6160211,838669806
53,2888005688,35.655176623,77.24,667089723,6167495,673257218
54,2908036703,33.414846894,82.99,670396350,6197672,676594022
55,2917624970,33.918984009,82.03,674263011,6213880,680476891
56,2914291430,36.809137464,75.50,679276373,6217699,685494072
57,2929640541,35.998715821,77.61,683872680,6243021,690115701
58,2914994102,34.053507574,81.63,687384347,6216417,693600764
59,2919927888,33.832840383,82.30,691649931,6225300,697875231
60,2922457317,32.534469994,85.66,694570036,6226328,700796364
61,2923544017,32.019623040,87.07,697566245,6227779,703794024
62,2923906078,34.287105255,81.32,700977733,6230474,707208207
63,2939173097,36.337566902,77.13,705507202,6262827,711770029
64,2911403752,34.554706443,80.35,709494255,6212421,715706676
65,2920658048,35.406773347,78.66,713822420,6229317,720051737
66,2889515139,34.871367058,79.02,717545056,6177915,723722971
67,2912341427,32.662821685,85.03,720676690,6216329,726893019
68,2915158544,30.776577176,90.33,723757262,6223485,729980747
69,2909680624,31.923347625,86.92,727674029,6211636,733885665
70,2925838440,34.604678271,80.63,731251989,6237653,737489642
71,2941438748,36.804211415,76.21,735184107,6263550,741447657
72,2963096568,35.062822176,80.59,739274218,6296528,745570746
73,2944045198,33.547781975,83.69,743229825,6263495,749493320
74,2934060714,33.778477118,82.83,746230709,6250397,752481106
75,2969511599,32.828775965,86.26,749340098,6309038,755649136
76,2982592957,36.018935843,78.97,752769875,6328422,759098297
77,2980245305,35.899368549,79.17,756023364,6322136,762345500
78,2990856249,36.179642115,78.83,759488808,6340721,765829529
79,2978016335,35.721035407,79.50,763022031,6324712,769346743
80,2993731446,35.682473133,80.01,766499544,6350761,772850305
81,2957052307,33.233363559,84.85,769608148,6284831,775892979
82,2965514380,33.549301996,84.29,772812271,6298198,779110469
83,2980400979,35.829983489,79.32,777930348,6321223,784251571
84,2986199022,35.198548298,80.90,781288524,6334781,787623305
85,2985530551,35.253602337,80.76,784850778,6335047,791185825
86,2955359825,34.124843733,82.59,788504015,6285974,794789989
87,2962001643,34.033498341,82.99,791874196,6294491,798168687
88,2954153471,34.333189706,82.05,794696905,6278894,800975799
89,2981102134,35.433541224,80.23,797690167,6325129,804015296
90,2987070817,38.515605389,73.96,803461394,6323878,809785272
91,2968327047,32.910649149,86.01,806356347,6294753,812651100
92,2997313589,35.189719309,81.22,809963345,6347213,816310558
93,2996490034,35.701687834,80.04,813788307,6347459,820135766
94,2999595066,35.292827738,81.05,818562681,6352716,824915397
95,2998331717,35.481632104,80.58,822389921,6354864,828744785
96,3002090481,35.893648119,79.76,826939274,6362714,833301988
97,2984726397,33.323239610,85.41,829273274,6331867,835605141
98,3002824091,33.781176555,84.77,832300318,6361715,838662033
99,3056161461,35.652194024,81.75,836108122,6446083,842554205
100,3041192998,35.307677693,82.14,840315423,6421027,846736450
101,3025812882,35.419477244,81.47,843826497,6400131,850226628
102,3004960304,34.265712320,83.63,847064029,6348967,853412996
1,2893228259,200.301279095,13.77,312449268,4978089,317427357
2,2903100297,26.942161397,102.76,320445065,4994243,325439308
3,2881462834,25.534679241,107.61,326431678,4961588,331393266
4,2922130606,25.774307972,108.12,333055351,5354142,338409493
5,2895546390,26.326482945,104.89,338746202,5313383,344059585
6,2927986922,27.623543293,101.08,344427330,5363018,349790348
7,2928351910,25.329579033,110.25,350641905,5364000,356005905
8,2959977391,34.709795808,81.32,356936856,6324314,363261170
9,2942618555,34.947851445,80.29,361707332,6291839,367999171
10,2942116427,35.545959672,78.93,366384207,6294189,372678396
11,2920556300,33.151582483,84.01,369776223,6256137,376032360
12,2918667000,31.112729478,89.46,373788081,6256462,380044543
13,2965411592,34.770946287,81.33,380491164,6370836,386862000
14,2942774093,34.927339916,80.35,385081183,6292103,391373286
15,2963781990,32.589748530,86.72,388725075,6321564,395046639
16,2958441649,30.443933447,92.67,391696227,6318239,398014466
17,3002117829,32.547337311,87.96,395746717,6437776,402184493
18,3022834252,32.897823654,87.62,399604911,6472685,406077596
19,3025366345,31.893592233,90.46,402868553,6477850,409346403
20,3003673086,35.043594308,81.74,406829001,6398372,413227373
21,2954336947,32.620141761,86.37,410755654,6313396,417069050
22,2913028259,32.998883013,84.18,414489282,6243423,420732705
23,2885221566,31.545865388,87.22,418174375,6195963,424370338
24,2874752789,31.062790090,88.25,422045320,6172015,428217335
25,2889635810,30.779780946,89.53,425486528,6197569,431684097
26,2897811142,30.029255978,92.02,428417623,6211628,434629251
27,2888732397,33.239506185,82.88,432072834,6197645,438270479
28,2887493021,31.731268442,86.78,435250593,6193486,441444079
29,2894631484,31.286394196,88.23,439146812,6203600,445350412
30,2898888817,31.351444350,88.18,443168028,6209201,449377229
31,2913442241,32.396060293,85.76,447218873,6235132,453454005
32,2876263451,32.359470331,84.76,450093576,6172341,456265917
33,2841581538,30.075042811,90.10,452911901,6114169,459026070
34,2889946546,63.467677483,43.42,506516322,6184761,512701083
35,2904322746,59.607890694,46.46,552561743,6208431,558770174
36,2916945453,55.612050882,50.02,588265423,6231788,594497211
37,2909444762,54.240604294,51.15,621190351,6219019,627409370
38,2932161032,52.392454326,53.37,647030193,6254968,653285161
39,2909333243,47.543671269,58.35,667846657,6215865,674062522
40,2909799725,47.929018223,57.89,688492611,6216011,694708622
41,2931458560,49.267219707,56.74,709188510,6251401,715439911
42,2909014987,46.314297117,59.90,725963305,6214201,732177506
43,2908104297,45.937573109,60.37,741288242,6212919,747501161
44,2911263232,45.000471912,61.69,753957746,6217374,760175120
45,2895343856,43.781995158,63.06,765102046,6191091,771293137
46,2913888345,42.185628848,65.87,773830229,6223134,780053363
47,2934066524,41.875017888,66.82,782805268,6257602,789062870
