Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2532649,.463264191,5.20,748805,107946,856751
2,3142928,.418069463,7.15,1492585,118071,1610656
3,3167216,.396267072,7.62,1937424,118745,2056169
4,3167983,.224942639,13.42,2300700,119235,2419935
5,3183711,.235718624,12.85,2638552,119733,2758285
6,2784073,.297038162,8.92,3111811,112620,3224431
7,2787160,.253089531,10.47,3308167,112854,3421021
8,3197956,.269853115,11.26,3683063,120603,3803666
9,3382358,.308335986,10.44,4243666,123469,4367135
10,3404072,.252364429,12.83,4688882,123874,4812756
11,3224021,.257935568,11.90,5056865,121574,5178439
12,3233356,.217318798,14.17,5445610,121890,5567500
13,3236663,.231188217,13.32,5572661,122214,5694875
14,3294796,.248034779,12.65,5987925,122778,6110703
15,3295068,.202257655,15.52,6122495,123014,6245509
16,3302334,.244037030,12.86,6495734,123338,6619072
17,3294749,.200348027,15.67,6790869,123574,6914443
18,3300186,.267374647,11.74,7075085,123970,7199055
19,3392266,.246097034,13.12,7439125,125998,7565123
20,3843754,.612979187,5.97,8595264,131303,8726567
21,3397020,.367065029,8.79,8976894,126550,9103444
22,3453396,.233829043,14.07,9392433,126962,9519395
23,3470840,.241741981,13.69,9819311,127374,9946685
24,3518664,.252666961,13.25,10267082,127946,10395028
25,3525648,.283358222,11.85,10762259,128350,10890609
26,3575277,.342115221,9.93,11384492,129266,11513758
27,3574473,.231444556,14.69,11760666,129502,11890168
28,3865717,.377180896,9.75,12253216,133695,12386911
29,3968673,.381886105,9.89,13068352,134931,13203283
30,1503895,.266328476,5.36,13444141,95686,13539827
31,1992552,.365345865,5.20,13945136,110059,14055195
32,2532649,.249867569,9.64,13946447,115247,14061694
33,3197956,.213335135,14.24,13947758,126502,14074260
34,3392266,.164308534,19.65,13949070,129538,14078608
35,3865717,.256240360,14.36,13950381,135347,14085728
36,1721621,.325057653,5.04,14438982,107431,14546413
37,1213331,.270613315,4.24,14638010,93769,14731779
38,1725648,.194376370,8.43,14864384,107727,14972111
39,2038112,.201816561,9.61,15110761,113555,15224316
40,2789653,.249494324,10.66,15239996,120727,15360723
41,3301781,.245450939,12.79,15375352,129398,15504750
42,3576601,.290683089,11.73,15661343,133042,15794385
43,1992652,.261236504,7.27,15946747,108659,16055406
44,1563869,.278182975,5.35,16144820,101278,16246098
45,1581556,.179026140,8.37,16310669,102386,16413055
46,6155970,.827726843,7.09,18354361,192021,18546382
47,1289577,.240212948,5.07,18640214,94202,18734416
48,1192592,.243850165,4.63,18896610,93014,18989624
49,1217769,.243147453,4.77,19060934,99817,19160751
50,1531623,.172255685,8.47,19258967,101246,19360213
51,1224559,.144246828,8.04,19388042,100209,19488251
52,1205007,.225249717,5.06,19474007,87384,19561391
53,4365323,.486046225,8.55,20589871,136345,20726216
54,4031337,.395661037,9.70,25547975,129707,25677682
55,4090535,.485241087,8.03,6931224,130706,7061930
56,4418417,.567563009,7.41,8036402,138264,8174666
57,6229166,.675297885,8.79,9778922,178122,9957044
58,6254372,.219391218,27.16,10022988,178710,10201698
59,4455956,.365560136,11.59,10508179,139484,10647663
60,5140197,.576185550,8.50,11790677,155045,11945722
61,5145432,.272997020,17.94,12150887,155281,12306168
62,4928187,.370884579,12.64,12771549,156970,12928519
63,4932535,.246701629,19.05,13100716,157214,13257930
64,4974578,.239941644,19.75,13442042,158562,13600604
65,4977919,.223815662,21.17,13694549,158710,13853259
66,4980576,.226625429,20.91,13847325,159034,14006359
67,4981037,.189391105,25.08,13891805,159270,14051075
68,6260836,.322244292,18.52,14227961,181238,14409199
69,6390362,.855949161,7.11,16069145,183987,16253132
70,6313586,.496865612,12.11,16747055,182686,16929741
71,6318595,.222008635,27.11,16887541,182951,17070492
72,6347171,.693768966,8.72,18294395,184235,18478630
73,6341402,.440892974,13.69,19058711,183759,19242470
74,6347055,.293152686,20.63,19507148,184251,19691399
75,6359818,.289228383,20.95,19919845,184823,20104668
76,6391647,.231057022,26.35,20214000,185363,20399363
77,6391642,.267658654,22.75,20306094,185875,20491969
78,6538345,.961778501,6.47,22495037,190595,22685632
79,6401540,.472228748,12.91,23329971,187099,23517070
80,6404317,.301901365,20.20,23664264,187215,23851479
81,6434296,.268554580,22.82,24076727,187811,24264538
82,6435221,.262836750,23.32,24425391,188047,24613438
83,6434662,.319485487,19.18,24828591,188459,25017050
84,6436136,.259607470,23.61,24932795,188695,25121490
85,6444754,.253284620,24.24,25142431,189387,25331818
86,6549675,.231690625,26.93,25351460,193259,25544719
87,6556548,.272504524,22.93,25712208,193527,25905735
88,6575834,.907848482,6.90,27799142,194587,27993729
89,6642067,.903950149,7.00,30012694,194895,30207589
90,6661426,.946479430,6.70,32236085,195662,32431747
91,6901603,.971608137,6.77,34566324,198250,34764574
92,6663011,.438874498,14.46,34942690,196214,35138904
93,6670050,.923927607,6.88,37154258,196634,37350892
94,6815532,.350141133,18.53,37851383,197606,38048989
95,6843458,.889229041,7.33,40097804,198178,40295982
96,6848945,.282005293,23.15,40561469,198414,40759883
97,6925867,.939669461,7.02,42829106,199666,43028772
98,6936541,.526439862,12.55,43834977,200006,44034983
99,6944582,.235088655,28.15,44120494,200322,44320816
100,4959238,.373679692,12.63,44704872,167311,44872183
1,2532649,.577645738,4.17,748805,107946,856751
2,3142928,.438509536,6.81,1492585,118071,1610656
3,3167216,.550230641,5.48,1937424,118745,2056169
4,3167983,.246350321,12.25,2300700,119235,2419935
5,3183711,.220987991,13.71,2638552,119733,2758285
6,2784073,.373972829,7.08,3111811,112620,3224431
7,2787160,.246392452,10.75,3308167,112854,3421021
8,3197956,.300666515,10.11,3683063,120603,3803666
9,3382358,.336662540,9.56,4243666,123469,4367135
10,3404072,.260060828,12.45,4688882,123874,4812756
11,3224021,.313634557,9.78,5056865,121574,5178439
12,3233356,.239851020,12.84,5445610,121890,5567500
13,3236663,.195971552,15.71,5572661,122214,5694875
14,3294796,.343503085,9.14,5987925,122778,6110703
15,3295068,.187039987,16.78,6122495,123014,6245509
16,3302334,.305333893,10.28,6495734,123338,6619072
17,3294749,.273182283,11.49,6790869,123574,6914443
18,3300186,.231421915,13.56,7075085,123970,7199055
19,3392266,.289440692,11.15,7439125,125998,7565123
20,3843754,.585566563,6.25,8595264,131303,8726567
21,3397020,.344555092,9.37,8976894,126550,9103444
22,3453396,.251838288,13.06,9392433,126962,9519395
23,3470840,.250805867,13.19,9819311,127374,9946685
24,3518664,.273906401,12.23,10267082,127946,10395028
25,3525648,.278473460,12.06,10762259,128350,10890609
26,3575277,.415414750,8.18,11384492,129266,11513758
27,3574473,.224342606,15.15,11760666,129502,11890168
28,3865717,.309906530,11.87,12253216,133695,12386911
29,3968673,.373179280,10.12,13068352,134931,13203283
30,1503895,.299876712,4.76,13444141,95686,13539827
31,1992552,.417715406,4.54,13945136,110059,14055195
32,2532649,.187829501,12.83,13946447,115247,14061694
33,3197956,.197030487,15.42,13947758,126502,14074260
34,3392266,.149532143,21.60,13949070,129538,14078608
35,3865717,.215589250,17.06,13950381,135347,14085728
36,1721621,.277772948,5.90,14438982,107431,14546413
37,1213331,.176087032,6.53,14638010,93769,14731779
38,1725648,.244103761,6.71,14864384,107727,14972111
39,2038112,.264111462,7.34,15110761,113555,15224316
