Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,9aab3fdefd0f6a3818e30747b9745f9bdfc522ae,2549033,.350216635,6.93
2,f8daa5c8369373ca770d36529a5141c1fed767c4,3159312,.324653472,9.27
3,01809a5880332c13aca8c8f1a9beacbf37a1eef5,3183600,.229040826,13.22
4,0ed0ada4871c6a815fcc64640b88e7a2ec0fc011,3184367,.181966623,16.65
5,670618ceae0f70fee9c26caedf56161a8585feae,3200095,.138758254,21.98
6,9c02a863a4f9d395ef5cf0cf4305a0597b6af817,2800457,.149028252,17.91
7,2c88f8f3372c46f7da30a2d5a95571ce31ccb82b,2803544,.120718955,22.11
8,2bce332575bc6d41db46ae89bc4c747284a7e657,3214340,.197328037,15.50
9,83fc08d7d44277408ea46c7f98eb7495785139bd,3398742,.148373316,21.83
10,ac74d58a69839b3adc73159d22e64faf53261a86,3420456,.123217117,26.45
11,ba776c097d9139bd52c75666822f7acb282a9182,3240405,.137963632,22.39
12,94f5e8b2303521aa7d0ccbc562fdddded452c2b7,3249740,.132091883,23.39
13,57b85cca9116ed3a44e3ee3790122bb4ef16a183,3253047,.101449850,30.55
14,3d6b1bdbffff3622b070026b39edef4a45989795,3311180,.120763215,26.08
15,2bd7c26d4a95b79534eee28a51fc087ab97738dd,3311452,.036118778,87.21
16,3a16cd7aaef30e8f0f69b94db48bfba8bbcac627,3318718,.045257565,69.82
17,592fd8fbe96e9881951b1f633ef249a47d8f2b11,3311133,.105008235,29.99
18,35e9bef23399538aea2080a6ccd8e681d4456c99,3316570,.103458556,30.54
19,ed7954eb3380cc60c9c265c53eddee4783e03be7,3408650,.100211587,32.43
20,a8755f2055e0ab84426a0b4c30fef8ae000a9fbb,3860138,.184741677,19.91
21,d781e18a543942240c7f0be9406781eb142fff26,3413404,.178072404,18.25
22,a76d253abff4aeff63d8fc1eacda247eb93961cd,3469780,.169110105,19.51
23,0137944c008beb458cd15c2d69c0aa1b83720857,3487224,.120792390,27.48
24,d853813309f2b8037f073dc858a08f3876b07337,3535048,.139850373,24.09
25,c9092457d5b5ac7fc9454144b9c4310560f2d6de,3542032,.149334830,22.56
26,6011d2ff08cbd32b62d48abf3b9ca61331f9096e,3591661,.149777755,22.83
27,3f319006b45b5067908e34d5c76882bee733a695,3590857,.098163316,34.83
28,8f7bd12e64ea80b57e9eb6cdc1bf65060b76e2d6,3882101,.114379212,32.34
29,45ed4be004f1f771270c85721dec95d453d4b923,3985057,.164544602,23.09
30,35c2f55320b6485851b241340741a06f658a299f,1528471,.107718706,13.46
31,559cfdcd6ef00cf140ddd2dd4ff099fabbf9d689,2013032,.060715782,31.45
32,d5caff9cd3fd9fef5f37c749275f11a8a210e505,2549033,.177183383,13.71
33,249ebd2e6a4dd662c8231068938df2cee286110b,3214340,.162248403,18.85
34,c8a7fe66d8b0ddee32ea1bbc5fe0a4c5cb4dc462,3408650,.179954035,18.06
35,3581d32d84f578fe9a1e619186dbfe735959cb36,3882101,.190095623,19.46
36,a51109afd9f703f6307abab543fcd4a29c3c7ee0,1746197,.141776892,11.70
37,02087c0873787f78e79426572c3b4a4ee44c271d,1237907,.098749132,11.94
38,774164b00e04c16b7d2d212f4509d7ea0a958080,1750224,.144802376,11.46
39,a807ae1af4741cc7ddf63246f7b86ddb045a0774,2058592,.131767027,14.87
40,2d28e83d0d367c33ddfd004d6ac959adb6e00e46,2806037,.118098295,22.60
41,349a8ab894ca9bfcb187d6828b77d2c34638e246,3318165,.137807601,22.93
42,2aca6971329fd3cec9292d8c5a40dbedc2f55168,3592985,.175977496,19.43
43,5c050aecffb05fc3014ea7e383b478a6a60a8749,2017228,.115376363,16.64
44,c38dee2af742bfd7eb8dd040995e7b48bbf4442c,1588445,.046679235,32.34
45,b378689aec2b0eca5174cfd168ebadc68bcf8baa,1606132,.039190313,39.04
46,e25e5b74a55885394e2661883a7fd56376e53646,6144601,.147507366,39.65
47,6cf4dc5cf1b5522c74d90b928e20563301f9e028,1334633,.053501739,23.73
48,09da3172231ff7c18aeb2254eee3137cacf32fb3,1237648,.041219187,28.62
49,4ef241292c367918acf9a428a91273ab2a4889ae,1254633,.087225761,13.64
50,ad1895c956e7bbacd6a11adc2951610824167a97,1568487,.039332671,37.88
51,788d7ffd8330dcd0d7d7e3867e45767f96819f1c,1261423,.035148029,34.14
52,1517b4f8f238192222b0b76f58bbc40dff883ea1,1241871,.037074517,31.82
53,7892088281aff9047c01fcd5191def93cbba51cf,4393995,.131025534,31.97
54,642a49ba976ebac160c0b4c476d66b92ccb771cf,4060009,.133306037,29.03
55,6b0ad14460f82ab09703609edaa3a66f77a96485,4119207,.050565226,77.52
56,11be3b3e31168e892a7acfdbe40e4dccf5cb89b6,4447089,.072275589,58.66
57,a5b489ac9405caa4e605a4601ca3a3b74261feed,6229166,.157555552,37.70
58,642de26ac7211aee367447d0edf02c9fcf2474f7,6258468,.088087315,67.66
59,33b50d2560f3a866e9c0dd060966afb4a050d8db,4455956,.154879472,27.37
60,dac788021bde630b0056ad16694e125b500f3a78,5127892,.168956021,28.94
61,c27a583b234ec7d7b57185740c49917d84810d3f,5133127,.121058299,40.39
62,98aa303c2c788f70df78019f1e23a284cd12bf6c,4928187,.134488044,34.87
63,035a30288679850802bcb635a37e8418be94f2ab,4932535,.076734610,61.25
64,994a275959885c5029292b5a0e5d32ca6023dd11,4974578,.085100078,55.69
65,4f8aae6da457817dd4dd1e2eca4d89a26d4b4b69,4977919,.082224915,57.64
66,91dac371399a55dd93f32cb54068289aedbfab97,4980576,.054656646,86.72
67,ae8ba716c77ad2ce36c7ccdd1d189bd76ac6d194,4981037,.059751619,79.49
68,7518c2fff337d5cdf0bbd9905c920c8d494459b3,6260836,.145000430,41.17
69,9528b980c76e6f3cd50029721424f6b231efe1a3,6386266,.119451726,50.98
70,c2cb1c78bc0dd18030056875b795a2fbe187d7ba,6317682,.151196546,39.81
71,e326e2e08f874b94eef3a6825d8adf36234a8902,6322691,.106117956,56.72
72,e58e9e4672738b125f43b00e056051ac1d508deb,6351267,.173343033,34.90
73,2955ca58cb3bf58cbb0a9ab131ec1e51395ac687,6345498,.139133020,43.48
74,87d07dca0ba60263dddf77e76f90330a5712cc77,6351151,.086737180,69.75
75,e8b10f84e54909bd01fd17c9cf77fe0d0bca69a1,6359818,.125317033,48.35
76,1a9ff13c060c7f8c04c40adfac4ea48ad414849f,6391647,.127363941,47.81
77,7b41e0a7360de6f148d7c5bdb5084a7392d1e14d,6387546,.120617953,50.48
78,7ee37e655d2f602826018b4e16109a0e37578493,6534249,.160873765,38.72
79,e6341534ba962f5315d6bb7e23c6828e18a0d54c,6401540,.184024955,33.14
80,aa567336c53498388095a99d5ad7456b59777ab3,6404317,.178586935,34.15
81,4d9f7a0a03b936676bf65bd8333f23b8b2391230,6434296,.149984663,40.87
82,221b95914604e461ff5150191178e734b656cec7,6435221,.137014702,44.73
83,dc07db6fa462b21711d8fafeddb4642f3489d086,6434662,.145324969,42.18
84,658ff6b193e6a4e558f6a9e462ac98980f1a94f7,6436136,.053834642,113.86
85,d9a70552eb517d6608ed4c46f9ea50afbfff4e42,6444754,.132237255,46.43
86,0e892401bd3f359bca359dac351bf260642b6771,6549675,.110135586,56.65
87,a3bde3f12312d3cffd509ef683caac49321ce56a,6552452,.113312239,55.06
88,b154d5ef87037cb551ded61ba82251d32aba233c,6575834,.114038985,54.98
89,6c599eb1f23c4173461581425b54402ca81970d1,6642067,.127853573,49.50
90,55de490bda9b77ca4db45d9f438eaa87df9837d2,6665522,.109560394,57.95
91,0dc8263463e4078bbdcc9ae4dd3efeb36f766294,6909795,.127411086,51.64
92,e0a29534200dd24f104dc3924e89463b9309d2a5,6671203,.153512447,41.42
93,90081edf7563fcb38a6092e48c055266b85070f2,6678242,.208881360,30.44
94,5161fa9190a9c358c16d9da05fa1b2d68847b160,6823724,.243261266,26.72
95,ff0eaa4b8d54df96360afcc4442246daf02119d2,6851650,.123322252,52.95
96,c6d5c4cd741f37bd1af3facf2f40513642538b35,6857137,.127368879,51.26
97,11fb4b9b7d6ba506644505f81c0bae4ec9bcdc88,6934059,.207166807,31.90
98,1b19c37037d0b967fa4fa17b35890169e1915c6a,6944733,.112362272,58.91
99,f29fa8a9b4ca46aea3043111d01b673f82bb885f,6952774,.133377407,49.70
100,715a6d81750ca7b6647cfd358723d7bfcb84647b,4959238,.170327709,27.71
1,9aab3fdefd0f6a3818e30747b9745f9bdfc522ae,2549033,.345204960,7.03
2,f8daa5c8369373ca770d36529a5141c1fed767c4,3159312,.236443737,12.73
3,01809a5880332c13aca8c8f1a9beacbf37a1eef5,3183600,.238194422,12.72
4,0ed0ada4871c6a815fcc64640b88e7a2ec0fc011,3184367,.221816241,13.65
5,670618ceae0f70fee9c26caedf56161a8585feae,3200095,.097834403,31.17
6,9c02a863a4f9d395ef5cf0cf4305a0597b6af817,2800457,.157357595,16.96
7,2c88f8f3372c46f7da30a2d5a95571ce31ccb82b,2803544,.057243434,46.64
8,2bce332575bc6d41db46ae89bc4c747284a7e657,3214340,.140570076,21.76
9,83fc08d7d44277408ea46c7f98eb7495785139bd,3398742,.102349707,31.65
10,ac74d58a69839b3adc73159d22e64faf53261a86,3420456,.120706680,27.00
11,ba776c097d9139bd52c75666822f7acb282a9182,3240405,.051825055,59.62
12,94f5e8b2303521aa7d0ccbc562fdddded452c2b7,3249740,.046211502,66.86
13,57b85cca9116ed3a44e3ee3790122bb4ef16a183,3253047,.057612169,53.80
14,3d6b1bdbffff3622b070026b39edef4a45989795,3311180,.064379815,48.92
15,2bd7c26d4a95b79534eee28a51fc087ab97738dd,3311452,.036621822,86.01
16,3a16cd7aaef30e8f0f69b94db48bfba8bbcac627,3318718,.044422682,71.13
17,592fd8fbe96e9881951b1f633ef249a47d8f2b11,3311133,.040359179,78.04
18,35e9bef23399538aea2080a6ccd8e681d4456c99,3316570,.086873281,36.37
19,ed7954eb3380cc60c9c265c53eddee4783e03be7,3408650,.048086876,67.58
20,a8755f2055e0ab84426a0b4c30fef8ae000a9fbb,3860138,.128682077,28.59
21,d781e18a543942240c7f0be9406781eb142fff26,3413404,.110898596,29.30
22,a76d253abff4aeff63d8fc1eacda247eb93961cd,3469780,.052779853,62.52
23,0137944c008beb458cd15c2d69c0aa1b83720857,3487224,.091338171,36.34
24,d853813309f2b8037f073dc858a08f3876b07337,3535048,.090124765,37.39
25,c9092457d5b5ac7fc9454144b9c4310560f2d6de,3542032,.071441834,47.17
26,6011d2ff08cbd32b62d48abf3b9ca61331f9096e,3591661,.183662112,18.62
27,3f319006b45b5067908e34d5c76882bee733a695,3590857,.121854235,28.06
28,8f7bd12e64ea80b57e9eb6cdc1bf65060b76e2d6,3882101,.137221298,26.96
29,45ed4be004f1f771270c85721dec95d453d4b923,3985057,.087413033,43.47
30,35c2f55320b6485851b241340741a06f658a299f,1528471,.049710508,29.16
31,559cfdcd6ef00cf140ddd2dd4ff099fabbf9d689,2013032,.110278216,17.31
32,d5caff9cd3fd9fef5f37c749275f11a8a210e505,2549033,.113529161,21.40
33,249ebd2e6a4dd662c8231068938df2cee286110b,3214340,.119509510,25.60
34,c8a7fe66d8b0ddee32ea1bbc5fe0a4c5cb4dc462,3408650,.109778233,29.60
35,3581d32d84f578fe9a1e619186dbfe735959cb36,3882101,.110367862,33.52
36,a51109afd9f703f6307abab543fcd4a29c3c7ee0,1746197,.107278773,15.47
37,02087c0873787f78e79426572c3b4a4ee44c271d,1237907,.045959778,25.67
38,774164b00e04c16b7d2d212f4509d7ea0a958080,1750224,.106621050,15.56
39,a807ae1af4741cc7ddf63246f7b86ddb045a0774,2058592,.131793058,14.87
40,2d28e83d0d367c33ddfd004d6ac959adb6e00e46,2806037,.064393622,41.46
41,349a8ab894ca9bfcb187d6828b77d2c34638e246,3318165,.074641942,42.33
42,2aca6971329fd3cec9292d8c5a40dbedc2f55168,3592985,.086881021,39.36
43,5c050aecffb05fc3014ea7e383b478a6a60a8749,2017228,.086991965,22.07
44,c38dee2af742bfd7eb8dd040995e7b48bbf4442c,1588445,.045655003,33.07
45,b378689aec2b0eca5174cfd168ebadc68bcf8baa,1606132,.044792152,34.15
46,e25e5b74a55885394e2661883a7fd56376e53646,6144601,.123583776,47.33
47,6cf4dc5cf1b5522c74d90b928e20563301f9e028,1334633,.051229257,24.79
48,09da3172231ff7c18aeb2254eee3137cacf32fb3,1237648,.041750259,28.26
49,4ef241292c367918acf9a428a91273ab2a4889ae,1254633,.041848465,28.43
50,ad1895c956e7bbacd6a11adc2951610824167a97,1568487,.042501023,35.05
51,788d7ffd8330dcd0d7d7e3867e45767f96819f1c,1261423,.037917008,31.64
52,1517b4f8f238192222b0b76f58bbc40dff883ea1,1241871,.037252092,31.67
