Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2182518,.454643576,4.57,486664,119372,606036
2,2757185,.380003873,6.89,970629,134445,1105074
3,3117942,.407338965,7.29,1439432,141969,1581401
4,3134771,.269718067,11.04,1534666,142620,1677286
5,3179275,.284488461,10.65,1690883,143710,1834593
6,3428842,.351796037,9.26,2102710,146798,2249508
7,3426700,.193641816,16.83,2148616,147032,2295648
8,8486332,.811594278,9.96,4014295,172255,4186550
9,10980071,.639746734,16.36,4887557,186054,5073611
10,11100568,.546480340,19.36,5427106,188105,5615211
11,11106769,.301221851,35.15,5512033,188526,5700559
12,11586094,.690062285,15.99,6397979,200109,6598088
13,9302953,.607799502,14.59,7458935,202106,7661041
14,9617771,.565415768,16.21,8230084,204015,8434099
15,9734271,.715954080,12.96,9008221,206012,9214233
16,9755607,.623775895,14.90,9880687,206467,10087154
17,9876379,.598563075,15.72,10900695,215930,11116625
18,10073460,.600603744,15.98,11635374,225680,11861054
19,10103074,.488163570,19.72,12087620,226292,12313912
20,10154343,.691401872,14.00,13210712,227041,13437753
21,10239329,.454776129,21.46,13742994,227571,13970565
22,10298229,.450863630,21.78,14212038,227903,14439941
23,10422176,.545561377,18.20,14990142,230243,15220385
24,10970042,.514653532,20.32,15873399,233759,16107158
25,11070098,.540157633,19.53,16445302,233697,16678999
26,11178454,.433593374,24.58,16978883,234285,17213168
27,11476317,.586925679,18.63,17875187,236378,18111565
28,11653108,.618010493,17.97,18744706,234612,18979318
1,2182518,.473115705,4.39,486664,119372,606036
2,2757185,.557094152,4.70,970629,134445,1105074
3,3117942,.515214647,5.76,1439432,141969,1581401
4,3134771,.267197067,11.15,1534666,142620,1677286
5,3179275,.247239007,12.25,1690883,143710,1834593
6,3428842,.424069314,7.68,2102710,146798,2249508
7,3426700,.219998917,14.81,2148616,147032,2295648
8,8486332,.773214554,10.46,4014295,172255,4186550
9,10980071,.524403189,19.96,4887557,186054,5073611
10,11100568,.447273762,23.65,5427106,188105,5615211
11,11106769,.347387981,30.48,5512033,188526,5700559
12,11586094,.604950981,18.24,6397979,200109,6598088
13,9302953,.600895067,14.76,7458935,202106,7661041
14,9617771,.519013715,17.66,8230084,204015,8434099
15,9734271,.550292289,16.86,9008221,206012,9214233
16,9755607,.603162171,15.41,9880687,206467,10087154
17,9876379,.695361665,13.53,10900695,215930,11116625
18,10073460,.567661968,16.91,11635374,225680,11861054
19,10103074,.501631511,19.19,12087620,226292,12313912
20,10154343,.709883858,13.63,13210712,227041,13437753
21,10239329,.473880727,20.59,13742994,227571,13970565
22,10298229,.442701010,22.18,14212038,227903,14439941
23,10422176,.553167933,17.95,14990142,230243,15220385
24,10970042,.576977444,18.12,15873399,233759,16107158
25,11070098,.509300268,20.71,16445302,233697,16678999
26,11178454,.494000070,21.57,16978883,234285,17213168
27,11476317,.607250468,18.01,17875187,236378,18111565
28,11653108,.618964726,17.94,18744706,234612,18979318
1,2182518,.477142801,4.35,486664,119372,606036
2,2757185,.447874360,5.84,970629,134445,1105074
3,3117942,.526113231,5.64,1439432,141969,1581401
4,3134771,.179875953,16.56,1534666,142620,1677286
5,3179275,.287392570,10.54,1690883,143710,1834593
6,3428842,.400049037,8.14,2102710,146798,2249508
7,3426700,.258090739,12.63,2148616,147032,2295648
8,8486332,.859519250,9.41,4014295,172255,4186550
9,10980071,.565523710,18.51,4887557,186054,5073611
10,11100568,.437347050,24.19,5427106,188105,5615211
11,11106769,.335073843,31.60,5512033,188526,5700559
12,11586094,.654724291,16.86,6397979,200109,6598088
13,9302953,.557200693,15.91,7458935,202106,7661041
14,9617771,.499742328,18.34,8230084,204015,8434099
15,9734271,.525127461,17.67,9008221,206012,9214233
16,9755607,.632736176,14.69,9880687,206467,10087154
17,9876379,.592174720,15.89,10900695,215930,11116625
18,10073460,.567661944,16.91,11635374,225680,11861054
19,10103074,.437927999,21.98,12087620,226292,12313912
20,10154343,.637868840,15.17,13210712,227041,13437753
21,10239329,.437232821,22.32,13742994,227571,13970565
22,10298229,.435146634,22.56,14212038,227903,14439941
23,10422176,.543139173,18.28,14990142,230243,15220385
24,10970042,.707795191,14.77,15873399,233759,16107158
25,11070098,.441399369,23.90,16445302,233697,16678999
26,11178454,.471306846,22.61,16978883,234285,17213168
27,11476317,.592440991,18.46,17875187,236378,18111565
28,11653108,.575144315,19.31,18744706,234612,18979318
1,2182518,.476036540,4.36,486664,119372,606036
2,2757185,.371854034,7.04,970629,134445,1105074
3,3117942,.460055719,6.45,1439432,141969,1581401
4,3134771,.226829745,13.13,1534666,142620,1677286
5,3179275,.220737218,13.72,1690883,143710,1834593
6,3428842,.576473138,5.65,2102710,146798,2249508
7,3426700,.207137389,15.73,2148616,147032,2295648
8,8486332,.767895769,10.53,4014295,172255,4186550
9,10980071,.549519556,19.05,4887557,186054,5073611
10,11100568,.470325141,22.49,5427106,188105,5615211
11,11106769,.371672942,28.49,5512033,188526,5700559
12,11586094,.571169710,19.32,6397979,200109,6598088
13,9302953,.606266603,14.63,7458935,202106,7661041
14,9617771,.559039304,16.40,8230084,204015,8434099
15,9734271,.524221967,17.70,9008221,206012,9214233
16,9755607,.600148948,15.49,9880687,206467,10087154
17,9876379,.643390881,14.62,10900695,215930,11116625
18,10073460,.565916376,16.96,11635374,225680,11861054
19,10103074,.431940817,22.29,12087620,226292,12313912
20,10154343,.695205993,13.92,13210712,227041,13437753
21,10239329,.518743911,18.81,13742994,227571,13970565
22,10298229,.536980304,18.28,14212038,227903,14439941
23,10422176,.597037190,16.63,14990142,230243,15220385
24,10970042,.565564901,18.49,15873399,233759,16107158
25,11070098,.506599649,20.82,16445302,233697,16678999
26,11178454,.466196343,22.86,16978883,234285,17213168
27,11476317,.654915909,16.70,17875187,236378,18111565
28,11653108,.623985595,17.80,18744706,234612,18979318
