Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,32717389,2.686441454,11.61,8831926,167861,8999787
2,29490026,1.623626198,17.31,12355336,160910,12516246
3,56090391,4.539090451,11.78,26226044,729193,26955237
4,55668797,1.468296769,36.15,28886914,727252,29614166
5,55699494,1.485988209,35.74,31382850,727486,32110336
6,55693155,.941308123,56.42,32322231,727720,33049951
7,53406036,1.903088800,26.76,36045053,304100,36349153
8,74382330,5.444263725,13.02,52697371,1082314,53779685
9,75204083,2.654358613,27.01,58133441,1087953,59221394
10,75870097,2.287747903,31.62,62518861,1090398,63609259
11,76290428,2.376933179,30.60,67017871,1092450,68110321
12,76604029,1.783209356,40.96,69874576,1094078,70968654
13,113371107,8.567173672,12.61,94005352,1578394,95583746
14,113745479,3.206426689,33.82,99930290,1587287,101517577
15,113819265,2.013401796,53.90,101827629,1589651,103417280
16,114667348,3.030252108,36.08,107371602,1597215,108968817
17,114899111,2.859946214,38.31,112223558,1603199,113826757
18,115001266,2.706826657,40.51,116178342,1607508,117785850
19,128212133,9.195834761,13.29,140060345,1742328,141802673
20,129641986,4.274266664,28.92,147730589,1753451,149484040
21,129733854,2.971596999,41.63,152294633,1759432,154054065
22,130668145,3.881781957,32.10,158662672,1766068,160428740
23,130784622,3.400463772,36.67,163931549,1770680,165702229
24,130813859,2.434074119,51.25,166689787,1771629,168461416
25,131451629,2.743754782,45.68,170302922,1773273,172076195
26,166821106,13.109164518,12.13,203784141,2433451,206217592
27,164784358,4.933881421,31.85,211686209,2444501,214130710
28,166881977,3.903236060,40.77,217475419,2454123,219929542
29,167442913,4.164446860,38.34,223058050,2460779,225518829
30,168577785,4.926620870,32.63,230665492,2475151,233140643
31,168718757,3.354026213,47.97,235010732,2483623,237494355
32,168241070,3.040436718,52.76,238175197,2263852,240439049
33,198333680,12.737046759,14.84,270439162,2983118,273422280
34,200589575,6.296715839,30.37,280808652,3007507,283816159
35,199835025,5.899518142,32.30,290448168,3033553,293481721
36,199831830,4.591749428,41.50,298041862,2843063,300884925
37,200027076,4.105770139,46.46,303447606,2856213,306303819
38,237233878,16.638569864,13.59,346372191,3457697,349829888
39,238468950,6.198850412,36.68,355484101,3476249,358960350
40,240057729,6.972958116,32.83,367049049,3521890,370570939
41,266028582,13.582853947,18.67,401659356,3976422,405635778
42,267895079,6.494207279,39.33,409603160,3982795,413585955
43,268010507,8.401192078,30.42,425816321,3987327,429803648
44,268216912,6.069065681,42.14,433543627,3993099,437536726
45,265840056,4.493410241,56.42,438336513,3995582,442332095
46,352587918,22.302529737,15.07,496670826,6785460,503456286
47,350653798,8.218845504,40.68,507599283,6804337,514403620
48,350996096,6.441392886,51.96,515501568,6814573,522316141
49,353255236,6.608193918,50.98,522804366,6831601,529635967
50,353438271,6.215585377,54.22,529524406,6846101,536370507
51,353427901,6.009981437,56.08,535220112,6853873,542073985
52,353452954,5.352712596,62.97,538678127,6854265,545532392
53,371780260,21.899207377,16.19,590661865,7295624,597957489
54,372022126,7.239156416,49.00,762711382,7314290,770025672
55,372317542,7.755324200,45.78,239280346,7325450,246605796
56,372581027,6.387811805,55.62,245934270,7344761,253279031
57,372784320,5.832536678,60.95,251182158,7361493,258543651
58,372986229,6.160063607,57.74,257374554,7370290,264744844
59,373087756,5.972068097,59.57,261621892,7375510,268997402
60,373150015,5.593039946,63.62,265621407,7381114,273002521
61,388600680,19.129586788,19.37,308871020,7705041,316576061
62,389179254,9.367440309,39.62,320159860,7723848,327883708
63,390466995,7.146799781,52.10,328583098,7737756,336320854
64,390701350,6.619107283,56.29,335622510,7750176,343372686
65,390890724,6.808993906,54.74,342594603,7763438,350358041
66,424907901,22.010953451,18.40,392439665,8297405,400737070
67,426201401,10.530778974,38.59,405815059,8326977,414142036
68,427529725,10.057913751,40.53,417456462,8345576,425802038
69,427767802,7.951202315,51.30,425147710,8359275,433506985
70,427898671,7.829291567,52.12,433231795,8371623,441603418
71,460844155,19.770799791,22.22,478953845,8834293,487788138
72,461492436,11.337393866,38.81,492539692,8857184,501396876
73,462797338,11.185841226,39.45,504975414,8874156,513849570
74,463112019,11.634876942,37.95,520220593,8897893,529118486
75,463294063,8.150000046,54.21,528701910,8912995,537614905
76,484215784,24.917182547,18.53,585339178,9214927,594554105
77,484462766,8.668697322,53.29,594795759,9234613,604030372
78,480326242,9.136295383,50.13,605212935,9236438,614449373
79,481626298,10.103353153,45.46,618011606,9282006,627293612
80,481860544,8.466038248,54.27,626171369,9293858,635465227
81,482086018,7.863148388,58.46,633425153,9307070,642732223
82,504725326,24.551417938,19.60,687512627,9790637,697303264
83,505441115,9.432780034,51.10,697881176,9824520,707705696
84,505804261,9.147391713,52.73,707620883,9844374,717465257
85,506367223,9.959904748,48.48,719202861,9873043,729075904
86,506716317,9.445761498,51.15,729420956,9896130,739317086
87,535807437,26.104136485,19.57,787076881,10478046,797554927
88,536818335,12.602103956,40.62,801742456,10504485,812246941
89,538739869,13.706848116,37.48,817941400,10542082,828483482
90,539340805,10.912113787,47.13,830848585,10578820,841427405
91,541173839,11.164957522,46.22,844990388,10625602,855615990
92,565357613,28.219554763,19.10,905329007,11052152,916381159
93,566867667,13.817610840,39.12,921771394,11102296,932873690
94,567459860,14.000045699,38.65,936672357,11132367,947804724
95,567921053,11.196814186,48.37,950335497,11162605,961498102
96,568691998,11.163803319,48.58,963248345,11214644,974462989
97,464258538,27.927568432,15.85,1025394858,8404749,1033799607
98,464654996,12.313753750,35.98,1040474386,8424548,1048898934
99,465392676,13.055684672,33.99,1056797891,8464462,1065262353
100,466029299,10.304804655,43.12,1070374646,8518320,1078892966
101,467098385,10.083915573,44.17,1083182037,8564262,1091746299
102,488778396,29.759883022,15.66,1150598488,9041983,1159640471
103,489366583,13.409110136,34.80,1166263968,9071027,1175334995
104,489829597,14.065165096,33.21,1183841371,9117778,1192959149
105,491133200,11.156036939,41.98,1437625309,9178146,1446803455
106,492024920,10.783453789,43.51,527732072,9217955,536950027
107,536515602,31.873940143,16.05,602746549,9967165,612713714
108,537275487,14.362304367,35.67,619263128,9994790,629257918
109,538115169,12.359537259,41.52,636124698,10039196,646163894
110,539554485,12.812269056,40.16,652677087,10108027,662785114
111,577517216,33.622320242,16.38,726825889,11364164,738190053
112,578364388,15.724759070,35.07,743716203,11397649,755113852
113,579587259,17.178673102,32.17,767441242,11488521,778929763
114,609698420,34.546178467,16.83,848464818,12223259,860688077
115,610470917,18.176814996,32.02,870913970,12254373,883168343
116,611584704,17.661083592,33.02,895915931,12316150,908232081
117,639406155,38.114151535,15.99,979498229,13116879,992615108
1,32717389,2.716146920,11.48,8831926,167861,8999787
2,29490026,1.648252937,17.06,12355336,160910,12516246
3,56090391,4.578292048,11.68,26226044,729193,26955237
4,55668797,1.494165807,35.52,28886914,727252,29614166
5,55699494,1.493805444,35.55,31382850,727486,32110336
6,55693155,1.001893773,53.00,32322231,727720,33049951
7,53406036,1.971328022,25.83,36045053,304100,36349153
8,74382330,5.475881658,12.95,52697371,1082314,53779685
9,75204083,2.677496310,26.78,58133441,1087953,59221394
10,75870097,2.277817819,31.76,62518861,1090398,63609259
11,76290428,2.395185486,30.37,67017871,1092450,68110321
12,76604029,1.828875680,39.94,69874576,1094078,70968654
13,113371107,8.599896769,12.57,94005352,1578394,95583746
14,113745479,3.203603864,33.85,99930290,1587287,101517577
15,113819265,1.908267486,56.87,101827629,1589651,103417280
16,114667348,3.065056054,35.67,107371602,1597215,108968817
17,114899111,2.904703194,37.72,112223558,1603199,113826757
18,115001266,2.701882737,40.59,116178342,1607508,117785850
19,128212133,9.550574681,12.80,140060345,1742328,141802673
20,129641986,4.397748144,28.11,147730589,1753451,149484040
21,129733854,3.071188433,40.28,152294633,1759432,154054065
