Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,20237220,1.919658646,10.04,3683740,503211,4186951
2,20304307,.574777718,33.68,4128871,504182,4633053
3,20341860,.465182356,41.68,4322162,505231,4827393
4,20362280,.439443025,44.16,4445878,505769,4951647
5,20698589,.580190915,34.00,4869348,512086,5381434
6,20790499,.535162498,37.03,5190252,513200,5703452
7,20873578,.554184322,35.90,5511330,515388,6026718
8,21078740,.739072931,27.19,6044568,518731,6563299
9,21227178,.572326395,35.36,6408549,521281,6929830
10,21386004,2.085042919,9.77,10157088,525023,10682111
11,21498654,.533108430,38.45,10418407,528290,10946697
12,21507592,.486250029,42.17,10565993,528526,11094519
13,21577779,.554498443,37.09,10777676,530012,11307688
14,21563266,.458796908,44.81,10830995,529359,11360354
15,21657072,.636592613,32.43,11243647,531069,11774716
16,21788377,.635500432,32.68,11742586,532801,12275387
17,21832791,.630093586,33.04,12121984,533637,12655621
18,21833427,.474542104,43.87,12178343,533873,12712216
19,21837899,.466394733,44.64,12262762,534109,12796871
20,22086624,.782230660,26.92,13016969,536505,13553474
21,22113265,.512125633,41.16,13153512,536741,13690253
22,22473211,1.204995295,17.78,14637360,541934,15179294
23,22528807,.731793343,29.35,15198957,542858,15741815
24,22571592,.791222694,27.19,15858773,544487,16403260
25,22592770,.603315191,35.70,16184598,544690,16729288
26,22646715,.548111412,39.38,16352086,545599,16897685
27,22707852,.622219912,34.79,16673457,546768,17220225
28,22710068,.491726947,44.02,16728425,547108,17275533
29,22750440,.546228908,39.70,16996542,547616,17544158
30,22837903,.561213329,38.79,17281828,549073,17830901
31,22851488,.565572358,38.52,17576705,550029,18126734
32,22912560,.584865209,37.35,17898479,551137,18449616
33,22918926,.527361895,41.43,18060355,551373,18611728
34,22938599,.619200561,35.31,18374911,551730,18926641
35,22974213,.536967272,40.78,18603391,552398,19155789
36,23103620,.612257515,35.98,18993919,554837,19548756
37,23114914,.517798767,42.56,19146970,555358,19702328
38,23117673,.527506110,41.78,19259397,555594,19814991
39,23511769,.582114371,38.51,19496070,564302,20060372
40,23511769,.544520168,41.17,19549863,564538,20114401
41,23709439,.597964536,37.81,19841412,566810,20408222
42,23862319,.583299875,39.00,20080910,569020,20649930
43,23895213,.590820689,38.55,20325485,569601,20895086
44,24010805,.786944171,29.08,20843804,571860,21415664
45,24011659,.497207833,46.03,20917847,572096,21489943
46,24033959,.573646725,39.95,21118148,572332,21690480
47,24064386,.590866829,38.82,21367251,572832,21940083
48,24101564,.530404557,43.32,21572573,574012,22146585
49,24132508,.606216284,37.95,21830292,574224,22404516
50,24154992,.575835236,39.99,22112914,574580,22687494
51,24193274,.641222019,35.97,22395088,575528,22970616
52,24192636,.691284495,33.37,22670824,563455,23234279
53,24222621,.587983549,39.28,22922089,564004,23486093
54,24254001,.635533111,36.39,9411319,564520,9975839
55,24267712,.486164848,47.59,9510323,564992,10075315
56,24284353,.529361881,43.73,9661882,566012,10227894
57,24323473,.581695001,39.86,9917297,566795,10484092
58,24423603,.615060175,37.86,10239974,567639,10807613
59,24423710,.486029054,47.91,10296872,567875,10864747
60,24423710,.513975820,45.31,10352586,568111,10920697
61,24449714,.583625178,39.94,10588681,568979,11157660
62,24453225,.495987941,47.01,10680577,569215,11249792
63,24518300,.626868302,37.29,11036117,570763,11606880
64,24587351,.709449918,33.03,11484243,572184,12056427
65,24672162,.615409659,38.21,11778009,574047,12352056
66,24791802,.775473431,30.48,12350754,576061,12926815
67,24828042,.574871447,41.17,12590475,576745,13167220
68,24857708,.634190626,37.37,12912043,577245,13489288
69,24883530,.633731725,37.44,13140982,577481,13718463
70,24975182,.670716210,35.49,13585777,579005,14164782
71,25003159,.644489801,36.99,13911437,579809,14491246
72,25072694,.559838340,42.70,14100823,581114,14681937
73,25082407,.619328904,38.62,14367588,581622,14949210
74,25102033,.602840623,39.69,14615281,582178,15197459
75,25117816,.550374139,43.51,14794195,582550,15376745
76,25138002,.685437141,34.97,15089967,582946,15672913
77,25140423,.544666205,44.00,15147305,583182,15730487
78,25242311,.822654604,29.25,15822856,584620,16407476
79,25230586,.641691403,37.49,16150801,584133,16734934
80,25835553,1.014521417,24.27,17063021,595900,17658921
81,25888634,.618917104,39.87,17322349,596272,17918621
82,26197707,.731519903,34.14,17708311,600754,18309065
83,26461339,.601327521,41.95,17865057,611075,18476132
84,26605974,.730026934,34.75,18261474,613207,18874681
85,26620303,.584043391,43.45,18470636,613739,19084375
86,26620246,.549488718,46.18,18547029,613975,19161004
87,27245871,.999307810,25.99,19448074,626141,20074215
88,26831239,.733314473,34.88,19753148,617388,20370536
89,27013935,.645126702,39.93,20062717,624749,20687466
90,27108796,.678072336,38.12,20399222,625027,21024249
91,27189877,.643733541,40.28,20606876,626351,21233227
92,28144208,.811037849,33.09,21186428,655786,21842214
93,29381523,1.168429948,23.98,22518401,675718,23194119
94,29542549,.982845296,28.66,23381572,680255,24061827
95,19134677,1.718829868,10.61,26687067,443488,27130555
96,17653746,1.331925306,12.63,28810633,424847,29235480
97,17104702,1.211075773,13.46,30673793,418165,31091958
98,17361383,.664656566,24.90,31414828,413698,31828526
99,17277567,1.225318718,13.44,33368294,416024,33784318
1,20237220,1.866483913,10.33,3683740,503211,4186951
2,20304307,.619054969,31.27,4128871,504182,4633053
3,20341860,.466449257,41.56,4322162,505231,4827393
4,20362280,.584743503,33.19,4445878,505769,4951647
5,20698589,.655866548,30.08,4869348,512086,5381434
6,20790499,.582689141,34.01,5190252,513200,5703452
7,20873578,.592598408,33.58,5511330,515388,6026718
8,21078740,.665376031,30.20,6044568,518731,6563299
9,21227178,.578216633,35.00,6408549,521281,6929830
10,21386004,2.112454480,9.65,10157088,525023,10682111
11,21498654,.531195005,38.59,10418407,528290,10946697
12,21507592,.521115798,39.35,10565993,528526,11094519
13,21577779,.557658739,36.88,10777676,530012,11307688
14,21563266,.480032667,42.83,10830995,529359,11360354
15,21657072,.665235338,31.04,11243647,531069,11774716
16,21788377,.672086232,30.90,11742586,532801,12275387
17,21832791,.628286070,33.13,12121984,533637,12655621
18,21833427,.502099883,41.46,12178343,533873,12712216
19,21837899,.479014465,43.46,12262762,534109,12796871
20,22086624,.810865022,25.97,13016969,536505,13553474
21,22113265,.499551377,42.19,13153512,536741,13690253
22,22473211,1.161182126,18.45,14637360,541934,15179294
23,22528807,.729752884,29.43,15198957,542858,15741815
24,22571592,.749647932,28.70,15858773,544487,16403260
25,22592770,.631487741,34.10,16184598,544690,16729288
26,22646715,.536067645,40.27,16352086,545599,16897685
27,22707852,.601546223,35.99,16673457,546768,17220225
28,22710068,.467090252,46.35,16728425,547108,17275533
29,22750440,.572590800,37.88,16996542,547616,17544158
30,22837903,.577632570,37.68,17281828,549073,17830901
31,22851488,.600232428,36.30,17576705,550029,18126734
32,22912560,.655997607,33.30,17898479,551137,18449616
33,22918926,.511134111,42.74,18060355,551373,18611728
34,22938599,.596969420,36.63,18374911,551730,18926641
35,22974213,.575996053,38.02,18603391,552398,19155789
36,23103620,.684387593,32.18,18993919,554837,19548756
37,23114914,.587375750,37.52,19146970,555358,19702328
38,23117673,.528020747,41.74,19259397,555594,19814991
39,23511769,.598801833,37.44,19496070,564302,20060372
40,23511769,.473802320,47.31,19549863,564538,20114401
41,23709439,.593877667,38.07,19841412,566810,20408222
42,23862319,.614804251,37.00,20080910,569020,20649930
43,23895213,.573869978,39.69,20325485,569601,20895086
44,24010805,.690933434,33.12,20843804,571860,21415664
45,24011659,.501370412,45.65,20917847,572096,21489943
46,24033959,.586718196,39.06,21118148,572332,21690480
47,24064386,.628574653,36.49,21367251,572832,21940083
48,24101564,.623176082,36.87,21572573,574012,22146585
49,24132508,.646777087,35.57,21830292,574224,22404516
50,24154992,.608578395,37.84,22112914,574580,22687494
51,24193274,.677578172,34.04,22395088,575528,22970616
52,24192636,.674641914,34.19,22670824,563455,23234279
53,24222621,.573246318,40.29,22922089,564004,23486093
54,24254001,.653125866,35.41,9411319,564520,9975839
55,24267712,.529688786,43.68,9510323,564992,10075315
56,24284353,.552242624,41.91,9661882,566012,10227894
57,24323473,.599615829,38.67,9917297,566795,10484092
58,24423603,.667721687,34.87,10239974,567639,10807613
59,24423710,.539645539,43.15,10296872,567875,10864747
60,24423710,.540343387,43.10,10352586,568111,10920697
61,24449714,.612073074,38.08,10588681,568979,11157660
62,24453225,.699570992,33.33,10680577,569215,11249792
63,24518300,.660489921,35.39,11036117,570763,11606880
64,24587351,.699248464,33.52,11484243,572184,12056427
65,24672162,.630328200,37.31,11778009,574047,12352056
