Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,34616457,1.915234818,17.23,12418206,151918,12570124
2,38557348,1.034470803,35.54,16292023,158897,16450920
3,35738095,.627214764,54.33,16831560,158212,16989772
4,35536618,.469178727,72.23,17100492,151962,17252454
5,35538209,.424921960,79.75,17148218,151996,17300214
6,38617421,.528586442,69.65,17437475,155168,17592643
7,39142519,.545532446,68.41,17725495,160987,17886482
8,39650978,.417333264,90.59,17788446,161325,17949771
9,40425999,.537797234,71.68,18047427,162232,18209659
10,41020690,.550834328,71.01,18373821,163081,18536902
11,41585619,.449605591,88.18,18401042,163421,18564463
12,42148638,.450526204,89.20,18466312,163657,18629969
13,42776701,.462222774,88.24,18641022,165293,18806315
14,43710311,.493536960,84.45,19123123,167490,19290613
15,45486398,.763787636,56.78,19821387,168764,19990151
16,43755730,.540756814,77.15,20066054,167512,20233566
17,44354293,.440508905,96.00,20115393,168404,20283797
18,46629558,.505735924,87.91,20253324,169576,20422900
19,47239039,.506764741,88.89,20438474,175406,20613880
20,47920628,.598708257,76.33,20772976,175466,20948442
21,48925664,.708610507,65.83,21391911,180833,21572744
22,49608561,.586571242,80.65,21695065,182847,21877912
23,51207207,.852737555,57.26,23340932,185776,23526708
24,51793370,.657982388,75.06,23835049,185835,24020884
25,52385283,.593166316,84.20,24144279,186447,24330726
26,53564110,.906569448,56.34,26702349,170402,26872751
27,53989551,.579857089,88.78,26960294,189531,27149825
28,54338805,.567192950,91.36,27211773,171090,27382863
29,54985995,.568896272,92.16,27451362,174905,27626267
30,56230509,.823175763,65.13,28597372,187072,28784444
31,56278130,.533329607,100.63,28654615,187412,28842027
32,56278222,.522500521,102.71,28662309,187753,28850062
33,56278222,.520789413,103.05,28669076,187989,28857065
34,56062835,.525904822,101.65,28808431,187378,28995809
35,60945790,1.259892808,46.13,33362445,187599,33550044
36,61000908,.590806597,98.45,33533786,185611,33719397
37,59178885,1.236421574,45.63,38883259,185798,39069057
38,31068062,2.254669450,13.13,45845471,406210,46251681
39,61151151,1.133046843,51.46,47102290,205162,47307452
40,56280706,.928165526,57.82,47916815,189222,48106037
41,56241220,.800795265,66.97,48611994,190971,48802965
42,61162356,.990851452,58.85,49486935,205494,49692429
43,61162470,.572718788,101.83,49494389,205730,49700119
44,6658202,.627774600,10.09,50436218,158173,50594391
45,6671624,.280724010,22.65,50658357,158601,50816958
46,6984898,.402412596,16.55,51175386,161644,51337030
47,9227260,.664499281,13.22,52176694,167895,52344589
48,8979109,.401399173,21.32,52543315,164154,52707469
49,9034823,.343207051,25.08,52726213,165937,52892150
50,9176711,.297830253,29.37,52920735,168395,53089130
51,9189389,.392814813,22.30,53034381,168487,53202868
52,9209694,.277611850,31.62,53082924,156534,53239458
53,9245107,.291765732,30.19,53262409,157459,53419868
54,9245997,.312562743,28.18,53548344,156613,53704957
55,9485431,.415541713,21.75,54063838,163258,54227096
56,9162148,.307581750,28.38,54180887,156889,54337776
57,9471559,.284505136,31.73,54438689,157046,54595735
58,9169132,.241829008,36.14,62265991,493361,62759352
59,9542925,.591596226,15.38,93264988,164667,93429655
60,9548647,.219599677,41.43,40301432,164882,40466314
61,10752056,.636042880,16.11,41467047,175729,41642776
62,10790619,.640369535,16.06,42368852,177887,42546739
63,10801329,.280524645,36.71,42541678,178490,42720168
64,11096549,.567544878,18.64,43102056,181146,43283202
65,10801642,.303170234,33.97,43136440,178962,43315402
66,10982102,.358924140,29.17,43408733,180730,43589463
67,11100834,.316294963,33.44,43602165,181710,43783875
68,11360361,.424623390,25.50,44066039,185330,44251369
69,11402724,.300254705,36.20,44246609,185663,44432272
70,11703223,.425773164,26.21,44740742,193325,44934067
71,11420117,.391349846,27.82,44853248,186368,45039616
72,11903936,.446943307,25.39,45306610,195209,45501819
73,11719542,.343534257,32.51,45532839,194623,45727462
74,11908987,.302135279,37.56,45607517,195681,45803198
75,11961218,.327427991,34.81,45849232,196373,46045605
76,11972802,.326623039,34.93,45921706,196609,46118315
77,11990287,.299612086,38.14,46009805,196845,46206650
78,12056274,.308529348,37.24,46153546,197225,46350771
79,12069646,.325319630,35.38,46259739,197461,46457200
80,12940032,.780629081,15.80,47335285,208956,47544241
81,12149457,.529304310,21.87,47903500,201986,48105486
82,12940032,.328333189,37.58,47904810,209428,48114238
83,15778518,.855343072,17.58,49348872,266083,49614955
