Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2893228259,141.150694401,19.54,470204134,4978375,475182509
2,2903100297,24.982722335,110.82,479393416,4994488,484387904
3,2881462834,25.366443113,108.33,486698561,4961833,491660394
4,2922130606,25.628316170,108.73,494495287,5354387,499849674
5,2895546390,23.384748670,118.08,500997335,5313628,506310963
6,2927986922,25.833457122,108.09,507315302,5363263,512678565
7,2928351910,25.059072931,111.44,515446316,5364245,520810561
8,2959977391,30.900235311,91.35,522794599,6324559,529119158
9,2942618555,30.021543779,93.47,528356688,6292084,534648772
10,2942116427,31.280776717,89.69,533901433,6294434,540195867
11,2920556300,31.474535583,88.49,537700818,6256382,543957200
12,2918667000,29.401808527,94.66,542405908,6256707,548662615
13,2965411592,31.643366067,89.37,551132189,6371081,557503270
14,2942774093,30.777596932,91.18,557129097,6292348,563421445
15,2963781990,29.979968933,94.27,561162333,6321809,567484142
16,2958441649,30.615254437,92.15,564466276,6318484,570784760
17,3002117829,30.574495110,93.64,569161083,6438021,575599104
18,3022834252,30.088624789,95.80,573688425,6472930,580161355
19,3025366345,30.277903338,95.29,577708392,6478095,584186487
20,3003673086,31.697507523,90.37,582459221,6398617,588857838
21,2954336947,31.535789098,89.34,586964079,6313641,593277720
22,2913028259,30.712119736,90.45,591722107,6243668,597965775
23,2885221566,29.171261334,94.32,596219465,6196208,602415673
24,2874752789,29.265650647,93.67,600639331,6172260,606811591
25,2889635810,30.463960153,90.46,604437118,6197814,610634932
26,2897811142,29.751647608,92.88,607794977,6211873,614006850
27,2888732397,29.945099719,91.99,612148163,6197890,618346053
28,2887493021,28.991834175,94.98,615785585,6193731,621979316
29,2894631484,29.279184639,94.28,620127576,6203845,626331421
30,2898888817,30.198392450,91.54,624630666,6209446,630840112
31,2913442241,30.171481774,92.08,629686940,6235377,635922317
32,2876263451,28.863402381,95.03,633013645,6172586,639186231
33,2841581538,28.049666985,96.61,636154399,6114414,642268813
34,2889946546,52.943009992,52.05,719469049,6192819,725661868
35,2904322746,50.569048899,54.77,792989350,6216725,799206075
36,2916945453,47.271566946,58.84,848673188,6240041,854913229
37,2909444762,45.453834592,61.04,898521703,6227272,904748975
38,2932161032,46.145169753,60.59,938408289,6263221,944671510
39,2909333243,41.985677083,66.08,970474810,6224118,976698928
40,2909799725,41.154612538,67.42,1003185797,6224264,1009410061
41,2931458560,41.548561270,67.28,1034403732,6259654,1040663386
42,2909014987,39.222188077,70.73,1060880150,6222454,1067102604
43,2908104297,39.293723282,70.58,1084565235,6221172,1090786407
44,2911263232,37.738095330,73.56,1103287234,6225627,1109512861
45,2895343856,37.327890086,73.97,1120626570,6199344,1126825914
46,2913888345,37.885320927,73.35,1133412401,6231387,1139643788
47,2934066524,38.967382257,71.80,1147357573,6265855,1153623428
48,2934035463,37.757876296,74.10,1159996287,6264457,1166260744
49,2938467793,39.254541966,71.38,1175300635,6274970,1181575605
50,2914216454,38.106881779,72.93,1189327877,6229663,1195557540
51,2936771266,39.334079043,71.20,1211181166,6270759,1217451925
52,2885231012,33.411695600,82.35,1221359737,6172496,1227532233
53,2888005688,33.522518925,82.15,1228293987,6179760,1234473747
54,2908036703,29.712939742,93.33,1232200281,6209937,1238410218
55,2917624970,30.011369042,92.71,1236660519,6226145,1242886664
56,2914291430,32.496336411,85.52,1242859899,6229964,1249089863
57,2929640541,32.446464135,86.10,1250359343,6255286,1256614629
58,2914994102,29.899618778,92.97,1254191764,6228682,1260420446
59,2919927888,29.647293280,93.92,1259508439,6237565,1265746004
60,2922457317,29.482936014,94.53,1262721541,6238593,1268960134
61,2923544017,29.822533887,93.48,1266243886,6240044,1272483930
62,2923906078,30.457771072,91.55,1270580721,6242739,1276823460
63,2939173097,30.678158743,91.36,1276081394,6275092,1282356486
64,2911403752,29.938473016,92.74,1280709558,6224686,1286934244
65,2920658048,30.529659629,91.23,1285441700,6241582,1291683282
66,2889515139,29.637857594,92.97,1289398671,6190180,1295588851
67,2912341427,29.136290977,95.32,1292869789,6228594,1299098383
68,2915158544,29.308860480,94.85,1296138393,6235750,1302374143
69,2909680624,29.748989374,93.27,1300333028,6223901,1306556929
70,2925838440,30.252740223,92.23,1304544888,6249918,1310794806
71,2941438748,31.042211201,90.36,1308968495,6275815,1315244310
72,2963096568,30.435444498,92.84,1313618050,6308793,1319926843
73,2944045198,31.495640318,89.14,1318385567,6275760,1324661327
74,2934060714,31.655378386,88.39,1321904520,6262662,1328167182
75,2969511599,30.004487662,94.38,1325315252,6321303,1331636555
76,2982592957,30.666185516,92.75,1329277871,6340687,1335618558
77,2980245305,30.075957726,94.50,1333067317,6334401,1339401718
78,2990856249,30.524561044,93.44,1337104665,6352986,1343457651
79,2978016335,31.563628202,89.97,1341463005,6336977,1347799982
80,2993731446,32.310533429,88.36,1345480090,6363026,1351843116
81,2957052307,29.429962803,95.82,1348941162,6297096,1355238258
82,2965514380,29.730281998,95.12,1352364221,6310463,1358674684
83,2980400979,30.795720003,92.29,1359684467,6333488,1366017955
84,2986199022,30.004681145,94.91,1363531497,6347046,1369878543
85,2985530551,31.258283978,91.08,1367505133,6347312,1373852445
86,2955359825,31.375512873,89.82,1373058585,6298239,1379356824
87,2962001643,29.888455572,94.51,1378567550,6306756,1384874306
88,2954153471,29.512934737,95.45,1381701085,6291159,1387992244
89,2981102134,30.362945752,93.63,1384960648,6337394,1391298042
90,2987070817,33.380069891,85.34,1391693865,6336143,1398030008
91,2968327047,31.533467600,89.77,1395962258,6307018,1402269276
