Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,61ebca37276e711bb89755fbbdaf9ac3039c62f9,2893207779,18.281883077,150.92
2,ea77d969c712e58e4f12d61ba775fd488b982f43,2903092105,4.571805015,605.58
3,5c9464fc4fcc3a757c249a85949991f2f016bfc9,2881454642,2.817055286,975.47
4,770a456060fbafe103b167adf2b01aa4e0d94903,2922171566,3.384156759,823.48
5,831cbd5dd036d20d8e1d28d9a2337b4b5752bf64,2895587350,2.571897068,1073.69
6,5a0aafd58b03c54930e8d183e34e6757570c9682,2928036074,3.256198789,857.56
7,21737933a799f56437faef76f2eb6ad0e3bb8486,2928425638,21.367662186,130.70
8,3270307ee89fb5ab48ca52307d897fca7a96fe7f,2959969199,11.984199128,235.54
9,2aff970bf45216de1f7a2f376d6692a8a8076eae,2942614459,12.710241111,220.78
10,b05d24a79fa236421334ebf0803e842048ebf1b4,2942112331,13.201723449,212.53
11,e357919e0baa947a75c060affe4e7d1467d82448,2920548108,12.567579640,221.62
12,ae3d2d6aaacabae7dc039b2d2f192ea5a00ab1cd,2918658808,12.260948033,227.01
13,6afeb1ee641888fef8bd42e6c68820c8d354e06b,2965403400,12.725937028,222.22
14,7391dd8d9e85a362d06988741081fd073e81f9f2,2942765901,13.260564405,211.63
15,e70896292ddd5e0e8a80ff909effe0090d8484c1,2963773798,12.930201343,218.59
16,ee7da2b301f9d23de8ab768963f842472e0a66d9,2958433457,12.654786163,222.94
17,0b28ed5d7d52db8dfb528388dfdceb837e4247a0,3002113733,12.978270701,220.60
18,86d7ab14fa255ca94fb1cd75745bf12032734587,3022826060,12.872676438,223.94
19,411de36a15a8ee2e575e65e86d2e794d8b50f4a9,3025358153,13.768906454,209.54
20,322ddfe269c8c3ab1dac67b58462fb267a409f52,3003664894,13.496531384,212.24
21,f4ad8897ab90ac6665859bb3c0c8345767da395a,2954328755,13.130226817,214.57
22,1e1a6d5968e76d157fa85dc5423d35eface96be0,2913024163,13.356743721,207.99
23,9fca750869f75ff7b441f03cd6a8a03415fdeba1,2885217470,13.271052424,207.33
24,902627898be383023bc701bb4aac70d9ce6db843,2874744597,13.604701068,201.51
25,689625303d75cd8446a7f4638683b3039e827cfa,2889627618,13.612542090,202.44
26,2f1a6056ea3113f8ec1db8a04e481beaf94e8842,2897802950,13.539470379,204.11
27,2af3dbd52054efe8f5f4fee0e47fc48618ccf97d,2888724205,13.472467811,204.48
28,81a44f834fec11e4ec46f993d4fd869b48695ec1,2887488925,13.714265227,200.79
29,874be38817e0a5bbbcebf49d98b735896d6ab2d5,2894631484,13.687145224,201.68
30,e7e8b130b93d65aeda5a528f5ae463a82a24752b,2898884721,13.894838316,198.96
31,cc0250363a4517023ea834eb556b7f75eb3e1664,2913438145,14.772942013,188.07
32,69f1cf03a0cfea3abc39795fcc917c5ef2c5f61f,2876255259,13.797552902,198.80
33,3ed770b2b05ec8201f79cb4a6c16cb82f64291d8,2841577442,14.543055742,186.33
34,72376f62a21666198700efbc1941efbd8f73cac8,2889946546,16.053264076,171.68
35,1a800b718f8dd0df0097cdc624626391ecfe79b3,2904318650,18.344028586,150.99
36,f6a1465545d4e7adc923adafeb1d9b4d0839e3b0,2916941357,19.564884281,142.18
37,a829af8bf0535580214e90543dc45d32677e781d,2909440666,21.314375528,130.17
38,588e2e7675191bc6721eff29e0a1d9702363ff6e,2932156936,23.170995987,120.68
39,8c0d14ba60e4fd2080973e92fc9bfa9145a4ac60,2909329147,43.126045751,64.33
40,6c1ff429defa1def5ce35a9b49766a22ab2033b2,2909791533,25.557790310,108.57
41,e54fd68324a3e7233da3dd2dbee2e487d702e062,2931450368,36.453904156,76.68
42,f1c0673a557668ec69d4979d49932faf075c4307,2909006795,28.231848444,98.26
