Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,9aab3fdefd0f6a3818e30747b9745f9bdfc522ae,2549033,1.460170547,1.66
2,f8daa5c8369373ca770d36529a5141c1fed767c4,3159312,2.442291948,1.23
3,01809a5880332c13aca8c8f1a9beacbf37a1eef5,3183600,1.790725990,1.69
4,0ed0ada4871c6a815fcc64640b88e7a2ec0fc011,3184367,.466149392,6.50
5,670618ceae0f70fee9c26caedf56161a8585feae,3200095,.613018270,4.97
6,9c02a863a4f9d395ef5cf0cf4305a0597b6af817,2800457,1.513029693,1.76
7,2c88f8f3372c46f7da30a2d5a95571ce31ccb82b,2803544,1.100434837,2.42
8,2bce332575bc6d41db46ae89bc4c747284a7e657,3214340,1.800504469,1.69
9,83fc08d7d44277408ea46c7f98eb7495785139bd,3398742,1.577957303,2.05
10,ac74d58a69839b3adc73159d22e64faf53261a86,3420456,1.108116410,2.94
11,ba776c097d9139bd52c75666822f7acb282a9182,3240405,1.748399405,1.76
12,94f5e8b2303521aa7d0ccbc562fdddded452c2b7,3249740,.531838745,5.81
13,57b85cca9116ed3a44e3ee3790122bb4ef16a183,3253047,1.877758202,1.65
14,3d6b1bdbffff3622b070026b39edef4a45989795,3311180,1.738246608,1.81
15,2bd7c26d4a95b79534eee28a51fc087ab97738dd,3311452,1.933553027,1.62
16,3a16cd7aaef30e8f0f69b94db48bfba8bbcac627,3318718,.503044291,6.28
17,592fd8fbe96e9881951b1f633ef249a47d8f2b11,3311133,2.072589574,1.51
18,35e9bef23399538aea2080a6ccd8e681d4456c99,3316570,1.711435638,1.84
19,ed7954eb3380cc60c9c265c53eddee4783e03be7,3408650,1.387721856,2.34
20,a8755f2055e0ab84426a0b4c30fef8ae000a9fbb,3860138,.572136769,6.43
21,d781e18a543942240c7f0be9406781eb142fff26,3413404,1.557183111,2.08
22,a76d253abff4aeff63d8fc1eacda247eb93961cd,3469780,.776656729,4.24
23,0137944c008beb458cd15c2d69c0aa1b83720857,3487224,1.175236031,2.82
24,d853813309f2b8037f073dc858a08f3876b07337,3535048,1.277998775,2.63
25,c9092457d5b5ac7fc9454144b9c4310560f2d6de,3542032,1.594988130,2.11
26,6011d2ff08cbd32b62d48abf3b9ca61331f9096e,3591661,1.011045808,3.38
27,3f319006b45b5067908e34d5c76882bee733a695,3590857,1.904430121,1.79
28,8f7bd12e64ea80b57e9eb6cdc1bf65060b76e2d6,3882101,.184499539,20.05
29,45ed4be004f1f771270c85721dec95d453d4b923,3985057,1.334008626,2.84
30,35c2f55320b6485851b241340741a06f658a299f,1528471,1.231549623,1.17
31,559cfdcd6ef00cf140ddd2dd4ff099fabbf9d689,2013032,1.498662509,1.27
32,d5caff9cd3fd9fef5f37c749275f11a8a210e505,2549033,1.637074273,1.48
33,249ebd2e6a4dd662c8231068938df2cee286110b,3214340,.425021663,7.19
34,c8a7fe66d8b0ddee32ea1bbc5fe0a4c5cb4dc462,3408650,1.998601713,1.62
35,3581d32d84f578fe9a1e619186dbfe735959cb36,3882101,2.647785791,1.39
36,a51109afd9f703f6307abab543fcd4a29c3c7ee0,1746197,5.573831590,.29
37,02087c0873787f78e79426572c3b4a4ee44c271d,1237907,7.209148821,.16
38,774164b00e04c16b7d2d212f4509d7ea0a958080,1750224,6.403710363,.25
39,a807ae1af4741cc7ddf63246f7b86ddb045a0774,2058592,2.802898579,.69
40,2d28e83d0d367c33ddfd004d6ac959adb6e00e46,2806037,2.213387915,1.20
41,349a8ab894ca9bfcb187d6828b77d2c34638e246,3318165,4.998307424,.63
42,2aca6971329fd3cec9292d8c5a40dbedc2f55168,3592985,7.283109335,.46
43,5c050aecffb05fc3014ea7e383b478a6a60a8749,2017228,6.524504158,.29
44,c38dee2af742bfd7eb8dd040995e7b48bbf4442c,1588445,4.082352989,.36
45,b378689aec2b0eca5174cfd168ebadc68bcf8baa,1606132,5.373728901,.28
46,e25e5b74a55885394e2661883a7fd56376e53646,6144601,3.315298407,1.76
47,6cf4dc5cf1b5522c74d90b928e20563301f9e028,1334633,1.233646383,1.02
48,09da3172231ff7c18aeb2254eee3137cacf32fb3,1237648,1.544579765,.76
49,4ef241292c367918acf9a428a91273ab2a4889ae,1254633,.971293671,1.22
50,ad1895c956e7bbacd6a11adc2951610824167a97,1568487,1.092140124,1.36
51,788d7ffd8330dcd0d7d7e3867e45767f96819f1c,1261423,.716209627,1.67
52,1517b4f8f238192222b0b76f58bbc40dff883ea1,1241871,1.288538923,.91
53,7892088281aff9047c01fcd5191def93cbba51cf,4393995,1.030030990,4.06
54,642a49ba976ebac160c0b4c476d66b92ccb771cf,4060009,.888017986,4.35
55,6b0ad14460f82ab09703609edaa3a66f77a96485,4119207,.944436036,4.15
56,11be3b3e31168e892a7acfdbe40e4dccf5cb89b6,4447089,1.832105851,2.31
57,a5b489ac9405caa4e605a4601ca3a3b74261feed,6229166,1.558259097,3.81
58,642de26ac7211aee367447d0edf02c9fcf2474f7,6258468,.555132511,10.73
59,33b50d2560f3a866e9c0dd060966afb4a050d8db,4455956,2.083304408,2.03
60,dac788021bde630b0056ad16694e125b500f3a78,5127892,1.435841295,3.40
61,c27a583b234ec7d7b57185740c49917d84810d3f,5133127,2.145603738,2.27
62,98aa303c2c788f70df78019f1e23a284cd12bf6c,4928187,1.841356776,2.54
63,035a30288679850802bcb635a37e8418be94f2ab,4932535,.881940198,5.32
64,994a275959885c5029292b5a0e5d32ca6023dd11,4974578,1.743846150,2.71
65,4f8aae6da457817dd4dd1e2eca4d89a26d4b4b69,4977919,.295972290,16.01
66,91dac371399a55dd93f32cb54068289aedbfab97,4980576,.079028044,59.97
67,ae8ba716c77ad2ce36c7ccdd1d189bd76ac6d194,4981037,.049313805,96.32
68,7518c2fff337d5cdf0bbd9905c920c8d494459b3,6260836,1.909101171,3.12
69,9528b980c76e6f3cd50029721424f6b231efe1a3,6386266,2.366135076,2.57
70,c2cb1c78bc0dd18030056875b795a2fbe187d7ba,6317682,1.090929475,5.51
71,e326e2e08f874b94eef3a6825d8adf36234a8902,6322691,.939419009,6.40
72,e58e9e4672738b125f43b00e056051ac1d508deb,6351267,1.673831383,3.61
73,2955ca58cb3bf58cbb0a9ab131ec1e51395ac687,6345498,1.664509541,3.63
74,87d07dca0ba60263dddf77e76f90330a5712cc77,6351151,1.228861278,4.92
75,e8b10f84e54909bd01fd17c9cf77fe0d0bca69a1,6359818,1.246523749,4.86
76,1a9ff13c060c7f8c04c40adfac4ea48ad414849f,6391647,1.453767164,4.18
77,7b41e0a7360de6f148d7c5bdb5084a7392d1e14d,6387546,1.285383483,4.73
78,7ee37e655d2f602826018b4e16109a0e37578493,6534249,1.484741402,4.19
