Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2182518,1.339163057,1.55,494021,119468,613489
2,2757185,.470125546,5.57,984098,134541,1118639
3,3117942,.454333890,6.53,1457670,142065,1599735
4,3134771,.301490279,9.88,1556557,142716,1699273
5,3179275,.307552067,9.85,1716550,143806,1860356
6,3428842,.546913995,5.96,2132149,146894,2279043
7,3426700,.278019316,11.72,2180370,147128,2327498
8,8486332,.918041895,8.81,4058796,172351,4231147
9,10980071,.872250301,12.00,4973707,186150,5159857
10,11100568,.897786159,11.78,5520219,188201,5708420
11,11106769,.560771259,18.88,5611604,188622,5800226
12,11586094,1.009866698,10.93,6502002,200205,6702207
13,9302953,.759130544,11.68,7570891,202202,7773093
14,9617771,.694202845,13.20,8347777,204111,8551888
15,9734271,.875377234,10.60,9133122,206108,9339230
16,9755607,.693257111,13.41,10013215,206563,10219778
17,9876379,.654521579,14.37,11038744,216026,11254770
18,10073460,.756266191,12.69,11779372,225776,12005148
19,10103074,.557499913,17.27,12236401,226388,12462789
20,10154343,.662256757,14.61,13368147,227137,13595284
21,10239329,.605348194,16.12,13905432,227667,14133099
22,10298229,.503055142,19.52,14379381,227999,14607380
23,10422176,.685373355,14.48,15163081,230339,15393420
24,10970042,.573075797,18.25,16049594,233855,16283449
25,11070098,.590288102,17.87,16625422,233793,16859215
26,11178454,.497658472,21.42,17163260,234381,17397641
27,11476317,.646402925,16.92,18064639,236474,18301113
28,11653108,.677819833,16.39,18938392,234708,19173100
1,2182518,.431003880,4.82,494021,119468,613489
2,2757185,.353465997,7.41,984098,134541,1118639
3,3117942,.371229254,8.00,1457670,142065,1599735
4,3134771,.266497262,11.18,1556557,142716,1699273
5,3179275,.328404913,9.22,1716550,143806,1860356
6,3428842,.326777655,9.97,2132149,146894,2279043
7,3426700,.232809741,14.00,2180370,147128,2327498
8,8486332,.692938503,11.67,4058796,172351,4231147
9,10980071,.716598985,14.61,4973707,186150,5159857
10,11100568,.476697427,22.19,5520219,188201,5708420
11,11106769,.298965785,35.42,5611604,188622,5800226
12,11586094,.665792174,16.58,6502002,200205,6702207
13,9302953,.561987209,15.78,7570891,202202,7773093
14,9617771,.518586524,17.68,8347777,204111,8551888
15,9734271,.456251151,20.33,9133122,206108,9339230
16,9755607,.495067326,18.78,10013215,206563,10219778
17,9876379,.586082561,16.05,11038744,216026,11254770
18,10073460,.543527642,17.66,11779372,225776,12005148
19,10103074,.376758967,25.56,12236401,226388,12462789
20,10154343,.585391282,16.53,13368147,227137,13595284
21,10239329,.438410207,22.26,13905432,227667,14133099
22,10298229,.422201350,23.25,14379381,227999,14607380
23,10422176,.455614940,21.79,15163081,230339,15393420
24,10970042,.534789013,19.55,16049594,233855,16283449
25,11070098,.392599760,26.87,16625422,233793,16859215
26,11178454,.386736478,27.56,17163260,234381,17397641
27,11476317,.504144924,21.70,18064639,236474,18301113
28,11653108,.505993833,21.95,18938392,234708,19173100
1,2182518,.484474497,4.29,494021,119468,613489
2,2757185,.346387577,7.56,984098,134541,1118639
3,3117942,.355773212,8.34,1457670,142065,1599735
4,3134771,.210473399,14.15,1556557,142716,1699273
5,3179275,.217206323,13.94,1716550,143806,1860356
6,3428842,.317177563,10.27,2132149,146894,2279043
7,3426700,.201901452,16.14,2180370,147128,2327498
8,8486332,.705606283,11.46,4058796,172351,4231147
9,10980071,.715543396,14.63,4973707,186150,5159857
10,11100568,.507779483,20.83,5520219,188201,5708420
11,11106769,.469049409,22.57,5611604,188622,5800226
12,11586094,.672088657,16.42,6502002,200205,6702207
13,9302953,.549749105,16.13,7570891,202202,7773093
14,9617771,.440776020,20.80,8347777,204111,8551888
15,9734271,.500900517,18.52,9133122,206108,9339230
16,9755607,.665775911,13.96,10013215,206563,10219778
17,9876379,.516622683,18.21,11038744,216026,11254770
18,10073460,.474543547,20.22,11779372,225776,12005148
19,10103074,.355679570,27.07,12236401,226388,12462789
20,10154343,.588837027,16.43,13368147,227137,13595284
21,10239329,.408705014,23.88,13905432,227667,14133099
22,10298229,.535493779,18.33,14379381,227999,14607380
23,10422176,.449816754,22.07,15163081,230339,15393420
24,10970042,.499294191,20.94,16049594,233855,16283449
25,11070098,.448322266,23.53,16625422,233793,16859215
26,11178454,.428298051,24.88,17163260,234381,17397641
27,11476317,.490940368,22.28,18064639,236474,18301113
28,11653108,.640474484,17.34,18938392,234708,19173100
1,2182518,.488243732,4.26,494021,119468,613489
2,2757185,.415828878,6.30,984098,134541,1118639
3,3117942,.377213877,7.87,1457670,142065,1599735
4,3134771,.249037234,11.96,1556557,142716,1699273
5,3179275,.260841421,11.61,1716550,143806,1860356
6,3428842,.312385925,10.43,2132149,146894,2279043
7,3426700,.248333898,13.12,2180370,147128,2327498
8,8486332,.790556150,10.23,4058796,172351,4231147
9,10980071,.605140979,17.30,4973707,186150,5159857
10,11100568,.461914854,22.90,5520219,188201,5708420
11,11106769,.365293465,28.99,5611604,188622,5800226
12,11586094,.664337714,16.61,6502002,200205,6702207
13,9302953,.576205880,15.39,7570891,202202,7773093
14,9617771,.542323131,16.90,8347777,204111,8551888
15,9734271,.442927661,20.95,9133122,206108,9339230
16,9755607,.509738940,18.24,10013215,206563,10219778
17,9876379,.561079303,16.77,11038744,216026,11254770
18,10073460,.515253820,18.63,11779372,225776,12005148
19,10103074,.366819500,26.25,12236401,226388,12462789
20,10154343,.672229853,14.39,13368147,227137,13595284
21,10239329,.394024653,24.77,13905432,227667,14133099
22,10298229,.424526420,23.13,14379381,227999,14607380
23,10422176,.481145254,20.63,15163081,230339,15393420
24,10970042,.545716044,19.16,16049594,233855,16283449
25,11070098,.434042457,24.30,16625422,233793,16859215
26,11178454,.410074273,25.99,17163260,234381,17397641
27,11476317,.504823112,21.67,18064639,236474,18301113
28,11653108,.612589869,18.13,18938392,234708,19173100
