Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,1c507bcc36824afc54efb6d76e3d1904b9bb9de1,2119444,3.034273391,.66
2,3751fc0d013902d96729a5717bd64c6b4d6a0a6e,2678859,1.842622260,1.38
3,6924be31de94ccaae8b96077037ab312939c0e32,3030771,1.507561419,1.91
4,95f8c266cb9e0f7c0aa04275daee87309da60c49,3048959,.599762152,4.83
5,c7a0232424c0cebf422d1155690ddd89bcf973d7,3093446,.793643907,3.71
6,d3733b28ba685e91957eb785b700fe7f512b2740,3388103,1.880313460,1.71
7,d503c455a2365acd9ae96fdaa212e6a3d012cbb0,3385974,.506752388,6.35
8,da8b321aa1d11d4c3b4c437c9c697fd9b93076a1,8429060,.948859654,8.46
9,9749c7ed7ab0281a7fbcb069ca6de17c547ceefd,10910368,.752808197,13.81
10,b939be9b42d03a5a25a97a654bfe99327632f525,11032334,.602017496,17.47
11,3f6555b76a7f988d1d8c80c585f74a5bc91044b9,11038198,.568418830,18.50
12,c2669fd0ba72856aa53c9bb576ea8aab60e70648,11512567,.831433550,13.19
13,386d25013d9257354004499630a0474936ca9afe,9235257,1.074070513,8.19
14,6fe06c8e77e815cb87687d39246324b0687526ce,9546872,2.315190324,3.93
15,a1f75f0206724ee3858525018e55f44eb153d5ce,9667081,1.100019860,8.37
16,2ae594fe2edc5b517559a266317d2fa18b8817af,9680618,2.110140795,4.37
17,0906e19089d696d0b0b986310417382d10731506,9799352,2.189126328,4.26
18,a7350b8c7d319482804752cae0713134d2fd9c41,9994121,1.824946557,5.22
19,1843b828a431dbf2465b334cf74b103de1a9b1c7,10025623,.640039765,14.93
20,bcb2b288a3c86216e1ec0330dc9ff756379b4960,10077415,1.013092133,9.48
21,df1d229d1ef4148eaf123d297a45485f2316c9ec,10163329,1.543322777,6.27
22,85b4e97ddba39b14c08c3a6d211afca1ee07e975,10222733,2.001206562,4.86
23,5a89a24f011d0b3f6bd2c26a1ac3f32e166bd69a,10344989,1.602912000,6.15
24,d14d8d77a8e3d6533eb035610987072d4368e932,10892125,1.425486042,7.28
25,bac2d2c42bb4b5a95ca65b5f59992fc113fdd6e0,10988954,.740736443,14.13
26,dd0ded1dfcaf0c9a1383c15c367b33747313e4ec,11093195,2.040282982,5.18
27,06d75dbf7be1efa014e5fb5d99d5cfda30091a0c,11476391,1.807956383,6.05
28,98c941aa28ca1a51e3dd7630f0b700bd845de4d7,11653108,2.492855296,4.45
1,1c507bcc36824afc54efb6d76e3d1904b9bb9de1,2119444,.197827469,10.21
2,3751fc0d013902d96729a5717bd64c6b4d6a0a6e,2678859,.265494775,9.60
3,6924be31de94ccaae8b96077037ab312939c0e32,3030771,.206998281,13.96
4,95f8c266cb9e0f7c0aa04275daee87309da60c49,3048959,.035714226,81.20
5,c7a0232424c0cebf422d1155690ddd89bcf973d7,3093446,.070398576,41.90
6,d3733b28ba685e91957eb785b700fe7f512b2740,3388103,.104825821,30.81
7,d503c455a2365acd9ae96fdaa212e6a3d012cbb0,3385974,.039695409,81.11
8,da8b321aa1d11d4c3b4c437c9c697fd9b93076a1,8429060,.093921890,85.49
9,9749c7ed7ab0281a7fbcb069ca6de17c547ceefd,10910368,.076638392,135.70
10,b939be9b42d03a5a25a97a654bfe99327632f525,11032334,.113739518,92.49
11,3f6555b76a7f988d1d8c80c585f74a5bc91044b9,11038198,.114603935,91.79
12,c2669fd0ba72856aa53c9bb576ea8aab60e70648,11512567,.087254534,125.72
13,386d25013d9257354004499630a0474936ca9afe,9235257,.085394011,103.05
14,6fe06c8e77e815cb87687d39246324b0687526ce,9546872,.061663898,147.57
15,a1f75f0206724ee3858525018e55f44eb153d5ce,9667081,.136447788,67.49
16,2ae594fe2edc5b517559a266317d2fa18b8817af,9680618,.093840230,98.35
17,0906e19089d696d0b0b986310417382d10731506,9799352,.066629886,140.17
18,a7350b8c7d319482804752cae0713134d2fd9c41,9994121,.099686639,95.59
19,1843b828a431dbf2465b334cf74b103de1a9b1c7,10025623,.056066172,170.51
20,bcb2b288a3c86216e1ec0330dc9ff756379b4960,10077415,.058309608,164.80
21,df1d229d1ef4148eaf123d297a45485f2316c9ec,10163329,.060588793,159.93
22,85b4e97ddba39b14c08c3a6d211afca1ee07e975,10222733,.061898119,157.35
23,5a89a24f011d0b3f6bd2c26a1ac3f32e166bd69a,10344989,.079203232,124.48
24,d14d8d77a8e3d6533eb035610987072d4368e932,10892125,.074469159,139.38
25,bac2d2c42bb4b5a95ca65b5f59992fc113fdd6e0,10988954,.095281941,109.88
26,dd0ded1dfcaf0c9a1383c15c367b33747313e4ec,11093195,.044361317,238.27
