Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,32717389,3.230170811,9.65,8915951,167957,9083908
2,29490026,1.384733340,20.30,12439743,161006,12600749
3,56090391,4.957411183,10.78,26470877,729947,27200824
4,55668797,1.452225659,36.55,29131847,727965,29859812
5,55699494,1.401955738,37.88,31627783,728199,32355982
6,55693155,.990943003,53.59,32567271,728433,33295704
7,53406036,1.734237283,29.36,36290856,304813,36595669
8,74382330,5.086936590,13.94,53127927,1083027,54210954
9,75204083,2.426624970,29.55,58607798,1088666,59696464
10,75870097,2.126382190,34.02,63006082,1091111,64097193
11,76290428,2.183476749,33.31,67514262,1093163,68607425
12,76604029,1.834506835,39.81,70379554,1094791,71474345
13,113371107,7.791997955,13.87,95028416,1579107,96607523
14,113745479,3.025065963,35.85,100990014,1588000,102578014
15,113819265,1.891286134,57.38,102893404,1590364,104483768
16,114667348,2.859254420,38.24,108449954,1597928,110047882
17,114899111,2.720102286,40.28,113314950,1603912,114918862
18,115001266,2.534886171,43.26,117272045,1608221,118880266
19,128212133,8.233336498,14.85,142008059,1743041,143751100
20,129641986,4.082112632,30.28,149820546,1754164,151574710
21,129733854,2.751990852,44.95,154393961,1760145,156154106
22,130668145,3.467714617,35.93,160833038,1766781,162599819
23,130784622,3.058664150,40.77,166109863,1771393,167881256
24,130813859,2.460715032,50.69,168868718,1772342,170641060
25,131451629,2.537329136,49.40,172529596,1773986,174303582
26,166821106,11.796074800,13.48,207272708,2439621,209712329
27,164784358,4.726344473,33.24,215325434,2450630,217776064
28,166881977,3.738348920,42.57,221152775,2460252,223613027
29,167442913,3.775805945,42.29,226873055,2466908,229339963
30,168577785,4.399326470,36.54,234506380,2481280,236987660
31,168718757,3.369192398,47.75,238853916,2489752,241343668
32,168241070,3.163844474,50.71,242021601,2269981,244291582
33,198333680,12.202294787,15.50,275320600,2990940,278311540
34,200589575,6.683090505,28.62,286206605,3015288,289221893
35,199835025,5.660960566,33.66,296262825,3041334,299304159
36,199831830,4.475000390,42.58,303873498,2850844,306724342
37,200027076,3.780628819,50.45,309289853,2863994,312153847
38,237233878,15.457056382,14.63,353948148,3466699,357414847
39,238468950,5.837560012,38.95,363648742,3485210,367133952
