Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,92997a7bb0b93243d0d95515adcdddac10f55000,32750157,86.452677261,.36
2,7f5c3885e5a34e3e747fb3e3bfe5a0165bf2265e,29522794,8.489083577,3.31
3,555bb66087baad805197d562c06ce56d6b051f86,56123159,15.205543797,3.51
4,4a40347fc1ce703e518030573779a60ad233d306,55701565,9.129769515,5.81
5,3c4bb30dd1838f8262539bf7743117e64888c342,55732262,8.250301287,6.44
6,6e15dcd875f092ee6decfcf9140bc1975f9a27f3,55725923,14.517653512,3.66
7,2965d78a5f9aa91d71a7388964bdc8989f4b0469,53438804,11.421314663,4.46
8,1b5ddb384e75b5b154dcd8cd52c7d886418ae16b,74415098,14.154352511,5.01
9,332a3a754b9c6bf21b6e0bf9d180e3ff82bb4bb7,75236851,15.321199508,4.68
10,ae98d20de36bb7569f4c0641bd500ceaee1e8f8d,75902865,11.458190931,6.31
11,3fdffc528af1d971fdb185d6881ba00ab37743a3,76323196,12.735743461,5.71
12,de2c64e70a205d310529579aaedc89802a364e45,76636797,18.080570918,4.04
13,5c3c7e755e7df055968ab76f501f14940289ced5,113403875,22.053995655,4.90
14,cb0d3b46849fdbcf2d1fa0e3fe848d2792235538,113778247,14.551633041,7.45
15,0faaed81debbe89c130d6f1b9cb98dce685e6da6,113847937,18.059383506,6.01
16,cc03ed40f4d2e0d69527936aa9963a4c19ebda6a,114700116,18.519097728,5.90
17,5909223a5eb4b451490da6815cb9b7846d75acfb,114931879,19.975392175,5.48
18,aac81259d39cae139fbe87acd4b16b65e768a24a,115034034,16.232072976,6.75
19,771d182fbce665d40e842d7c107141aa338c9bb5,128244901,33.186914144,3.68
20,362ffbea4e4bf6fa25e057738d1a53cd8dc43ad0,129670658,17.906543439,6.90
21,a2bd719adcd5f0d6672a3319ecdcc6171eb2bc8c,129762526,25.207825245,4.90
22,1b33a4c7e0c0ff27ac11b2a6c222b05d9dacedf6,130696817,23.985900409,5.19
23,adaca2ddb21c99deecc065efab855c5f19901a00,130813294,19.956546712,6.25
24,93e656387515ffb5858a83db7bf5b50de8ae476d,130846627,25.058466464,4.97
25,df1499621c784839afcbeace14ade7948afd3ffe,131484397,23.839145914,5.25
26,bbeb67c58b85e6e0965592eb728c2d43fde58378,166866162,39.337230512,4.04
27,27b5ef4be8ed19d53fa24ecff49c1cc6daff2547,164821222,21.787924580,7.21
28,7bd7db3d2988b5aa475b1f3a6443cedd39d53d5e,166922937,33.141785064,4.80
29,890f75cdadafedb70af1a12e66b1944b56d15499,167475681,20.572670732,7.76
30,d97f49199bf6908dd83c31f6ea038fb9c5e8ae9f,168614649,30.803706828,5.22
31,09fe9f343b96efc93652cac1b51643d376543c53,168759717,31.092650381,5.17
32,1076a6ef6a6ae1f8fe9dd10b17d5e60f548d139b,168282030,33.762499888,4.75
33,c80a07aa35667c3c3781a181b13309b15ae585e6,198366448,44.198227441,4.28
34,e7c63ebc261abbddb0f65bd9ccb9b4222b00971e,200618247,33.394267017,5.72
35,a2c6134c028c62e8e04a2428e7495844134637b6,199863697,31.895684647,5.97
36,8c97e4fb53c8eef407f4b5d9ec1bed26928972ac,199856406,30.753267457,6.19
37,633468cee2f72dfa3d9b94fa3195cab3be183602,200051652,37.937691617,5.02
38,a031feecb1ffe5f82fdaf693e4b72e1c28764590,237270742,68.102629354,3.32
39,f307ecbd0cf45bd36fed519d2d6a8b7ac69eb66b,238509910,46.451029286,4.89
40,b3ebe72d68a6db862de020ecc5a7d97fae531ae9,240086401,46.965982386,4.87
41,28432f7e45f1f2b33730465403110e01440d3914,266032678,60.873923154,4.16
42,e1233b5fede39a54dd758d5315746f9f17de0d0d,267895079,43.885521097,5.82
43,4d98dc07ed8475adac3684fa88324068e12b4380,268010507,50.668500220,5.04
44,249f24c5471b16fe23fe06cd67bd72dd97aaeb51,268225104,42.627754999,6.00
45,0cb3d5663625371433242db30f257b65a3af1a8b,265844152,41.990738054,6.03
46,90d27298d70f588e85e2bab86d8f9342aac01e66,352596110,79.839709735,4.21
47,af9a4fe30a851feb4c23a425a87c8763c0306fc9,350657894,52.554809827,6.36
48,937b638b38f347e4a23e8b8d433fa5e607b172df,351000192,84.838911362,3.94
49,6176c70a69fed4b40ff22d2420968f6ec6771c7c,353259332,57.061189486,5.90
50,e6e8b9f68513a8e51adc5792aba6bf4d1b375968,353442367,75.936457914,4.43
51,9d0c7d8aa504f7d84a421ee777b5f9837cda6933,353431997,59.586881437,5.65
52,25bba026b40674ed8816e2f96cc6a0e3d4e9ebff,353457050,48.291286162,6.98
53,f1ca543f8b82e684ab6a84e9f0cadb03a5adb5ef,371788452,119.664684052,2.96
54,9c79bb01dc1bfd8e224cdf75f4457b1f792fac66,372030318,59.840253497,5.92
55,96cd206df99e473b6937b9e7313a6de3dad4020d,372333926,58.079484649,6.11
56,8f8695bf2586a0d91a922b2d750327c339e8bc1f,372605603,57.845994550,6.14
57,1339bebe8e23cbdc401bc9443347c3373ccd76d5,372812992,50.047382560,7.10
58,6ac78fb192a84ff4f9afa9c17f2945a3fd087794,373010805,59.263305107,6.00
59,4c2dfff118f8dd5978f7996714bea3ff4567f0f8,373112332,48.304858142,7.36
