Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,34a4ed0235fe4c6fa069802290c983262e950c79,20237220,7.025533021,2.74
2,fec328131e41bf2f0f6083e927a39225b1690200,20304307,4.147329304,4.66
3,7f7cd703124205b32a3422d2ac85bb1996068dfe,20341860,4.671952079,4.15
4,6f99977d4110c9baa7a4ad8c2f134348695f19b7,20362280,6.052517509,3.20
5,18ccdc72404125990edf7b713aeb45c95e62489c,20698589,7.243656858,2.72
6,a34bc08b1165a35541d21ba0257e79b9aa701483,20790499,1.906123843,10.39
7,3e481da84da547f5f0bdae1ccf746a3a30847105,20873578,5.468783030,3.63
8,fab1af1c11a3863961c0268025f021365e7e9bff,21078740,6.237359889,3.22
9,a3370db53bcd564ad7a0ae41d6e8da9fc78d890b,21227178,5.667965135,3.57
10,ae6dc624c362ebe20da3a30bd43941351727f0ff,21386004,6.398152452,3.18
11,657362c2d84c44c53d346aee58abc2adef4cc3e8,21498654,2.740032859,7.48
12,64fc434feb632cb8e42250087b2aecb2b0099fd6,21507592,.763324622,26.86
13,93983612aa3ad23aa8bddf2c315ad65829d2f0e3,21577779,.343741690,59.84
14,54e39f8332a1057517d3fe85f857e28c7b4f23ed,21563266,2.506467459,8.20
15,703e08da473329b34b5dfb75cc21a0cba5ca9751,21657072,.787050009,26.23
16,92c8eedc16432ecc91dfcad6627358035074580c,21788377,1.710933661,12.13
17,8557f5588cfe3e08827423e43a75f1c51acc79c0,21832791,3.575905097,5.82
18,3b06e9a0c097b3c53fff6ce3e61a1d1ecced1eb4,21833427,7.027860341,2.96
19,d91455d30d2afddba78c163226fadb2b915943b6,21837899,8.229699253,2.52
20,63e6e69406d4053d1ddb0b0b5d499b72f0f4c8bd,22086624,5.860592891,3.59
21,6554f525d09cbac72b54dd55c6223570ed79eeca,22113265,6.438758034,3.27
22,b488f6c16a08683b24dd4cdbf5c1ce6308a9acff,22473211,8.821176012,2.42
23,6584f62cac340d542d1feb67d038b0674a681e3b,22528807,5.385631040,3.98
24,efbbb551082270c09cdade8b8a543495d4b5cdf1,22571592,2.023472565,10.63
25,71c5e6747b69ae132fb94f7bec4b8077ec4dbf21,22592770,4.226433707,5.09
26,87e09fd08629901a864e274ac451d3aefae09d6b,22646715,2.967831460,7.27
27,dc1f67d932b3a62fc4412c66b850765f76e36ad8,22707852,5.432210893,3.98
28,7a6fc4104adb2b8290fd875e263996df18dc044c,22710068,8.336200045,2.59
29,a58b94e52762c47103950eefd3dd293f231f26c3,22750440,8.022882963,2.70
30,b294a851428ae87396adc2348610f55b15c81715,22837903,7.971647636,2.73
31,d897d1a1d5c1aba1344906a748d3f7e6d80b28e3,22851488,5.766567545,3.77
32,1dbe821e1c0be20f5e554f22be465f8e069fdf91,22912560,5.587249849,3.91
33,44ef16cbb46bb6b1d2869a2bad32a82671cca8a6,22918926,7.715565699,2.83
34,76f9dbac638b907d937a5e0a7e9453a9c97de71d,22938599,10.396611546,2.10
35,d64200ba5130bc41f0dfc1f9abee56e9c12baf7e,22974213,9.772400622,2.24
36,73ca18e59be4c983154a0c72a9beed3e27c6ce57,23103620,10.830425259,2.03
37,422e9a5b9f736d66443c1f5cc25257e47b518434,23114914,9.617328181,2.29
38,04cfa24ee76330fd81e58652d4e9fc01237ac702,23117673,10.424229936,2.11
39,f0dcb46f801b592e72f0ef37aab63f03caa0f984,23511769,9.106829773,2.46
40,a048f083e03ca8d48781d7274bba5586d1667038,23511769,8.850455827,2.53
41,8a3a220958f70f849fb64041f6b639bfc82c82d7,23709439,7.271512064,3.10
42,8e04cd7f70b30c0cbe9dc4edb95efa89a56e92f4,23862319,6.049752088,3.76
