Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,34616457,1.930495986,17.09,12424635,152014,12576649
2,38557348,1.076729654,34.14,16301829,158993,16460822
3,35738095,.670355774,50.83,16842431,158308,17000739
4,35536618,.514086908,65.92,17112634,152058,17264692
5,35538209,.491981347,68.88,17160360,152092,17312452
6,38617421,.614886276,59.88,17449813,155264,17605077
7,39142519,.559147796,66.74,17740857,161083,17901940
8,39650978,.504918626,74.88,17803808,161421,17965229
9,40425999,.552552375,69.76,18064647,162328,18226975
10,41020690,.553219126,70.71,18393375,163177,18556552
11,41585619,.540329477,73.38,18420596,163517,18584113
12,42148638,.543950711,73.88,18485866,163753,18649619
13,42776701,.557194802,73.20,18661168,165389,18826557
14,43710311,.550288368,75.74,19143449,167586,19311035
15,45486398,.715960084,60.57,19853863,168860,20022723
16,43755730,.639808909,65.20,20099461,167608,20267069
17,44354293,.641143850,65.96,20148800,168500,20317300
18,46629558,.617523431,71.99,20286731,169672,20456403
19,47239039,.618775987,72.80,20476026,175502,20651528
20,47920628,.653024407,69.98,20813017,175562,20988579
21,48925664,.796382005,58.57,21435401,180929,21616330
22,49608561,.725631267,65.19,21739461,182943,21922404
23,51207207,.921600869,52.98,23385901,185872,23571773
24,51793370,.699978897,70.55,23883844,185931,24069775
25,52385283,.701748240,71.17,24195461,186543,24382004
26,53564110,.964038239,52.98,26755714,170498,26926212
27,53989551,.638852128,80.58,27013659,189627,27203286
28,54338805,.660132656,78.49,27265154,171186,27436340
29,54985995,.681720971,76.90,27504848,175001,27679849
30,56230509,.783772118,68.41,28658773,187168,28845941
31,56278130,.648978293,82.69,28716028,187508,28903536
32,56278222,.643624553,83.38,28723734,187849,28911583
33,56278222,.622361894,86.23,28730513,188085,28918598
34,56062835,.651737941,82.02,28875235,187474,29062709
35,60945790,1.362601026,42.65,33432658,187695,33620353
36,61000908,.691615338,84.10,33608196,185707,33793903
37,59178885,1.269045595,44.46,38961999,185894,39147893
38,31068062,2.162121750,13.69,46418200,406306,46824506
39,61151151,1.181362561,49.35,47711584,205258,47916842
40,56280706,.966273056,55.54,48529218,189318,48718536
41,56241220,.804228249,66.68,49226832,191067,49417899
42,61162356,.949393046,61.42,50105370,205590,50310960
43,61162470,.673285370,86.62,50112880,205826,50318706
44,6658202,.634998555,9.98,51067444,158269,51225713
45,6671624,.451496006,14.08,51289735,158697,51448432
46,6984898,.458858305,14.51,51807484,161740,51969224
47,9227260,.904364341,9.71,52828451,167991,52996442
48,8979109,.349171659,24.51,53195754,164250,53360004
49,9034823,.329877281,26.10,53379146,166033,53545179
50,9176711,.599248143,14.60,53574476,168491,53742967
51,9189389,.371216102,23.59,53689356,168583,53857939
52,9209694,.402988112,21.78,53738306,168819,53907125
53,9245107,.419009098,21.02,53918103,169703,54087806
54,9245997,.436973891,20.16,54206111,168857,54374968
55,9485431,.896282663,10.08,54723662,175502,54899164
56,9162148,.579977591,15.05,54841168,169133,55010301
57,9471559,.408859261,22.08,55100141,169290,55269431
