Dataset,TotalLogicalSize_Bytes,GitObjectsSize_Bytes,GitMetadataSize_Bytes,TotalPhysicalSize_Bytes,OCR,ERR,CommitTime_Seconds,RepackTime_Seconds,TotalTime_Seconds
automake-repack,436715292,60551469,179576,60731045,7.2122,7.1909,45.024880989,.000541324,45.025422313
coreutils-repack,240412678,18938392,234708,19173100,12.6944,12.5390,18.387848456,.000533547,18.388382003
gcc-repack,40468435629,2100652340,13144561,2113796901,19.2646,19.1449,1175.093558398,.000537635,1175.094096033
react-repack,2886518499,85623171,1084220,86707391,33.7118,33.2903,70.412620843,.000740325,70.413361168
netty-repack,2332724103,48616204,428289,49044493,47.9824,47.5634,74.798060940,.000523142,74.798584082
Cpython-repack,10093334224,501494388,604825,502099213,20.1265,20.1022,213.410274794,.000541169,213.410815963
linux-repack,205211416948,6016971130,8750471,6025721601,34.1054,34.0559,3364.002957034,.000513692,3364.003470726
WEB-repack,299875782605,1441253968,6373058,1447627026,208.0658,207.1498,3399.646796567,.002937225,3399.649733792
automake-repack,436715292,60551469,179576,60731045,7.2122,7.1909,34.895674809,.000551636,34.896226445
coreutils-repack,240412678,18938392,234708,19173100,12.6944,12.5390,12.925324743,.000485407,12.925810150
gcc-repack,40468435629,2100648244,13144561,2113792805,19.2647,19.1449,1072.815489061,.000506645,1072.815995706
react-repack,2886518499,85623171,1084220,86707391,33.7118,33.2903,57.943197200,.000504418,57.943701618
netty-repack,2332724103,48616204,428289,49044493,47.9824,47.5634,65.517264063,.000514770,65.517778833
Cpython-repack,10093334224,501494388,604825,502099213,20.1265,20.1022,210.593705379,.000532577,210.594237956
linux-repack,205211416948,6016971130,8750471,6025721601,34.1054,34.0559,3347.993306947,.000506824,3347.993813771
WEB-repack,299875782605,1441253968,6373058,1447627026,208.0658,207.1498,3421.570088968,.002880685,3421.572969653
automake-repack,436715292,60551469,179576,60731045,7.2122,7.1909,34.895674809,.000551636,34.896226445
coreutils-repack,240412678,18938392,234708,19173100,12.6944,12.5390,12.925324743,.000485407,12.925810150
gcc-repack,40468435629,2100648244,13144561,2113792805,19.2647,19.1449,1072.815489061,.000506645,1072.815995706
react-repack,2886518499,85623171,1084220,86707391,33.7118,33.2903,57.943197200,.000504418,57.943701618
netty-repack,2332724103,48616204,428289,49044493,47.9824,47.5634,65.517264063,.000514770,65.517778833
Cpython-repack,10093334224,501494388,604825,502099213,20.1265,20.1022,210.593705379,.000532577,210.594237956
linux-repack,205211416948,6016971130,8750471,6025721601,34.1054,34.0559,3347.993306947,.000506824,3347.993813771
WEB-repack,299875782605,1441253968,6373058,1447627026,208.0658,207.1498,3421.570088968,.002880685,3421.572969653
automake-repack,436715292,60551469,179576,60731045,7.2122,7.1909,34.895674809,.000551636,34.896226445
coreutils-repack,240412678,18938392,234708,19173100,12.6944,12.5390,12.925324743,.000485407,12.925810150
gcc-repack,40468435629,2100648244,13144561,2113792805,19.2647,19.1449,1072.815489061,.000506645,1072.815995706
react-repack,2886518499,85623171,1084220,86707391,33.7118,33.2903,57.943197200,.000504418,57.943701618
netty-repack,2332724103,48616204,428289,49044493,47.9824,47.5634,65.517264063,.000514770,65.517778833
Cpython-repack,10093334224,501494388,604825,502099213,20.1265,20.1022,210.593705379,.000532577,210.594237956
linux-repack,205211416948,6016971130,8750471,6025721601,34.1054,34.0559,3347.993306947,.000506824,3347.993813771
WEB-repack,299875782605,1441253968,6373058,1447627026,208.0658,207.1498,3421.570088968,.002880685,3421.572969653
automake-repack,436715292,60551469,179576,60731045,7.2122,7.1909,34.895674809,.000551636,34.896226445
coreutils-repack,240412678,18938392,234708,19173100,12.6944,12.5390,12.925324743,.000485407,12.925810150
gcc-repack,40468435629,2100648244,13144561,2113792805,19.2647,19.1449,1072.815489061,.000506645,1072.815995706
