Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,95072414,5.442915770,16.65,27017233,492205,27509438
2,95172660,1.911093441,47.49,31221788,492536,31714324
3,95633624,2.129665528,42.82,38769577,492762,39262339
4,95710717,1.617139593,56.43,43452998,491731,43944729
5,95767418,1.770793991,51.57,47439749,492411,47932160
6,95874517,1.953770668,46.79,54324656,493095,54817751
7,96031005,1.425781869,64.23,56611673,493489,57105162
8,96073810,1.553118596,58.99,60904004,493811,61397815
9,96156132,.973150405,94.23,61560935,494133,62055068
10,96181716,.982945606,93.31,62250260,494554,62744814
11,96225095,1.058722916,86.67,63085800,494966,63580766
12,96280016,1.090417155,84.19,64062779,495290,64558069
13,96295453,.961264751,95.53,64544060,495702,65039762
14,96159344,1.055194191,86.90,65188989,496026,65685015
15,96211395,.992500292,92.44,65783848,496350,66280198
16,97419644,4.362722245,21.29,80530238,516068,81046306
17,92656128,3.592649190,24.59,92032744,496518,92529262
18,92958211,2.298480659,38.56,98577651,497745,99075396
19,93342477,1.800897883,49.42,102315962,499672,102815634
20,93684968,1.886079748,47.36,106353507,501211,106854718
21,93855134,1.936493108,46.21,110533648,502474,111036122
22,94105945,2.086011994,43.01,115151020,503894,115654914
23,94494954,2.086011363,43.19,119841174,515075,120356249
24,94930340,2.213521803,40.89,124743981,517557,125261538
25,96567704,1.734156674,53.10,127947455,518065,128465520
26,96574342,.964409159,95.49,128423538,518389,128941927
27,96788905,1.807513017,51.06,131663663,519306,132182969
28,97165615,1.408300167,65.79,134990532,519622,135510154
29,97252200,1.360090943,68.18,136699256,520019,137219275
30,97352699,1.217473283,76.25,137708131,519188,138227319
31,97692230,2.300301684,40.49,143071307,520400,143591707
32,97920212,1.660169130,56.24,146223220,521020,146744240
33,97974831,1.604017568,58.24,149024800,521344,149546144
34,98288476,2.148301597,43.62,155739809,522221,156262030
35,98417569,2.416165863,38.84,163644240,522905,164167145
36,98524809,1.936095906,48.53,168055198,526901,168582099
37,98718707,2.074028527,45.38,173006801,530795,173537596
38,98939219,2.381212670,39.62,180798083,531485,181329568
39,99175341,2.103902660,44.95,185767891,532452,186300343
40,99235132,1.138816871,83.09,186829758,532776,187362534
41,99245708,.938398284,100.85,187158860,533188,187692048
42,99616951,1.056112718,89.95,187805125,533512,188338637
43,99673755,.985449900,96.45,188410535,533836,188944371
44,102067239,4.602365952,21.14,203575874,522554,204098428
45,97037979,3.433552008,26.95,211848124,514455,212362579
46,96139199,2.222285478,41.25,216682597,506811,217189408
47,96531666,2.190291758,42.02,221544108,509846,222053954
48,96497220,1.997121048,46.07,225680899,508202,226189101
49,96781557,1.856599993,49.70,230985988,510340,231496328
50,97038998,1.957521853,47.27,235060260,512448,235572708
51,97356817,2.014084051,46.09,239058041,514812,239572853
52,98422334,2.601302076,36.08,245044292,519574,245563866
53,101214785,1.594830173,60.52,247614480,520050,248134530
54,101296041,1.471506959,65.64,249629748,520278,250150026
55,101368542,1.453147612,66.52,251626172,520498,252146670
56,101544694,1.794968065,53.95,254893021,521531,255414552
57,101976969,1.517078025,64.10,256713740,525454,257239194
58,102038483,1.075481829,90.48,257112583,525770,257638353
59,102561389,2.538337400,38.53,263249736,532298,263782034
60,102867616,2.320318193,42.27,268922026,533134,269455160
61,103124716,2.364947680,41.58,274455092,534514,274989606
62,103346421,2.608442905,37.78,281565003,535696,282100699
63,103267224,2.533302252,38.87,289467502,538273,290005775
64,103390545,1.753658679,56.22,293262251,538789,293801040
65,103417233,1.897244765,51.98,296991963,539350,297531313
66,103681907,2.240407567,44.13,303630658,542262,304172920
67,103841211,1.787701630,55.39,307158943,543765,307702708
68,103676757,2.025522538,48.81,312865686,545845,313411531
69,103733404,.997666036,99.15,313400485,546169,313946654
70,107877248,4.903255042,20.97,330146955,566233,330713188
71,98847116,3.867863374,24.37,340407190,516654,340923844
72,99179394,2.717017266,34.81,347345840,532590,347878430
73,99741606,3.074579062,30.93,357105644,538549,357644193
74,100710465,2.705875265,35.49,363914145,543806,364457951
75,101483591,2.498671328,38.73,370053549,548969,370602518
76,102083723,2.447844233,39.76,375688895,555437,376244332
77,103291730,2.845993967,34.61,382634070,563419,383197489
78,103535601,2.349120156,42.02,387921844,565513,388487357
79,103459036,1.930440346,51.10,392900311,566810,393467121
80,103661012,1.764314265,56.02,396078267,567526,396645793
81,103699369,1.698631410,58.21,398908821,569783,399478604
82,106364240,1.723667642,58.84,401297528,571312,401868840
83,107868656,1.228434981,83.74,401681102,569109,402250211
84,108379556,2.558946227,40.38,407698410,574296,408272706
85,108594291,2.074587740,49.91,411892775,575941,412468716
86,108507728,2.326354469,44.48,416876365,578803,417455168
87,108746225,2.309951681,44.89,423450251,580111,424030362
88,108906551,1.371321748,75.73,426008476,580435,426588911
89,107076340,3.920392605,26.04,436508752,573484,437082236
90,107699111,2.734254186,37.56,443139776,580953,443720729
91,108084637,2.417511833,42.63,448614343,582393,449196736
92,108444974,2.335890992,44.27,453770400,583525,454353925
93,108792788,2.802191842,37.02,460670572,586139,461256711
94,109684831,2.800684585,37.34,467579109,589958,468169067
95,110100244,2.917253938,35.98,474879890,593897,475473787
96,111923245,3.277286951,32.56,483534739,600307,484135046
97,114880713,2.489239074,44.00,489219520,601636,489821156
98,115263816,2.148588563,51.15,493491868,602704,494094572
99,115332134,2.081930447,52.82,497747278,603809,498351087
100,115475785,2.049017889,53.74,501494388,604849,502099237
