Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2532649,.676414339,3.56,767999,108066,876065
2,3142928,.357367625,8.36,1525973,118191,1644164
3,3167216,.345369194,8.74,1990816,118865,2109681
4,3167983,.224686953,13.44,2359440,119355,2478795
5,3183711,.238762777,12.69,2702071,119853,2821924
6,2784073,.352103963,7.52,3177239,112740,3289979
7,2787160,.191491541,13.83,3374113,112974,3487087
8,3197956,.271434841,11.19,3755174,120723,3875897
9,3382358,.257976866,12.48,4322729,123589,4446318
10,3404072,.225689828,14.35,4771294,123994,4895288
11,3224021,.245336785,12.51,5145020,121694,5266714
12,3233356,.224446088,13.72,5536915,122010,5658925
13,3236663,.140689569,21.89,5669086,122334,5791420
14,3294796,.297184578,10.56,6089645,122898,6212543
15,3295068,.157462886,19.94,6226661,123134,6349795
16,3302334,.290241485,10.81,6607162,123458,6730620
17,3294749,.206624520,15.19,6905783,123694,7029477
18,3300186,.204905113,15.32,7197897,124090,7321987
19,3392266,.232143847,13.91,7565245,126118,7691363
20,3843754,.560457988,6.53,8746686,131423,8878109
21,3397020,.341714812,9.45,9133380,126670,9260050
22,3453396,.228285838,14.41,9553985,127082,9681067
23,3470840,.243245366,13.60,9988566,127494,10116060
24,3518664,.225457141,14.85,10438950,128066,10567016
25,3525648,.245829092,13.66,10937210,128470,11065680
26,3575277,.316530072,10.74,11567920,129386,11697306
27,3574473,.236938458,14.34,11947683,129622,12077305
28,3865717,.269406157,13.65,12447613,133815,12581428
29,3968673,.407411225,9.27,13266223,135051,13401274
30,1503895,.269322592,5.30,13645735,95806,13741541
31,1992552,.318476099,5.96,14151179,110179,14261358
32,2532649,.178954499,13.46,14152490,115367,14267857
33,3197956,.204324486,14.87,14153801,126622,14280423
34,3392266,.149777973,21.56,14155113,129658,14284771
35,3865717,.273801442,13.44,14156424,135467,14291891
36,1721621,.382998492,4.28,14652198,107551,14759749
37,1213331,.173655688,6.62,14854169,93889,14948058
38,1725648,.237027425,6.91,15082260,107847,15190107
39,2038112,.240352292,8.07,15330285,113675,15443960
40,2789653,.204458726,13.00,15461601,120847,15582448
41,3301781,.242548763,12.94,15600384,129518,15729902
42,3576601,.326009432,10.45,15889993,133162,16023155
43,1992652,.224535464,8.46,16176327,108779,16285106
44,1563869,.280096579,5.31,16377034,101398,16478432
45,1581556,.226357445,6.62,16544435,102506,16646941
46,6155970,.659952744,8.89,18636202,192141,18828343
47,1289577,.215494625,5.66,18924631,94322,19018953
48,1192592,.204041838,5.53,19182534,93134,19275668
49,1217769,.217340254,5.33,19348223,99937,19448160
50,1531623,.226377707,6.44,19548019,101366,19649385
51,1224559,.152928709,7.58,19679592,100329,19779921
52,1205007,.233968906,4.87,19765557,99693,19865250
53,4365323,.471851944,8.81,20914357,148613,21062970
54,4031337,.343925658,11.16,21482119,141975,21624094
55,4090535,.267238332,14.59,22048675,142995,22191670
56,4418417,.525748008,8.00,23188987,150553,23339540
57,6229166,.599692314,9.90,24978727,190411,25169138
58,6254372,.229362810,25.98,25224989,190999,25415988
59,4455956,.357324715,11.86,25715339,151773,25867112
60,5140197,.565239780,8.66,27023209,167334,27190543
61,5145432,.250361908,19.57,27388031,167570,27555601
62,4928187,.297448753,15.76,28009476,169259,28178735
63,4932535,.247959910,18.95,28339558,169503,28509061
64,4974578,.237576622,19.95,28686496,170851,28857347
65,4977919,.218595325,21.68,28940195,170999,29111194
66,4980576,.226735003,20.90,29092971,171323,29264294
67,4981037,.187386703,25.34,29137451,171559,29309010
68,6260836,.369596213,16.15,29474983,193527,29668510
69,6390362,.691041137,8.81,31369085,196276,31565361
70,6313586,.418519046,14.38,32053990,194975,32248965
71,6318595,.201778340,29.83,32194476,195240,32389716
72,6347171,.684912260,8.83,33647354,196524,33843878
73,6341402,.400253919,15.09,34437900,196048,34633948
74,6347055,.294855308,20.51,34886337,196540,35082877
75,6359818,.290083464,20.89,35303542,197112,35500654
76,6391647,.227067031,26.82,35599082,197652,35796734
77,6391642,.294802333,20.65,35691176,198164,35889340
78,6538345,.789380619,7.89,37933680,202884,38136564
79,6401540,.438947336,13.89,38781613,199388,38981001
80,6404317,.342322691,17.81,39115906,199504,39315410
81,6434296,.300354863,20.40,39528749,200100,39728849
82,6435221,.263553146,23.25,39877413,200336,40077749
83,6434662,.303816434,20.17,40281484,200748,40482232
84,6436136,.197774439,30.99,40385688,200984,40586672
85,6444754,.242397438,25.33,40595783,201676,40797459
86,6549675,.267371735,23.33,40807123,205548,41012671
87,6556548,.253537908,24.65,41168554,205816,41374370
88,6575834,.799879052,7.83,43310045,206876,43516921
89,6642067,.831127951,7.61,45578193,207184,45785377
90,6661426,.805948276,7.87,47855203,207951,48063154
91,6901603,.857483588,7.67,50238721,210539,50449260
92,6663011,.514669716,12.33,50615087,208503,50823590
93,6670050,.806856121,7.88,52880607,208923,53089530
94,6815532,.358078596,18.12,53579240,209895,53789135
95,6843458,.862486937,7.55,55880013,210467,56090480
96,6848945,.363446261,17.96,56344983,210703,56555686
97,6925867,.846682405,7.79,58666281,211955,58878236
98,6936541,.410212106,16.11,59673073,212295,59885368
99,6944582,.224743632,29.45,59958609,212611,60171220
100,4959238,.424621901,11.11,60551469,179600,60731069
