Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,198932586,11.807954863,16.06,52951779,1693087,54644866
2,203170075,8.162952843,23.73,80183759,1718434,81902193
3,201379784,4.361592188,44.03,89757489,1712054,91469543
4,202001104,2.567804811,75.02,91877117,1714774,93591891
5,202421962,2.699385560,71.51,94062803,1717965,95780768
6,202551971,2.094164728,92.23,94670740,1719457,96390197
7,203142928,2.090838224,92.65,95165183,1719596,96884779
8,209474517,7.955453295,25.11,121340282,1793665,123133947
9,206185412,4.406361224,44.62,130008925,1757076,131766001
10,206101163,2.193339524,89.61,131104813,1757217,132862030
11,206747690,2.661669312,74.07,133213630,1765561,134979191
12,209287831,2.618999044,76.20,134807787,1793160,136600947
13,209400444,2.097714277,95.19,135315938,1794356,137110294
14,209442438,1.999267081,99.90,135620330,1794680,137415010
15,209471141,2.106741912,94.81,135861303,1795316,137656619
16,213859628,7.622350730,26.75,160760988,1827069,162588057
17,212903056,3.787972399,53.60,167542826,1824968,169367794
18,213133328,2.521921032,80.59,169214721,1826996,171041717
19,213609387,2.408565314,84.57,170530314,1826792,172357106
20,213842345,2.180149532,93.53,170911744,1827821,172739565
21,213853535,2.114578768,96.44,171122927,1828153,172951080
22,217810317,8.607993887,24.13,199919128,1868438,201787566
23,217914677,3.879473013,53.56,207334360,1868804,209203164
24,217797201,2.518234501,82.47,208890416,1868894,210759310
25,217817349,2.251047983,92.27,209596206,1869138,211465344
26,217831404,2.109651912,98.47,209933011,1869374,211802385
27,217814780,2.180482315,95.26,210466206,1869618,212335824
28,217802064,2.196190155,94.57,210898057,1869854,212767911
29,217808150,2.062067436,100.72,211100218,1870090,212970308
30,223347298,9.316052811,22.86,242597692,1910530,244508222
31,222527864,4.863350167,43.63,253393964,1906866,255300830
32,223081536,3.150724443,67.52,256622506,1910112,258532618
33,223268371,2.757111838,77.22,258849328,1911152,260760480
34,223326076,2.385807247,89.26,259812427,1911570,261723997
35,223305456,2.287753358,93.08,260438194,1911622,262349816
36,223332821,2.310389372,92.18,260879601,1911858,262791459
37,225821373,9.271540628,23.22,291704776,1943274,293648050
38,226889655,4.445679853,48.66,300918695,1945716,302864411
39,225528153,2.888255115,74.46,303514240,1942209,305456449
