Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,34616457,1.832249093,18.01,12424635,152038,12576673
2,38557348,.944684697,38.92,16301829,159017,16460846
3,35738095,.618200292,55.12,16842431,158332,17000763
4,35536618,.500697006,67.68,17112634,152082,17264716
5,35538209,.389305522,87.05,17160360,152116,17312476
6,38617421,.518766147,70.97,17449813,155288,17605101
7,39142519,.549449147,67.92,17740857,161107,17901964
8,39650978,.467257768,80.91,17803808,161445,17965253
9,40425999,.487283605,79.11,18064647,162352,18226999
10,41020690,.503736354,77.65,18393375,163201,18556576
11,41585619,.480410229,82.53,18420596,163541,18584137
12,42148638,.521066290,77.13,18485866,163777,18649643
13,42776701,.464007425,87.90,18661168,165413,18826581
14,43710311,.501372830,83.13,19143449,167610,19311059
15,45486398,.705877249,61.44,19853863,168884,20022747
16,43755730,.506191330,82.41,20099461,167632,20267093
17,44354293,.467489461,90.46,20148800,168524,20317324
18,46629558,.519421294,85.59,20286731,169696,20456427
19,47239039,.517824743,86.99,20476026,175526,20651552
20,47920628,.565706170,80.78,20813017,175586,20988603
21,48925664,.645504406,72.26,21435401,180953,21616354
22,49608561,.595150594,79.49,21739461,182967,21922428
23,51207207,.788398004,61.93,23385901,185896,23571797
24,51793370,.592802763,83.31,23883844,185955,24069799
25,52385283,.553255648,90.28,24195461,186567,24382028
26,53564110,.867261141,58.89,26755714,170522,26926236
27,53989551,.564973312,91.11,27013659,189651,27203310
28,54338805,.566778318,91.42,27265154,171210,27436364
29,54985995,.535604095,97.88,27504848,175025,27679873
30,56230509,.716396873,74.84,28658773,187192,28845965
31,56278130,.493605069,108.73,28716028,187532,28903560
32,56278222,.532125910,100.85,28723734,187873,28911607
33,56278222,.526820065,101.87,28730513,188109,28918622
34,56062835,.523835956,102.05,28875235,187498,29062733
35,60945790,1.199530765,48.45,33432658,187719,33620377
36,61000908,.589993234,98.59,33608196,185731,33793927
37,59178885,1.110888452,50.79,38961999,185918,39147917
38,31068062,2.011402902,14.72,46418200,406330,46824530
39,61151151,1.092110417,53.39,47711584,205282,47916866
40,56280706,.871418185,61.58,48529218,189342,48718560
41,56241220,.757142001,70.83,49226832,191091,49417923
42,61162356,.899764033,64.81,50105370,205614,50310984
43,61162470,.599236717,97.32,50112880,205850,50318730
44,6658202,.589808023,10.74,51067444,158293,51225737
45,6671624,.253989031,25.04,51289735,158721,51448456
46,6984898,.399592448,16.66,51807484,161764,51969248
47,9227260,.608730442,14.43,52828451,168015,52996466
48,8979109,.335312046,25.52,53195754,164274,53360028
49,9034823,.293702313,29.31,53379146,166057,53545203
50,9176711,.299887300,29.17,53574476,168515,53742991
51,9189389,.248537375,35.24,53689356,168607,53857963
52,9209694,.249089327,35.24,53738306,168843,53907149
53,9245107,.256326730,34.37,53918103,169727,54087830
54,9245997,.327711681,26.88,54206111,168881,54374992
55,9485431,.372877619,24.24,54723662,175526,54899188
56,9162148,.290735794,30.02,54841168,169157,55010325
57,9471559,.289434796,31.19,55100141,169314,55269455
58,9169132,.275616095,31.71,55223221,169757,55392978
59,9542925,.371048684,24.52,55664202,176935,55841137
60,9548647,.215950201,42.13,55710120,177171,55887291
61,10752056,.568948643,18.01,56909685,188018,57097703
62,10790619,.523100788,19.67,57817973,190176,58008149
63,10801329,.281452169,36.59,57992087,190779,58182866
64,11096549,.440988083,23.99,58556573,193435,58750008
65,10801642,.319034077,32.28,58591315,191251,58782566
66,10982102,.367631420,28.47,58864294,193019,59057313
67,11100834,.297377046,35.57,59059630,193999,59253629
68,11360361,.442419897,24.47,59525170,197619,59722789
69,11402724,.306985879,35.40,59705740,197952,59903692
70,11703223,.447654776,24.92,60202594,205614,60408208
71,11420117,.300746264,36.20,60315722,198657,60514379
72,11903936,.438292953,25.89,60777959,207498,60985457
73,11719542,.333745367,33.46,61009237,206912,61216149
74,11908987,.311556804,36.42,61084033,207970,61292003
75,11961218,.318319845,35.81,61332899,208662,61541561
76,11972802,.333621156,34.20,61406240,208898,61615138
77,11990287,.335362785,34.08,61494458,209134,61703592
78,12056274,.290812051,39.51,61638199,209514,61847713
79,12069646,.302789152,38.01,61744610,209750,61954360
80,12940032,.676416118,18.24,62827788,221245,63049033
81,12149457,.536030145,21.60,63401406,214275,63615681
82,12940032,.364818307,33.82,63402716,221717,63624433
83,15778518,.772904001,19.45,64862814,278372,65141186
84,15778779,.322288099,46.66,64879439,278608,65158047
85,15778786,.295177229,50.95,64932844,278844,65211688
86,15871648,.597731141,25.31,65777764,280378,66058142
87,16341090,.495543516,31.44,66337485,286679,66624164
88,16570602,.841293017,18.78,67881053,287626,68168679
89,16560393,.360032174,43.85,68093016,287862,68380878
90,31068062,.719233664,41.18,68094327,418602,68512929
91,19257030,.478578807,38.36,68324003,315769,68639772
92,19257196,.331262518,55.42,68336872,316005,68652877
93,19254232,.328835812,55.83,68348879,316241,68665120
94,24097471,1.413173769,16.26,71743593,401905,72145498
95,24312533,.769653690,30.11,72987817,402057,73389874
96,24484590,.746581504,31.27,74162372,404802,74567174
97,24511611,.532828060,43.86,74480326,405150,74885476
98,24511689,.460593024,50.73,74499514,405386,74904900
99,38230903,3.048782846,11.95,81935065,1198403,83133468
100,34457680,1.737947131,18.90,85623171,1084244,86707415
