Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2893228259,198.129597806,13.92,312449268,4978113,317427381
2,2903100297,27.900503475,99.23,320445065,4994267,325439332
3,2881462834,25.717478382,106.85,326431678,4961612,331393290
4,2922130606,25.688747348,108.48,333055351,5354166,338409517
5,2895546390,25.059414391,110.19,338746202,5313407,344059609
6,2927986922,27.026864677,103.31,344427330,5363042,349790372
7,2928351910,26.607968026,104.95,350641905,5364024,356005929
8,2959977391,34.848428658,81.00,356936856,6324338,363261194
9,2942618555,34.344164455,81.71,361707332,6291863,367999195
10,2942116427,35.686521998,78.62,366384207,6294213,372678420
11,2920556300,32.236133212,86.40,369776223,6256161,376032384
12,2918667000,31.355037216,88.77,373788081,6256486,380044567
13,2965411592,35.623185855,79.38,380491164,6370860,386862024
14,2942774093,34.331867229,81.74,385081183,6292127,391373310
15,2963781990,33.545948968,84.25,388725075,6321588,395046663
16,2958441649,31.050065994,90.86,391696227,6318263,398014490
17,3002117829,34.593178731,82.76,395746717,6437800,402184517
18,3022834252,34.550844633,83.43,399604911,6472709,406077620
19,3025366345,33.740522076,85.51,402868553,6477874,409346427
20,3003673086,36.780479196,77.88,406829001,6398396,413227397
21,2954336947,33.265468905,84.69,410755654,6313420,417069074
22,2913028259,35.229508251,78.85,414489282,6243447,420732729
23,2885221566,32.270419747,85.26,418174375,6195987,424370362
24,2874752789,30.839886939,88.89,422045320,6172039,428217359
25,2889635810,30.675012931,89.83,425486528,6197593,431684121
26,2897811142,31.682821422,87.22,428417623,6211652,434629275
27,2888732397,34.522598177,79.79,432072834,6197669,438270503
28,2887493021,32.730103003,84.13,435250593,6193510,441444103
29,2894631484,31.452023853,87.76,439146812,6203624,445350436
30,2898888817,32.383824230,85.36,443168028,6209225,449377253
31,2913442241,33.674567934,82.50,447218873,6235156,453454029
32,2876263451,30.878828642,88.83,450093576,6172365,456265941
33,2841581538,29.702641756,91.23,452911901,6114193,459026094
34,2889946546,63.063518874,43.70,506516322,6184785,512701107
35,2904322746,60.106140407,46.08,552561743,6208455,558770198
36,2916945453,55.722174953,49.92,588265423,6231812,594497235
37,2909444762,54.188805392,51.20,621190351,6219043,627409394
38,2932161032,52.642954882,53.11,647030193,6254992,653285185
39,2909333243,48.437386083,57.28,667846657,6215889,674062546
40,2909799725,49.064894806,56.55,688492611,6216035,694708646
41,2931458560,50.036242646,55.87,709188510,6251425,715439935
42,2909014987,46.829890253,59.24,725963305,6214225,732177530
