Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,9aab3fdefd0f6a3818e30747b9745f9bdfc522ae,2549033,.281335388,8.63
2,f8daa5c8369373ca770d36529a5141c1fed767c4,3159312,.227403716,13.23
3,01809a5880332c13aca8c8f1a9beacbf37a1eef5,3183600,.099153858,30.55
4,0ed0ada4871c6a815fcc64640b88e7a2ec0fc011,3184367,.070223194,43.14
5,670618ceae0f70fee9c26caedf56161a8585feae,3200095,.059311785,51.42
6,9c02a863a4f9d395ef5cf0cf4305a0597b6af817,2800457,.069600605,38.36
7,2c88f8f3372c46f7da30a2d5a95571ce31ccb82b,2803544,.056011895,47.66
8,2bce332575bc6d41db46ae89bc4c747284a7e657,3214340,.088043622,34.75
9,83fc08d7d44277408ea46c7f98eb7495785139bd,3398742,.123747584,26.18
10,ac74d58a69839b3adc73159d22e64faf53261a86,3420456,.091551155,35.60
11,ba776c097d9139bd52c75666822f7acb282a9182,3240405,.108531907,28.47
12,94f5e8b2303521aa7d0ccbc562fdddded452c2b7,3249740,.091390422,33.81
13,57b85cca9116ed3a44e3ee3790122bb4ef16a183,3253047,.101060350,30.67
14,3d6b1bdbffff3622b070026b39edef4a45989795,3311180,.055784352,56.46
15,2bd7c26d4a95b79534eee28a51fc087ab97738dd,3311452,.047923014,65.73
16,3a16cd7aaef30e8f0f69b94db48bfba8bbcac627,3318718,.086245341,36.63
17,592fd8fbe96e9881951b1f633ef249a47d8f2b11,3311133,.064950023,48.49
18,35e9bef23399538aea2080a6ccd8e681d4456c99,3316570,.075231184,42.00
19,ed7954eb3380cc60c9c265c53eddee4783e03be7,3408650,.066303171,49.01
20,a8755f2055e0ab84426a0b4c30fef8ae000a9fbb,3860138,.092432930,39.81
21,d781e18a543942240c7f0be9406781eb142fff26,3413404,.103879487,31.28
22,a76d253abff4aeff63d8fc1eacda247eb93961cd,3469780,.073288453,45.02
23,0137944c008beb458cd15c2d69c0aa1b83720857,3487224,.072855103,45.56
24,d853813309f2b8037f073dc858a08f3876b07337,3535048,.074762334,45.07
25,c9092457d5b5ac7fc9454144b9c4310560f2d6de,3542032,.062009581,54.34
26,6011d2ff08cbd32b62d48abf3b9ca61331f9096e,3591661,.083557561,40.92
27,3f319006b45b5067908e34d5c76882bee733a695,3590857,.075248110,45.44
28,8f7bd12e64ea80b57e9eb6cdc1bf65060b76e2d6,3882101,.159985771,23.12
29,45ed4be004f1f771270c85721dec95d453d4b923,3985057,.101737187,37.35
30,35c2f55320b6485851b241340741a06f658a299f,1528471,.049772835,29.13
31,559cfdcd6ef00cf140ddd2dd4ff099fabbf9d689,2013032,.112719368,16.94
32,d5caff9cd3fd9fef5f37c749275f11a8a210e505,2549033,.057158349,42.51
33,249ebd2e6a4dd662c8231068938df2cee286110b,3214340,.063908995,47.88
