Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2182518,.467944461,4.44,486664,119396,606060
2,2757185,.428770076,6.11,970629,134469,1105098
3,3117942,.491225445,6.04,1439432,141993,1581425
4,3134771,.269577190,11.05,1534666,142644,1677310
5,3179275,.251664775,12.03,1690883,143734,1834617
6,3428842,.468249174,6.96,2102710,146822,2249532
7,3426700,.279916832,11.64,2148616,147056,2295672
8,8486332,.774545913,10.44,4014295,172279,4186574
9,10980071,.507704470,20.62,4887557,186078,5073635
10,11100568,.447473233,23.64,5427106,188129,5615235
11,11106769,.306819834,34.51,5512033,188550,5700583
12,11586094,.589154855,18.73,6397979,200133,6598112
13,9302953,.547807095,16.19,7458935,202130,7661065
14,9617771,.535606626,17.12,8230084,204039,8434123
15,9734271,.567796190,16.34,9008221,206036,9214257
16,9755607,.575636529,16.15,9880687,206491,10087178
17,9876379,.644950390,14.59,10900695,215954,11116649
18,10073460,.583918504,16.44,11635374,225704,11861078
19,10103074,.464411389,20.73,12087620,226316,12313936
20,10154343,.697896994,13.87,13210712,227065,13437777
21,10239329,.439676933,22.19,13742994,227595,13970589
22,10298229,.455707024,21.54,14212038,227927,14439965
23,10422176,.603368759,16.45,14990142,230267,15220409
24,10970042,.532056350,19.65,15873399,233783,16107182
25,11070098,.489414752,21.55,16445302,233721,16679023
26,11178454,.484317286,22.01,16978883,234309,17213192
27,11476317,.637640784,17.15,17875187,236402,18111589
28,11653108,.590661927,18.80,18744706,234636,18979342
