Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,32717389,2.759151994,11.30,8831926,167885,8999811
2,29490026,1.647475556,17.06,12355336,160934,12516270
3,56090391,4.542542220,11.77,26226044,729217,26955261
4,55668797,1.475713634,35.96,28886914,727276,29614190
5,55699494,1.482586087,35.82,31382850,727510,32110360
6,55693155,.920168465,57.71,32322231,727744,33049975
7,53406036,1.935004487,26.32,36045053,304124,36349177
8,74382330,5.448882303,13.01,52697371,1082338,53779709
9,75204083,2.628190577,27.28,58133441,1087977,59221418
10,75870097,2.344034300,30.86,62518861,1090422,63609283
11,76290428,2.377939599,30.59,67017871,1092474,68110345
12,76604029,1.769114434,41.29,69874576,1094102,70968678
13,113371107,8.601242806,12.56,94005352,1578418,95583770
14,113745479,3.159872748,34.32,99930290,1587311,101517601
15,113819265,1.907242547,56.90,101827629,1589675,103417304
16,114667348,3.068209247,35.63,107371602,1597239,108968841
17,114899111,2.850651632,38.43,112223558,1603223,113826781
18,115001266,2.621356698,41.83,116178342,1607532,117785874
19,128212133,9.130745187,13.39,140060345,1742352,141802697
20,129641986,4.293481763,28.79,147730589,1753475,149484064
21,129733854,2.991734512,41.35,152294633,1759456,154054089
22,130668145,3.879855353,32.11,158662672,1766092,160428764
23,130784622,3.315311329,37.61,163931549,1770704,165702253
24,130813859,2.380731644,52.39,166689787,1771653,168461440
25,131451629,2.644386166,47.40,170302922,1773297,172076219
26,166821106,13.120400112,12.12,203784141,2433475,206217616
27,164784358,4.922955851,31.92,211686209,2444525,214130734
28,166881977,3.850412389,41.33,217475419,2454147,219929566
29,167442913,4.128582954,38.67,223058050,2460803,225518853
30,168577785,4.853616343,33.12,230665492,2475175,233140667
31,168718757,3.409045578,47.19,235010732,2483647,237494379
32,168241070,2.971353519,53.99,238175197,2263876,240439073
33,198333680,12.573222867,15.04,270439162,2983142,273422304
34,200589575,6.431686085,29.74,280808652,3007531,283816183
35,199835025,5.899562217,32.30,290448168,3033577,293481745
36,199831830,4.616344962,41.28,298041862,2843087,300884949
37,200027076,3.997021734,47.72,303447606,2856237,306303843
38,237233878,16.578700297,13.64,346372191,3457721,349829912
39,238468950,6.166593779,36.87,355484101,3476273,358960374
40,240057729,6.958338492,32.90,367049049,3521914,370570963
41,266028582,13.608392664,18.64,401659356,3976446,405635802
42,267895079,6.459411293,39.55,409603160,3982819,413585979
43,268010507,8.362050498,30.56,425816321,3987351,429803672
44,268216912,6.110093652,41.86,433543627,3993123,437536750
45,265840056,4.575212417,55.41,438336513,3995606,442332119
46,352587918,22.097761684,15.21,496670826,6785484,503456310
47,350653798,8.024057561,41.67,507599283,6804361,514403644
48,350996096,6.459698715,51.81,515501568,6814597,522316165
49,353255236,6.336594272,53.16,522804366,6831625,529635991
50,353438271,6.253384600,53.90,529524406,6846125,536370531
51,353427901,6.084882029,55.39,535220112,6853897,542074009
52,353452954,5.404799157,62.36,538678127,6854289,545532416
53,371780260,21.944370940,16.15,590661865,7295648,597957513
54,372022126,7.332889676,48.38,762711382,7314314,770025696
55,372317542,7.854628530,45.20,239280346,7325474,246605820
56,372581027,6.402619916,55.49,245934270,7344785,253279055
57,372784320,5.868679236,60.57,251182158,7361517,258543675
58,372986229,6.239166524,57.01,257374554,7370314,264744868
59,373087756,5.556670812,64.03,261621892,7375534,268997426
60,373150015,5.665344693,62.81,265621407,7381138,273002545
61,388600680,18.667588222,19.85,308871020,7705065,316576085
62,389179254,9.565266386,38.80,320159860,7723872,327883732
63,390466995,7.202241244,51.70,328583098,7737780,336320878
64,390701350,6.617913338,56.30,335622510,7750200,343372710
65,390890724,6.807755090,54.75,342594603,7763462,350358065
66,424907901,22.095856409,18.33,392439665,8297429,400737094
67,426201401,10.597073339,38.35,405815059,8327001,414142060
68,427529725,10.011925512,40.72,417456462,8345600,425802062
69,427767802,7.806284058,52.25,425147710,8359299,433507009
70,427898671,7.966876269,51.22,433231795,8371647,441603442
71,460844155,19.729970420,22.27,478953845,8834317,487788162
72,461492436,11.312441117,38.90,492539692,8857208,501396900
73,462797338,11.181749983,39.47,504975414,8874180,513849594
74,463112019,11.543807983,38.25,520220593,8897917,529118510
75,463294063,8.263579040,53.46,528701910,8913019,537614929
76,484215784,25.138433567,18.36,585339178,9214951,594554129
77,484462766,8.837834539,52.27,594795759,9234637,604030396
78,480326242,9.141223397,50.11,605212935,9236462,614449397
79,481626298,9.903719089,46.37,618011606,9282030,627293636
80,481860544,8.392362232,54.75,626171369,9293882,635465251
81,482086018,7.988856604,57.54,633425153,9307094,642732247
82,504725326,24.364490014,19.75,687512627,9790661,697303288
83,505441115,9.540796669,50.52,697881176,9824544,707705720
84,505804261,9.100337109,53.00,707620883,9844398,717465281
