Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,20237220,1.927956257,10.00,3683740,503235,4186975
2,20304307,.626401672,30.90,4128871,504206,4633077
3,20341860,.532550505,36.40,4322162,505255,4827417
4,20362280,.502520569,38.62,4445878,505793,4951671
5,20698589,.622298858,31.70,4869348,512110,5381458
6,20790499,.581371563,34.09,5190252,513224,5703476
7,20873578,.584962529,34.01,5511330,515412,6026742
8,21078740,.649804618,30.93,6044568,518755,6563323
9,21227178,.616810753,32.81,6408549,521305,6929854
10,21386004,2.158660894,9.44,10157088,525047,10682135
11,21498654,.545744302,37.56,10418407,528314,10946721
12,21507592,.538621058,38.07,10565993,528550,11094543
13,21577779,.545860087,37.68,10777676,530036,11307712
14,21563266,.490414613,41.92,10830995,529383,11360378
15,21657072,.709644985,29.09,11243647,531093,11774740
16,21788377,.684075516,30.36,11742586,532825,12275411
17,21832791,.619928210,33.58,12121984,533661,12655645
18,21833427,.455881262,45.66,12178343,533897,12712240
19,21837899,.484934760,42.93,12262762,534133,12796895
20,22086624,.724048030,29.08,13016969,536529,13553498
21,22113265,.501173742,42.06,13153512,536765,13690277
22,22473211,1.180972322,18.14,14637360,541958,15179318
23,22528807,.700914984,30.64,15198957,542882,15741839
24,22571592,.816649180,26.35,15858773,544511,16403284
25,22592770,.590444023,36.48,16184598,544714,16729312
26,22646715,.561864394,38.42,16352086,545623,16897709
27,22707852,.635296656,34.07,16673457,546792,17220249
28,22710068,.514515481,42.07,16728425,547132,17275557
29,22750440,.591226445,36.68,16996542,547640,17544182
30,22837903,.587929694,37.02,17281828,549097,17830925
31,22851488,.619356512,35.18,17576705,550053,18126758
32,22912560,.641687943,34.05,17898479,551161,18449640
33,22918926,.549034289,39.79,18060355,551397,18611752
34,22938599,.632341527,34.58,18374911,551754,18926665
35,22974213,.614838880,35.61,18603391,552422,19155813
36,23103620,.672921699,32.73,18993919,554861,19548780
37,23114914,.544662121,40.46,19146970,555382,19702352
38,23117673,.553752616,39.80,19259397,555618,19815015
39,23511769,.614413040,36.49,19496070,564326,20060396
40,23511769,.525697582,42.64,19549863,564562,20114425
41,23709439,.696919203,32.44,19841412,566834,20408246
42,23862319,.607609649,37.44,20080910,569044,20649954
43,23895213,.587010494,38.80,20325485,569625,20895110
44,24010805,.718970589,31.83,20843804,571884,21415688
45,24011659,.520602322,43.96,20917847,572120,21489967
46,24033959,.588483570,38.94,21118148,572356,21690504
47,24064386,.582994740,39.34,21367251,572856,21940107
48,24101564,.565023674,40.67,21572573,574036,22146609
49,24132508,.605692257,37.98,21830292,574248,22404540
50,24154992,.607968768,37.88,22112914,574604,22687518
51,24193274,.606179508,38.05,22395088,575552,22970640
52,24192636,.643892671,35.82,22674920,563479,23238399
53,24222621,.568949743,40.60,22922089,564028,23486117
54,24254001,.678313272,34.09,31785873,564544,32350417
55,24267712,.544882104,42.46,9510323,565016,10075339
56,24284353,.552954306,41.86,9661882,566036,10227918
57,24323473,.621632799,37.30,9917297,566819,10484116
58,24423603,.644300992,36.14,10239974,567663,10807637
59,24423710,.507165251,45.92,10296872,567899,10864771
60,24423710,.525780651,44.29,10352586,568135,10920721
61,24449714,.590367739,39.48,10588681,569003,11157684
62,24453225,.547562564,42.58,10680577,569239,11249816
63,24518300,.665534666,35.12,11036117,570787,11606904
64,24587351,.666850291,35.15,11484243,572208,12056451
65,24672162,.641236345,36.67,11778009,574071,12352080
66,24791802,.788299322,29.98,12350754,576085,12926839
67,24828042,.622328883,38.03,12590475,576769,13167244
68,24857708,.612807495,38.67,12912043,577269,13489312
69,24883530,.621647873,38.17,13140982,577505,13718487
70,24975182,.701719800,33.93,13585777,579029,14164806
71,25003159,.618365250,38.55,13911437,579833,14491270
72,25072694,.554850917,43.09,14100823,581138,14681961
73,25082407,.652553899,36.65,14367588,581646,14949234
74,25102033,.613673793,38.99,14615281,582202,15197483
75,25117816,.572897355,41.80,14794195,582574,15376769
76,25138002,.650667656,36.83,15089967,582970,15672937
77,25140423,.518211225,46.25,15147305,583206,15730511
78,25242311,.835901568,28.79,15822856,584644,16407500
79,25230586,.683083313,35.22,16150801,584157,16734958
80,25835553,1.068306989,23.05,17063021,595924,17658945
81,25888634,.623779143,39.56,17322349,596296,17918645
82,26197707,.756433151,33.02,17708311,600778,18309089
83,26461339,.601001585,41.97,17865057,611099,18476156
84,26605974,.718895716,35.29,18261474,613231,18874705
85,26620303,.624832125,40.61,18470636,613763,19084399
86,26620246,.558159542,45.47,18547029,613999,19161028
87,27245871,.950101294,27.34,19448074,626165,20074239
88,26831239,.761014742,33.61,19753148,617412,20370560
89,27013935,.664690046,38.75,20062717,624773,20687490
90,27108796,.728547211,35.48,20399222,625051,21024273
91,27189877,.704589501,36.80,20606876,626375,21233251
92,28144208,.835026463,32.14,21186428,655810,21842238
93,29381523,1.164592173,24.05,22518401,675742,23194143
94,29542549,.983667183,28.63,23381572,680279,24061851
95,19134677,1.725690277,10.56,26687067,443512,27130579
96,17653746,1.333966918,12.61,28810633,424871,29235504
97,17104702,1.217093644,13.40,30673793,418189,31091982
98,17361383,.711932074,23.24,31414828,413722,31828550
99,17277567,1.205783687,13.65,33368294,416048,33784342
