Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,95072414,7.419670204,12.21,26881541,492109,27373650
2,95172660,2.343527614,38.72,31085080,492440,31577520
3,95633624,3.122862623,29.20,38631841,492666,39124507
4,95710717,1.945505627,46.91,43289282,491635,43780917
5,95767418,2.184486343,41.80,47276033,492315,47768348
6,95874517,2.368219419,38.60,54134921,492999,54627920
7,96031005,2.024901402,45.22,56421361,493393,56914754
8,96073810,2.010611764,45.56,60713692,493715,61207407
9,96156132,1.175649136,77.99,61369305,494037,61863342
10,96181716,1.220926089,75.12,62058630,494458,62553088
11,96225095,1.286565986,71.32,62894142,494870,63389012
12,96280016,1.268669887,72.36,63871121,495194,64366315
13,96295453,1.083285943,84.76,64352402,495606,64848008
14,96159344,1.220052094,75.16,64997331,495930,65493261
15,96211395,1.106627544,82.90,65592190,496254,66088444
16,97419644,5.537435769,16.77,80323265,515972,80839237
17,92656128,4.538135450,19.47,91821999,496422,92318421
18,92958211,2.900175575,30.56,98338665,497649,98836314
19,93342477,2.228822731,39.93,102050435,499576,102550011
20,93684968,2.396310012,37.28,106085929,501115,106587044
21,93855134,2.438331173,36.70,110264022,502378,110766400
22,94105945,2.638013632,34.01,114853974,503798,115357772
23,94494954,2.730442365,33.00,119542438,514979,120057417
24,94930340,3.289694198,27.51,124417834,517461,124935295
25,96567704,2.099107083,43.87,127594169,517969,128112138
26,96574342,1.034070154,89.06,128070252,518293,128588545
27,96788905,2.230493976,41.38,131283106,519210,131802316
28,97165615,1.671214270,55.44,134609975,519526,135129501
29,97252200,1.633508680,56.77,136318699,519923,136838622
30,97352699,1.454540342,63.82,137327574,519092,137846666
31,97692230,2.926291427,31.83,142663519,520304,143183823
32,97920212,2.083839135,44.81,145787565,520924,146308489
33,97974831,1.933132352,48.33,148587510,521248,149108758
34,98288476,2.664076135,35.18,155302091,522125,155824216
35,98417569,3.055248689,30.71,163179310,522809,163702119
36,98524809,2.372514747,39.60,167588462,526805,168115267
37,98718707,2.714117126,34.68,172512501,530699,173043200
38,98939219,3.332036532,28.31,180271541,531389,180802930
39,99175341,2.886706162,32.76,185213926,532356,185746282
40,99235132,1.304761485,72.52,186275793,532680,186808473
41,99245708,1.080002056,87.62,186604895,533092,187137987
42,99616951,1.270572311,74.76,187251160,533416,187784576
43,99673755,1.072620541,88.61,187856570,533740,188390310
44,102067239,5.796911143,16.78,202999084,522458,203521542
45,97037979,4.327213824,21.38,211233436,514359,211747795
46,96139199,2.817693172,32.53,216038998,506715,216545713
47,96531666,2.788109547,33.01,220873076,509750,221382826
48,96497220,2.449793221,37.56,225008585,508106,225516691
49,96781557,2.262371867,40.79,230287343,510244,230797587
50,97038998,2.905346524,31.85,234358190,512352,234870542
51,97356817,2.466897819,37.63,238356017,514716,238870733
52,98422334,3.363595837,27.90,244315110,507289,244822399
53,101214785,1.887274479,51.14,246859947,507806,247367753
54,101296041,1.811509803,53.32,248875215,508034,249383249
55,101368542,1.742359235,55.48,250871639,508254,251379893
56,101544694,2.241193669,43.20,288400064,509287,288909351
57,101976969,1.960309767,49.60,66272193,513189,66785382
58,102038483,1.222623222,79.59,66671036,513505,67184541
59,102561389,3.324355058,29.42,72782136,520033,73302169
60,102867616,3.066966173,31.98,78424029,520869,78944898
61,103124716,3.142115299,31.29,83926681,522249,84448930
62,103346421,3.253478616,30.29,91010967,523431,91534398
63,103267224,3.532126410,27.88,98884600,526008,99410608
64,103390545,2.173092426,45.37,102665194,526524,103191718
65,103417233,2.367372261,41.65,106369213,527085,106896298
66,103681907,2.830687118,34.92,112982021,529997,113512018
67,103841211,2.203712128,44.93,116484134,531500,117015634
68,103676757,2.453990677,40.28,122188943,533580,122722523
69,103733404,1.180260560,83.81,122723742,533904,123257646
70,107877248,6.141803029,16.74,139434846,553968,139988814
71,98847116,4.862551639,19.38,149673714,504389,150178103
72,99179394,3.427988217,27.59,156571891,520325,157092216
73,99741606,4.126685941,23.04,166303564,526284,166829848
74,100710465,3.438975908,27.92,173081083,531541,173612624
75,101483591,3.165995293,30.56,179190211,536704,179726915
76,102083723,3.150471117,30.90,184796789,543172,185339961
77,103291730,3.639582427,27.06,191713855,551154,192265009
78,103535601,2.885734953,34.21,197001629,553248,197554877
79,103459036,2.367151529,41.67,201951652,554545,202506197
80,103661012,1.988336526,49.71,205129608,555261,205684869
81,103699369,2.077808539,47.59,207949880,557518,208507398
82,106364240,2.027634849,50.02,210310576,559047,210869623
83,107868656,1.334899423,77.06,210694150,556844,211250994
84,108379556,3.489990017,29.61,216678863,562031,217240894
85,108594291,2.521057634,41.07,220843991,563676,221407667
86,108507728,2.829738409,36.56,225827581,566538,226394119
87,108746225,2.958248494,35.05,232398019,567846,232965865
88,108906551,1.655095836,62.75,234928207,568170,235496377
89,107076340,4.916431594,20.76,245419125,561219,245980344
90,107699111,3.455232119,29.72,252029726,568688,252598414
91,108084637,3.155362470,32.66,257478862,570128,258048990
92,108444974,3.208774702,32.23,262601730,571260,263172990
93,108792788,3.788161979,27.38,269463741,573874,270037615
94,109684831,3.701936699,28.25,276333060,577693,276910753
95,110100244,3.746468510,28.02,283584931,581632,284166563
96,111923245,4.157766948,25.67,292236307,588042,292824349
97,114880713,3.040140086,36.03,297881356,589371,298470727
98,115263816,2.616097559,42.01,302120404,590439,302710843
99,115332134,2.660023140,41.34,306345278,591544,306936822
100,115475785,2.377390183,46.31,310061724,592584,310654308
1,95072414,6.443362851,14.07,26881541,492109,27373650
2,95172660,2.202056983,41.21,31085080,492440,31577520
3,95633624,2.525432537,36.11,38631841,492666,39124507
4,95710717,1.794349690,50.86,43289282,491635,43780917
5,95767418,2.029880233,44.99,47276033,492315,47768348
6,95874517,2.289426260,39.93,54134921,492999,54627920
7,96031005,1.594539633,57.43,56421361,493393,56914754
8,96073810,1.722154695,53.20,60713692,493715,61207407
9,96156132,1.004841522,91.25,61369305,494037,61863342
10,96181716,1.043817676,87.86,62058630,494458,62553088
11,96225095,1.086699276,84.43,62894142,494870,63389012
12,96280016,1.109291873,82.76,63871121,495194,64366315
13,96295453,.931691019,98.56,64352402,495606,64848008
14,96159344,.994392583,92.21,64997331,495930,65493261
15,96211395,.982929326,93.34,65592190,496254,66088444
16,97419644,5.287297545,17.57,80323265,515972,80839237
17,92656128,4.360114015,20.26,91821999,496422,92318421
18,92958211,2.742340877,32.32,98338665,497649,98836314
19,93342477,2.136046090,41.67,102050435,499576,102550011
20,93684968,2.287884100,39.04,106085929,501115,106587044
21,93855134,2.328414231,38.43,110264022,502378,110766400
22,94105945,2.570926634,34.90,114853974,503798,115357772
