Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,1c507bcc36824afc54efb6d76e3d1904b9bb9de1,2119444,4.476030917,.45
2,3751fc0d013902d96729a5717bd64c6b4d6a0a6e,2678859,1.825415321,1.39
3,6924be31de94ccaae8b96077037ab312939c0e32,3030771,2.902204793,.99
4,95f8c266cb9e0f7c0aa04275daee87309da60c49,3048959,1.194170841,2.42
5,c7a0232424c0cebf422d1155690ddd89bcf973d7,3093446,1.007101062,2.92
6,d3733b28ba685e91957eb785b700fe7f512b2740,3388103,1.354603349,2.38
7,d503c455a2365acd9ae96fdaa212e6a3d012cbb0,3385974,.332862805,9.67
8,da8b321aa1d11d4c3b4c437c9c697fd9b93076a1,8429060,.891730044,9.00
9,9749c7ed7ab0281a7fbcb069ca6de17c547ceefd,10910368,1.329045480,7.82
10,b939be9b42d03a5a25a97a654bfe99327632f525,11032334,.899154502,11.69
11,3f6555b76a7f988d1d8c80c585f74a5bc91044b9,11038198,1.034475800,10.16
12,c2669fd0ba72856aa53c9bb576ea8aab60e70648,11512567,.505769072,21.68
13,386d25013d9257354004499630a0474936ca9afe,9235257,1.105911097,7.95
14,6fe06c8e77e815cb87687d39246324b0687526ce,9546872,1.120220100,8.12
15,a1f75f0206724ee3858525018e55f44eb153d5ce,9667081,1.060960929,8.68
16,2ae594fe2edc5b517559a266317d2fa18b8817af,9680618,.589184195,15.66
17,0906e19089d696d0b0b986310417382d10731506,9799352,.849216444,10.99
18,a7350b8c7d319482804752cae0713134d2fd9c41,9994121,.437890150,21.76
19,1843b828a431dbf2465b334cf74b103de1a9b1c7,10025623,.107002418,89.34
20,bcb2b288a3c86216e1ec0330dc9ff756379b4960,10077415,.178591392,53.80
21,df1d229d1ef4148eaf123d297a45485f2316c9ec,10163329,.147643584,65.63
22,85b4e97ddba39b14c08c3a6d211afca1ee07e975,10222733,.111222028,87.57
23,5a89a24f011d0b3f6bd2c26a1ac3f32e166bd69a,10344989,.177408541,55.57
24,d14d8d77a8e3d6533eb035610987072d4368e932,10892125,.130144447,79.75
25,bac2d2c42bb4b5a95ca65b5f59992fc113fdd6e0,10988954,.168567794,62.11
26,dd0ded1dfcaf0c9a1383c15c367b33747313e4ec,11093195,.096960923,109.01
27,06d75dbf7be1efa014e5fb5d99d5cfda30091a0c,11476391,.143822918,76.06
28,98c941aa28ca1a51e3dd7630f0b700bd845de4d7,11653108,.067517094,164.55
1,1c507bcc36824afc54efb6d76e3d1904b9bb9de1,2119444,.212524180,9.50
2,3751fc0d013902d96729a5717bd64c6b4d6a0a6e,2678859,.230794159,11.04
3,6924be31de94ccaae8b96077037ab312939c0e32,3030771,.140323252,20.59
4,95f8c266cb9e0f7c0aa04275daee87309da60c49,3048959,.097975321,29.59
5,c7a0232424c0cebf422d1155690ddd89bcf973d7,3093446,.148753772,19.83
6,d3733b28ba685e91957eb785b700fe7f512b2740,3388103,.077238538,41.81
7,d503c455a2365acd9ae96fdaa212e6a3d012cbb0,3385974,.082918001,38.83
8,da8b321aa1d11d4c3b4c437c9c697fd9b93076a1,8429060,.138442445,58.00
9,9749c7ed7ab0281a7fbcb069ca6de17c547ceefd,10910368,.134366396,77.40
10,b939be9b42d03a5a25a97a654bfe99327632f525,11032334,.091195108,115.35
11,3f6555b76a7f988d1d8c80c585f74a5bc91044b9,11038198,.162308355,64.81
12,c2669fd0ba72856aa53c9bb576ea8aab60e70648,11512567,.062325461,176.01
13,386d25013d9257354004499630a0474936ca9afe,9235257,.086050082,102.26
14,6fe06c8e77e815cb87687d39246324b0687526ce,9546872,.075530791,120.48
15,a1f75f0206724ee3858525018e55f44eb153d5ce,9667081,.091207046,100.97
16,2ae594fe2edc5b517559a266317d2fa18b8817af,9680618,.063127631,146.21
17,0906e19089d696d0b0b986310417382d10731506,9799352,.066248552,140.98
18,a7350b8c7d319482804752cae0713134d2fd9c41,9994121,.085639886,111.27
19,1843b828a431dbf2465b334cf74b103de1a9b1c7,10025623,.105641251,90.49
20,bcb2b288a3c86216e1ec0330dc9ff756379b4960,10077415,.075129046,127.91
21,df1d229d1ef4148eaf123d297a45485f2316c9ec,10163329,.059127042,163.88
22,85b4e97ddba39b14c08c3a6d211afca1ee07e975,10222733,.075978000,128.19
23,5a89a24f011d0b3f6bd2c26a1ac3f32e166bd69a,10344989,.062697343,157.26
24,d14d8d77a8e3d6533eb035610987072d4368e932,10892125,.063293658,163.99
25,bac2d2c42bb4b5a95ca65b5f59992fc113fdd6e0,10988954,.066518201,157.40
26,dd0ded1dfcaf0c9a1383c15c367b33747313e4ec,11093195,.088897618,118.90
27,06d75dbf7be1efa014e5fb5d99d5cfda30091a0c,11476391,.086384290,126.64
28,98c941aa28ca1a51e3dd7630f0b700bd845de4d7,11653108,.146101659,76.04
1,1c507bcc36824afc54efb6d76e3d1904b9bb9de1,2119444,.224812653,8.98
2,3751fc0d013902d96729a5717bd64c6b4d6a0a6e,2678859,.199983036,12.75
3,6924be31de94ccaae8b96077037ab312939c0e32,3030771,.064371924,44.89
4,95f8c266cb9e0f7c0aa04275daee87309da60c49,3048959,.079862455,36.31
5,c7a0232424c0cebf422d1155690ddd89bcf973d7,3093446,.085170797,34.63
6,d3733b28ba685e91957eb785b700fe7f512b2740,3388103,.045631671,70.78
7,d503c455a2365acd9ae96fdaa212e6a3d012cbb0,3385974,.041023367,78.49
8,da8b321aa1d11d4c3b4c437c9c697fd9b93076a1,8429060,.097975763,81.95
9,9749c7ed7ab0281a7fbcb069ca6de17c547ceefd,10910368,.158143331,65.76
10,b939be9b42d03a5a25a97a654bfe99327632f525,11032334,.160069133,65.72
11,3f6555b76a7f988d1d8c80c585f74a5bc91044b9,11038198,.039941374,263.38
12,c2669fd0ba72856aa53c9bb576ea8aab60e70648,11512567,.053838204,203.75
13,386d25013d9257354004499630a0474936ca9afe,9235257,.085628706,102.76
14,6fe06c8e77e815cb87687d39246324b0687526ce,9546872,.056951711,159.78
15,a1f75f0206724ee3858525018e55f44eb153d5ce,9667081,.100269594,91.85
16,2ae594fe2edc5b517559a266317d2fa18b8817af,9680618,.063066727,146.35
17,0906e19089d696d0b0b986310417382d10731506,9799352,.109705971,85.13
18,a7350b8c7d319482804752cae0713134d2fd9c41,9994121,.060616494,157.21
19,1843b828a431dbf2465b334cf74b103de1a9b1c7,10025623,.087911901,108.74
20,bcb2b288a3c86216e1ec0330dc9ff756379b4960,10077415,.060470297,158.92
21,df1d229d1ef4148eaf123d297a45485f2316c9ec,10163329,.070516773,137.41
22,85b4e97ddba39b14c08c3a6d211afca1ee07e975,10222733,.060220088,161.74
23,5a89a24f011d0b3f6bd2c26a1ac3f32e166bd69a,10344989,.110401585,89.31
24,d14d8d77a8e3d6533eb035610987072d4368e932,10892125,.054758896,189.55
25,bac2d2c42bb4b5a95ca65b5f59992fc113fdd6e0,10988954,.060765873,172.30
26,dd0ded1dfcaf0c9a1383c15c367b33747313e4ec,11093195,.060302583,175.28
27,06d75dbf7be1efa014e5fb5d99d5cfda30091a0c,11476391,.061991537,176.47
28,98c941aa28ca1a51e3dd7630f0b700bd845de4d7,11653108,.062536904,177.65
1,1c507bcc36824afc54efb6d76e3d1904b9bb9de1,2119444,.215157605,9.38
2,3751fc0d013902d96729a5717bd64c6b4d6a0a6e,2678859,.211239102,12.07
3,6924be31de94ccaae8b96077037ab312939c0e32,3030771,.128582716,22.47
4,95f8c266cb9e0f7c0aa04275daee87309da60c49,3048959,.100992167,28.71
5,c7a0232424c0cebf422d1155690ddd89bcf973d7,3093446,.092435558,31.91
6,d3733b28ba685e91957eb785b700fe7f512b2740,3388103,.041154531,78.48
7,d503c455a2365acd9ae96fdaa212e6a3d012cbb0,3385974,.040204985,80.08
8,da8b321aa1d11d4c3b4c437c9c697fd9b93076a1,8429060,.130755853,61.41
9,9749c7ed7ab0281a7fbcb069ca6de17c547ceefd,10910368,.123981848,83.88
10,b939be9b42d03a5a25a97a654bfe99327632f525,11032334,.090242498,116.57
11,3f6555b76a7f988d1d8c80c585f74a5bc91044b9,11038198,.085033300,123.71
12,c2669fd0ba72856aa53c9bb576ea8aab60e70648,11512567,.102845150,106.66
13,386d25013d9257354004499630a0474936ca9afe,9235257,.109709955,80.21
14,6fe06c8e77e815cb87687d39246324b0687526ce,9546872,.057415727,158.49
15,a1f75f0206724ee3858525018e55f44eb153d5ce,9667081,.079191671,116.30
16,2ae594fe2edc5b517559a266317d2fa18b8817af,9680618,.062446236,147.80
17,0906e19089d696d0b0b986310417382d10731506,9799352,.126007577,74.12
18,a7350b8c7d319482804752cae0713134d2fd9c41,9994121,.078518625,121.37
19,1843b828a431dbf2465b334cf74b103de1a9b1c7,10025623,.058180173,164.31
20,bcb2b288a3c86216e1ec0330dc9ff756379b4960,10077415,.102762304,93.51
21,df1d229d1ef4148eaf123d297a45485f2316c9ec,10163329,.072417454,133.80
22,85b4e97ddba39b14c08c3a6d211afca1ee07e975,10222733,.070086662,138.97
23,5a89a24f011d0b3f6bd2c26a1ac3f32e166bd69a,10344989,.139949418,70.45
24,d14d8d77a8e3d6533eb035610987072d4368e932,10892125,.110414120,94.00
25,bac2d2c42bb4b5a95ca65b5f59992fc113fdd6e0,10988954,.094574611,110.70
26,dd0ded1dfcaf0c9a1383c15c367b33747313e4ec,11093195,.110348165,95.78
27,06d75dbf7be1efa014e5fb5d99d5cfda30091a0c,11476391,.151421541,72.24
28,98c941aa28ca1a51e3dd7630f0b700bd845de4d7,11653108,.126648047,87.72
