Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,32717389,3.558099706,8.76,8831926,167885,8999811
2,29490026,1.638959608,17.15,12355336,160934,12516270
3,56090391,5.481100459,9.75,26226044,729217,26955261
4,55668797,1.586749238,33.45,28886914,727276,29614190
5,55699494,1.682877248,31.55,31382850,727510,32110360
6,55693155,1.034208242,51.35,32322231,727744,33049975
7,53406036,2.071994140,24.58,36045053,304124,36349177
8,74382330,5.791073403,12.24,52697371,1082338,53779709
9,75204083,2.743540971,26.14,58133441,1087977,59221418
10,75870097,2.449181416,29.54,62518861,1090422,63609283
11,76290428,2.457765038,29.60,67017871,1092474,68110345
12,76604029,1.915395516,38.13,69874576,1094102,70968678
13,113371107,8.952267246,12.07,94005352,1578418,95583770
14,113745479,3.401553414,31.88,99930290,1587311,101517601
15,113819265,2.096422890,51.77,101827629,1589675,103417304
16,114667348,3.122312394,35.02,107371602,1597239,108968841
17,114899111,2.877012013,38.08,112223558,1603223,113826781
18,115001266,2.686924528,40.81,116178342,1607532,117785874
19,128212133,9.457727798,12.92,140060345,1742352,141802697
20,129641986,4.333466840,28.52,147730589,1753475,149484064
21,129733854,3.032958712,40.79,152294633,1759456,154054089
22,130668145,3.917918387,31.80,158662672,1766092,160428764
23,130784622,3.660973199,34.06,163931549,1770704,165702253
24,130813859,2.451195399,50.89,166689787,1771653,168461440
25,131451629,2.814427469,44.54,170302922,1773297,172076219
26,166821106,13.921422086,11.42,203784141,2433475,206217616
27,164784358,5.088121707,30.88,211686209,2444525,214130734
28,166881977,3.960359717,40.18,217475419,2454147,219929566
29,167442913,4.193315254,38.07,223058050,2460803,225518853
30,168577785,4.966014143,32.37,230665492,2475175,233140667
31,168718757,3.462892119,46.46,235010732,2483647,237494379
32,168241070,3.794048859,42.28,238175197,2263876,240439073
33,198333680,13.325820297,14.19,270439162,2983142,273422304
34,200589575,6.628935033,28.85,280808652,3007531,283816183
35,199835025,6.157629609,30.94,290448168,3033577,293481745
36,199831830,4.894115076,38.93,298041862,2843087,300884949
37,200027076,4.084372605,46.70,303447606,2856237,306303843
