Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,20237220,2.931363415,6.58,3683740,503235,4186975
2,20304307,.703133363,27.53,4128871,504206,4633077
3,20341860,.576147753,33.65,4322162,505255,4827417
4,20362280,.560272419,34.64,4445878,505793,4951671
5,20698589,.744647212,26.49,4869348,512110,5381458
6,20790499,.681242631,29.09,5190252,513224,5703476
7,20873578,.647368463,30.73,5511330,515412,6026742
8,21078740,.736808190,27.27,6044568,518755,6563323
9,21227178,.667182803,30.33,6408549,521305,6929854
10,21386004,2.483606832,8.20,10157088,525047,10682135
11,21498654,.674815844,30.37,10418407,528314,10946721
12,21507592,.603980627,33.95,10565993,528550,11094543
13,21577779,.874694158,23.51,10777676,530036,11307712
14,21563266,.607054268,33.86,10830995,529383,11360378
15,21657072,.692541880,29.81,11243647,531093,11774740
16,21788377,.707648795,29.35,11742586,532825,12275411
17,21832791,.689580754,30.19,12121984,533661,12655645
18,21833427,.635474336,32.76,12178343,533897,12712240
19,21837899,.563480360,36.94,12262762,534133,12796895
20,22086624,.834272712,25.24,13016969,536529,13553498
21,22113265,.597198417,35.29,13153512,536765,13690277
22,22473211,1.265436050,16.93,14637360,541958,15179318
23,22528807,.756679745,28.38,15198957,542882,15741839
24,22571592,.785285404,27.40,15858773,544511,16403284
25,22592770,.666211169,32.33,16184598,544714,16729312
26,22646715,.620162867,34.81,16352086,545623,16897709
27,22707852,.743139610,29.13,16673457,546792,17220249
28,22710068,.679024358,31.88,16728425,547132,17275557
29,22750440,.748791428,28.96,16996542,547640,17544182
30,22837903,.631152158,34.49,17281828,549097,17830925
31,22851488,.750876159,29.01,17576705,550053,18126758
32,22912560,.765915203,28.52,17898479,551161,18449640
33,22918926,.590212735,37.02,18060355,551397,18611752
34,22938599,.666204870,32.82,18374911,551754,18926665
35,22974213,.687051450,31.87,18603391,552422,19155813
36,23103620,1.002040113,21.98,18993919,554861,19548780
37,23114914,.760800172,28.96,19146970,555382,19702352
38,23117673,.692088550,31.84,19259397,555618,19815015
39,23511769,.604672859,37.07,19496070,564326,20060396
40,23511769,.634474064,35.33,19549863,564562,20114425
41,23709439,.656550469,34.43,19841412,566834,20408246
42,23862319,.673219390,33.79,20080910,569044,20649954
43,23895213,.779407808,29.22,20325485,569625,20895110
44,24010805,.741050075,30.88,20843804,571884,21415688
45,24011659,.594348537,38.51,20917847,572120,21489967
46,24033959,.631186718,36.31,21118148,572356,21690504
47,24064386,.600229402,38.21,21367251,572856,21940107
48,24101564,.652262705,35.23,21572573,574036,22146609
49,24132508,.655031570,35.12,21830292,574248,22404540
50,24154992,.625260203,36.83,22112914,574604,22687518
51,24193274,.690349831,33.41,22395088,575552,22970640
52,24192636,.711745633,32.41,22674920,563479,23238399
53,24222621,.718334858,32.15,22922089,564028,23486117
54,24254001,.753852816,30.68,9415443,564523,9979966
55,24267712,.618799206,37.39,9510323,565016,10075339
56,24284353,.663679241,34.88,9661882,566036,10227918
57,24323473,.684445203,33.88,9917297,566819,10484116
58,24423603,.780901703,29.82,10239974,567663,10807637
59,24423710,.608423510,38.27,10296872,567899,10864771
60,24423710,.657346798,35.43,10352586,568135,10920721
61,24449714,.685157075,34.02,10588681,569003,11157684
62,24453225,.602188269,38.72,10680577,569239,11249816
63,24518300,.713372971,32.77,11036117,570787,11606904
64,24587351,.759598969,30.85,11484243,572208,12056451
65,24672162,.708350897,33.20,11778009,574071,12352080
66,24791802,.849106718,27.84,12350754,576085,12926839
67,24828042,.664220285,35.63,12590475,576769,13167244
68,24857708,.686158407,34.54,12912043,577269,13489312
69,24883530,.624207556,38.01,13140982,577505,13718487
70,24975182,.859729785,27.69,13585777,579029,14164806
71,25003159,1.001779953,23.79,13911437,579833,14491270
72,25072694,.997568457,23.96,14100823,581138,14681961
73,25082407,.698478186,34.24,14367588,581646,14949234
74,25102033,.631823323,37.87,14615281,582202,15197483
75,25117816,.613328261,39.04,14794195,582574,15376769
76,25138002,.699287227,34.27,15089967,582970,15672937
77,25140423,.707376176,33.88,15147305,583206,15730511
78,25242311,.937449144,25.67,15822856,584644,16407500
79,25230586,1.285921849,18.71,16150801,584157,16734958
80,25835553,1.096388065,22.46,17063021,595924,17658945
81,25888634,.709444153,34.78,17322349,596296,17918645
82,26197707,.842111376,29.66,17708311,600778,18309089
83,26461339,.625143802,40.35,17865057,611099,18476156
84,26605974,.779033613,32.56,18261474,613231,18874705
85,26620303,.666771208,38.06,18470636,613763,19084399
86,26620246,.665384873,38.14,18547029,613999,19161028
87,27245871,1.000308560,25.97,19448074,626165,20074239
88,26831239,.832483595,30.72,19753148,617412,20370560
89,27013935,.695788161,37.02,20062717,624773,20687490
90,27108796,.774484776,33.37,20399222,625051,21024273
91,27189877,.703338858,36.86,20606876,626375,21233251
92,28144208,.849186095,31.60,21186428,655810,21842238
93,29381523,1.238581922,22.62,22518401,675742,23194143
94,29542549,1.013473913,27.79,23381572,680279,24061851
95,19134677,1.853963184,9.83,26687067,443512,27130579
96,17653746,1.415458813,11.89,28810633,424871,29235504
97,17104702,1.387264486,11.75,30673793,418189,31091982
98,17361383,.756810227,21.86,31414828,413722,31828550
99,17277567,1.402488769,11.74,33368294,416048,33784342
1,20237220,1.884858936,10.23,3683740,503235,4186975
2,20304307,.645865451,29.97,4128871,504206,4633077
3,20341860,.474451155,40.86,4322162,505255,4827417
4,20362280,.474745631,40.88,4445878,505793,4951671
5,20698589,.606230948,32.54,4869348,512110,5381458
6,20790499,.568631358,34.85,5190252,513224,5703476
7,20873578,.564815125,35.23,5511330,515412,6026742
8,21078740,.654688943,30.70,6044568,518755,6563323
9,21227178,.742004341,27.27,6408549,521305,6929854
10,21386004,2.078034462,9.81,10157088,525047,10682135
11,21498654,.533686487,38.41,10418407,528314,10946721
12,21507592,.498031032,41.18,10565993,528550,11094543
13,21577779,.515323667,39.91,10777676,530036,11307712
14,21563266,.460212581,44.67,10830995,529383,11360378
