Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,34616457,2.066767475,15.97,12418206,151942,12570148
2,38557348,1.142070528,32.19,16292023,158921,16450944
3,35738095,.676996607,50.33,16831560,158236,16989796
4,35536618,.546156336,62.05,17100492,151986,17252478
5,35538209,.514043283,65.92,17148218,152020,17300238
6,38617421,.684226657,53.81,17437475,155192,17592667
7,39142519,.620679719,60.12,17725495,161011,17886506
8,39650978,.517076083,73.12,17788446,161349,17949795
9,40425999,.624346945,61.74,18047427,162256,18209683
10,41020690,.638554696,61.26,18373821,163105,18536926
11,41585619,.518150965,76.52,18401042,163445,18564487
12,42148638,.573573464,70.06,18466312,163681,18629993
13,42776701,.596048534,68.43,18641022,165317,18806339
14,43710311,.684282061,60.91,19123123,167514,19290637
15,45486398,.833593244,52.02,19821387,168788,19990175
16,43755730,.570092626,73.18,20066054,167536,20233590
17,44354293,.549867404,76.90,20115393,168428,20283821
18,46629558,.585078008,75.98,20253324,169600,20422924
19,47239039,.609667530,73.89,20438474,175430,20613904
20,47920628,.669529232,68.25,20772976,175490,20948466
21,48925664,.794762386,58.69,21391911,180857,21572768
22,49608561,.658359519,71.86,21695065,182871,21877936
23,51207207,.912888682,53.48,23340932,185800,23526732
24,51793370,.722059311,68.40,23835049,185859,24020908
25,52385283,.746097130,66.94,24144279,186471,24330750
26,53564110,.993875110,51.39,26702349,170426,26872775
27,53989551,.683014328,75.37,26960294,189555,27149849
28,54338805,.666587896,77.73,27211773,171114,27382887
29,54985995,.732506797,71.57,27451362,174929,27626291
30,56230509,.863500201,62.09,28597372,187096,28784468
31,56278130,.658619789,81.48,28654615,187436,28842051
32,56278222,.627363019,85.54,28662309,187777,28850086
33,56278222,.714915606,75.07,28669076,188013,28857089
34,56062835,.643938013,83.02,28808431,187402,28995833
35,60945790,1.314392583,44.21,33362445,187623,33550068
36,61000908,.689836077,84.32,33533786,185635,33719421
37,59178885,1.331684450,42.37,38883259,185822,39069081
38,31068062,2.398922765,12.34,45845471,406234,46251705
39,61151151,1.272810255,45.81,47102290,205186,47307476
40,56280706,.972444324,55.19,47916815,189246,48106061
41,56241220,.857166833,62.56,48611994,190995,48802989
42,61162356,1.069717732,54.51,49486935,205518,49692453
43,61162470,.696391252,83.74,49494389,205754,49700143
44,6658202,.694092537,9.13,50436218,158197,50594415
45,6671624,.365562974,17.39,50658357,158625,50816982
46,6984898,.477083970,13.95,51175386,161668,51337054
47,9227260,.735495499,11.95,52176694,167919,52344613
48,8979109,.503190486,17.01,52543315,164178,52707493
49,9034823,.375824435,22.90,52726213,165961,52892174
50,9176711,.431060549,20.29,52920735,168419,53089154
51,9189389,.379561009,23.07,53034381,168511,53202892
