Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,1c507bcc36824afc54efb6d76e3d1904b9bb9de1,2119444,.230025663,8.78
2,3751fc0d013902d96729a5717bd64c6b4d6a0a6e,2678859,.182617161,13.96
3,6924be31de94ccaae8b96077037ab312939c0e32,3030771,.158678969,18.21
4,95f8c266cb9e0f7c0aa04275daee87309da60c49,3048959,.132476753,21.89
5,c7a0232424c0cebf422d1155690ddd89bcf973d7,3093446,.118884454,24.81
6,d3733b28ba685e91957eb785b700fe7f512b2740,3388103,.041559501,77.71
7,d503c455a2365acd9ae96fdaa212e6a3d012cbb0,3385974,.051214353,62.87
8,da8b321aa1d11d4c3b4c437c9c697fd9b93076a1,8429060,.126074471,63.69
9,9749c7ed7ab0281a7fbcb069ca6de17c547ceefd,10910368,.102105551,101.85
10,b939be9b42d03a5a25a97a654bfe99327632f525,11032334,.069242030,151.93
11,3f6555b76a7f988d1d8c80c585f74a5bc91044b9,11038198,.111110534,94.68
12,c2669fd0ba72856aa53c9bb576ea8aab60e70648,11512567,.193839501,56.59
13,386d25013d9257354004499630a0474936ca9afe,9235257,.093863820,93.75
14,6fe06c8e77e815cb87687d39246324b0687526ce,9546872,.132552755,68.65
15,a1f75f0206724ee3858525018e55f44eb153d5ce,9667081,.120537549,76.40
16,2ae594fe2edc5b517559a266317d2fa18b8817af,9680618,.081482722,113.27
17,0906e19089d696d0b0b986310417382d10731506,9799352,.097437218,95.85
18,a7350b8c7d319482804752cae0713134d2fd9c41,9994121,.065630107,145.20
19,1843b828a431dbf2465b334cf74b103de1a9b1c7,10025623,.059018750,161.98
20,bcb2b288a3c86216e1ec0330dc9ff756379b4960,10077415,.125152687,76.78
21,df1d229d1ef4148eaf123d297a45485f2316c9ec,10163329,.101885636,95.10
22,85b4e97ddba39b14c08c3a6d211afca1ee07e975,10222733,.081234729,119.89
23,5a89a24f011d0b3f6bd2c26a1ac3f32e166bd69a,10344989,.171220960,57.58
24,d14d8d77a8e3d6533eb035610987072d4368e932,10892125,.148505256,69.89
25,bac2d2c42bb4b5a95ca65b5f59992fc113fdd6e0,10988954,.120094656,87.18
26,dd0ded1dfcaf0c9a1383c15c367b33747313e4ec,11093195,.136115486,77.65
27,06d75dbf7be1efa014e5fb5d99d5cfda30091a0c,11476391,.066320873,164.95
28,98c941aa28ca1a51e3dd7630f0b700bd845de4d7,11653108,.069922245,158.89
1,1c507bcc36824afc54efb6d76e3d1904b9bb9de1,2119444,.254610813,7.93
2,3751fc0d013902d96729a5717bd64c6b4d6a0a6e,2678859,.194987291,13.07
3,6924be31de94ccaae8b96077037ab312939c0e32,3030771,.163587972,17.66
4,95f8c266cb9e0f7c0aa04275daee87309da60c49,3048959,.113922195,25.45
5,c7a0232424c0cebf422d1155690ddd89bcf973d7,3093446,.079734447,36.99
6,d3733b28ba685e91957eb785b700fe7f512b2740,3388103,.053792481,60.04
7,d503c455a2365acd9ae96fdaa212e6a3d012cbb0,3385974,.064326976,50.05
8,da8b321aa1d11d4c3b4c437c9c697fd9b93076a1,8429060,.066233096,121.23
9,9749c7ed7ab0281a7fbcb069ca6de17c547ceefd,10910368,.137457438,75.65
10,b939be9b42d03a5a25a97a654bfe99327632f525,11032334,.196068149,53.65
11,3f6555b76a7f988d1d8c80c585f74a5bc91044b9,11038198,.114070910,92.22
12,c2669fd0ba72856aa53c9bb576ea8aab60e70648,11512567,.114063519,96.17
13,386d25013d9257354004499630a0474936ca9afe,9235257,.183343831,47.99
14,6fe06c8e77e815cb87687d39246324b0687526ce,9546872,.175883035,51.73
15,a1f75f0206724ee3858525018e55f44eb153d5ce,9667081,.117330457,78.49
16,2ae594fe2edc5b517559a266317d2fa18b8817af,9680618,.120849795,76.37
17,0906e19089d696d0b0b986310417382d10731506,9799352,.069126731,135.11
18,a7350b8c7d319482804752cae0713134d2fd9c41,9994121,.109931437,86.69
19,1843b828a431dbf2465b334cf74b103de1a9b1c7,10025623,.055016337,173.76
20,bcb2b288a3c86216e1ec0330dc9ff756379b4960,10077415,.099950730,96.14
21,df1d229d1ef4148eaf123d297a45485f2316c9ec,10163329,.049223493,196.85
22,85b4e97ddba39b14c08c3a6d211afca1ee07e975,10222733,.057808473,168.48
23,5a89a24f011d0b3f6bd2c26a1ac3f32e166bd69a,10344989,.111744896,88.23
24,d14d8d77a8e3d6533eb035610987072d4368e932,10892125,.084651722,122.62
25,bac2d2c42bb4b5a95ca65b5f59992fc113fdd6e0,10988954,.104531978,100.16
26,dd0ded1dfcaf0c9a1383c15c367b33747313e4ec,11093195,.096789853,109.20
27,06d75dbf7be1efa014e5fb5d99d5cfda30091a0c,11476391,.139828248,78.23
28,98c941aa28ca1a51e3dd7630f0b700bd845de4d7,11653108,.056558804,196.43
1,1c507bcc36824afc54efb6d76e3d1904b9bb9de1,2119444,.204236351,9.89
2,3751fc0d013902d96729a5717bd64c6b4d6a0a6e,2678859,.254279626,10.02
3,6924be31de94ccaae8b96077037ab312939c0e32,3030771,.078424398,36.85
4,95f8c266cb9e0f7c0aa04275daee87309da60c49,3048959,.138572383,20.92
5,c7a0232424c0cebf422d1155690ddd89bcf973d7,3093446,.043672704,67.54
6,d3733b28ba685e91957eb785b700fe7f512b2740,3388103,.054108587,59.69
7,d503c455a2365acd9ae96fdaa212e6a3d012cbb0,3385974,.036010176,89.41
8,da8b321aa1d11d4c3b4c437c9c697fd9b93076a1,8429060,.199305674,40.28
9,9749c7ed7ab0281a7fbcb069ca6de17c547ceefd,10910368,.171398102,60.67
10,b939be9b42d03a5a25a97a654bfe99327632f525,11032334,.144436554,72.83
11,3f6555b76a7f988d1d8c80c585f74a5bc91044b9,11038198,.160280402,65.63
12,c2669fd0ba72856aa53c9bb576ea8aab60e70648,11512567,.175510252,62.50
13,386d25013d9257354004499630a0474936ca9afe,9235257,.160745711,54.74
14,6fe06c8e77e815cb87687d39246324b0687526ce,9546872,.158560916,57.39
15,a1f75f0206724ee3858525018e55f44eb153d5ce,9667081,.152127860,60.54
16,2ae594fe2edc5b517559a266317d2fa18b8817af,9680618,.127705672,72.27
17,0906e19089d696d0b0b986310417382d10731506,9799352,.160582918,58.16
18,a7350b8c7d319482804752cae0713134d2fd9c41,9994121,.097671787,97.57
19,1843b828a431dbf2465b334cf74b103de1a9b1c7,10025623,.158458851,60.33
20,bcb2b288a3c86216e1ec0330dc9ff756379b4960,10077415,.181219332,53.02
