Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,32717389,2.272574685,13.72,8915951,167981,9083932
2,29490026,1.290156218,21.79,12439743,161030,12600773
3,56090391,4.114809252,12.99,26470877,729971,27200848
4,55668797,1.331337881,39.86,29131847,727989,29859836
5,55699494,1.358419468,39.09,31627783,728223,32356006
6,55693155,.941082830,56.43,32567271,728457,33295728
7,53406036,1.611187183,31.61,36290856,304837,36595693
8,74382330,4.817120049,14.72,53127927,1083051,54210978
9,75204083,2.378836434,30.14,58607798,1088690,59696488
10,75870097,2.028777483,35.66,63006082,1091135,64097217
11,76290428,2.111314909,34.45,67514262,1093187,68607449
12,76604029,1.643912466,44.43,70379554,1094815,71474369
13,113371107,7.300773137,14.80,95028416,1579131,96607547
14,113745479,2.838890900,38.20,100990014,1588024,102578038
15,113819265,1.865418255,58.18,102893404,1590388,104483792
16,114667348,2.741198401,39.89,108449954,1597952,110047906
17,114899111,2.540797033,43.12,113314950,1603936,114918886
18,115001266,2.414023819,45.43,117272045,1608245,118880290
19,128212133,7.853402676,15.56,142008059,1743065,143751124
20,129641986,3.629134008,34.06,149820546,1754188,151574734
21,129733854,2.683810270,46.09,154393961,1760169,156154130
22,130668145,3.344358141,37.25,160833038,1766805,162599843
23,130784622,2.926319960,42.62,166109863,1771417,167881280
24,130813859,2.179957317,57.22,168868718,1772366,170641084
25,131451629,2.405744490,52.10,172529596,1774010,174303606
26,166821106,11.028457563,14.42,207272708,2439645,209712353
27,164784358,4.212195548,37.30,215325434,2450654,217776088
28,166881977,3.618254970,43.98,221152775,2460276,223613051
29,167442913,3.673048167,43.47,226873055,2466932,229339987
30,168577785,4.366826665,36.81,234506380,2481304,236987684
31,168718757,3.120570343,51.56,238853916,2489776,241343692
32,168241070,2.764887365,58.02,242021601,2270005,244291606
33,198333680,10.901968628,17.34,275320600,2990964,278311564
34,200589575,5.447604875,35.11,286206605,3015312,289221917
35,199835025,5.204394419,36.61,296262825,3041358,299304183
36,199831830,4.197831143,45.39,303873498,2850868,306724366
37,200027076,3.634806334,52.48,309289853,2864018,312153871
38,237233878,14.356542481,15.75,353948148,3466723,357414871
39,238468950,5.369823250,42.35,363648742,3485234,367133976
40,240057729,5.909152143,38.74,375710369,3530875,379241244
41,266028582,11.940804682,21.24,411144115,3986156,415130271
42,267895079,5.594990537,45.66,419692034,3992488,423684522
43,268010507,7.439885611,34.35,436326815,3997020,440323835
44,268216912,5.301252038,48.25,444455233,4002792,448458025
45,265840056,4.206797771,60.26,449249728,4005275,453255003
46,352587918,19.676941058,17.08,509586623,6796374,516382997
47,350653798,7.251623324,46.11,520833648,6815210,527648858
48,350996096,6.000625311,55.78,528756007,6825446,535581453
49,353255236,5.850918696,57.57,536089199,6842474,542931673
50,353438271,5.775848152,58.35,542815988,6856974,549672962
51,353427901,5.636161223,59.80,548564948,6864746,555429694
52,353452954,5.136942129,65.61,552022963,6866574,558889537
53,371780260,19.265272636,18.40,605906433,7307892,613214325
54,372022126,6.263880222,56.63,613526313,7326558,620852871
55,372317542,6.941717213,51.14,621998042,7337739,629335781
56,372581027,6.064262450,58.59,628685261,7357050,636042311
57,372784320,5.750304992,61.82,633938645,7373782,641312427
58,372986229,5.939181559,59.89,640158289,7382579,647540868
59,373087756,5.358661633,66.39,644476619,7387799,651864418
60,373150015,5.298328100,67.16,648476235,7393403,655869638
61,388600680,17.028396389,21.76,693184683,7719495,700904178
62,389179254,8.414727518,44.10,704926722,7738261,712664983
63,390466995,6.733268241,55.30,713356794,7752169,721108963
64,390701350,6.353835364,58.64,720442354,7764589,728206943
65,390890724,6.434763499,57.93,727419232,7777851,735197083
66,424907901,19.664880519,20.60,778963586,8313039,787276625
67,426201401,9.376992921,43.34,793246313,8342570,801588883
68,427529725,8.779851225,46.43,805525696,8361169,813886865
69,427767802,7.420066815,54.97,813403377,8374868,821778245
70,427898671,7.407831294,55.08,821661810,8387216,830049026
71,460844155,17.750490048,24.75,869108930,8851107,877960037
72,461492436,9.953934813,44.21,883423916,8873957,892297873
73,462797338,9.481345438,46.54,896184929,8890929,905075858
74,463112019,10.330732062,42.75,912301000,8914666,921215666
