Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,34a4ed0235fe4c6fa069802290c983262e950c79,20237220,.338500948,56.98
2,fec328131e41bf2f0f6083e927a39225b1690200,20304307,.407289185,47.53
3,7f7cd703124205b32a3422d2ac85bb1996068dfe,20341860,.110453285,175.54
4,6f99977d4110c9baa7a4ad8c2f134348695f19b7,20362280,.076078120,255.13
5,18ccdc72404125990edf7b713aeb45c95e62489c,20698589,.125597207,157.08
6,a34bc08b1165a35541d21ba0257e79b9aa701483,20790499,.231672631,85.55
7,3e481da84da547f5f0bdae1ccf746a3a30847105,20873578,.162472044,122.48
8,fab1af1c11a3863961c0268025f021365e7e9bff,21078740,.130065747,154.53
9,a3370db53bcd564ad7a0ae41d6e8da9fc78d890b,21227178,.179287928,112.89
10,ae6dc624c362ebe20da3a30bd43941351727f0ff,21386004,.175276625,116.33
11,657362c2d84c44c53d346aee58abc2adef4cc3e8,21498654,.341507770,60.02
12,64fc434feb632cb8e42250087b2aecb2b0099fd6,21507592,.362217042,56.62
13,93983612aa3ad23aa8bddf2c315ad65829d2f0e3,21577779,.176633169,116.45
14,54e39f8332a1057517d3fe85f857e28c7b4f23ed,21563266,.116977524,175.76
15,703e08da473329b34b5dfb75cc21a0cba5ca9751,21657072,.075605554,273.12
16,92c8eedc16432ecc91dfcad6627358035074580c,21788377,.147428226,140.88
17,8557f5588cfe3e08827423e43a75f1c51acc79c0,21832791,.133974623,155.40
18,3b06e9a0c097b3c53fff6ce3e61a1d1ecced1eb4,21833427,.124753556,166.88
19,d91455d30d2afddba78c163226fadb2b915943b6,21837899,.132439484,157.20
20,63e6e69406d4053d1ddb0b0b5d499b72f0f4c8bd,22086624,.129998554,162.00
21,6554f525d09cbac72b54dd55c6223570ed79eeca,22113265,.104256417,202.19
22,b488f6c16a08683b24dd4cdbf5c1ce6308a9acff,22473211,.191941740,111.64
23,6584f62cac340d542d1feb67d038b0674a681e3b,22528807,.211242588,101.68
24,efbbb551082270c09cdade8b8a543495d4b5cdf1,22571592,.271175548,79.35
25,71c5e6747b69ae132fb94f7bec4b8077ec4dbf21,22592770,.238718560,90.23
26,87e09fd08629901a864e274ac451d3aefae09d6b,22646715,.185979403,116.08
27,dc1f67d932b3a62fc4412c66b850765f76e36ad8,22707852,.159891702,135.40
28,7a6fc4104adb2b8290fd875e263996df18dc044c,22710068,.173914266,124.48
29,a58b94e52762c47103950eefd3dd293f231f26c3,22750440,.137564439,157.67
