Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2893228259,201.254610848,13.70,312449268,4978113,317427381
2,2903100297,27.038212364,102.39,320445065,4994267,325439332
3,2881462834,25.455900623,107.95,326431678,4961612,331393290
4,2922130606,26.445141035,105.37,333055351,5354166,338409517
5,2895546390,26.061201421,105.95,338746202,5313407,344059609
6,2927986922,25.831238117,108.09,344427330,5363042,349790372
7,2928351910,25.925540604,107.71,350641905,5364024,356005929
8,2959977391,34.421544210,82.00,356936856,6324338,363261194
9,2942618555,35.049391309,80.06,361707332,6291863,367999195
10,2942116427,35.407897303,79.24,366384207,6294213,372678420
11,2920556300,32.949946539,84.52,369776223,6256161,376032384
12,2918667000,33.088832867,84.12,373788081,6256486,380044567
13,2965411592,37.429774289,75.55,380491164,6370860,386862024
14,2942774093,35.252588146,79.60,385081183,6292127,391373310
15,2963781990,32.535904473,86.87,388725075,6321588,395046663
16,2958441649,31.219301690,90.37,391696227,6318263,398014490
17,3002117829,33.822759801,84.64,395746717,6437800,402184517
18,3022834252,33.981583062,84.83,399604911,6472709,406077620
19,3025366345,34.061996847,84.70,402868553,6477874,409346427
20,3003673086,34.122771650,83.94,406829001,6398396,413227397
21,2954336947,31.450429056,89.58,410755654,6313420,417069074
22,2913028259,33.387799207,83.20,414489282,6243447,420732729
23,2885221566,33.991018375,80.94,418174375,6195987,424370362
24,2874752789,30.862502299,88.83,422045320,6172039,428217359
25,2889635810,30.978143835,88.95,425486528,6197593,431684121
26,2897811142,32.115215521,86.05,428417623,6211652,434629275
27,2888732397,32.993487578,83.49,432072834,6197669,438270503
28,2887493021,31.279304937,88.03,435250593,6193510,441444103
29,2894631484,30.945963692,89.20,439146812,6203624,445350436
30,2898888817,32.822376543,84.22,443168028,6209225,449377253
31,2913442241,33.336006518,83.34,447218873,6235156,453454029
32,2876263451,31.384216088,87.40,450093576,6172365,456265941
33,2841581538,29.833055739,90.83,452911901,6114193,459026094
34,2889946546,62.779610644,43.90,506516322,6184785,512701107
35,2904322746,59.794459168,46.32,552561743,6208455,558770198
36,2916945453,55.497430134,50.12,588265423,6231812,594497235
37,2909444762,53.185746952,52.16,621190351,6219043,627409394
38,2932161032,52.504855771,53.25,647030193,6254992,653285185
39,2909333243,48.277316408,57.47,667846657,6215889,674062546
40,2909799725,48.305584178,57.44,688492611,6216035,694708646
41,2931458560,48.610737844,57.51,709188510,6251425,715439935
42,2909014987,46.338748036,59.86,725963305,6214225,732177530
43,2908104297,44.290121412,62.61,741288242,6212943,747501185
44,2911263232,44.526331678,62.35,753957746,6217398,760175144
45,2895343856,43.711203624,63.16,765102046,6191115,771293161
46,2913888345,41.354464115,67.19,773830229,6223158,780053387
47,2934066524,42.159815621,66.36,782805268,6257626,789062894
48,2934035463,41.671194036,67.14,791734646,6256228,797990874
49,2938467793,43.971327502,63.73,801849982,6266741,808116723
50,2914216454,42.337121283,65.64,811169004,6221434,817390438
51,2936771266,44.155246139,63.42,825505199,6262530,831767729
52,2885231012,38.472859874,71.51,832509595,6160235,838669830
53,2888005688,35.979667489,76.54,667089723,6167519,673257242
54,2908036703,34.328725428,80.78,670396350,6197696,676594046
55,2917624970,34.309184350,81.09,674263011,6213904,680476915
