Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,9aab3fdefd0f6a3818e30747b9745f9bdfc522ae,2549033,.387795379,6.26
2,f8daa5c8369373ca770d36529a5141c1fed767c4,3142928,.164071215,18.22
3,01809a5880332c13aca8c8f1a9beacbf37a1eef5,3167216,.175617611,17.19
4,0ed0ada4871c6a815fcc64640b88e7a2ec0fc011,3167983,.188190532,16.04
5,670618ceae0f70fee9c26caedf56161a8585feae,3183711,.146517124,20.68
6,9c02a863a4f9d395ef5cf0cf4305a0597b6af817,2784073,.084503386,31.35
7,2c88f8f3372c46f7da30a2d5a95571ce31ccb82b,2787160,.135202919,19.60
8,2bce332575bc6d41db46ae89bc4c747284a7e657,3197956,.123360077,24.64
9,83fc08d7d44277408ea46c7f98eb7495785139bd,3382358,.140672168,22.89
10,ac74d58a69839b3adc73159d22e64faf53261a86,3404072,.100329953,32.29
11,ba776c097d9139bd52c75666822f7acb282a9182,3224021,.152780139,20.09
12,94f5e8b2303521aa7d0ccbc562fdddded452c2b7,3233356,.132255201,23.28
13,57b85cca9116ed3a44e3ee3790122bb4ef16a183,3236663,.149295086,20.63
14,3d6b1bdbffff3622b070026b39edef4a45989795,3294796,.153451260,20.46
15,2bd7c26d4a95b79534eee28a51fc087ab97738dd,3295068,.121853585,25.76
16,3a16cd7aaef30e8f0f69b94db48bfba8bbcac627,3302334,.102708264,30.57
17,592fd8fbe96e9881951b1f633ef249a47d8f2b11,3294749,.141180017,22.24
18,35e9bef23399538aea2080a6ccd8e681d4456c99,3300186,.153110753,20.50
19,ed7954eb3380cc60c9c265c53eddee4783e03be7,3392266,.085665814,37.70
20,a8755f2055e0ab84426a0b4c30fef8ae000a9fbb,3843754,.113613509,32.21
21,d781e18a543942240c7f0be9406781eb142fff26,3397020,.129841142,24.87
22,a76d253abff4aeff63d8fc1eacda247eb93961cd,3453396,.166016319,19.81
23,0137944c008beb458cd15c2d69c0aa1b83720857,3470840,.164928356,20.06
24,d853813309f2b8037f073dc858a08f3876b07337,3518664,.187403613,17.87
25,c9092457d5b5ac7fc9454144b9c4310560f2d6de,3525648,.153533971,21.88
26,6011d2ff08cbd32b62d48abf3b9ca61331f9096e,3575277,.166311498,20.44
27,3f319006b45b5067908e34d5c76882bee733a695,3574473,.177899289,19.11
28,8f7bd12e64ea80b57e9eb6cdc1bf65060b76e2d6,3865717,.136842365,26.89
29,45ed4be004f1f771270c85721dec95d453d4b923,3968673,.138641412,27.26
30,35c2f55320b6485851b241340741a06f658a299f,1503895,.115167443,12.41
31,559cfdcd6ef00cf140ddd2dd4ff099fabbf9d689,1992552,.164506656,11.54
32,d5caff9cd3fd9fef5f37c749275f11a8a210e505,2532649,.130496290,18.46
33,249ebd2e6a4dd662c8231068938df2cee286110b,3197956,.117871391,25.79
34,c8a7fe66d8b0ddee32ea1bbc5fe0a4c5cb4dc462,3392266,.086554330,37.31
35,3581d32d84f578fe9a1e619186dbfe735959cb36,3865717,.128251624,28.69
36,a51109afd9f703f6307abab543fcd4a29c3c7ee0,1721621,.054417943,30.13
37,02087c0873787f78e79426572c3b4a4ee44c271d,1213331,.127590307,9.01
38,774164b00e04c16b7d2d212f4509d7ea0a958080,1725648,.129033823,12.70
39,a807ae1af4741cc7ddf63246f7b86ddb045a0774,2038112,.146949724,13.20
40,2d28e83d0d367c33ddfd004d6ac959adb6e00e46,2789653,.111530826,23.84
41,349a8ab894ca9bfcb187d6828b77d2c34638e246,3301781,.164314781,19.10
42,2aca6971329fd3cec9292d8c5a40dbedc2f55168,3576601,.170141936,20.04
43,5c050aecffb05fc3014ea7e383b478a6a60a8749,1992652,.132531903,14.33
44,c38dee2af742bfd7eb8dd040995e7b48bbf4442c,1563869,.084526780,17.62
45,b378689aec2b0eca5174cfd168ebadc68bcf8baa,1581556,.053769791,27.89
46,e25e5b74a55885394e2661883a7fd56376e53646,6140505,.088453575,66.13
47,6cf4dc5cf1b5522c74d90b928e20563301f9e028,1289577,.051348856,23.75
48,09da3172231ff7c18aeb2254eee3137cacf32fb3,1192592,.054793697,20.62
49,4ef241292c367918acf9a428a91273ab2a4889ae,1217769,.094286033,12.30
50,ad1895c956e7bbacd6a11adc2951610824167a97,1531623,.044041762,33.15
51,788d7ffd8330dcd0d7d7e3867e45767f96819f1c,1224559,.041896761,27.68
52,1517b4f8f238192222b0b76f58bbc40dff883ea1,1205007,.041225612,27.65
53,7892088281aff9047c01fcd5191def93cbba51cf,4365323,.058427178,71.19
54,642a49ba976ebac160c0b4c476d66b92ccb771cf,4031337,.126856812,30.27
55,6b0ad14460f82ab09703609edaa3a66f77a96485,4090535,.061732467,63.17
56,11be3b3e31168e892a7acfdbe40e4dccf5cb89b6,4418417,.062389408,67.47
57,a5b489ac9405caa4e605a4601ca3a3b74261feed,6229166,.083892216,70.80
58,642de26ac7211aee367447d0edf02c9fcf2474f7,6254372,.086592044,68.82
59,33b50d2560f3a866e9c0dd060966afb4a050d8db,4455956,.063018900,67.28
60,dac788021bde630b0056ad16694e125b500f3a78,5123796,.068790229,70.94
61,c27a583b234ec7d7b57185740c49917d84810d3f,5129031,.070264985,69.59
62,98aa303c2c788f70df78019f1e23a284cd12bf6c,4928187,.070258773,66.75
63,035a30288679850802bcb635a37e8418be94f2ab,4932535,.070466883,66.69
64,994a275959885c5029292b5a0e5d32ca6023dd11,4974578,.072682285,65.21
65,4f8aae6da457817dd4dd1e2eca4d89a26d4b4b69,4977919,.073103881,64.83
66,91dac371399a55dd93f32cb54068289aedbfab97,4980576,.071220977,66.55
67,ae8ba716c77ad2ce36c7ccdd1d189bd76ac6d194,4981037,.073361820,64.74
68,7518c2fff337d5cdf0bbd9905c920c8d494459b3,6260836,.101499783,58.81
69,9528b980c76e6f3cd50029721424f6b231efe1a3,6390362,.118814675,51.25
70,c2cb1c78bc0dd18030056875b795a2fbe187d7ba,6313586,.138216991,43.55
71,e326e2e08f874b94eef3a6825d8adf36234a8902,6318595,.149709221,40.21
72,e58e9e4672738b125f43b00e056051ac1d508deb,6347171,.122143833,49.53
73,2955ca58cb3bf58cbb0a9ab131ec1e51395ac687,6341402,.163150566,37.02
74,87d07dca0ba60263dddf77e76f90330a5712cc77,6347055,.111836477,54.09
75,e8b10f84e54909bd01fd17c9cf77fe0d0bca69a1,6359818,.131875330,45.95
76,1a9ff13c060c7f8c04c40adfac4ea48ad414849f,6391647,.121497768,50.12
77,7b41e0a7360de6f148d7c5bdb5084a7392d1e14d,6391642,.099401673,61.26
78,7ee37e655d2f602826018b4e16109a0e37578493,6538345,.129383388,48.15
79,e6341534ba962f5315d6bb7e23c6828e18a0d54c,6401540,.137507054,44.36
80,aa567336c53498388095a99d5ad7456b59777ab3,6404317,.161430381,37.78
81,4d9f7a0a03b936676bf65bd8333f23b8b2391230,6434296,.156589659,39.14
82,221b95914604e461ff5150191178e734b656cec7,6435221,.145429592,42.15
83,dc07db6fa462b21711d8fafeddb4642f3489d086,6434662,.087240318,70.26
84,658ff6b193e6a4e558f6a9e462ac98980f1a94f7,6436136,.101278506,60.52
85,d9a70552eb517d6608ed4c46f9ea50afbfff4e42,6444754,.127237650,48.25
86,0e892401bd3f359bca359dac351bf260642b6771,6549675,.115936075,53.82
87,a3bde3f12312d3cffd509ef683caac49321ce56a,6556548,.090222088,69.27
88,b154d5ef87037cb551ded61ba82251d32aba233c,6575834,.089943069,69.71
89,6c599eb1f23c4173461581425b54402ca81970d1,6642067,.124220791,50.95
90,55de490bda9b77ca4db45d9f438eaa87df9837d2,6661426,.111710439,56.84
91,0dc8263463e4078bbdcc9ae4dd3efeb36f766294,6901603,.129302548,50.88
92,e0a29534200dd24f104dc3924e89463b9309d2a5,6663011,.147684737,42.99
93,90081edf7563fcb38a6092e48c055266b85070f2,6670050,.151856933,41.88
94,5161fa9190a9c358c16d9da05fa1b2d68847b160,6815532,.107008751,60.64
95,ff0eaa4b8d54df96360afcc4442246daf02119d2,6843458,.163980118,39.76
96,c6d5c4cd741f37bd1af3facf2f40513642538b35,6848945,.119936912,54.44
97,11fb4b9b7d6ba506644505f81c0bae4ec9bcdc88,6925867,.125816039,52.45
98,1b19c37037d0b967fa4fa17b35890169e1915c6a,6936541,.135796168,48.67
99,f29fa8a9b4ca46aea3043111d01b673f82bb885f,6944582,.094272393,70.22
100,715a6d81750ca7b6647cfd358723d7bfcb84647b,4959238,.202337928,23.32
1,9aab3fdefd0f6a3818e30747b9745f9bdfc522ae,2549033,.409978297,5.92
2,f8daa5c8369373ca770d36529a5141c1fed767c4,3142928,.295004982,10.13
3,01809a5880332c13aca8c8f1a9beacbf37a1eef5,3167216,.184079539,16.40
4,0ed0ada4871c6a815fcc64640b88e7a2ec0fc011,3167983,.150972419,20.00
5,670618ceae0f70fee9c26caedf56161a8585feae,3183711,.210145268,14.41
6,9c02a863a4f9d395ef5cf0cf4305a0597b6af817,2784073,.159169789,16.64
