Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2182518,.536072746,3.88,486664,119396,606060
2,2757185,.494218933,5.30,970629,134469,1105098
3,3117942,.440304783,6.74,1439432,141993,1581425
4,3134771,.252543918,11.79,1534666,142644,1677310
5,3179275,.228816950,13.24,1690883,143734,1834617
6,3428842,.323571031,10.07,2102710,146822,2249532
7,3426700,.178451890,18.26,2148616,147056,2295672
8,8486332,.826172890,9.79,4014295,172279,4186574
9,10980071,.523435070,20.00,4887557,186078,5073635
10,11100568,.454055230,23.30,5427106,188129,5615235
11,11106769,.402510960,26.30,5512033,188550,5700583
12,11586094,.559195045,19.74,6397979,200133,6598112
13,9302953,.626400164,14.16,7458935,202130,7661065
14,9617771,.557420079,16.45,8230084,204039,8434123
15,9734271,.558013432,16.63,9008221,206036,9214257
16,9755607,.573807997,16.20,9880687,206491,10087178
17,9876379,.626912526,15.01,10900695,215954,11116649
18,10073460,.582550239,16.47,11635374,225704,11861078
19,10103074,.475649122,20.24,12087620,226316,12313936
20,10154343,.661969664,14.62,13210712,227065,13437777
21,10239329,.427664240,22.82,13742994,227595,13970589
22,10298229,.433195402,22.66,14212038,227927,14439965
23,10422176,.585057090,16.97,14990142,230267,15220409
24,10970042,.549752524,19.02,15873399,233783,16107182
25,11070098,.494276915,21.34,16445302,233721,16679023
26,11178454,.465408738,22.90,16978883,234309,17213192
27,11476317,.592980934,18.44,17875187,236402,18111589
28,11653108,.616418529,18.02,18744706,234636,18979342
1,2182518,.573556176,3.62,486664,119396,606060
2,2757185,.554469611,4.72,970629,134469,1105098
3,3117942,.487363111,6.09,1439432,141993,1581425
4,3134771,.255066856,11.68,1534666,142644,1677310
5,3179275,.265277928,11.42,1690883,143734,1834617
6,3428842,.357236870,9.12,2102710,146822,2249532
7,3426700,.222110718,14.67,2148616,147056,2295672
8,8486332,.759314021,10.65,4014295,172279,4186574
9,10980071,.559569070,18.71,4887557,186078,5073635
10,11100568,.423480840,24.98,5427106,188129,5615235
11,11106769,.306167808,34.58,5512033,188550,5700583
12,11586094,.581239150,18.99,6397979,200133,6598112
13,9302953,.592436507,14.97,7458935,202130,7661065
14,9617771,.569873041,16.09,8230084,204039,8434123
15,9734271,.600612774,15.45,9008221,206036,9214257
16,9755607,.601529671,15.46,9880687,206491,10087178
17,9876379,.620331787,15.16,10900695,215954,11116649
18,10073460,.559947855,17.14,11635374,225704,11861078
19,10103074,.412973817,23.31,12087620,226316,12313936
20,10154343,.705602376,13.71,13210712,227065,13437777
21,10239329,.434741875,22.45,13742994,227595,13970589
22,10298229,.454751175,21.59,14212038,227927,14439965
23,10422176,.585448342,16.96,14990142,230267,15220409
24,10970042,.582668796,17.95,15873399,233783,16107182
25,11070098,.519016011,20.32,16445302,233721,16679023
26,11178454,.511869411,20.82,16978883,234309,17213192
27,11476317,.605880849,18.05,17875187,236402,18111589
28,11653108,.591293957,18.78,18744706,234636,18979342
1,2182518,.537434162,3.87,486664,119396,606060
2,2757185,.563054778,4.65,970629,134469,1105098
3,3117942,.499736973,5.94,1439432,141993,1581425
4,3134771,.252961096,11.78,1534666,142644,1677310
5,3179275,.273777727,11.06,1690883,143734,1834617
6,3428842,.358004348,9.10,2102710,146822,2249532
7,3426700,.187141523,17.41,2148616,147056,2295672
8,8486332,.764834576,10.57,4014295,172279,4186574
9,10980071,.558587644,18.74,4887557,186078,5073635
10,11100568,.447976103,23.61,5427106,188129,5615235
11,11106769,.304422016,34.78,5512033,188550,5700583
12,11586094,.613048048,18.00,6397979,200133,6598112
13,9302953,.599068389,14.80,7458935,202130,7661065
14,9617771,.556937473,16.46,8230084,204039,8434123
15,9734271,.609008146,15.23,9008221,206036,9214257
16,9755607,.583433907,15.94,9880687,206491,10087178
17,9876379,.693484517,13.56,10900695,215954,11116649
18,10073460,.599176552,16.02,11635374,225704,11861078
19,10103074,.475601875,20.24,12087620,226316,12313936
20,10154343,.716629219,13.50,13210712,227065,13437777
21,10239329,.448226173,21.77,13742994,227595,13970589
22,10298229,.400756428,24.50,14212038,227927,14439965
23,10422176,.543412344,18.27,14990142,230267,15220409
24,10970042,.515127816,20.30,15873399,233783,16107182
25,11070098,.504203488,20.92,16445302,233721,16679023
26,11178454,.433497092,24.59,16978883,234309,17213192
27,11476317,.612735877,17.85,17875187,236402,18111589
28,11653108,.542986802,20.46,18744706,234636,18979342
1,2182518,.535895735,3.88,486664,119396,606060
2,2757185,.499394201,5.24,970629,134469,1105098
3,3117942,.465811278,6.37,1439432,141993,1581425
4,3134771,.233504146,12.76,1534666,142644,1677310
5,3179275,.214427738,14.13,1690883,143734,1834617
6,3428842,.326617555,9.98,2102710,146822,2249532
7,3426700,.179777656,18.13,2148616,147056,2295672
8,8486332,.753044271,10.74,4014295,172279,4186574
9,10980071,.559635460,18.70,4887557,186078,5073635
10,11100568,.461891804,22.90,5427106,188129,5615235
11,11106769,.350464460,30.21,5512033,188550,5700583
12,11586094,.580854928,19.00,6397979,200133,6598112
13,9302953,.557069562,15.92,7458935,202130,7661065
14,9617771,.492129163,18.63,8230084,204039,8434123
15,9734271,.582621871,15.92,9008221,206036,9214257
16,9755607,.599995743,15.50,9880687,206491,10087178
17,9876379,.616815344,15.25,10900695,215954,11116649
18,10073460,.584232633,16.43,11635374,225704,11861078
19,10103074,.486043225,19.81,12087620,226316,12313936
20,10154343,.701375203,13.80,13210712,227065,13437777
21,10239329,.495228546,19.70,13742994,227595,13970589
22,10298229,.510382580,19.24,14212038,227927,14439965
23,10422176,.595323563,16.68,14990142,230267,15220409
