Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,95072414,5.395176812,16.80,27017233,492205,27509438
2,95172660,1.851944983,49.00,31221788,492536,31714324
3,95633624,2.111266176,43.19,38769577,492762,39262339
4,95710717,1.632991130,55.89,43452998,491731,43944729
5,95767418,1.793687355,50.91,47439749,492411,47932160
6,95874517,1.960367624,46.63,54324656,493095,54817751
7,96031005,1.424399863,64.29,56611673,493489,57105162
8,96073810,1.551069599,59.06,60904004,493811,61397815
9,96156132,.986843355,92.92,61560935,494133,62055068
10,96181716,.998927649,91.81,62250260,494554,62744814
11,96225095,1.060455039,86.52,63085800,494966,63580766
12,96280016,1.052888875,87.19,64062779,495290,64558069
13,96295453,.981866717,93.52,64544060,495702,65039762
14,96159344,.983751475,93.21,65188989,496026,65685015
15,96211395,.959165242,95.65,65783848,496350,66280198
16,97419644,4.357544232,21.31,80530238,516068,81046306
17,92656128,3.584575232,24.65,92032744,496518,92529262
18,92958211,2.292649560,38.66,98577651,497745,99075396
19,93342477,1.784815654,49.87,102315962,499672,102815634
20,93684968,1.888249441,47.31,106353507,501211,106854718
21,93855134,1.937272843,46.19,110533648,502474,111036122
22,94105945,2.078900888,43.16,115151020,503894,115654914
23,94494954,2.106593553,42.77,119841174,515075,120356249
24,94930340,2.247436925,40.28,124743981,517557,125261538
25,96567704,1.740236147,52.91,127947455,518065,128465520
26,96574342,.962291960,95.70,128423538,518389,128941927
27,96788905,1.805953475,51.10,131663663,519306,132182969
28,97165615,1.410212792,65.70,134990532,519622,135510154
29,97252200,1.362197944,68.08,136699256,520019,137219275
30,97352699,1.202411518,77.21,137708131,519188,138227319
31,97692230,2.311866975,40.29,143071307,520400,143591707
32,97920212,1.670084700,55.91,146223220,521020,146744240
33,97974831,1.630686193,57.29,149024800,521344,149546144
34,98288476,2.159239683,43.40,155739809,522221,156262030
35,98417569,2.420816491,38.76,163644240,522905,164167145
36,98524809,1.931912312,48.63,168055198,526901,168582099
37,98718707,2.067189116,45.54,173006801,530795,173537596
38,98939219,2.375930324,39.71,180798083,531485,181329568
39,99175341,2.114820886,44.72,185767891,532452,186300343
40,99235132,1.141867124,82.87,186829758,532776,187362534
41,99245708,.924350448,102.38,187158860,533188,187692048
42,99616951,1.042491964,91.12,187805125,533512,188338637
43,99673755,.984984806,96.49,188410535,533836,188944371
44,102067239,4.574562346,21.27,203575874,522554,204098428
45,97037979,3.417003640,27.08,211848124,514455,212362579
46,96139199,2.160659016,42.43,216682597,506811,217189408
47,96531666,2.154919891,42.71,221544108,509846,222053954
48,96497220,1.954043664,47.09,225680899,508202,226189101
49,96781557,1.845648777,50.00,230985988,510340,231496328
50,97038998,1.937390445,47.76,235060260,512448,235572708
51,97356817,1.920663274,48.33,239058041,514812,239572853
52,98422334,2.599224318,36.11,245044292,519574,245563866
53,101214785,1.600503346,60.30,247614480,520050,248134530
54,101296041,1.409721819,68.52,249629748,520278,250150026
55,101368542,1.463338836,66.06,251626172,520498,252146670
56,101544694,1.819539630,53.22,254893021,521531,255414552
57,101976969,1.543942020,62.98,256709644,525454,257235098
58,102038483,1.061443988,91.67,257112583,525770,257638353
59,102561389,2.597313804,37.65,263249736,532298,263782034
60,102867616,2.336898847,41.97,268922026,533134,269455160
61,103124716,2.364837168,41.58,274455092,534514,274989606
62,103346421,2.583215811,38.15,281565003,535696,282100699
63,103267224,2.488122594,39.58,289467502,538273,290005775
64,103390545,1.752599511,56.25,293262251,538789,293801040
65,103417233,1.871887064,52.68,296991963,539350,297531313
66,103681907,2.240769537,44.12,303630658,542262,304172920
67,103841211,1.780593059,55.61,307158943,543765,307702708
68,103676757,2.033861347,48.61,312865686,545845,313411531
69,103733404,1.021133770,96.87,313400485,546169,313946654
70,107877248,4.889385198,21.03,330151051,566233,330717284
71,98847116,3.887251813,24.24,340411286,516654,340927940
72,99179394,2.756817657,34.30,347345840,532590,347878430
73,99741606,3.076490637,30.91,357105644,538549,357644193
74,100710465,2.700089469,35.56,363914145,543806,364457951
75,101483591,2.517213697,38.44,370053549,548969,370602518
76,102083723,2.442162814,39.86,375688895,555437,376244332
77,103291730,2.844649362,34.62,382634070,563419,383197489
78,103535601,2.357815524,41.87,387921844,565513,388487357
79,103459036,1.949490551,50.60,392900311,566810,393467121
80,103661012,1.754168277,56.35,396078267,567526,396645793
81,103699369,1.729312464,57.18,398908821,569783,399478604
82,106364240,1.722318996,58.89,401297528,571312,401868840
83,107868656,1.216223832,84.58,401681102,569109,402250211
84,108379556,2.609783112,39.60,407698410,574296,408272706
85,108594291,2.048791092,50.54,411892775,575941,412468716
86,108507728,2.291022125,45.16,416876365,578803,417455168
87,108746225,2.306908130,44.95,423450251,580111,424030362
88,108906551,1.369455069,75.84,426008476,580435,426588911
89,107076340,3.933196378,25.96,436508752,573484,437082236
90,107699111,2.731196870,37.60,443139776,580953,443720729
91,108084637,2.381937999,43.27,448614343,582393,449196736
92,108444974,2.308194735,44.80,453770400,583525,454353925
93,108792788,2.792059245,37.15,460670572,586139,461256711
94,109684831,2.823762671,37.04,467579109,589958,468169067
95,110100244,2.941861499,35.68,474879890,593897,475473787
96,111923245,3.274895359,32.59,483534739,600307,484135046
97,114880713,2.478825351,44.19,489219520,601636,489821156
98,115263816,2.130030332,51.60,493491868,602704,494094572
99,115332134,2.080944785,52.85,497747278,603809,498351087
100,115475785,1.989009135,55.36,501494388,604849,502099237
1,95072414,5.357506291,16.92,27017233,492205,27509438
2,95172660,1.885539419,48.13,31221788,492536,31714324
3,95633624,2.127109989,42.87,38769577,492762,39262339
4,95710717,1.632997427,55.89,43452998,491731,43944729
5,95767418,1.760782518,51.86,47439749,492411,47932160
6,95874517,1.960437372,46.63,54324656,493095,54817751
7,96031005,1.390406200,65.86,56611673,493489,57105162
8,96073810,1.568334897,58.41,60904004,493811,61397815
9,96156132,.985813599,93.01,61560935,494133,62055068
10,96181716,.972679424,94.29,62250260,494554,62744814
11,96225095,1.059102623,86.63,63085800,494966,63580766
12,96280016,1.090802643,84.16,64062779,495290,64558069
13,96295453,.941718187,97.51,64544060,495702,65039762
14,96159344,.980133529,93.55,65188989,496026,65685015
15,96211395,.997784167,91.95,65783848,496350,66280198
16,97419644,4.395075485,21.13,80530238,516068,81046306
17,92656128,3.585100234,24.64,92032744,496518,92529262
18,92958211,2.284303259,38.80,98577651,497745,99075396
19,93342477,1.810790168,49.15,102315962,499672,102815634
20,93684968,1.879217622,47.54,106353507,501211,106854718
21,93855134,1.920295359,46.60,110533648,502474,111036122
22,94105945,2.070699614,43.33,115151020,503894,115654914
23,94494954,2.114494802,42.61,119841174,515075,120356249
24,94930340,2.220541058,40.76,124743981,517557,125261538
25,96567704,1.744014437,52.80,127947455,518065,128465520
26,96574342,.956272602,96.31,128423538,518389,128941927
27,96788905,1.788935141,51.59,131663663,519306,132182969
28,97165615,1.411102061,65.66,134990532,519622,135510154
29,97252200,1.386510375,66.88,136699256,520019,137219275
30,97352699,1.210829956,76.67,137708131,519188,138227319
31,97692230,2.336209367,39.87,143071307,520400,143591707
32,97920212,1.671108086,55.87,146223220,521020,146744240
33,97974831,1.639003476,57.00,149024800,521344,149546144
34,98288476,2.168342229,43.22,155739809,522221,156262030
35,98417569,2.409476365,38.95,163644240,522905,164167145
36,98524809,1.922192410,48.88,168055198,526901,168582099
37,98718707,2.067259154,45.53,173006801,530795,173537596
38,98939219,2.409364141,39.15,180798083,531485,181329568
39,99175341,2.106739728,44.89,185767891,532452,186300343
40,99235132,1.165642612,81.18,186829758,532776,187362534
41,99245708,.963861638,98.18,187158860,533188,187692048
42,99616951,1.065527259,89.15,187805125,533512,188338637
43,99673755,1.017565063,93.40,188410535,533836,188944371
44,102067239,4.553762780,21.37,203575874,522554,204098428
45,97037979,3.400268556,27.21,211848124,514455,212362579
46,96139199,2.143884323,42.76,216682597,506811,217189408
47,96531666,2.188000716,42.07,221544108,509846,222053954
48,96497220,1.954469989,47.08,225680899,508202,226189101
49,96781557,1.837817089,50.21,230985988,510340,231496328
50,97038998,1.946537357,47.54,235060260,512448,235572708
