Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,1f6af6117a46e2773e267e4c57f9bbc194ad2cc1,95072414,.612351167,148.05
2,e791392646258d4d0e809d64861bb78f4d4397f6,95172660,.685062775,132.48
3,376c2bbc146d03e26e7cd5907058b17ae3db519e,95633624,.709572330,128.52
4,df8325210e071911ed2f5bb3ead9696dca00b375,95710717,.661047890,138.06
5,0b0750d578ea4360a8938682f75d004586e1f542,95767418,.707163143,129.14
6,3eeafde0bf69c8734a830ead46051e33b121610a,95874517,.826160446,110.66
7,d42c7045f4ca3ffc0bfa3c87ce1a12ce43b9a4bd,96031005,.830371007,110.28
8,f3db08946f954e1e20a4a3e6ab29e589cb1ab812,96073810,.919033132,99.69
9,b9a451728d4c93fcb8a3458c91d30c8abd53a2cb,96156132,.851766446,107.65
10,b426bf39d08485706b39ad576b584a04040ca5e2,96181716,.789253478,116.21
11,5cea5ed7a275f24a1b545b729cf2aaa79b4f1a6b,96225095,.760400608,120.67
12,8e6451c81734818976490c6b35c74ec9ca2dcd65,96280016,.725690970,126.51
13,70c3cab7543a8e7730c7eea03c787660cc5cb9c5,96295453,.775258842,118.45
14,6c99dd1565d4a7d2f27148f39c74fc56f757f60a,96159344,.876154801,104.66
15,24b38042a90c7b0a9ee72e350c69fdeb7786b4ec,96211395,.816808003,112.32
16,e3b1accd2be423bbb9383215e6517b807e571c13,97419644,.925365283,100.39
17,693b909a68c71efa69dc4afd267627991feeacdf,92656128,.825489502,107.03
18,8b720c1301a4dd01c2f907904b77e44fff55ee36,92958211,.790673663,112.11
19,6ca8c5703190493039dd61f821e86105a55ec539,93342477,.977992495,91.01
20,0ab42f45eb2ea1b0064c6824b6747af67c398f0a,93684968,.981108127,91.06
21,bd295ff2887f64f155d6faf844f581a287d8de05,93855134,.945257504,94.68
22,35c2ce6d6b71be14e0b9861f8f634dff680f5a96,94105945,1.077763953,83.26
23,6b403e5d90cfbd95b0eddff9a3db2f16561a84d1,94494954,1.383938922,65.11
24,9ca1fa0339b6e50cc53bb8309421ec8ec332d117,94930340,1.891951435,47.85
25,7f26de955c276a59a87258a0edb04f4e481a3151,96567704,1.800166950,51.15
26,f2b831e497245a5c5290fd5250fe2dd4e6994e19,96574342,1.941512269,47.43
27,7f271c03b34ad7464f4b32ea1db093db9631554f,96788905,2.283624360,40.41
